职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
嵌入式控制工程师,厦门,科华数据股份有限公司,本科,3-5年,"ARM系列,DSP系列",2.8-4万,1、负责电力电子产品的软件需求分析、规格拟定及方案设计；2、负责嵌入式控制（ARM、DSP等)软件设计及技术文档编写；3、负责电力电子产品的DSP软件编码、调试和测试工作；解决产品在生产、市场应用的软件技术问题。岗位要求：1、本科及以上学历；电气工程、电力电子、自动化等相关专业；2、熟悉常用电子元器件的选择和使用、数字控制，CPU\DSP控制单板设计；3、能熟练使用office/cad/pads/...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40465434704.htm,1000-9999人,2025-06-11 16:39:08
EMS(能量管理系统)软件高级工程师,厦门,厦门新能安科技有限公司,本科,5-10年,EMS,1.8-3.5万·18薪,岗位职责:1.负责储能系统EMS软件开发；2.负责编写软件相关技术文档；3.参与软件方案设计和控制策略评审；4.与软件测试工程师共同制定软件测试方案等。 任职要求:1.年龄：25-40周岁；2.学历：本科及以上学历，电子、自动化、通信、计算机等相关专业；3.工作经验：5年及以上嵌入式软件开发经验，有储能行业经验优先；4.技能要求：精通Linux软件应用开发，熟悉ARM架构、IIC/SPI/CAN等...,新能源,http://jobs.zhaopin.com/CCL1409591300J40680046607.htm,1000-9999人,2025-06-26 09:36:33
C/C++/Java/JS/Python软件开发【全国有岗】,厦门,外企德科数字技术有限公司,本科,经验不限,"C语言,Java,Python",1.5-3万·14薪,主要地点：（东莞、深圳、杭州、 西安，苏州、上海，武汉，成都、南京、北京）十大华为研究所，少量（广州、长沙、济南）三个办事处本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业可接受岗位内容：1. 设计、开发并维护C/C++/Java/JS/Python任一应用程序。2. 解决各种技术难题，保证代码的可靠性、高效性和安全性。3. 参与软件设计的讨论和计划制定。4. 与其他团队成员协作...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40732894205.htm,10000人以上,2026-01-12 00:24:22
嵌入式软件工程师,厦门,同致电子科技(厦门)有限公司,硕士,5-10年,"EMMC CSI DSI,FLASH CAMERA,BOOTLOADER DDR,C语言",2-3万,岗位职责： 1.依产品功能需求，沟通和确认软件开发所需输入和输出资料； 2.制定《产品功能开发需求规格书》和《诊断列表》；3.系统应用层软件开发；4.产品台架和实车功能及性能测试，测试规范编写，测试报告确认5.产品开发过程中软件调试及维护，功能和稳定性测试；6.车身通信软件配套开发及诊断开发（CAN.LIN等）6.软件设计说明书，流程图等文档的编写及维护；7.软件版本管控，进行软件冻结移交8.产品...,汽车研发/制造,http://jobs.zhaopin.com/CC204092510J40821571012.htm,1000-9999人,2025-09-17 18:39:25
BMS软件开发工程师(ESS),厦门,厦门新能安科技有限公司,本科,3-5年,linux,1.5-3万·18薪,岗位职责:1.负责储能系统BMS/EMS软件开发；2.负责编写软件相关技术文档；3.参与软件方案设计和控制策略评审；4.与软件测试工程师共同制定软件测试方案等。 任职要求:1.学历：本科及以上学历，电子、自动化、通信、计算机等相关专业；2.工作经验：5年及以上嵌入式软件开发经验，有储能行业经验优先；3.技能要求：精通RTOS、Linux软件开发，熟悉ARM架构、IIC/SPI/CAN/RS485等...,新能源,http://jobs.zhaopin.com/CCL1409591300J40780707307.htm,1000-9999人,2025-08-06 15:44:23
linux嵌入式软件工程师,厦门,科华数据股份有限公司,本科,3-5年,,1.6-3万·14薪,岗位职责：（1）负责充电桩产品及系统的应用软件开发；（2)负责产品功能模块的子系统设计、代码编写、集成自测、过程文档撰写等；（3）参与软件工程文档、产品文档编写，满足质量软件交付要求。（4）参与充电桩系统的测试、系统部署以及产品维护工作。任职要求：（1）本科及以上学历，通信或计算机等相关专业毕业；（2）熟悉Linux/freeRTOS/ucos多线程、网络编程、界面显示，有web后端及数据库开发经...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40866101404.htm,1000-9999人,2025-04-23 09:24:07
高级应用开发工程师(J11344),厦门,厦门星纵物联科技有限公司,本科,3-5年,C语言,1.5-3万·15薪,岗位base厦门总部，首次来厦人员提供双人间住宿，请确认是否可到厦工作~工作职责1.负责设计、开发和维护基于 Linux 的嵌入式应用程序；2.负责应用架构设计和实现，结合产品规划和功能设计，提供技术方案；3.解决嵌入式应用开发过程中出现的技术难题，为其他开发人员提供技术支持和指导；4.负责项目开发，与测试，产品等人员协作，修复bug，完成版本功能开发与迭代。5.独立负责处理中大型需求拆分和分配，...,IT服务,http://jobs.zhaopin.com/CCL1235720690J40761120308.htm,500-999人,2025-02-27 16:43:48
嵌入式软件工程师（相机驱动）,厦门,理工睿视(北京)光电科技有限公司,本科,3-5年,"C语言,C++,ARM处理器,linux",1.4-2.8万,岗位三：嵌入式软件工程师（相机驱动）你将负责：1. 负责相机机芯的“底层驱动开发“、“固件编写”及嵌入式Linux系统移植与优化。2. 实现与上位机软件的通信协议，确保指令与数据稳定传输。3. 配合FPGA工程师，完成寄存器配置与功能调试。4. 参与相机功能的整体设计与实现。我们希望你：1. 本科及以上学历，计算机、电子、通信等相关专业。2. 精通C/C++语言，熟悉ARM体系结构，有“Linux...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1513454610J40819889614.htm,20-99人,2025-12-12 16:38:33
嵌入式软件开发工程师(可年后入职),厦门,厦门市派对屋电子有限公司,大专,3-5年,"STM32,C语言,C++,Python,linux,ARM开发,32位单片机",1.5-2.6万,5天8小时，周末双休 ，门口地铁4号线城场站200米！ 公司楼下免费停车！附近租房300+。 岗位职责1、负责协助产品软件需求规划；2、根据产品需求，进行产品软件设计；3、负责高新技术研发、技术支持；4、协助硬件工程师进行控制中心电路及数字音视频处理电路的设计；5、完成领导交办事项。 任职资格 （第3-7条中，须符合1-2条要求即可） 1、本科以上学历，计算机、软件工程、电子信息、自动化等相关专业...,电子设备制造,http://jobs.zhaopin.com/CC222960510J40774217116.htm,100-299人,2025-12-24 00:06:01
中/高级应用开发工程师(J10544),厦门,厦门星纵物联科技有限公司,本科,3-5年,"C语言,linux",1.8-2.6万·15薪,岗位职责: 1.负责设计、开发和维护基于 Linux 的嵌入式应用程序； 2.负责应用架构设计和实现，结合产品规划和功能设计，提供技术方案； 3.解决嵌入式应用开发过程中出现的技术难题，为其他开发人员提供技术支持和指导； 4.负责项目开发，与测试，产品等人员协作，修复bug，完成版本功能开发与迭代。 任职要求: 1.本科及以上学历，3年以上嵌入式linux应用开发经验； 2.熟悉 C/C++ 编程...,IT服务,http://jobs.zhaopin.com/CCL1235720690J40529968708.htm,500-999人,2025-05-22 17:20:21
