职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电控研发部经理,厦门,九牧厨卫股份有限公司,本科,3-5年,"嵌入式硬件开发,嵌入式软件开发",6-8万,岗位职责：1、根据公司发展战略，拟定电控研发院战略和年度研发计划并监督执行；2、负责制定本部门年度经营规划报告及年度预算的编制并监督执行；3、领导团队进行公司产品的电控系统的技术预研、新品开发、测试与迭代工作；4、协助新品生产落地与异常分析，为智能与轻智能产品提供技术支持；5、负责制定本部门的流程、制度文件，规范技术资料标准化；6、负责组建优良的研发团队，优化内部资源，制定绩效考核及落实执行；7、...,建材,http://jobs.zhaopin.com/CC398389710J40821079505.htm,10000人以上,2025-10-23 08:28:22
研发主管（物联网偏软件）,厦门,厦门历思生物科技有限公司,本科,5-10年,"嵌入式技术,全栈开发",2-3万,岗位职责：1、全面负责软硬件团队的技术管理工作，主导产品从需求拆解、技术选型、架构设计、开发实现到测试上线的端到端全流程管控，制定技术路线、拆解项目目标、分配团队任务，确保项目按时、高质量交付2、主导嵌入式系统核心模块开发（MCU/ARM平台），负责控制算法、数据处理算法的设计、优化及落地验证，保障产品核心性能达标。3、物联网、嵌入式、云计算等行业前沿技术动态，评估新技术方案，为产品规划提供技术支...,专用设备制造,http://jobs.zhaopin.com/CCL1477989270J40836666105.htm,20-99人,2026-01-12 01:12:56
高级Web后端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"PHP,Golang,物联网项目,MySQL,Redis,架构师,后台开发,微服务",2-3万·13薪,"岗位职责：1、参与云平台WEB后端相关版本开发工作；2、主导或重度参与现有的平台效率提升、性能优化与可靠性建设等相关工作；岗位要求：1、本科及以上学历，5-8年PHP、Golang等任意一种语言的开发经验；2、优秀的系统设计能力,理解微服务架构的设计思想，对效率与质量的平衡有较好的见解与实践；3、掌握常见中间件的使用与底层原理，对源码有深入研究者优先；例如：MySQL、Redis、Kafka、et...",计算机硬件,http://jobs.zhaopin.com/CC530673120J40818717701.htm,300-499人,2026-01-08 01:02:20
灯具研发经理,厦门,厦门亚锝电子科技有限公司,本科,5-10年,,2-3万·13薪,岗位职责一、战略规划与项目管理1、制定LED照明产品研发战略规划，主导年度/季度产品开发计划制定与执行监督，确保研发方向与公司整体战略目标高度一致；2、统筹管理多项目并行研发流程，建立项目里程碑管控机制，对项目进度、成本、质量进行全周期把控；3、主导重大技术攻关项目，组织跨部门技术协作，推动创新技术方案落地，如智能调光系统、高散热效率结构设计等。二、技术研创与产品开发1、主导LED灯具产品开发的结...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853765313.htm,500-999人,2026-01-06 11:05:03
研发技术经理,厦门,厦门历思生物科技有限公司,本科,5-10年,"C#,Java,嵌入式技术,全栈开发,嵌入式软件开发,单片机开发,Android开发,企业级应用开发",2-3万,岗位职责：1、全面负责软硬件团队的技术管理工作，主导产品从需求拆解、技术选型、架构设计、开发实现到测试上线的端到端全流程管控，制定技术路线、拆解项目目标、分配团队任务，确保项目按时、高质量交付2、主导嵌入式系统核心模块开发（MCU/ARM平台），负责控制算法、数据处理算法的设计、优化及落地验证，保障产品核心性能达标。3、物联网、嵌入式、云计算等行业前沿技术动态，评估新技术方案，为产品规划提供技术支...,专用设备制造,http://jobs.zhaopin.com/CCL1477989270J40837219905.htm,20-99人,2026-01-11 01:12:47
智慧社区管理平台架构师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"Java,PHP,Go,微服务架构,服务器配置,大数据架构,平台架构,云计算架构",2-3万·13薪,岗位职责：1、主导智慧社区平台方案架构设计；2、协同产品、研发团队，提出智慧社区产品的功能规划与技术演进建议，推动产品标准化、模块化建设；3、参与追踪智慧社区领域行业动态，研究国内外典型案例，为公司智慧业务提供技术参考与决策支持。岗位要求：1、5年以上大型智慧社区、智慧园区、智慧城市系统开发与架构设计经验，至少完整经历过一个大型智慧社区管理平台的研发过程；2、对SaaS平台架构有深刻见解；3、对互...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40752006301.htm,300-499人,2025-12-23 01:00:20
研发（副）经理,厦门,厦门金柏半导体有限公司,硕士,10年以上,,2-3万,岗位职责：1.领导并指导团队，监督创新且高可靠性的柔性设计的开发； 2.引领柔性线路板的开发与优化工作，改进产量、能力和质量的制造工艺； 3.研究并评估新材料（包括直接材料和间接材料）、湿化学技术以及新兴制造技术，以保持竞争优势；4.项目专利申请，政府研发资助申请以及相关资金申请等。任职要求：1.研究生或以上学历，化学工程/材料科学/电子封装制造或相关学科；2.10年以上柔性线路板制造、测试及验证...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC811183290J40776645415.htm,100-299人,2025-12-12 00:05:03
新产品研发工程师/产品经理（博士及以上）,厦门,厦门虹鹭,博士,无经验,"产品开发,材料技术应用,工业互联",2-3万·15薪,岗位职责: 1. 岗位职责 （1）根据新产品信息和客户需求，进行新产品技术调研，撰写开发建议书。 收集相关资料作新产品开发成本及技术可行性分析，撰写可行性分析报告。 （2）成立项目研发小组，进行项目实施方案研讨，并根据项目实施方案和计划开展相关实验，与相关生产部门协调新产品的试制及量产事宜。 （3）协助生产部门处理生产问题，提供技术支持。参与部门内部技术交流。 （4）做好技术资料备份工作，确保研发...,金属制品业,http://jobs.zhaopin.com/CC137341210J40748125813.htm,1000-9999人,2025-07-22 15:40:50
研发经理,厦门,厦门光莆电子股份有限公司,本科,5-10年,嵌入式硬件开发,1.5-2.8万,模组研发，擅长硬件工作职责：1. 研发规划与项目管理①技术路线制定：根据市场需求和公司战略，制定模组的技术发展方向和研发路线图。②项目全周期管理：主导立项、需求分析、开发计划、资源调配、里程碑跟踪及风险管控，确保项目按时交付。③跨部门协作：与产品、生产、采购等部门对接，确保研发目标与业务需求对齐。2. 团队管理与技术领导①团队建设：组建并培养研发团队，包括硬件、软件、测试等职能分工，提升团队技术能...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC145146030J40750624410.htm,1000-9999人,2025-09-02 10:52:32
中高级前端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"HTML5,JavaScript,CSS,大屏/可视化项目,Vue,Flutter,Node.js",1.6-2.5万·13薪,岗位职责：1、负责公司智慧社区平台及相关产品的前端架构设计、开发和优化，确保高性能、高可用性及良好的用户体验；2、与产品、UI、后端团队紧密协作，主导前端技术难点攻关，确保项目高质量交付；任职要求：1、5 年以上前端开发经验，熟练掌握 Vue3、TypeScript、ES6+ 等现代前端技术栈；2、精通 HTML5/CSS3，熟悉移动端适配（Flex/Grid/响应式布局）及性能优化；3、熟悉前端...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40818851601.htm,300-499人,2026-01-06 15:33:53
