职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品经理/高级产品经理(J10477),厦门,厦门汉印股份有限公司,本科,5-10年,"硬件产品,电子行业",2.4-4.5万,岗位职责:1、结合公司发展策略和用户需求，定义产品，并负责产品规划的工作落实，包括撰写和输出产品定义，收集用户反馈不断提升产品体验，输出卖点和规格书，协助市场和销售部门进行产品的营销和定价；2、根据业务需求，协调资源，推动项目，促进公司产品目标达成；3、把握电子产品的发展趋势，了解市场和用户需求，定期完成分析报告，提出具有可行性的产品创新概念。任职要求:1、本科以上学历，通信，电子，计算机等专业；...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40866781002.htm,1000-9999人,2025-12-03 09:13:23
医学产品经理,厦门,力品药业(厦门)股份有限公司,本科,5-10年,"化学药,处方药,产品经理,心内科医生,妇科医生",2-4万,岗位职责： 1、根据公司年度销售任务目标，制定年度产品市场销售策略，推广策略，对产品进行准确定位；2、负责组织开展各项产品市场调研，为销售部提供数据支持；3、负责组建公司产品专家人才库，对专家关系进行维护，组织专家进行产品学术交流，通过专家学术声音提高产品的影响力；4、组织完成各种产品学术推广活动，包括全国性的学术会议、地方性会议、行业协会会议等；5、负责不断完善公司产品知识和销售策略培训系统，并...,医药制造,http://jobs.zhaopin.com/CC555784220J40801610608.htm,300-499人,2026-01-08 01:20:32
产品经理（窄线宽激光器）,厦门,厦门彼格科技有限公司,本科,3-5年,"封装设计,封装工艺,光学器件封装,芯片封装,窄线宽激光器,ECL",3-4万·13薪,岗位职责：1、主导窄线宽半导体激光器的封装工艺设计，完成工艺参数（贴片精度、焊接温度、封装）DOE实验设计，提升良率与长期可靠性。2、开发工艺失效分析（FA）方案，针对波长稳定性、线宽展宽等核心问题，优化封装应力与热管理策略。3、负责窄线宽半导体激光器的工装夹具设计与改善，良率提升。4、负责窄线宽半导体激光器材料的选型和引入，提升关键性能指标及封装可靠性。任职要求：1、光电/物理学专业，本科及以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC278744130J40806421908.htm,100-299人,2026-01-07 01:19:28
产品经理（骨科关节）,厦门,大博医疗,本科,5-10年,医疗器械,2-4万·15薪,工作地点：可异地办公职位描述：1、负责骨科关节产品的策略制定和执行；2、负责骨科关节产品生命周期管理；3、负责业务销售团队以及代理商团队的培训；4、新产品上市和市场推广；5、负责中央市场活动和培训教育项目的设计和执行。支持区域市场活动和培训教育活动的落地；6、协助市场总监进行整体骨科关节类品牌管理。要求：1、本科以上学历，医学相关专业优先；2、5年以上骨科厂家销售或市场推广工作经验；3、有KA医院...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40912614715.htm,1000-9999人,2025-12-27 01:41:35
仓配产品规划改善岗,厦门,京东集团,本科,5-10年,,2-3万·16薪,工作职责：1.市场调研：负责在属地进行仓配供应链业务的市场调研（产地市场机会及目标客户调研）输出市场机会及竞对情况的调研分析报告；2.经营策略：结合属地市场对产品经营的收入增长及损益改善进行策略制定，协同跨部门进行策略落地;3.能力建设：基于战略及目标市场推动属地的仓配产品的能力建设，协同跨部门进行能力落地及对ROI进行复盘;4.客户体验：基于客户之声对产品运营环节的问题进行诊断和识别，推动产品服...,互联网,http://jobs.zhaopin.com/CC192921310J40788323909.htm,10000人以上,2026-01-12 00:09:22
产品经理（跨境第三方支付）,厦门,太极计算机股份有限公司,本科,3-5年,,1.5-3万,岗位职责：1、产品方案设计： 基于商业模式，规划产品的功能模块，包括商户管理、指令发起、数据看板等。2、技术方案规划： 设计平台与银行系统、外部数据源的技术对接架构与接口规范。3、需求文档输出： 撰写详细的产品需求文档，为后续技术开发团队提供明确的工作输入。4、技术可行性评估： 协同技术团队，评估业务模式的技术实现路径、成本与周期，为决策提供依据。任职要求：1、本科及以上学历，计算机科学、金融工程...,计算机硬件,http://jobs.zhaopin.com/CC000058760J40832507510.htm,1000-9999人,2026-01-09 16:55:41
产品经理,厦门,厦门起量科技有限公司,本科,经验不限,电商产品,2-3万,核心职责：1. 产品规划与开发： 基于市场洞察和品牌战略，规划产品线，撰写产品概念简报（包括定位、卖点、配方/包材需求、成本目标等）。2. 全流程项目管理： 主导产品开发流程，管理时间表，协调研发、包材、法务、质检、供应链等部门，确保产品按时、按质、按预算上市。3. 消费者与市场研究： 通过市场调研、用户访谈、数据分析等方式，持续挖掘未满足的消费者需求，追踪竞品动态，为产品创新迭代提供依据。4. ...,新媒体,http://jobs.zhaopin.com/CC891777330J40819624501.htm,500-999人,2026-01-09 10:24:54
AI创新产品经理,厦门,福建良瓷科技有限公司,本科,3-5年,"AIGC,大模型,NLP,智能机器人,机器视觉,智能语音,AI/ML,多模态AI,生成式AI",2-3万,岗位概述负责推动前沿AI研究项目，AI助手、AI智能体等平台升级，同算法工程师、业务团队及外部团队协同，将业务需求转化为创新解决方案。主要职责1、前沿领域跟进及研究跟踪并分析人工智能领域的新兴趋势和突破性发展创新技术对业务挑战的应用解决方案2、创新平台升级负责AI助手、智能体开发、数据集管理等平台的演进负责各平台的企业化改造及升级3、创新场景落地推动AI场景应用从需求到产品交付设计AI场景的用户体...,建材,http://jobs.zhaopin.com/CC331591180J40819014907.htm,1000-9999人,2026-01-07 01:18:47
灯具产品总监,厦门,厦门亚锝电子科技有限公司,本科,5-10年,,2-3万·13薪,岗位职责：1、市场洞察与深度分析：主导市场调查与分析工作，精准把握市场容量动态、产品规格变化、产品趋势走向，深入剖析Benchmark产品优势，并深度挖掘海关出货数据，为产品战略提供坚实的数据支撑与市场洞察。2、竞对研究与策略制定：全面负责竞争对手分析，通过海关出货数据追踪、竞争对手精准识别、样品深度分析以及主流产品信息整合，制定针对性竞争策略，确保产品在市场中保持领先地位。3、产品路线图战略规划...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853770113.htm,500-999人,2026-01-06 11:16:17
全生命周期产品经理,厦门,中国人民人寿保险股份有限公司厦门市分公司,大专,5-10年,"金融投资组合,保险产品,信托产品,理财产品",1.5-3万,【全生命周期家庭财富管理规划师热招】守护家庭财富一生，解锁高价值职业赛道！不止做单次理财规划，更要陪伴家庭走过不同人生阶段（从成家、育儿到养老）！依托公司全品类资源，为家庭提供贯穿一生的财富管理方案，兼具专业价值与可观收入，适合想深耕长期财富服务的你！一、你的核心工作：陪伴家庭财富全周期1. 深度调研家庭客户的全生命周期需求（如新婚资产配置、子女教育金储备、中年风险保障、退休养老规划等），梳理资产...,保险,http://jobs.zhaopin.com/CC420152710J40897131508.htm,500-999人,2026-01-04 20:17:00
