职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营优化总监(厦门总部),厦门,北京驰宏宇乐科技有限公司,本科,5-10年,"门店运营,产品运营,商家运营",4.5-8.5万,岗位职责:1、建立并优化能保障门店运营标准化操作、管理流程标准化执行的IT系统2、制定门店操作事务相关的操作程序、配置标准3、系统化实现高效的运营异常事件发现、传递、跟踪体系4、充分拓展技术应用于员工管理、员工生产效率管理的系统化工作任职要求：1、教育程度：年龄50岁以下，能力强可放宽，学历本科以上。2、背景经验：连锁餐饮或互连网零售产业经验专业领域经验、管理经验要求3、专业知识：项目管理能力及运...,互联网,http://jobs.zhaopin.com/CCL1507158650J40714450606.htm,20-99人,2026-01-01 12:06:12
码头运营经理/副经理,厦门,紫金矿业集团股份有限公司,本科,5-10年,,3-5万,工作职责：1.日常运营监督与协调：监督装卸作业全过程，跟踪船舶靠离泊计划执行情况，监控装卸效率、设备状态及堆场利用率等关键指标；2.运营体系构建与优化：全面负责码头/港口运营管理体系的搭建、完善与持续改进；3.码头运营制表以及目标的管控提升，包括经营计划以及预算编制审核以及过程控制，码头运营盈亏分析及成本管控；4.内外部协调与应急处理：统筹协调码头内部及与外部相关单位的运营协作，及时响应并高效处理...,矿产/采掘,http://jobs.zhaopin.com/CC121090500J40807941202.htm,10000人以上,2025-09-03 00:00:02
产品经理/高级产品经理(J10477),厦门,厦门汉印股份有限公司,本科,5-10年,"硬件产品,电子行业",2.4-4.5万,岗位职责:1、结合公司发展策略和用户需求，定义产品，并负责产品规划的工作落实，包括撰写和输出产品定义，收集用户反馈不断提升产品体验，输出卖点和规格书，协助市场和销售部门进行产品的营销和定价；2、根据业务需求，协调资源，推动项目，促进公司产品目标达成；3、把握电子产品的发展趋势，了解市场和用户需求，定期完成分析报告，提出具有可行性的产品创新概念。任职要求:1、本科以上学历，通信，电子，计算机等专业；...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40866781002.htm,1000-9999人,2025-12-03 09:13:23
策略运营-厦门,厦门,吉利控股集团,大专,3-5年,投放策略,面议,岗位简述：网约车行业具备显著的司、乘双边效应，叠加时空、品类、区域、人群等差异化特征形成特定约束下的双边供需撮合匹配场景（供：司机，需：乘客）。需要通过调节定价、流量、补贴及长短期营销工具协同提升双边需求的满足，带来用户体验的改善和司机收入的稳定，进而驱动业务增长。由于城市差异化的外部环境及发展现状，需要基于区域城市本地化特征洞察和解析当地外部环境、司乘及出行特点，推动平台能力建设并通过合理规划和...,汽车研发/制造,http://jobs.zhaopin.com/CC000616940J40906690708.htm,10000人以上,2025-12-16 14:28:05
拼多多店群负责人（美妆个护宠物）,厦门,杭州长贤企服网络科技有限公司,大专,5-10年,"电商运营,拼多多",2-3.5万,岗位概览：作为拼多多店群业务的最高负责人，对整体GMV、利润和店群健康度负责。负责制定战略、统筹资源、领导团队实现业务目标。岗位职责：1、战略规划：制定店群整体发展战略，包括店铺矩阵布局（如不同品类店、不同客单价店）、目标设定与年度/季度规划。2、运营管理：建立并优化店群运营的标准化流程，监督各店铺的日常运营、商品上架、营销活动等，确保执行质量。3、团队管理：领导运营、产品、数据团队，进行任务分配...,互联网,http://jobs.zhaopin.com/CCL1501860780J40971388104.htm,20人以下,2025-12-04 11:29:55
省区渠道运营,厦门,元气森林(北京)食品科技集团有限公司,本科,5-10年,"主管,toB",1.5-3万·14薪,岗位要求： 制定渠道发展策略与执行计划，为销售提供各销售渠道发展建议，通过渠道政策促进销售目标达成 深入了解市场并分析销售数据，识别生意空白点和增长点，并制定相关执行策略 根据渠道终端、销售产品及销售场景等因素，制定传统渠道终端成功图像，提升终端的精细化运作水平及产出 推动渠道专项活动的落地执行，进行销售区域执行规划、执行、检核及结案管理工作，保障渠道目标达成 各类渠道经营报表的管理及临时性渠道工...,快速消费品,http://jobs.zhaopin.com/CC812921020J40779125909.htm,1000-9999人,2026-01-12 01:22:30
产品经理（跨境第三方支付）,厦门,太极计算机股份有限公司,本科,3-5年,,1.5-3万,岗位职责：1、产品方案设计： 基于商业模式，规划产品的功能模块，包括商户管理、指令发起、数据看板等。2、技术方案规划： 设计平台与银行系统、外部数据源的技术对接架构与接口规范。3、需求文档输出： 撰写详细的产品需求文档，为后续技术开发团队提供明确的工作输入。4、技术可行性评估： 协同技术团队，评估业务模式的技术实现路径、成本与周期，为决策提供依据。任职要求：1、本科及以上学历，计算机科学、金融工程...,计算机硬件,http://jobs.zhaopin.com/CC000058760J40832507510.htm,1000-9999人,2026-01-09 16:55:41
产品经理,厦门,厦门起量科技有限公司,本科,经验不限,电商产品,2-3万,核心职责：1. 产品规划与开发： 基于市场洞察和品牌战略，规划产品线，撰写产品概念简报（包括定位、卖点、配方/包材需求、成本目标等）。2. 全流程项目管理： 主导产品开发流程，管理时间表，协调研发、包材、法务、质检、供应链等部门，确保产品按时、按质、按预算上市。3. 消费者与市场研究： 通过市场调研、用户访谈、数据分析等方式，持续挖掘未满足的消费者需求，追踪竞品动态，为产品创新迭代提供依据。4. ...,新媒体,http://jobs.zhaopin.com/CC891777330J40819624501.htm,500-999人,2026-01-09 10:24:54
用户运营经理,厦门,超鹿运动,本科,5-10年,"会员体系搭建经验,C端用户,会员体系,用户增长,平台策略,社群运营",2-3万,主要职责:1、制定用户运营策略:根据公司业务目标和市场趋势，制定并执行用户增长、留存、活跃及转化的运营策略，确保用户规模的持续扩大和用户质量的稳步提升。2、用户洞察与分析:运用数据分析工具，深入挖掘用户行为数据，分析用户画像、用户偏好及用户反馈，为运营策略的制定提供数据支持。3、内容运营:规划并执行高质量的内容生产计划，包括文、视频、社群互动等多种形式，以吸引并留住用户，提升用户活跃度。4、活动策...,体育,http://jobs.zhaopin.com/CC645867480J40794516911.htm,1000-9999人,2025-12-18 01:29:50
产品经理,厦门,厦门斯巴特科技股份有限公司,本科,5-10年,中后台,1.5-3万·14薪,职位描述1、负责集团自有品牌数字化跨境侧的系统的产品设计，参与产品原型设计、需求定义、开发、测试和上线的全流程2、关注对标公司的产品及数据情况，了解业务工作流程，挖掘新的需求痛点，推动产品持续创新及优化3、跟进产品项目全流程的进度管理，并保证产品上线质量，平衡商业需求，严格把控产品体验4、撰写上线产品操作使用说明书，给业务部门做系统操作讲解及使用过程问题解答任职要求1、3年以上产品经验，本科以上学...,贸易/进出口,http://jobs.zhaopin.com/CC322044910J40758203512.htm,1000-9999人,2025-11-26 13:54:53
