职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
工艺设计总负责人(总经理/院长/总监),厦门,厦门爱迪特环保科技有限公司,本科,10年以上,CAD,3-5万,1.制定产品设计方案和技术方案：全面统筹各项目的总体设计方案和技术协调实施，组织产品技术评审和技术交流会议，协调内部相关部门完成项目实施工作；2.分派设计模组和统整集成(包括但不限于：设计方案/图的审核审批)：根据下属设计工程师专长，将项目设备设计进行分工下派(术业专攻)，然后再进行统整集成，总体把控设计进度和质量的过硬性；3.方案交付和技术协调：统筹管理设计方案的有效沟通和定案协调，当设计方案经...,环保,http://jobs.zhaopin.com/CC618678720J40654038406.htm,100-299人,2025-12-30 14:00:35
TD /PIE工程师,厦门,厦门士兰集科微电子有限公司,本科,5-10年,,2.5-5万,岗位职责：1、新工艺研发，流程制定，实验设计；2、 工艺和产品转移（内部或外部）；3、 协同其它部门完成新工艺新产品的认证；4、优化工艺流程，提高工艺稳定度，降低成本；5、 监控线上产品状态、inline测试数据，分析电学参数以及良率；6、设计（design & layout）电学测试结构；7、产品tapeout。任职要求：1、本科以上学历，电子、微电子、材料等相关专业；2、6年以上工艺整合或器件...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC663942480J40643441906.htm,10000人以上,2025-04-28 13:43:44
外延工程师,厦门,郑州帮聘信息科技有限公司,硕士,3-5年,材料工艺设计,2.8-4万,1、Inp和GaAs材料新产品、新工艺的研发：新产品的设计模拟、工艺实现以及对实验结果进行整理分析；2、熟悉MOCVD外延工艺和设备。,IT服务,http://jobs.zhaopin.com/CCL1304678110J40730704806.htm,20-99人,2025-11-04 10:24:59
工艺经理/工艺总工,厦门,厦门海辰储能科技股份有限公司,本科,5-10年,"焊接工艺,激光焊,新品导入（NPI）",2-3.5万,岗位职责1、量产制造工艺管理，承接工厂产品制造成本及高质量交付需求，组织团队工艺工程师对优率、质量等目标进行拆解，并制定达成策略及达成计划；2、以优率/质量目标为牵引，推动制造工艺持续改进，提升生产优率、产品质量及生产效率；3、负责材料利用率目标设定、Loss项目标拆解、日常数据监管及技术改善等管理工作；4、负责产品优率、质量等问题各个基地/工厂的新技术横展落地。5、新产品/新材料/新拉线量产导入...,新能源,http://jobs.zhaopin.com/CCL1236916840J40970925004.htm,1000-9999人,2025-12-19 01:09:56
TD PIE,厦门,厦门士兰集科微电子有限公司,本科,5-10年,芯片,2-4万,岗位职责：负责集成电路、半导体器件产品调研及分析、新产品的设计研发、标准品维护和优化、产品合格率的提升等。任职要求：1、本科以上学历，电子、微电子、材料等相关专业；2、5年以上工艺整合等相关工作经历。其他信息,电子/半导体/集成电路,http://jobs.zhaopin.com/CC663942480J40741633906.htm,10000人以上,2025-12-15 16:44:39
电声研发工艺高级工程师/主管,厦门,厦门东声电子有限公司,本科,10年以上,,1.5-3万,一、工作职责：组织推动新产品工艺设计和工装设计开发等相关工作二、招聘要求：1、本科及以上学历（统招），电声、电子类相关专业；2、10年电声行业产品研发工艺工作经验，熟悉产品的生产工艺、流程、技术工作原理，熟悉扬声器、受话器有关专业电声知识优先。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC217442710J40899529802.htm,1000-9999人,2026-01-12 09:53:06
工艺专家（服装）,厦门,南方新华,大专,5-10年,"材料检测,工艺",2-3万,岗位职责：一：产品开发1、参与商品部门开发前期市场调研及开发方向研讨，整理收集适合品牌风格的材料、工艺、版型完成产品研发推荐。2、承接系列开发任务，协助设计部门完成前期的工艺开发，完成应用评估。3、把控开发时间节点，准时完成各阶段计划，图稿承接，工艺编制及审核，资料汇总，辅料花板批核，样板跟进，样板评审，样衣管理等工作。4、图稿评审，针对工艺可实现性，量产风险评估，成本优化进行图稿交接评审。5、样...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40820053111.htm,100-299人,2026-01-09 17:14:34
先进工艺（ETCH）工程师（12吋）,厦门,厦门士兰集科微电子有限公司,本科,5-10年,蚀刻工艺,2-4万,职责描述：1、根据公司目标，制定刻蚀工艺工作目标和计划，并跟踪完成情况； 2、充分掌握产线工艺，解决产线问题，维护产线稳定，降低产品报废率；3、提高设备生产效率，编写及完善工艺标准操作流程，降低风险，改善工艺提高工程质量； 4、合理安排资源，推进并完成新工艺的导入和刻蚀工艺研发工作； 5、配合新工艺需求进行新设备的评估及导入验证，并制定新设备的操作流程及工艺相关标准； 6、推进成本改善活动及相应的...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC663942480J40741632206.htm,10000人以上,2025-12-15 16:40:44
OLED研发整合岗（NPI/产品整合）,厦门,天马微电子,本科,3-5年,半导体,1.5-3万·14薪,岗位职责1.新品项目RFI评估，拆解RFI不达标项达成计划;2.主导新品项目项目方案评估，对新技术设计组织充分技术研讨及论证，FDR前输出明确可行性结论:3.新品试做过程Issue原因分析，与研发、产品部、工厂对接，推动机理分析及改善验证落地;4.新品开发过程，以DMAIC理念审视各技术改善对策及完成节点与项目匹配度，对项目实现量产动态推演:5.新品开发过程对外技术报告审核及过滤输出，主导新品客诉...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831641410.htm,1000-9999人,2026-01-05 13:30:56
封装工艺工程师,厦门,福建蓝海物流有限公司,本科,5-10年,"封装设计,封装测试,芯片封装,汽车电子封装",1.5-3万·18薪,功率器件封装工艺工程或质量管理,货运/物流/仓储,http://jobs.zhaopin.com/CC396610710J40886955202.htm,100-299人,2025-12-29 01:04:11
