职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
短视频经理,厦门,江苏欧美斯科技发展集团有限公司,学历不限,经验不限,抖音,2-3.5万,"岗位职责:1、负责抖音渠道信息流短视频内容产出，能独立完成脚本策划，及与拍摄剪辑团队的沟通，完成最终成片视频；并推动内容的创新迭代与增长，通过数据效果分析优化创意；2、懂得短视频创意内容的运营和营销，结合当下流行趋势分析素材内容及剪辑风格;3、掌控视频主题创意，镜头衔接，节奏感、动画、画面质感、色彩、音乐等方面,具备良好的镜头感.职位要求:1、具有视频审美，创意思维和创新精神;对视频画面有较好的审...",电子商务,http://jobs.zhaopin.com/CCL1209912590J40906328908.htm,1000-9999人,2025-12-15 09:27:45
运营总监（肿瘤康复 / 互联网医疗方向）,厦门,厦门家康天下科技股份有限公司,本科,5-10年,"新媒体运营,肿瘤康复,私域运营,AI 运营,数据运营,社群运营",1.5-2.5万,岗位亮点薪资待遇：综合月薪 20000-25000 元 / 月（固定薪资 + 绩效激励，具体根据能力面议），核心管理岗，资源支持充分汇报对象：CEO，主导公司运营战略落地，拥有充分决策权团队配置：直接管理新媒体运营、医学编辑、私域运营主管核心团队，搭建专业化运营体系发展前景：深耕肿瘤康复前景广阔的细分领域，践行 “患者受益、员工成长、机构可持续发展” 共赢目标；直接承担用户增长与业务转化核心指标岗...,卫生服务,http://jobs.zhaopin.com/CC481674330J40832430010.htm,100-299人,2026-01-08 14:43:28
新媒体运营经理,厦门,厦门小题旅行科技有限公司,本科,3-5年,"短视频平台,图文平台,小红书,微信公众号,抖音,哔哩哔哩,内容运营,短视频运营",1.2-2.4万,【岗位职责】1、负责带领团队完成小红书、抖音等平台创意内容策划、撰稿、排版制作及日常运维等全流程工作；2、精准拆解客户需求，结合平台玩法规则与传播规律策划选题，制定可执行内容方案；3、以回端/转化思维赋能团队，主导（拉新/引导入端/留存/转化）对核心指标（增粉、曝光、互动、DAU等）负责；4、搭建业务数据看板，定期输出复盘报告；基于用户行为习惯，洞察输出优化方案；5、跨平台协同支持（含闲鱼等电商平...,广告/营销,http://jobs.zhaopin.com/CCL1381644200J40844305812.htm,500-999人,2025-10-30 11:16:44
短视频主管,厦门,江苏欧美斯科技发展集团有限公司,学历不限,经验不限,短视频主管,1.5-2.5万,"岗位职责:1、负责抖音渠道信息流短视频内容产出，能独立完成脚本策划，及与拍摄剪辑团队的沟通，完成最终成片视频；并推动内容的创新迭代与增长，通过数据效果分析优化创意；2、懂得短视频创意内容的运营和营销，结合当下流行趋势分析素材内容及剪辑风格;3、掌控视频主题创意，镜头衔接，节奏感、动画、画面质感、色彩、音乐等方面,具备良好的镜头感. 职位要求:1、具有视频审美，创意思维和创新精神;对视频画面有较好的...",电子商务,http://jobs.zhaopin.com/CCL1209912590J40633907408.htm,1000-9999人,2025-12-15 09:25:47
资深短视频编导,厦门,杭州阿优文化科技有限公司,本科,3-5年,"短视频,直播媒体,保健品,信息流,原创内容",1.1-2.2万,岗位职责1、主要负责抖音/视频号/小红书的内容创意与脚本输出（信息流向、达人向等内容），协助拍摄和后期剪辑，完成制作要求、审查等工作，对输出的短视频成片负责；2、负责内容的前期选题、创意策划、可拍摄脚本、口播稿件、现场执导等工作；能够独立输出内容素材，把握视频风格；3、及时挖掘用户属性和时下热点，深度研究挖掘短视频平台用户使用习惯、观看属性，根据需求结合平台流量热点进行用户行为及偏好分析，完成选题...,科学技术推广,http://jobs.zhaopin.com/CC567966420J40816421514.htm,1000-9999人,2025-10-31 10:25:08
内容运营【核心培养方向】,厦门,厦门浪起文化科技有限公司,本科,经验不限,"视频类,抖音",1.2-2.2万,浪起，全国头部教育电商公司。公司代表性抖音账号：【小学数学张老师】-500万粉丝，抖音教育赛道TOP1。晋升路径：管理/专家双线可选，为晋升带来更多可能性固定调薪：每年固定1-2次调薪&晋升机会入职即缴五险一金，岗位base在厦门【岗位职责】1. 负责视频号的短视频账号运营落地执行；2. 关注视频号流量动态，了解平台和竞品市场变化，深度挖掘用户对内容的需求；3、完成脚本创意、拍摄、剪辑、发布、数据...,电子商务,http://jobs.zhaopin.com/CC843289540J40749605509.htm,500-999人,2025-06-25 11:22:47
新媒体招商经理,厦门,金牌厨柜家居科技股份有限公司,本科,3-5年,"区域销售,网络销售,高端产品客户,新媒体销售",1.5-2万,岗位内容： 1. 负责新媒体平台招商方案的策划与执行，拓展品牌合作资源； 2. 维护和开拓潜在商家关系，推动品牌入驻与合作达成； 3. 协助制定招商策略； 4. 深度挖掘客户需求，制定针对性招商方案； 5. 包括但不限于合同拟定、谈判、签署及后期跟进工作； 6. 能够熟悉行业竞争格局，具备全面综合分析的能力； 任职要求： 1. 本科及以上学历，市场营销、管理类等相关专业，3年以上招商工作经验； 2...,装饰装修,http://jobs.zhaopin.com/CC137439330J40915525015.htm,1000-9999人,2026-01-10 17:10:43
编导 (IP),厦门,厦门起量科技有限公司,本科,1-3年,"短视频,美妆类",1-2万,岗位职责： 1. 独立完成抖音IP短视频的选题策划、脚本撰写及内容结构设计，擅长“痛点钩子+专业输出+产品植入”的内容模式； 2. 结合直播与短视频双端内容逻辑，输出符合带货转化目标的内容方案； 3. 熟悉抖音平台规则，尤其掌握美白祛斑等特殊品类的宣传合规要求，确保内容安全，避免限流风险； 4. 根据账号数据表现进行复盘分析，持续优化内容策略，具备从0到1冷启动账号的经验； 5. 高效对接博士等专...,新媒体,http://jobs.zhaopin.com/CC891777330J40818930601.htm,500-999人,2026-01-06 18:33:30
Tiktok直播组长/主管,厦门,欧夜贸易(厦门)有限公司,本科,1-3年,"TikTok,电商类,TIKTOK直播组长/主管,美区",1-2万,一、欧夜公司优势:1.产品定位中高档，做精品，做品牌，公司16年坚持只做性感内衣这一个细分行业，属于绝对的行业专家2.长期签约全球最顶级模特，图片视频美轮美奂，为本行业内独家能提供彩盒包装且都配置对应模特图片3.产品都分码制作，配置了大码，加大码尺寸，为本行业内独家能实现大码尺寸产品现货供应4.常规现货储备超过 200万件，特别适合零售所需要的能当天发货的要求5.现有的跨境电商业务(如亚马逊等平台...,贸易/进出口,http://jobs.zhaopin.com/CC441289820J40824345509.htm,20-99人,2026-01-03 18:02:31
内容营销经理,厦门,厦门雅迅智联科技股份有限公司,大专,3-5年,"小红书,快手",1.5-2万,主要职责：1、负责项目产品服务整体推广和投放策略制定，用户增长策略，销售额达成策略制定；2、负责电商团队、小红书内容团队以及商务媒介团队日常管理；3、通过各渠道资源整合，投流杠杆运用，达成各项上级下达的工作指标。任职要求：1、大专 (含)以上，市场营销、电子商务、管理学等相关专业；2、5 年以上，内容营销经理岗位；3、3年以上同时操盘传统电商（天猫为主），兴趣电商（小红书/抖音）和微信生态成功案例...,物联网,http://jobs.zhaopin.com/CC138128960J40782753316.htm,1000-9999人,2025-12-22 18:52:03
