职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品质量经理/总监(J10409),厦门,厦门汉印股份有限公司,本科,10年以上,品质管理,2.5-4万,岗位职责:1、组织展开研发、NPI及量产阶段品质方针、政策和目标制定、推动来料/制程/供应链等整体品质体系建设、绩效和改善、预防；2、全面负责制定、审核各类质量控制、作业指引制度、流程、标准及操作规范，督促、检查质量控制制度的贯彻、执行情况；3、负责相关体系（ISO9001、ISO14001）推行和维护，对质量管理体系实施有效监控；4、负责主持召开重大质量专题会议，协调各部门的配合，开展质量事故改...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40899627402.htm,1000-9999人,2026-01-12 10:50:37
品质经理,厦门,同致电子科技(厦门)有限公司,本科,10年以上,"QC,QE,汽车行业质量管理体系",2-4万,岗位职责：1.统筹质量团队管理工作（DQE、SQE、CS、LAB、体系），下辖60人；2.根据公司产品质量目标，制定、执行质量控制方案及产品质量检测标准，满足客户需求；3.品质体系建设及维护，确保产品整个生产过程符合规定，产品符合客户要求；4.统筹制定和优化品质管理流程和标准，确保品质管理工作的规范化和标准化；5.负责组织品质相关培训，提高员工对品质管理的认识和重视程度；6.参与公司战略规划和年度...,汽车研发/制造,http://jobs.zhaopin.com/CC204092510J40780393212.htm,1000-9999人,2025-10-20 15:43:34
氧化物资深工程师&专家,厦门,天马微电子,本科,5-10年,"氧化物,IGZO",1.8-3.5万,1、负责质量管理体系流程的建立，制定编写相关流程文件2、组织量产质量策划，从新品、制程、物料、检测，有效识别、传递、落地预防风险3、参与新技术、新制程、新物料release评价，并负责制定Test plan识别管控质量风险4、负责识别管理产品体质能力，有效识别预警产品体质风险，并组织专项推动产品体质能力提升5、参与产品进阶评审，针对问题点评估质量风险，并推动问题改善，并推动标准化，预防问题再发6、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40832746310.htm,1000-9999人,2026-01-09 16:15:44
质量总监,厦门,厦门亚锝电子科技有限公司,本科,10年以上,,2-3.5万·13薪,岗位职责1、体系规划与运维主导：全面负责公司品质体系的总体规划、搭建、决策、监控与服务，保障质量管理体系契合公司战略，维持高效稳定运行。2、全流程体系管理：构建并持续优化研、产、销过程质量体系，结合电子行业特性，确保各环节质量管控精准有效，推动体系不断完善。3、供应商质量管控：主导优质供应商引入，建立科学评价与考核机制，完善供应商品质管理系统，保障供应链质量稳定可靠。4、工厂质量监控改进：对工厂全...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40831704513.htm,500-999人,2025-12-31 09:19:20
品质总监(J10325),厦门,大博医疗,本科,10年以上,生产质量管理,2.5-3.5万·15薪,岗位职责:岗位职责：1、全面负责公司质量管理工作；2、优化公司质量管理制度、方法及质量标准，确保质量管理体系的有效性和合法性；3、组织各模块专业队伍建设工作，建立专家库培育及管理体系，搭建各专业资源共享平台，保障各模块专业水平满足公司发展需求；4、协同推进品质管控信息化建设工作，持续优化、迭代品质管控制度及措施，不断提升品控成效；5、组织开展服务质量客户评价工作，并形成评价结果分析报告，推动及保障...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40366309815.htm,1000-9999人,2025-11-26 13:30:50
质量经理（面板行业）,厦门,天马微电子,本科,10年以上,,2-3.5万,职位描述1、 负责质量管理体系流程的建立，制定编写相关流程文件2、组织团队量产质量策划，从新品、制程、物料、检测，有效识别、传递、落地预防风险3、参与新技术、新制程、新物料release评价，并负责制定Test plan识别管控质量风险4、负责识别管理产品体质能力，有效识别预警产品体质风险，并组织专项推动产品体质能力提升任职要求：学历背景要求(Academic background require...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831878410.htm,1000-9999人,2026-01-06 13:20:31
测试项目管理工程师,厦门,厦门新能安科技有限公司,本科,3-5年,测试验证,1.5-3万·18薪,岗位职责:1. 作为电池系统产品研发测试代表， 负责电池系统的测试需求评审，进行量化规格化及测试方案设计2. 参与产品需求评估及方案设计3. 负责制定验证计划，推动执行测试计划并闭环所有问题，审核测试报告4. 与开发人员配合完成产品的功能验证与设计优化5. 及时掌握行业内新技术、新产品、新标准动态 任职要求:1. 理工科类专业，电子/机械/化学相关专业优先，本科或以上学历2. 熟悉电池测试及数据分...,新能源,http://jobs.zhaopin.com/CCL1409591300J40601932307.htm,1000-9999人,2026-01-09 01:16:53
led光学测试工程师,厦门,强力巨彩,硕士,5-10年,"Matlab,光学仪器,显示产品,测试",2-3万·14薪,"一、岗位职责1、显示效果量化测试：聚焦色彩、光度、画质,测量色域覆盖率、色准、色度等关键指标，并建立不同应用场景（户内、户外）的关联模型。2、光学标准与流程搭建：引入国际标准，制定内部测试规范和验收标准文件，优化测试流程。3、失效分析：排查显示缺陷，从光学设计等层面追溯问题源头，分析核心部件对显示效果的影响。4、数据应用与协作：输出测试报告，为产品提供光学层面支持。二、 任职资格要求1.硕士及以上...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC283635710J40860748303.htm,1000-9999人,2026-01-08 15:46:39
半导体设备工程师（薄膜、湿法/减薄、蚀刻 、 扩散、注入、量测、光刻、测试））,厦门,厦门士兰集科微电子有限公司,本科,5-10年,"半导体设备维护保养,半导体设备测试",1.5-3万,岗位内容：1. 设计、调试及优化半导体生产设备，包括（如薄膜、湿法/减薄、蚀刻 、 扩散、注入、量测、光刻、测试等）2. 负责设备的维护保养和故障排除，确保设备正常稳定运行3. 参与新产品的投产，并提供相应技术支持4. 协助制订设备管理维护流程，并推进其落地实施任职要求：1. 本科以上学历，电子工程、物理等相关专业背景2. 熟练掌握半导体设备的设计和调试方法，熟悉常用工艺流程3. 具有较强的问题解...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC663942480J40580058306.htm,10000人以上,2026-01-07 01:13:47
硬件测试经理,厦门,厦门汉印股份有限公司,本科,10年以上,硬件测试,1.8-3万,岗位职责： 1.负责实验室管理工作，确保实验室环境、设备等满足测试需求 2.执行硬件测试任务，包括测试计划制定、测试执行及测试报告编写 3.分析测试结果，定位硬件问题并推动问题解决 4.管理测试团队，提升团队测试效率与质量任职要求： 1.本科以上学历，电子信息等工科专业 2.具备硬件测试相关工作经验，熟悉测试流程与方法 3.具备良好的实验室管理能力，熟悉实验室安全规范 4.具备较强的团队协作能力与...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40894320002.htm,1000-9999人,2026-01-04 09:32:18
