职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电力电子博士（光伏、储能技术研究）,厦门,科华数据股份有限公司,博士,经验不限,"电路设计,硬件开发,电源系统开发,DSP,电源,逆变器,Buck,Boost,PWM整流",3-5万·14薪,工作职责1、技术研究：从事光伏、储能等电力电子功率变换技术研究，包括不限于控制、拓扑、系统应用等方面；2、平台建设：组织成员完成中大型项目开发/系统方案设计，主导项目关键技术开发；3、团队建设：项目技术团队管理和建设，培养、提升团队技术水平和解决问题的能力；4、负责技术点的优化突破，先进技术的积累和储备。任职要求1、电力电子、电气工程、自动化、电子信息等相关专业博士；2、具备新能源电力电子相关领域...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40497203504.htm,1000-9999人,2026-01-08 16:19:41
器件开发岗（TM19）,厦门,天马微电子,本科,3-5年,"元器件仿真,元器件工艺,TCAD",2-4万·14薪,岗位职责：1、负责IGZO 器件设计与测试，并开发有效的测试与表征手段； 2、负责IGZO相关器件不良分析，寻找失效原因； 3、负责IGZO GIP回路失效分析，能通过电路分析快速准确锁定光学不可见的异常 4、向工艺开发人员提出可行的器件特性要求及规格，比如NBITS/PBTS/SS/mobility/Vth等； 5、对IGZO GIP回路展开测试及验证，得出能够指导工艺开发的结论 岗位要求：1....,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40832400510.htm,1000-9999人,2026-01-08 13:33:26
电力电子软件工程师,厦门,爱维达电子,本科,1-3年,"逆变器,电源",2-4万·13薪,25年老牌制造业，原艾默生研发团队组建，研发实力强，项目可落地，团队氛围好，目前软硬件均有需求，欢迎沟通咨询。【工作职责】1、负责光伏逆变器、UPS、储能PCS等产品的控制软件总体方案设计2、负责光伏逆变器、UPS、储能PCS等产品的控制软件部分控制功能的实现。【任职资格】1、三年以上电源或电机控制算法的开发经验；2、熟悉电力电子产品的软件开发流程和软件质量控制方法； 3、具有电力电子产品控制建模...,专用设备制造,http://jobs.zhaopin.com/CC203849010J40531003909.htm,300-499人,2026-01-06 01:22:25
高级硬件工程师（深圳/厦门）,厦门,科华数据股份有限公司,本科,3-5年,"硬件开发,光伏并网逆变器,UPS,储能变流器",1.8-3.5万·14薪,工作职责:1、负责UPS、高压直流、逆变器、储能、变流器、充电桩等产品硬件开发工作；2、负责完成ACDC、DCDC、DCAC等功率板的设计和调试；3、负责调试及优化ACDC控制板、功率板的硬件电路；4、根据产品标准，配合软件工程师完成ACDC部分在不同工况下的性能优化；5、负责模块的并机调试等工作。任职要求:1、电力电子、电气工程、自动化、电子信息等相关专业，本科学历；2、有3年以上光伏逆变器、储...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40929826904.htm,1000-9999人,2026-01-08 16:19:20
开关电源软件工程师（BBU）,厦门,厦门新能安科技有限公司,本科,5-10年,,1.8-3.5万·18薪,岗位职责:1、负责BBU((Battery Backup Unit))电源产品软件设计、调试、量产交付；2、负责BBU电源产品数字模型建立、软件控制算法仿真模拟；2、负责BBU电源产品软件控制前沿算法研究和导入。 任职要求:1、专业背景：电子/电气工程、电力电子、自动化相关专业硕士及以上学历；有BBU、UPS、服务器电源产品软件研发经验者优先；2、技术能力：精通Buck-Boost、4开关Buck...,新能源,http://jobs.zhaopin.com/CCL1409591300J40818062407.htm,1000-9999人,2026-01-05 01:18:38
资深主任电气研发工程师,厦门,曼恩斯特科技有限公司,本科,5-10年,"设计,自动化设计,PLC设计,卷绕",2.5-3.5万,【岗位职责】：负责锂电池卷绕设备的电气控制系统方案设计、元件选型、程序开发与调试；独立完成整机电气原理图、接线图、布局图设计，编制电气BOM清单；精通松下、欧姆龙、倍福、西门子等主流PLC编程，熟练使用ST语言进行逻辑控制开发；实现卷绕过程中的张力控制、卷径控制、电子凸轮、虚轴控制等核心算法；配合机械工程师完成整机联调，解决设备在装配、调试、试产阶段的电气问题；编写设备操作说明书、调试手册及技术培...,新能源,http://jobs.zhaopin.com/CC846618550J40828074810.htm,1000-9999人,2025-12-16 11:13:40
光学设计专家,厦门,中国航空技术国际控股有限公司,本科,5-10年,"OLED,光学研发,仿真",1.5-3万·15薪,"工作职责: 1、负责AMOLED产品光学评估、模拟仿真以及版图设计工作； 2、负责与厂商及客户进行技术交流，梳理技术问题； 3、负责研发量产品/新品开发及新技术开发工作,对重点问题，制定DOE方案，并完成相关新材料或新工艺开发； 4、负责产品异常解析及设计问题分析工作。 任职资格: 1、2年以上AMOLED光学设计经验，有1款以上主流客户的柔性手机量产品开发经验； 2、熟悉AMOLED OLED张...",贸易/进出口,http://jobs.zhaopin.com/CC144916330J40214553104.htm,500-999人,2026-01-09 01:07:31
开关电源硬件工程师（BBU）,厦门,厦门新能安科技有限公司,硕士,5-10年,"BBU,AIDC",1.8-3.5万·18薪,岗位职责:1、负责BBU((Battery Backup Unit))电源产品硬件设计、技术指标定义、性能验证、认证推进、量产交付；2、负责BBU电源产品的磁性器件的的设计、关键功率器件参数计算、选型；3、负责BBU电源产品新技术预研和导入，规划产品开发方向。 任职要求:1、专业背景：电子/电气工程、电力电子、自动化相关专业硕士及以上学历；有BBU、UPS、服务器电源产品硬件研发经验者优先；2、技...,新能源,http://jobs.zhaopin.com/CCL1409591300J40818055207.htm,1000-9999人,2025-12-19 10:30:13
高级硬件工程师,厦门,厦门彼格科技有限公司,本科,10年以上,"设计,硬件测试,PCB设计,FPGA研发,DSP研发",1.7-3万·13薪,岗位职责：1.负责新品的硬件设计开发调试工作，确保满足功能、性能及可靠性要求；2.独立完成硬件需求分析、方案设计、元器件选型、原理图设计及相关的PCB LAYOUT工作(包含审核及调试优化工作)；3.配合团队人员的系统调试及产品优化，解决跨领域技术问题；4.主导硬件开发全流程，包含原型机测试、量产问题解决、设计文档编写及BOM的相关维护管理；5.协助制定硬件开发规范，参与部门技术评审及经验沉淀，提...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC278744130J40763039308.htm,100-299人,2026-01-07 01:19:25
研发工程师（博士）,厦门,厦门亚锝电子科技有限公司,博士,经验不限,,2-3万·13薪,公司主要是做电源、灯具、智能家居及充电桩产品，目前招聘博士岗位如下：1、专业要求： 电子、通信等相关理工科技术领域博士（还没去过其他博士站）2、岗位职责：负责公司电源、智能家居、充电桩等相关产品的研发。3、招收要求：（1）具有良好的政治素质和道德修养，遵纪守法；（2）年纪35岁以下，在国内外获得博士学位，身体健康；（3）具有较强的研发能力和敬业精神，能够尽职尽责地完成科研工作。4、福利待遇：（1）...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853758713.htm,500-999人,2026-01-06 10:53:59
OLED电子设计岗（EE）,厦门,天马微电子,本科,3-5年,"设计,研发,PCB设计,消费电子产品",1.5-3万·14薪,岗位职责:1. OLED产品模组EE评估、硬件设计，产品调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写2. OELD产品模组 Demura 评估、导入、算法调试优化，对应驱动硬件调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写3. FPC 、PCB layout评估、设计，FPC issue 处理、专项题能力提升及规范文件输出、完善或撰写任职要求:1.大学本科以上，电...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831637110.htm,1000-9999人,2026-01-05 13:14:49
demura调试专家/资深工程师,厦门,中国航空技术国际控股有限公司,本科,3-5年,"DEMURA调试,电子设计",1.5-3万·15薪,工作职责1、项目跟进 ——能根据项目需求进行Demura程序调试，屏幕视效优化，满足项目目标 ——参与对客户和供应商拜访和沟通2、issue分析及新技术探索 ——不良分析及改善方案导出，新技术专利/论文撰写3、演算法开发 ——负责中小尺寸OLED屏幕画质补偿相关算法开发（Demura/VDC等） 任职资格：1、本科及以上学历，电子信息相关专业 2、有2年以上AMOLED电子设计经验或1年以上dem...,贸易/进出口,http://jobs.zhaopin.com/CC144916330J40477268204.htm,500-999人,2026-01-04 11:24:45
电力电子软硬件开发工程师（26届）,厦门,科华数据股份有限公司,本科,无经验,"硬件开发,嵌入式软件开发,电源系统开发,DSP,电源,逆变器,变频器,变流器,LLC",1.5-3万·14薪,岗位职责1、负责电力电子产品硬件和软件开发工作；2、负责新产品原理图设计，电路仿真，器件选型与设计等；3、负责完成AC/DC、DC/DC、DC/AC等功率板的设计和调试；4、负责设计验证测试、测试问题解决、样机调试；5、配合软件工程师完成产品在不同工况下的性能优化。任职要求1、电气工程、电力电子、自动化等相关专业；硕士学历（优秀者，学历可适当放宽至本科）；2、熟悉常见元器件（如电容、电阻、电感、磁...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40926276004.htm,1000-9999人,2025-12-30 01:09:20
资深电子工程师,厦门,普为光电,大专,5-10年,"LED灯具照明,电路设计",1.5-3万·13薪,一、岗位职责 1、负责LED灯具驱动电源电路的设计、优化、可靠性试验。 2、根据项目需求，制定新产品的开发方案。 3、根据方案进行进行参数设定调试、测试。 4、产品技术文件整理 测试报告 产品规格书 BOM 材料信息。 5、协助生产部门制定产品的生产工艺流程、QC工程表等。 6、协助生产部门根据工艺要求设计工装夹具或改进工装夹具。 7、 全程指导新品的样品制作并跟踪小批量试产并对发现的问题进行改善...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC393470020J40400675014.htm,1000-9999人,2025-12-28 01:39:39
硬件工程师（机芯主板）,厦门,理工睿视(北京)光电科技有限公司,本科,3-5年,硬件测试,1.5-3万,岗位一：硬件工程师（机芯主板）你将负责：1. 参与相机机芯的系统方案设计，独立完成“原理图设计和PCB Layout”（高速数字电路为主）。2. 负责元器件选型、BOM制作，并跟进PCB打样、焊接和调试全过程。3. 协同解决信号完整性、电源完整性等硬件问题，保障硬件平台的稳定与可靠。4. 参与制定硬件测试方案，完成硬件板的验证与优化。我们希望你：1. 本科及以上学历，电子、通信、自动化等相关专业。...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1513454610J40819882314.htm,20-99人,2025-12-12 16:38:49
