职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
工艺设计总负责人(总经理/院长/总监),厦门,厦门爱迪特环保科技有限公司,本科,10年以上,CAD,3-5万,1.制定产品设计方案和技术方案：全面统筹各项目的总体设计方案和技术协调实施，组织产品技术评审和技术交流会议，协调内部相关部门完成项目实施工作；2.分派设计模组和统整集成(包括但不限于：设计方案/图的审核审批)：根据下属设计工程师专长，将项目设备设计进行分工下派(术业专攻)，然后再进行统整集成，总体把控设计进度和质量的过硬性；3.方案交付和技术协调：统筹管理设计方案的有效沟通和定案协调，当设计方案经...,环保,http://jobs.zhaopin.com/CC618678720J40654038406.htm,100-299人,2025-12-30 14:00:35
Mardi女装设计总监,厦门,厦门江湖集团有限公司,大专,5-10年,"AI,PS,CorelDRAW,女装",2.5-3.5万,一、制定产品设计策略和计划: 1、组织市场调研，分析服装设计潮流和流行趋势； 2、根据企业和品牌的整体发展战略确定年度产品发展目标、策略和市场计划。 二、组织服装设计: 1、负责公司品牌的定位、形象、风格的制定，各季产品的开发并组织生产； 2、拟定服装产品设计的全过程设计流程； 3、负责保证所开发的产品生产工艺科学合理。 三、负责部门内部管理 1、分配新品设计、开发任务，协调人员关系； 2、组建和...,服装/纺织/皮革,http://jobs.zhaopin.com/CCL1358636270J40732469812.htm,100-299人,2025-12-25 01:33:28
视觉设计经理(J10562),厦门,厦门斯辰传媒有限公司,大专,5-10年,设计经理,2-2.8万,岗位职责:1、聚焦抖音电商设计需求：包括但不限于抖音直播间背景升级（直播间绿幕/实景方案策划，落地跟进）；抖音商城（产品主图/详情页/商城首页/二级页面等）视觉优化；根据平台规范、品牌调性和产品卖点产出设计方案，确保维护品牌调性并为提升直播间内容力和生意增长助力；2、配合参与品牌视觉标准体系、标准规范应用制定、把控抖音电商视觉设计物料输出、按规范进行VI/EVI标准审核及品牌设计工作落地；3、把控...,电子商务,http://jobs.zhaopin.com/CCL1281702680J40737423406.htm,1000-9999人,2025-12-31 01:16:28
设计工程总监,厦门,欢鹿信息技术有限公司,大专,5-10年,"CAD,3D MAX,空间设计,SI标准,工程,平面图,连锁门店,施工图,效果图",1.6-2.5万,负责统筹设计部与工程部。既懂设计又懂工程。岗位职责：1.规划品牌战略，研发品牌线下店铺形象，搭建线下空间视觉体系；2.店铺的独立研发、设计及落地，门店产品陈列、装饰、硬件设备、品牌元素的研发设计；3.空间设计研发部门的统筹管理及业务规划，项目设计进度的跟踪及设计质量的评估和审核；4.工程组织管理：负责对门店开店全过程进行工程组织管理，根据公司发展需求，不断完善相应的标准与流程；5.进度检查与监督：...,互联网,http://jobs.zhaopin.com/CC885921740J40786652901.htm,100-299人,2026-01-10 09:43:32
设计经理（化工、环保）,厦门,厦门爱迪特环保科技有限公司,本科,5-10年,CAD,2-2.5万,1. 完成技术协议的谈判和签订、初步设计、详细设计工作。具体包括PFD、PID设计、编写物料、能量衡算表、工艺联锁与控制描述、管路水力学计算、设备布置图，协调各设计专业完成设计工作；熟悉化工装置设计、环保装置设计，3项以上中型化工、环保项目设计经理经历；2. 负责项目组与甲方用户之间的沟通、协调，同时负责项目的阶段工作汇报，负责项目组与公司内部管理往来所需事宜的协调管理；3. 赴现场进行设计交底，...,环保,http://jobs.zhaopin.com/CC618678720J40696514706.htm,100-299人,2026-01-07 01:13:58
机械设计总监,厦门,厦门新路嘉工业自动化有限公司,本科,5-10年,,1-2万,"一、岗位职责： 1、此岗位为公司技术产品研发经理； 2、主要负责公司智能设备的研发及管理技术团队； 3、负责机械手，工装夹具，非标自动化设备等相关机械设计； 二、岗位要求： 1、本科以上，35-50岁，机械设计与制造或机电一体化等相关专业； 2、熟练3D绘图设计,SOLIWORKS等相关软件的使用，8年以上机械设计相关工作经验； 3、工作细致负责,良好团队协作能力、创新能力，沟通能力。 三、薪资面...",工业自动化,http://jobs.zhaopin.com/CC197906710J40629367002.htm,20-99人,2025-12-20 01:02:45
资深平面设计师,厦门,厦门斯巴特科技股份有限公司,本科,5-10年,"手绘,VI设计,品牌设计,包装设计,宣传物料设计,设计师",1.5-2万·13薪,岗位职责：1-负责品牌新品上市全链路设计，包含但不限于新品视觉策略与创意输出、电商详情页、社媒推广渠道视觉、品牌营销活动视觉设计等：2-线下终端门店视觉设计，主导设计门店灯箱、海报、手册及终端陈列方案。3-品牌日常宣传物料设计，包含节日海报、活动主KV、官网、会员中心等界面视觉。4-跨部门团队协作，确保所有输出物符合品牌调性与规范。任职资格：1-美术、视觉传达、艺术设计及相关专业；3年以上品牌视觉...,贸易/进出口,http://jobs.zhaopin.com/CC322044910J40166004912.htm,1000-9999人,2025-11-25 17:29:48
设计经理,厦门,福建业晋集团有限公司,大专,5-10年,,1.2-1.8万,岗位职责： 1、负责公司相关项目整体设计落地；2、对接设计院、顾问公司、施工方等供应商单位，进行日常监督与管理；3、确保项目内各个设计环节工作的有序推进；4、确保项目高质量交付，在建筑设计中体现公司特色、审美与文化；5、完成公司领导交办的其它工作。任职要求： 1、大专及以上学历；2、5年以上建筑设计工作经验，有酒店及房地产设计经理相关工作经验者优先；3、熟练运用CAD/PS/PPT/AI等工作软件...,房地产开发,http://jobs.zhaopin.com/CC518733230J40787024613.htm,100-299人,2025-12-29 01:35:41
三维电商设计师,厦门,厦门盈光网络科技有限公司,本科,1-3年,,8000-16000元·13薪,工作职责：1.会3D建模、渲染2.负责制作出有竞争力的产品主图和详情图3.负责页面设计，以及店铺页面的制作4.负责店铺的装修和美化及各种专题页面的制作5.负责公司主打产品后期图片和视频制作任职要求：1. 本科，艺术设计、视觉传达等相关专业；2. 熟练使用PS，AI，C4D等常用设计软件；3. 有较强的色彩搭配能力；4. 责任心强，工作态度认真。有相关工作经验者优先。职位福利：年底双薪、绩效奖金、全...,电子商务,http://jobs.zhaopin.com/CC487851720J40639623211.htm,20-99人,2025-10-09 10:20:46
平面设计师,厦门,澳拉童话(厦门)国际贸易有限公司,大专,3-5年,"文案,新媒体,拍摄,PS,AI,剪辑,平面设计",8000-15000元,岗位职责；1、负责公司企业形象、产品视觉表现相关设计，包括但不仅限于画册、海报、 VI 、线下物料设计等等；2、负责公司设计和日常微信朋友圈产品宣传、活动、广告的平面设计；3、根据公司各项设计要求具备独立承担的能力，能够有自己的设计思路理念，包括设计创意和后期跟进。4、协助完成公司日常基础简单的宣传视频拍摄剪辑工作任职要求：1、大专以上学历，平面设计兼文案，广告等相关专业优先；2、三年以上快消品或...,零售/批发,http://jobs.zhaopin.com/CCL1255364170J40539664904.htm,20-99人,2026-01-10 15:33:46
