职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
大模型数据工程师,郑州,八六三软件,本科,5-10年,"数据治理,数据架构,数据挖掘",3-5万,熟悉各类型数据特点，掌握数据分析与处理技术（SQL、Spark、Flink等）；熟悉图像、文本、结构化数据的清洗与ETL流程；掌握数据质量管理、数据探索分析和版本控制工具；掌握异构数据融合、格式标准化、标签处理等技术；了解数据安全、脱敏、权限控制机制；具备5年以上相关工作经验，主持过AI数据治理、数据平台或复杂多模态数据处理项目；持有大数据工程、云计算或数据安全相关认证者优先。,计算机软件,http://jobs.zhaopin.com/CC621497980J40818935509.htm,500-999人,2025-12-20 01:26:26
数据挖掘工程师,郑州,牧原股份,本科,3-5年,SQL Server,1.5-3万,岗位职责：1、构建全面的能反映服务业务线发展健康度的关键指标体系，并基于指标体系，及时发现与定位业务问题；2、通过专题分析，对关键业务问题进行深入分析，为集团管理者提供业务决策支持；3、针对集团层面跨业务场景，联动多方资源进行专题分析，站在集团角度提供决策依据；4、沉淀分析思路与框架，提炼数据产品需求，与相关团队协作并推动数据产品落地。任职要求：1、本科及以上学历，计算机科学、统计学、数学、机器学...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40502312911.htm,10000人以上,2026-01-09 01:28:57
数据中心技术负责人,郑州,华为技术有限公司,本科,5-10年,,面议,1.负责数据中心项目整体技术管理，主导暖通/配电/弱电等专业方案设计、交付实施及验收工作。2.制定数据中心基础设施（电力、空调、消防等）的技术标准、施工规范及运维优化方案。3.协调项目全周期管理，包括需求沟通、技术方案输出、风险控制及跨团队协作。4.跟踪前沿技术趋势，推动数据中心新技术、工艺及工具链的落地应用。,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40835017514.htm,10000人以上,2026-01-05 16:52:49
对日数据开发(Datastage/Powercenter/BI),郑州,杭州优灿科技有限公司,学历不限,经验不限,"数据治理,ETL,数据库开发,Sql,Python,Shell,Flink,Hadoop,Storm,日语,对日,N1",1.3-2.5万,1.3 年以上大数据开发经验，有Datastage/Powercenter相关开发经验 2.擅长编写复杂的SQL查询，进行数据分析 3.熟悉常见的数据库如Oracle、SQL Server、My SQL等 4.日语N2及以上，口语可日常沟通，有对日项目经验优先 5.具备较强的责任心，对新技术敏感，有良好的沟通能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40852194913.htm,500-999人,2026-01-09 01:37:26
大数据开发工程师,郑州,牧原股份,本科,5-10年,"数据架构,ETL,数据仓库,Sql,Scala,Java,Hadoop,Kafka",2-3万,【岗位职责】1、大数据平台构建与智能升级：基于 Dataworks 搭建分布式数据平台，负责数据集成、任务调度及全流程开发，保障高效运行。结合 AI 技术优化架构，引入智能调度算法提升资源利用率，推动平台向智能化演进，支撑业务数据需求。；2、数据架构设计与 AI 融合应用：主导数据架构规划，制定存储、处理及流通方案，确保与业务契合。运用 AI 技术优化数据建模，通过机器学习算法提升 ETL 效率与...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40779617911.htm,10000人以上,2025-09-04 15:10:51
数据与合规技术支撑服务(专家级),郑州,北京昆达天合科技有限公司,本科,5-10年,数据治理,1.8-2.5万,"岗位要求：熟悉各类结构化与非结构化数据，包括文本、图像、语音、传感器数据等:熟悉数据标准化、数据建模、数据治理相关技术与规范;堂握数据权限控制、加密脱敏、访问审计等安通能力。术;热悉主流数据保护法规(如 GDPR、[SO/IEC 27001等)及相关行业标准具备跨部门沟通能力,能在数据安全与系统设计中发挥桥梁作用。岗位职责：指导项目在数据采集、存储、处理、使用等环节的合规流程建设;审核数据使用方案...",电子商务,http://jobs.zhaopin.com/CCL1408189180J40850839013.htm,20-99人,2025-12-23 01:39:53
数据开发工程师,郑州,软语科技,本科,3-5年,"数据中台开发,Sql,Java,同时具备离线+实时开发能力",1.2-2.2万,岗位职责：1、参与项目需求分析、根据需求设计文档、准确且高质量完成代码编写及技术文档编写:2、按照项目计划，完成开发任务，确保项目进度和质量；3、构建项目指标体系，并基于指标体系，及时发现与定位业务问题；4、设计数据质量监控规则，协同业务部门提升数据准确性及完整性；5、参与数据中台的开发、建设流程和规范设计，包括：数据建模，数据管理规范设计，ETL流程优化等；6、协调业务与技术团队，推动数据标准与...,计算机软件,http://jobs.zhaopin.com/CC404924910J40866750712.htm,100-299人,2026-01-09 01:34:31
高级大数据开发工程师,郑州,牧原股份,本科,5-10年,"数据架构,Java",1.8-2.5万,【岗位职责】1、大数据平台构建与智能升级：基于 Dataworks 搭建分布式数据平台，负责数据集成、任务调度及全流程开发，保障高效运行。结合 AI 技术优化架构，引入智能调度算法提升资源利用率，推动平台向智能化演进，支撑业务数据需求。；2、数据架构设计与 AI 融合应用：主导数据架构规划，制定存储、处理及流通方案，确保与业务契合。运用 AI 技术优化数据建模，通过机器学习算法提升 ETL 效率与...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40774258511.htm,10000人以上,2025-11-28 11:42:16
【高薪急聘】高级大数据开发师（15k-20k+月休 6 天 + 六险）,郑州,吉客拓客(郑州)数字科技有限公司,本科,5-10年,"大数据开发,数据库开发,数据建模,主数据,架构设计,跨境电商",1.5-2万,岗位职责：1. 负责大数据系统架构方案设计(包括应用架构，技术架构，物理架构，数据架构)和评审，性能调优，资源规划；2. 负责大数据项目实施流程标准化及相关文档输出；3. 持续挑战新的技术方向，攻克大数据量，高并发，高稳定性，易用性等各种技术难点；4. 主导数据治理及管理工作，包括设计数据模型、定义数据标准、构建数据管理体系（元数据、主数据、数据质量等）等；5. 主导负责AI、IoT、大数据领域创...,电子商务,http://jobs.zhaopin.com/CCL1437538090J40825365702.htm,100-299人,2026-01-10 01:03:08
大厂数据开发工程师,郑州,软语科技,本科,3-5年,"数据建模,Flink,数据中台,MySQL",1.1-2.2万·13薪,必要需求：同时具备离线+实时开发能力岗位职责：1、参与项目需求分析、根据需求设计文档、准确且高质量完成代码编写及技术文档编写: 2、按照项目计划，完成开发任务，确保项目进度和质量； 3、构建项目指标体系，并基于指标体系，及时发现与定位业务问题；4、设计数据质量监控规则，协同业务部门提升数据准确性及完整性； 5、参与数据中台的开发、建设流程和规范设计，包括：数据建模，数据管理规范设计，ETL流程优化...,计算机软件,http://jobs.zhaopin.com/CC404924910J40866701812.htm,100-299人,2026-01-08 01:33:24
