职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
前端开发工程师 (J12384),郑州,蜜雪冰城股份有限公司,本科,3-5年,"CSS,JavaScript,HTML5,Vue,uni-app,Flutter,Node.js",1.5-2.5万,岗位职责:1.负责海外供应链相关系统的持续建设和前端开发，对产出的质量和效率负责；2.与产品经理、后端研发及测试密切合作，协调各方需求，确保前端与后端的无缝对接和整体体验；3.积极推动团队内技术架构、产品体验、稳定性等各维度的升级迭代；任职要求:1.计算机、软件工程等相关专业，3年以上前端开发经验；2.熟悉App混合开发模式，对H5、Android/iOS系统、后台服务之间的数据交互有较深入的理解...,快速消费品,http://jobs.zhaopin.com/CC407014910J40633113606.htm,1000-9999人,2026-01-12 09:18:46
前端开发工程师,郑州,牧原股份,本科,3-5年,"大屏/可视化项目,ERP项目,Vue",1.5-2.5万,【岗位职责】1、核心项目攻坚：主导公司核心业务系统的前端架构设计与开发，负责复杂交互逻辑、高性能页面及前沿技术的落地实践，确保项目高效稳定运行，提升用户体验；2、技术优化升级：深入分析现有前端系统，针对性能瓶颈、兼容性等问题进行优化，推动前端技术栈升级，引入如 React 18、Vue 3、Webpack 5 等先进技术，提高开发效率与代码质量；3、技术规范制定：制定前端开发规范、代码审查标准及最...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40786562311.htm,10000人以上,2025-09-18 11:55:10
40%提成+4000底薪+只邀约不销售+前端客服,郑州,河南玖橡咨询服务有限公司,学历不限,经验不限,"销售,电话销售",1.2-2.4万,薪资待遇1．底薪40002．高提成10%~40%3．社保＋带薪休假＋带薪旅游4．下午茶＋生日会＋节假日礼品工作时间9:00~12:00 14:00~18:30 单双休，法定假日全休岗位职责:1.负责邀约客户，提供专业的金融服务咨询2.通过电话和网络平台与客户进行有效沟通3.为客户提供个性化的金融产品推荐和解决方案任职要求:1.具备良好的沟通技巧和客户服务意识2.能够熟练使用办公软件和网络通讯工具3...,企业服务,http://jobs.zhaopin.com/CCL1470549300J40682077005.htm,100-299人,2025-11-05 11:42:44
后端开发工程师/前端开发工程师,郑州,河南琅恒企业管理咨询有限公司,本科,5-10年,"Spring,NoSQL",1.2-2.3万,岗位职责：1. 负责公司智能制造软件产品的后端服务架构设计、核心模块开发与性能优化；2. 负责业务微服务的开发，确保系统的高可用、高并发及数据安全性；3. 设计与实现高效的数据库结构及数据交互接口，为前端和算法服务提供稳定、可靠的API支持；4. 负责与IOT开发工程师、算法工程师协作，完成设备数据接入、AI模型服务集成与部署；5. 按时完成上级领导交办的其他工作任务。岗位要求：1. 本科及以上学...,人力资源服务,http://jobs.zhaopin.com/CCL1411184110J40780620416.htm,20人以下,2025-12-12 17:36:46
前端开发工程师,郑州,中电金信软件有限公司,本科,3-5年,"Vue,React",1.1-2.1万,1、本科及以上学历，具备至少3年以上的前端项目开发经验2、扎实的前端基础知识：HTML/CSS/DOM/JavaScript/TypeScrip，以及HTML5/CSS3等相关开发技术；3、熟练使用前端开发框架React/Vue等，至少熟练掌握其中一种框架，其核心原理及生态周边；4、熟练使用前端主流构建工具webpack/vite/rollup等，了解其主要运行过程及原理；有构建、部署、上线经验。...,计算机软件,http://jobs.zhaopin.com/CC443657520J40737707909.htm,10000人以上,2026-01-09 15:37:57
前端开发工程师（七险一金+餐厅）,郑州,软语科技,本科,5-10年,"TypeScript,Vue,VUE3,CSS,JavaScript,VITE",1-2万,岗位职责：1、负责前端业务的开发及性能优化，保障高质量的用户体验。2、负责与产品、设计、后端深度协作，制定合理的前端技术解决方案。3、负责产品的开发需求及维护，解决产品线的前端问题。4、负责设计及开发核心模块功能。5、参与技术攻关，解决技术问题，有足够的钻研精神和出色的学习能力。任职要求：1、对前端工程化及性能优化有一定的实践。2、精通HTML5/CSS3/JavaScript(Es6+)。3、熟...,计算机软件,http://jobs.zhaopin.com/CC404924910J40866602812.htm,100-299人,2026-01-06 16:58:39
web前端开发工程师（GIS方向）,郑州,紫光天际(南京)科技有限公司,本科,5-10年,"WebGIS开发,三维GIS开发",1.2-2万,岗位职责1. 根据工作安排高效高质量完成代码编写，确保符合前端代码规范2. 负责前端项目开发工作，对前端页面性能、体验、交互进行优化3. 与团队成员合作，确保代码质量和项目进度4. 持续关注前端领域的最新技术动态，探索新技术在项目中的应用，推动前端技术的创新和升级5. 负责二维/三维地图应用的前端开发，集成主流GIS框架（如Leaflet、OpenLayers、Cesium等），实现地图加载、标注...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1512250410J40830058110.htm,100-299人,2025-12-25 11:13:51
前端开发工程师,郑州,郑州科瑞思拓软件科技有限公司,本科,10年以上,"JavaScript,HTML5,TypeScript,Vue,React",1.5-2万,岗位要求:1、计算机相关专业，5年以上Web前端开发与产品架构经验;2、精通 HTML、JavaScript、CSS、Node.js、TypeScript 等Web前端基本开发技术，熟悉Web App 架构和布局;3、熟练使用React、Vue主流前端框架技术，能独立完成app打包上架等相关工作;4、深入了解微前端和组件化开发相关知识，能熟练应用至少1种微前端开发框架，且具备微前端和组件化的开发经...,计算机软件,http://jobs.zhaopin.com/CC393603820J40851267303.htm,100-299人,2025-12-23 14:04:46
前端开发工程师,郑州,中钢集团郑州金属制品研究院股份有限公司,本科,3-5年,"TypeScript,Vue,CSS,HTML5,ElementUI,JavaScript",1-2万,"任职要求： （1）本科及以上学历，计算机相关专业优先； （2）精通JS、CSS、typescript、html5等语言； （3）熟练使用Vue,对常见elementui、antdesign等开源框架应用熟练； （4）熟练使用PS等设计软件； （5）热爱前端编程，有较多自定义组件经验； （6）有较复杂页面设计经验者优先。",学术/科研,http://jobs.zhaopin.com/CC356177410J40298579401.htm,500-999人,2025-12-23 00:17:54
中级web前端工程师,郑州,万睿新能源科技(鄂尔多斯)有限公司,大专,3-5年,"JavaScript,HTML5,React,jQuery,Canvas,微电网,大屏/可视化项目,web前端,小程序开发",1.2-2万,岗位职责：1、进行产品的交互需求分析；2、进行外观设计，包括用户界面设计和用户交互设计，根据产品原型进行页面开发；3、根据项目需求以及页面设计，分析产品界面及功能，搭建高维护性的前端架构；4、负责前端页面开发；5、负责动画效果、交互效果的实现；6、对页面代码进行优化，保证代码的浏览器兼容性； 任职要求：1、大专及以上学历，3年以上前端开发经验；2.精通HTML5/CSS3，JavaScript，A...,专用设备制造,http://jobs.zhaopin.com/CCL1500553750J40818712209.htm,20人以下,2025-12-11 17:47:28
