职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
【智能图书】新媒体运营负责人,郑州,作业帮,本科,3-5年,"短视频平台,快手,抖音,教育类,母婴类,短视频运营,直播运营,电商运营",4-6万,异地招聘：江西省南昌市青山湖区 【岗位职责】直播体系搭建策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；优化直播流量获取与转化路径，提升GMV及用户留存率。 短视频内容战略 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量； 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。 达人团队管理 负责达人招募、签约、孵化及KPI考核，建立分层管理机制； 整合达人资源与品牌...,互联网,http://jobs.zhaopin.com/CC287198080J40784192814.htm,10000人以上,2025-09-10 00:09:42
资深投手/直播运营,郑州,郑州一墨文化传播有限公司,本科,5-10年,"抖音,快手,小红书,电商类",3-4万,【岗位职责】1.0-1起盘策略制定：基于新直播间/新品牌的目标（如首月GMV、ROI底线），设计从冷启动到稳定期的全周期投放策略（包括人群包搭建、素材方向、预算分配、投放节奏），输出可落地的SOP；2.投放执行与优化：熟练操作巨量引擎、磁力引擎、千川等主流投放工具，负责短视频引流、直播间实时加热、商品卡投放等多场景投放，动态调整出价、定向、创意，提升点击率、转化率及GPM（千次观看成交额）；3.数...,快速消费品,http://jobs.zhaopin.com/CC597729720J40819881501.htm,20-99人,2026-01-10 14:51:33
新媒体运营负责人（总监）,郑州,郑州市龙丰农业机械装备制造有限公司,本科,3-5年,"新媒体运营,直播运营,电商运营,toB,toC",2-4万,基础职责 最重要：这个岗位需要拿到什么结果/到什么程度(输出 ) 1. 2025 年实现线上销售额占总销售额 50%，GMV1.5亿元，2027 年线上销售额占总销售额 100%，3-5亿元。2. 有效提升郑州龙丰品牌知名度和美誉度，扩大品牌影响力，品牌曝光次数达到3000万以上，互动率8%以上，销售线索留资15000条以上，线索转化率25%以上，垂直领域粉丝整张率25%以上。3. 建立并完善高效...,电气机械/电力设备,http://jobs.zhaopin.com/CC542378120J40728757310.htm,20-99人,2025-11-25 09:58:05
新媒体营销负责人—（智能图书、管幅30+）,郑州,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585714.htm,10000人以上,2025-09-10 00:02:43
线上运营总监,郑州,郑州傅家俊体育有限公司,本科,3-5年,"数据运营,新媒体运营,商家运营",2-4万,岗位职责：1.制定并执行学院的年度线上运营战略，涵盖品牌推广、用户增长、内容生态及商业化变现。2.负责学院官方网站、小程序、社交媒体矩阵（如微信、微博、抖音等）的整体规划与运营管理。3.主导策划高品质、专业且富有吸引力的线上内容，包括但不限教学视频、赛事点评、球星访谈、幕后花絮、精品课程等。4.建立标准化的内容生产、审核与分发流程，确保内容输出的专业性、一致性和高频次。通过线上活动、付费广告、渠道...,体育,http://jobs.zhaopin.com/CCL1492296160J40899784808.htm,100-299人,2025-11-12 11:35:57
抖音运营,郑州,河南冬时数码科技有限公司,大专,1-3年,抖音,2-4万,抖音运营（社保、高薪）团队和谐，零内耗，能力强与收入成绝对正比，不拖欠工资！公司销售青少年期刊杂志，青少年教育产品，选品皆为类目中的爆品，自带流量，覆盖主流销售平台天猫、抖音、京东等，期待您的加入！【职位优势介绍】1、运营薪资20-40K（本范围为旺季实际数据统计），年龄20-30岁，特别优秀者不限经验；2、旺季时间长，9月份期刊杂志旺季开始，直至次年的5月；3、期刊杂志客单高，人群消费能力强；4...,电子商务,http://jobs.zhaopin.com/CCL1487572260J40962613604.htm,20-99人,2025-11-07 10:01:50
直播运营总监,郑州,润氏电子科技(信阳)有限公司,大专,1-3年,"抖音,电商类,家电",3-4万,【核心职责】1. 制定店铺/账号整体运营策略，推动落地并对GMV、ROI等核心结果负责。 2. 主导直播账号从0-1冷启动及日常运维，优化账号健康度。 3. 负责千川广告策略搭建、计划优化及效果监控，精通商品卡优化。 4. 建立以付费流量为核心的直播模型，提升流量获取效率。 5. 制定短视频内容策略，具备爆款复制能力，实时对标竞品调整优化。 6. 基于直播、投放、商品数据，迭代运营策略，确保目标达...,互联网,http://jobs.zhaopin.com/CC308048130J40727243716.htm,300-499人,2025-06-27 18:24:29
内容经理,郑州,泉州市嘉信才略投资有限公司,大专,3-5年,"抖音,短视频脚本撰写,分析内容数据表现",2-3.5万,岗位职责1、 搭建抖音内容体系，制定短视频、种草内容的选题规划与SOP，确保内容产出效率与质量，实现品牌声量与转化双增长；2、 独立完成短视频脚本撰写、拍摄指导、剪辑包装及视觉素材设计，打造符合品牌调性的内容矩阵；3、 策划并执行种草活动，筛选适配达人/KOC资源，跟进合作全流程，监控内容传播数据；4、 分析内容数据表现，迭代优化选题、视觉呈现与种草策略，提升内容转化率与用户复购意愿；5、 收集行...,人力资源服务,http://jobs.zhaopin.com/CC700772380J40978884204.htm,20-99人,2026-01-08 10:40:54
抖音运营（20K-40K）,郑州,河南冬时数码科技有限公司,大专,3-5年,"短视频平台,抖音,教育类",2-4万,团队和谐，零内耗，能力强与收入成绝对正比，不拖欠工资！公司销售青少年期刊杂志，青少年教育产品，选品皆为类目中的爆品，自带流量，覆盖主流销售平台天猫、抖音、京东等，期待您的加入！【职位优势介绍】1、运营薪资20-40K（本范围为旺季实际数据统计），年龄20-30岁，特别优秀者不限经验；2、旺季时间长，9月份期刊杂志旺季开始，直至次年的5月；3、期刊杂志客单高，人群消费能力强；4、类目符合国家教育政策...,电子商务,http://jobs.zhaopin.com/CCL1487572260J40962714004.htm,20-99人,2025-10-30 14:12:30
海外视频运营,郑州,郑州日新阅益文化传播有限公司,本科,3-5年,"视频类,YOUTUBE,海外短剧内容运营",2-3.5万,岗位描述：1.掌握Youtube常用创作形式（图文/语音解说/幽默口播/剪辑二创等），紧跟海外内容趋势；2.负责Youtube 账号的日常短剧内容发布与运营，选题、脚本、剪辑全流程介入，视频的观看量等相关核心指标与数据；3.独立剪辑、撰写相关文案（有相关经验的优先考虑）；4.熟悉收益模式，广告、短剧市场、营销等；5.定期复盘数据，优化内容节奏、脚本钩子与标签策略。6.结合垂类特性，快速制作优质短视...,广播/影视,http://jobs.zhaopin.com/CC469489030J40793158401.htm,1000-9999人,2025-09-27 13:51:26
