职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
【智能图书】新媒体运营负责人,郑州,作业帮,本科,3-5年,"短视频平台,快手,抖音,教育类,母婴类,短视频运营,直播运营,电商运营",4-6万,异地招聘：江西省南昌市青山湖区 【岗位职责】直播体系搭建策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；优化直播流量获取与转化路径，提升GMV及用户留存率。 短视频内容战略 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量； 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。 达人团队管理 负责达人招募、签约、孵化及KPI考核，建立分层管理机制； 整合达人资源与品牌...,互联网,http://jobs.zhaopin.com/CC287198080J40784192814.htm,10000人以上,2025-09-10 00:09:42
运营产品BP,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,,3-5万,工作内容：1、结合行业趋势，挖掘运营及业务痛点，通过和信息部门的高效协作，明确信息化产品的规划方向，提高运营的整体运作效率；2、产品管理：站在公司战略角度，结合行业趋势，根据公司实际运营情况协同运营及技术部门，制定出短期、长期业务产品规划，解决运营过程中的痛点和难点；3、业务支持：参与运营部门的日常管理活动，深入了解运营现状，通过信息化产品赋能业务，为业务部门提供持续稳定的产品支撑；4、沟通协作：...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40772038614.htm,500-999人,2026-01-04 16:12:07
亚马逊vc运营经理,郑州,郑州迪云网络科技有限公司,本科,5-10年,"toB,toC,电商运营,亚马逊,VC",3-5万·14薪,岗位职责：1、制定亚马逊及多平台营销、推广方案，包含美国vc及欧洲sc等，指导团队成员的运营工作，带领团队完成销售目标，并保证账号的安全健康；2、规范现有运营体系，优化运营流程、分工，优化工作和协作效率；3、跟踪评估运营效果，分析销售数据和库存数据，结合市调和历史数据预估未来销量，制定销售策略和备货计划（FBA和海外仓），保持健康的库存周转；4、深入研究平台政策及功能，了解行业最新信息及先进的运营...,电子商务,http://jobs.zhaopin.com/CC849379720J40865776503.htm,100-299人,2025-12-24 12:27:00
新媒体营销负责人—（智能图书、管幅30+）,郑州,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585714.htm,10000人以上,2025-09-10 00:02:43
游戏工作室合伙人,郑州,廊坊市娄辉科技有限公司,学历不限,经验不限,,2.3-4.5万,游戏行业搬砖有创业想法，有执行力，有干劲 需求场 地电脑可以 科技搬砖不需要人工 公司自营五百多台电脑 全国合作工作室三百多家 欢迎来公司考察 稳定，需要时间 辛苦活 但是耗人 看利润可观每月3W-5W,电子商务,http://jobs.zhaopin.com/CCL1501835950J40818842911.htm,100-299人,2026-01-05 14:17:03
游戏/影视特效高端讲师,郑州,河南港泰重工科技有限公司,学历不限,5-10年,"UE4特效,角色特效,场景特效,光影特效,粒子特效,流体特效,动画特效,影视特效,建筑特效",2.5-4万,岗位职责1. 负责Niagara粒子特效、Unity Shader、实时渲染特效等课程教学，覆盖游戏技能特效、影视爆炸/流体特效等内容。2. 指导学员完成商业级特效项目实训，讲解特效分层渲染、合成技巧与引擎性能优化方法。3. 参与教研，融入AIGC辅助特效制作工具（如Runway、ComfyUI）的应用，升级课程体系。4. 提供学员作品集指导与求职建议，助力学员入职游戏/影视特效岗位。任职要求1....,电气机械/电力设备,http://jobs.zhaopin.com/CCL1486776930J40907762708.htm,100-299人,2026-01-09 01:21:35
抖音运营（20K-40K）,郑州,河南冬时数码科技有限公司,大专,3-5年,"短视频平台,抖音,教育类",2-4万,团队和谐，零内耗，能力强与收入成绝对正比，不拖欠工资！公司销售青少年期刊杂志，青少年教育产品，选品皆为类目中的爆品，自带流量，覆盖主流销售平台天猫、抖音、京东等，期待您的加入！【职位优势介绍】1、运营薪资20-40K（本范围为旺季实际数据统计），年龄20-30岁，特别优秀者不限经验；2、旺季时间长，9月份期刊杂志旺季开始，直至次年的5月；3、期刊杂志客单高，人群消费能力强；4、类目符合国家教育政策...,电子商务,http://jobs.zhaopin.com/CCL1487572260J40962714004.htm,20-99人,2025-10-30 14:12:30
游戏工作室合伙人,郑州,廊坊市娄辉科技有限公司,学历不限,经验不限,,2.3-4.5万,游戏行业搬砖有创业想法，有执行力，有干劲 需求场 地电脑可以 科技搬砖不需要人工 公司自营五百多台电脑 全国合作工作室三百多家 欢迎来公司考察 稳定，需要时间 辛苦活 但是耗人 看利润可观每月3W-5W,电子商务,http://jobs.zhaopin.com/CCL1501835950J40818842211.htm,100-299人,2026-01-05 14:16:08
temu运营组长/主管无责任底薪10000-15000+提成,郑州,郑州高汇文化传媒有限公司,大专,3-5年,,2-4万,岗位职责1、负责temu团队的业务建设、管理及运营工作；2、承接公司业绩目标并落地实现公司业绩目标；3、熟悉平台规则并规避风险，避免罚款；4、跨部门合作，提供开品需求及备货需求等。任职要求1、大专以上学历，有3年以上temu运营经验及6个月以上团队管理经验；2、具有一定的选品能力，电动工具类目优先；3、具有较强的数据分析和逻辑能力；4、认真负责、有良好的执行力、责任心。 福利待遇： 1、发展晋升：...,电子商务,http://jobs.zhaopin.com/CCL1470734070J40800638014.htm,100-299人,2025-10-13 00:11:42
内容经理,郑州,泉州市嘉信才略投资有限公司,大专,3-5年,"抖音,短视频脚本撰写,分析内容数据表现",2-3.5万,岗位职责1、 搭建抖音内容体系，制定短视频、种草内容的选题规划与SOP，确保内容产出效率与质量，实现品牌声量与转化双增长；2、 独立完成短视频脚本撰写、拍摄指导、剪辑包装及视觉素材设计，打造符合品牌调性的内容矩阵；3、 策划并执行种草活动，筛选适配达人/KOC资源，跟进合作全流程，监控内容传播数据；4、 分析内容数据表现，迭代优化选题、视觉呈现与种草策略，提升内容转化率与用户复购意愿；5、 收集行...,人力资源服务,http://jobs.zhaopin.com/CC700772380J40978884204.htm,20-99人,2026-01-08 10:40:54
