职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级硬件产品经理（小家电）,郑州,河南聚量信息技术有限公司,本科,3-5年,"其他小语种,智能硬件产品,需求分析,使用场景分析,产品/版本迭代,产品线规划,有相关整机小家电开发经验",2.5-5万,职责描述：1.负责开发生活小家电品类产品，包括产品的定位，规划，设计和项目执行等相关工作；2.负责深入理解公司业务和发展方向，进行产品的深度市场调研以了解用户的需求和痛点，对用户进行精准画像及需求分析，掌握产品趋势和设计趋势，规划产品的定位.核心功能，并形成产品需求等；3.负责与公司相关团队（ID.结构.工艺.研发.市场.销售等）沟通协作，推动小家电产品选型.定义.实现，沟通并解决研发生产中可能产...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40887242704.htm,1000-9999人,2026-01-05 01:08:08
高级硬件工程师,郑州,郑州万特电气股份有限公司,本科,5-10年,"嵌入式硬件开发,单片机开发,PCB设计,电路设计,单板开发,电气设计,CAN,仪器仪表",2-4万·13薪,任职资格： 1、本科及以上学历，电子技术、自动化、电力电气等相关专业，5年以上电子、仪器仪表、电力等相关行业电路设计、仪器仪表开发的工作经验； 2、熟练操作CAD、Office、Excel等软件，完成设计文件的编制与整理； 3、有扎实的专业理论基础 ①精通模拟电子和电路分析，熟悉常用的模拟或数字IC及电路设计； ②熟练掌握STM32等系列单片机的使用，具有一定的编程基础； ③熟悉AD转换、CAN、...,仪器仪表制造,http://jobs.zhaopin.com/CC142539960J40380668811.htm,300-499人,2025-12-09 09:31:45
硬件工程师,郑州,深圳中弘时代智能装备科技有限公司,本科,3-5年,"PCB设计,仪器仪表,电路设计,设计",1.8-3.5万,岗位职责:1、根据项目需求，编写设计说明，并完成相应的电路原理图和PCB设计，完成符合质量标准的硬件开发设计工作;2、负责产品硬件设计、开发、维护，以及硬件产品开发中元器件的选型;3、负责硬件调试、测试和电路验证;4、按照要求编写开发、测试文档，产品使用说明书等文档;5、解决产品开发、生产中出现的问题;6、有仪表产品设计经验者优先。任职要求:1、本科以上学历，电子、通信、自动化、仪器仪表等相关专业...,专用设备制造,http://jobs.zhaopin.com/CCL1484532240J40979460904.htm,20-99人,2026-01-11 13:25:20
{上市公司}高级硬件开发工程师,郑州,北京外企人力资源服务河南有限公司,本科,5-10年,设计,2-3.5万,岗位职责：1、按照硬件产品技术规格书或需求进行电子电路设计，确保交付的硬件产品稳定、可靠；2、负责硬件产品整体硬件方案设计、PCB原理图设计、layout布板等；3、从整机电气特性做完整设计及验证，确保产品在结构、EMC、功能等层面的一次成功率；4、编写硬件相关文档:如关键器件/电路验证报告、硬件详细设计、实验报告、验收报告等；5、跟踪产品原型机、样机、小批量等研发及实现过程中发生的技术问题，确保...,人力资源服务,http://jobs.zhaopin.com/CC329281210J40800600901.htm,100-299人,2025-10-27 10:54:44
堆垛机硬件开发工程师,郑州,青岛优锐企业管理咨询有限公司,本科,5-10年,,1.5-3万,岗位职责1、负责堆垛机硬件方案设计，包括原理图绘制及元器件选型。2、参与硬件样品测试、调试及量产问题整改，保障产品稳定性。3、配合软件团队完成硬件与软件的协同调试，输出技术文档。任职要求1、本科及以上学历。2、熟练使用硬件设计工具，精通数字 / 模拟电路设计，了解机械结构与工艺。3、有智能仓储物流同行业背景，具备堆垛机或自动化设备硬件开发经验者优先。4、严谨细致，具备较强的故障分析与技术攻坚能力。,人力资源服务,http://jobs.zhaopin.com/CC636075230J40819737011.htm,1000-9999人,2026-01-08 14:30:21
硬件开发工程师,郑州,一通(河南)信息科技有限公司,本科,3-5年,"智能玩具,物联网设备",1.5-3万·13薪,职位名称：硬件开发工程师（PCBA+ESP32方向）岗位职责：1. 负责PCBA全流程开发设计，包括原理图绘制、PCB布局布线，主导元器件选型、BOM编制与成本优化。2. 基于ESP32系列芯片进行硬件电路设计与优化，完成外设驱动及无线通信协议开发。3. 独立完成PCBA打样、手工焊接、功能调试，排查硬件故障，开展软硬件联调。4. 参与生产工艺评审，提供技术支持，解决量产过程中的技术难题。5. 编...,运营商/增值服务,http://jobs.zhaopin.com/CCL1445690250J40831925510.htm,20人以下,2026-01-06 14:47:01
汽车电子硬件工程师,郑州,河南天海电器有限公司,本科,5-10年,"嵌入式硬件研发,控制器,车灯,BCM,DCU,MCU,汽车电子,域控制器,SJB",2-3万,岗位职责： 1、负责汽车电子项目硬件设计、原理图设计，PCBlayout布局布线。 2、负责PCB板及其功能电路的计算分析、仿真和测试。 3、根据客户需求和汽车硬件要求(各大汽车厂商实验标准ISO26262/'V字形开发流程)，设计开发模块硬件。 4、设计和验证原理设计，并有能力对策EMC（电磁兼容性）。支持测试工程师编写DV测试（电子模块车规级认证测试）计划及测试方法。 5、负责硬件失效问题的分...,汽车研发/制造,http://jobs.zhaopin.com/CC450924520J40859599112.htm,10000人以上,2026-01-06 01:33:47
DC/DC AC/DC硬件电源研发工程师,郑州,河南琅恒企业管理咨询有限公司,本科,3-5年,"研发,电源设计,电源",2-3万,1.负责矿用电气产品的元器件选型，原理图、PCB板设计；2.负责产品硬件调试、技术问题排查解决及性能自测；3.编制产品硬件详细设计文档，完成产品的生产输出资料汇总与归档；4.按时完成上级领导交办的其他工作任务。1.本科及以上学历，电力电子类相关专业，具备3年以上开关电源实际研发、设计工作经验，能够独立承接专案开发设计任务；2.熟练掌握AC/DC和DC/DC等电源拓扑，尤其精通BOOST-BUCK双...,人力资源服务,http://jobs.zhaopin.com/CCL1411184110J40781767516.htm,20人以下,2026-01-01 01:44:37
产品经理/项目经理（硬件产品）-按摩、个护、助行器,郑州,河南寰中网络科技有限公司,本科,3-5年,,2-3万,大健康、个护、小家电、按摩、美容美发等电动设备及适老、助行等产品；职位描述：1：根据产品开发部门需求制定产品开发方案，分析产品前景，寻找具有畅销潜力产品，挖掘优质供应商，丰富产品线；2：对市场有敏锐洞察力，善于依据市场变化，对团队所开发产品价格、形态、供应链等及时做出优化和调整；3：审核新产品的成本和供应商，通过价格和质量的对比甄选出优质的产品供应商；4：负责产品开发流程，品牌打造流程，产品数据跟...,计算机软件,http://jobs.zhaopin.com/CC830809030J40819884209.htm,100-299人,2025-12-26 01:25:18
充电桩硬件工程师,郑州,金冠电气股份有限公司,本科,3-5年,"硬件研发,直流充电桩,交流充电桩",2-3万,1、负责交直流充电桩的硬件调试；2、负责欧标、美标充电导引接口硬件设计方案调试、测试；3、了解ARM嵌入式系统TCU板、GD的H7和M4系统CCU板、480KW全柔性功率分配矩阵SCU板、以太网、RFID、4G、CAN、RS485、RS422、RS232、USB、绝缘检测、TFT屏LVDS接口硬件方案，漏电流检测方案；4、单板调试、整机调试等。任职资格：1、电力电子及电气工程相关专业，统招本科及以...,电气机械/电力设备,http://jobs.zhaopin.com/CC253220110J40866565404.htm,300-499人,2025-12-25 01:08:15
