职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
模型部署工程师,郑州,辉煌科技,本科,3-5年,ASCEND,10-20万,技能要求：1、了解华为ascend开发框架，熟悉ACL开发库和CANN框架；2、精通OM模型移植和量化(INT8)，能够处理视频拉流、算法开发(检测模型前后处理)、模型移植过程中的各类问题；3、具备算子优化能力者优先；4、熟悉国产化平台移植及开发经验者优先；5、有独立的思考和解决问题能力。岗位职责：1、负责华为生态下的模型部署与落地。 入职即交五险一金签订劳动合同 职位福利：周末双休、五险一金、年...,通信/网络设备,http://jobs.zhaopin.com/CC138093480J40852654513.htm,500-999人,2025-12-30 15:12:05
高级算法专家,郑州,牧原股份,硕士,5-10年,"深度学习,Caffe,TensorFlow,PyTorch,图像算法,机器视觉",6-12万,一、岗位职责1、核心算法研发 【1】主导机器学习/深度学习算法在业务场景的端到端落地（如边缘端视觉检测系统落地、集团大模型应用等）。 【2】设计高鲁棒性算法，解决数据稀疏、噪声等实际问题。【3】探索前沿技术（如大模型、多模态融合等）并推动业务适配，平衡创新性与工程成本。2、业务落地 【1】基于集团业务流程，梳理AI重点工作及对应实施落地方案 【2】构建通用算法部署落地方案，包括但不限于算力方案、数...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40815351911.htm,10000人以上,2025-12-18 10:35:30
兼职-AI大模型的讲师,郑州,郑州马哥教育科技有限公司,大专,3-5年,"课程教授,人工智能AI,大模型应用场景使用,AI伦理与安全",3000元/天,技能要求：熟悉了解人工智能AI（特别是大模型）技术发展，核心概念，了解熟悉deepseek，大模型的主要应用场景（内容生成、智能客服、数据分析等），提示工程（Prompt Engineering），AI伦理与安全，模型压缩与部署优化，AI Agent,IT服务,http://jobs.zhaopin.com/CC518247480J40749950507.htm,100-299人,2026-01-01 01:16:08
大模型专家,郑州,彩讯科技股份有限公司,本科,5-10年,"自然语言处理,Python,Java,知识图谱,通信算法,大模型算法,多模态算法",3-5万,一、岗位职责 1. 前沿算法研究 跟踪AI前沿技术：数据合成、多模态模型、RL、Agent、Memory、Context Learning等前沿AI核心技术论文与开源项目； 将最新算法原理与业务场景结合，提出技术改进方案。 2. AI应用规划与实施 掌握大模型微调方法，包括但不限于SFT、RL，负责垂直领域大模型训练；结合B端业务场景，构建面向业务侧的Agent，Multi-Agent应用...,计算机软件,http://jobs.zhaopin.com/CC189085310J40812384413.htm,1000-9999人,2025-11-25 10:47:54
高级算法专家,郑州,牧原股份,硕士,5-10年,"深度学习,图像算法,大模型算法",3-6万,岗位职责：1、核心算法研发 【1】主导机器学习/深度学习算法在业务场景的端到端落地（如边缘端视觉检测系统落地、集团大模型应用等）。 【2】设计高鲁棒性算法，解决数据稀疏、噪声等实际问题。【3】探索前沿技术（如大模型、多模态融合等）并推动业务适配，平衡创新性与工程成本。 2、业务落地 【1】基于集团业务流程，梳理AI重点工作及对应实施落地方案 【2】构建通用算法部署落地方案，包括但不限于算力方案、数...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40808191411.htm,10000人以上,2025-11-30 00:08:01
声音算法工程师,郑州,武汉佰思特信息科技有限公司,硕士,3-5年,"语音处理,语音信号处理,声纹识别,语音降噪",2-4万·14薪,1、负责AI+农业各个场景中的动物声音识别分析算法的设计，开发和持续优化，包括但不限于降噪声源分离与增强、音频检测分类/麦克风阵列相关算法等;2、负责端上移植及性能优化，能够用量化、裁剪蒸馏等技术实现移动端模型的轻量化部署;3、针对产品落地应用中遇到各种bad case能够深入分析，持续迭代优化算法，提升用户使用体验，4、跟进音频AI领域的前沿技术结合实际应用场景，实现产品的业内领先。岗位要求：1...,计算机软件,http://jobs.zhaopin.com/CCL1393248930J40786421316.htm,1000-9999人,2026-01-11 01:42:52
定位算法LD,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"导航定位,导航算法,定位算法",3-4万,1、主导多源融合建图、定位框架设计与实现；2、开发室内外动态环境鲁棒定位算法（点云匹配/特征跟踪/后端优化）； 3、研究辅助定位等前沿技术任职要求1、本科及以上，7年及以上机器人/自动驾驶定位算法开发，有0到1开发及项目批量应用经验；2、精通C/C++、Python等编程语言，熟悉Linux、ROS等应用； 3、精通ICP、NDT、GICP、LOAM/LIO-SAM、Cartographer、FA...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40745548606.htm,20-99人,2026-01-08 01:17:13
后量子密码算法研发部经理,郑州,郑州中科集成电路与系统应用研究院,硕士,3-5年,FPGA、ASIC,2-4万,岗位职责： （一）团队管理与建设 负责后量子密码算法实现团队的组建、人才培养与梯队建设。 （二）技术研发与规划 1.主导后量子密码算法的工程化实现。 2.结合行业技术发展趋势与公司业务需求，制定后量子密码技术研发，推动技术成果转化为产品竞争力。 3.跟踪全球后量子密码标准化进展，为公司技术选型提供专业决策支持。 （三）项目管理与交付 负责后量子密码相关研发项目的全生命周期管理 （四）技术合作与行业...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1242924060J40834688712.htm,100-299人,2025-12-27 00:25:41
无线通信系统物理层算法研究员,郑州,嵩山实验室,博士,5-10年,无线通信,3-3.5万,岗位职责：1.负责开展电磁超材料设计与开发、面向6G通感场景抗干扰算法开发等相关学术研究及标准建设；2.负责指导团队基于理论研究成果取得关键技术突破。任职要求：1.博士学历，信息与通信工程、电子科学技术等相关专业；2.近5年以第一作者/通信作者身份在国际知名期刊或会议发表过高水平论文；3.负责或参与过国家自然科学基金、地方基金项目者优先；4.具有基于AI的无线通信系统物理层算法开发相关工作经历者优...,网络/信息安全,http://jobs.zhaopin.com/CCL1390391680J40740556907.htm,100-299人,2025-12-15 09:24:07
AI工程师,郑州,郑州众智科技股份有限公司,博士,1-3年,"深度学习,强化学习 ,多模态算法,ALIGN,PyTorch,Python,C++,C#",2-3.5万·13薪,岗位职责：1.负责工业领域AI算法的设计、实现与落地，基于TensorFlow、PyTorch等深度学习框架进行模型训练与优化；2.负责LLM架构相关工作，包括PE工程、AI Agent、LangChain、RAG、Text2SQL等技术的应用落地与优化；3.承担数据处理与分析工作，包括数据清洗、特征提取等预处理环节，并挖掘数据中的有价值信息；4.使用QT编程语言进行特定任务开发；5.负责AI应用...,电子设备制造,http://jobs.zhaopin.com/CC142437630J40755924905.htm,300-499人,2025-03-22 17:01:18
