职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级机械工程师,郑州,牧原股份,本科,5-10年,"研发,设计,结构设计,非标设备,自动化设备,液压工艺",3-5万,岗位职责： 1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发; 2、负责项目产品可行性调研，主导方案系统设计，统筹规划、重大问题决策、产品部署落地； 3、主导产品设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量； 4、主导产品整体系统化建设，搭建公司智能机械设计通用平台； 5、解决产品开发中的问题，并进行问题追踪，解决方案落实； 6、主导编...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820302711.htm,10000人以上,2026-01-12 10:24:08
高级光学结构设计工程师,郑州,汉威科技集团股份有限公司,硕士,5-10年,,2-4万,岗位职责1、负责光学系统设计；2、重点解决长光程光学腔体、遥测光路等系统的性能提升与工艺一致性问题，减少光干扰，保障产品光学性能稳定性。任职要求1、熟练使用 ZMAX、TracePro（光学设计）、CAD、Creo、SolidWorks（结构设计）等软件；2、掌握光学材料特性与镀膜工艺；3、擅长光学系统研发，具备光学镜头系统开发经验，尤其有非球面光学系统、多反气室光学系统开发实践；4、能解决光学系...,物联网,http://jobs.zhaopin.com/CC137078130J40736020806.htm,1000-9999人,2025-12-28 01:16:04
高级硬件工程师,郑州,郑州万特电气股份有限公司,本科,5-10年,"嵌入式硬件开发,单片机开发,PCB设计,电路设计,单板开发,电气设计,CAN,仪器仪表",2-4万·13薪,任职资格： 1、本科及以上学历，电子技术、自动化、电力电气等相关专业，5年以上电子、仪器仪表、电力等相关行业电路设计、仪器仪表开发的工作经验； 2、熟练操作CAD、Office、Excel等软件，完成设计文件的编制与整理； 3、有扎实的专业理论基础 ①精通模拟电子和电路分析，熟悉常用的模拟或数字IC及电路设计； ②熟练掌握STM32等系列单片机的使用，具有一定的编程基础； ③熟悉AD转换、CAN、...,仪器仪表制造,http://jobs.zhaopin.com/CC142539960J40380668811.htm,300-499人,2025-12-09 09:31:45
高级机械设计工程师,郑州,牧原股份,本科,5-10年,,3-5万,岗位职责： 1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发;2、负责项目产品可行性调研，主导方案系统设计，统筹规划、重大问题决策、产品部署落地； 3、主导产品设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量； 4、主导产品整体系统化建设，搭建公司智能机械设计通用平台； 5、解决产品开发中的问题，并进行问题追踪，解决方案落实； 6、主导编写...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820303211.htm,10000人以上,2026-01-12 10:22:11
硬件工程师,郑州,深圳中弘时代智能装备科技有限公司,本科,3-5年,"PCB设计,仪器仪表,电路设计,设计",1.8-3.5万,岗位职责:1、根据项目需求，编写设计说明，并完成相应的电路原理图和PCB设计，完成符合质量标准的硬件开发设计工作;2、负责产品硬件设计、开发、维护，以及硬件产品开发中元器件的选型;3、负责硬件调试、测试和电路验证;4、按照要求编写开发、测试文档，产品使用说明书等文档;5、解决产品开发、生产中出现的问题;6、有仪表产品设计经验者优先。任职要求:1、本科以上学历，电子、通信、自动化、仪器仪表等相关专业...,专用设备制造,http://jobs.zhaopin.com/CCL1484532240J40979460904.htm,20-99人,2026-01-11 13:25:20
水泥设计工程师（驻外）,郑州,河南上升联国际贸易有限公司,本科,3-5年,设计院,2.5-3.5万,此岗位需要外派到非洲津巴布韦工作，不符合者勿扰！岗位描述：1、主要负责工艺审图、工艺方案设计与规划，绘制符合国际工程标准的工艺流程图（PFD）、管道及仪表流程图（P&ID）、工艺布置图，明确物料流向与自控逻辑，确保设计方案满足津巴布韦环保、安全相关法规要求；2、设备与土建协同设计，常驻津巴布韦项目现场，负责施工阶段的技术交底，指导当地施工团队按设计图纸开展设备安装、工艺管路铺设等工作，及时解决施工...,贸易/进出口,http://jobs.zhaopin.com/CCL1200565480J40834059505.htm,20-99人,2025-12-19 15:41:43
机械工程师,郑州,牧原股份,本科,无经验,研发,2.5-4万,岗位职责：1、技术合作与价值评估：负责屠宰智能化相关项目（包括机器人设计、自动化设备应用等）的自主研发、技术引进和对外合作；并对市场、工艺、生产等需求进行评估，明确需求价值及投资成本；2、需求分析与设计：根据需求进行可行性分析及验证，结合精益生产，制定整体自动化方案。并对方案制定测试方案、测试计划及目标，对测试过程进行分析，把控项目整体成本及风险；3、设备研发与测试：测试方案设计、整机机构设计、整...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40819332411.htm,10000人以上,2026-01-06 21:18:20
{上市公司}高级硬件开发工程师,郑州,北京外企人力资源服务河南有限公司,本科,5-10年,设计,2-3.5万,岗位职责：1、按照硬件产品技术规格书或需求进行电子电路设计，确保交付的硬件产品稳定、可靠；2、负责硬件产品整体硬件方案设计、PCB原理图设计、layout布板等；3、从整机电气特性做完整设计及验证，确保产品在结构、EMC、功能等层面的一次成功率；4、编写硬件相关文档:如关键器件/电路验证报告、硬件详细设计、实验报告、验收报告等；5、跟踪产品原型机、样机、小批量等研发及实现过程中发生的技术问题，确保...,人力资源服务,http://jobs.zhaopin.com/CC329281210J40800600901.htm,100-299人,2025-10-27 10:54:44
市政项目经理,郑州,新蔡县九航建筑工程有限公司,学历不限,经验不限,,2-3.5万,诚招一级市政建造师，有意沟通！,工程施工,http://jobs.zhaopin.com/CCL1343862470J40727821406.htm,20-99人,2025-10-24 10:57:44
机械工程师,郑州,牧原股份,本科,5-10年,"AGV,研发,设计,非标设备",2-4万,岗位职责：1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发;2、负责产品项目可行性调研，主导方案系统设计，智能化自主研发设备的方案设计修改，完成非标自动化设备机械结构、机械部件的设计、材料选用以及测试、部署落地；3、拟制结构设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量；4、承担产品整体系统设计及零部件设计，搭建公司智能机械设计通用平台，...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40599536211.htm,10000人以上,2025-12-30 12:04:03
土建总工,郑州,河南豫水设计海外工程有限公司,大专,10年以上,"施工管理,工程管理,结构师,二级建造师（水利水电）,二级建造师（市政公用）,一级建造师（建筑工程）",3-3.5万,一、岗位职责：1、项目各土建施工方案编写； 2、施工计划排布； 3、项目疑难施工点的施工方法的考虑及处置； 4、与机电总工的交叉配合； 二、岗位要求： 1、土建施工技能丰富； 2、对石方开挖，深沟槽开挖及支护，丰富地下水处置有丰富应对办法； 3、有丰富的混凝土建筑物、以及混凝土预制件的施工经验； 4、熟悉各类管子（含GRP管、DI管、HDPE管、UPVC管)施工方法，具有丰富施工经验； 5、具有基...,工程施工,http://jobs.zhaopin.com/CC874996440J40223863204.htm,100-299人,2024-06-14 00:53:08
堆垛机硬件开发工程师,郑州,青岛优锐企业管理咨询有限公司,本科,5-10年,,1.5-3万,岗位职责1、负责堆垛机硬件方案设计，包括原理图绘制及元器件选型。2、参与硬件样品测试、调试及量产问题整改，保障产品稳定性。3、配合软件团队完成硬件与软件的协同调试，输出技术文档。任职要求1、本科及以上学历。2、熟练使用硬件设计工具，精通数字 / 模拟电路设计，了解机械结构与工艺。3、有智能仓储物流同行业背景，具备堆垛机或自动化设备硬件开发经验者优先。4、严谨细致，具备较强的故障分析与技术攻坚能力。,人力资源服务,http://jobs.zhaopin.com/CC636075230J40819737011.htm,1000-9999人,2026-01-08 14:30:21
工厂规划设计师,郑州,牧原股份,本科,5-10年,"建筑专业设计,工业建筑,单多层建筑",1.5-3万,【公司简介】牧原集团于1992年成立，2014年上市，从饲料加工、智能化生猪养殖到生猪屠宰，形成上下游产业链全面发展；牧原肉食品有限公司成立于2019年，由牧原食品股份有限公司100%控股的自动化智能化生猪屠宰加工企业。【岗位职责】1、精通前期规划设计，因地制宜，做出优秀方案，并优化设计标准；2、精通总平设计，根据地块信息，灵活调整设计方案，提高土地利用率，提高物流效率并提升规划标准；3、精通附属...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40819349911.htm,10000人以上,2026-01-07 09:03:44
硬件开发工程师,郑州,一通(河南)信息科技有限公司,本科,3-5年,"智能玩具,物联网设备",1.5-3万·13薪,职位名称：硬件开发工程师（PCBA+ESP32方向）岗位职责：1. 负责PCBA全流程开发设计，包括原理图绘制、PCB布局布线，主导元器件选型、BOM编制与成本优化。2. 基于ESP32系列芯片进行硬件电路设计与优化，完成外设驱动及无线通信协议开发。3. 独立完成PCBA打样、手工焊接、功能调试，排查硬件故障，开展软硬件联调。4. 参与生产工艺评审，提供技术支持，解决量产过程中的技术难题。5. 编...,运营商/增值服务,http://jobs.zhaopin.com/CCL1445690250J40831925510.htm,20人以下,2026-01-06 14:47:01
结构高级工程师（AGV）,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"非标设备,AGV",2-3万,岗位JD 1、负责叉 AGV、背负式 AGV 等设备的结构设计，负责整体方案设计，三维、一维图纸设计及 BOM 输出；2、负责输出样机组装 SOP，为生产、质量部门提供技术指导；3、熟练掌握标准件 (齿轮、丝杆、线轨、电缸、减速器等等) 的选型与计算，熟练进行受力计算和仿真分析；4、拥有丰富的原材料、生产工艺、质量与成本控制、自动化效益评估等方面的专业知识；5、具备团队合作精神和良好的沟通能力，工...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40742099506.htm,20-99人,2026-01-05 16:21:32
20k-30k招工业结构设计师+和老板搭班+双休,郑州,河南妍薇实业发展有限公司,本科,1-3年,"3D MAX,结构设计,造型设计,零部件设计",1.5-3万,公司简介：我们是一家专注于不锈钢保温杯品类、充满活力的工贸一体公司。我们连接全球市场与优质制造资源，致力于为客户提供兼具创新设计、卓越品质与卓越竞争力的产品。现因业务发展与产品升级需要，诚邀一位技术扎实、经验丰富的工业结构设计师加入，成为我们产品力的核心引擎。您的角色：您将不仅是设计师，更是产品从概念到量产落地的技术负责人与关键枢纽。您需要深刻理解市场与客户需求，并将其转化为可高效生产、成本最优的...,贸易/进出口,http://jobs.zhaopin.com/CCL1468132840J40977746104.htm,20-99人,2026-01-04 09:59:25
高级结构工程师（经理级）,郑州,郑州市锦飞汽车电气系统有限公司,本科,5-10年,"控制器,汽车空调,空调面板,香氛",2-3万,一、岗位职责1 精通完成从需求分析→设计概念单确认→整体结构方案确认→关键器件选型→RP样件评审→模具方案评审→试制问题点分析→修模方案确认及试制问题点关闭的全流程开发；制定设计概念单，主导关键技术路线确认及关键器件选型；2 解决系统级、跨领域的疑难杂症，运用高级测量手段和逻辑推理定位深层原因，为团队提供明确的技术方向；3 攻克结构开发难题及新技术、新产品开发；4 与软件、测试、供应链、项目管理等...,汽车研发/制造,http://jobs.zhaopin.com/CC166563710J40747289203.htm,100-299人,2025-12-24 01:05:14
机械工程师,郑州,牧原股份,本科,经验不限,"研发,设计",1.5-3万,一、岗位职责1、技术合作与价值评估：负责智能化相关项目（包括机器人设计、自动化设备应用等）的自主研发、技术引进和对外合作；并对市场、工艺、生产等需求进行评估，明确需求价值及投资成本。2、需求分析与设计：根据需求进行可行性分析及验证，结合精益生产，制定整体自动化方案。并对方案制定测试方案、测试计划及目标，对测试过程进行分析，把控项目整体成本及风险。3、设备研发与测试：测试方案设计、整机机构设计、整线...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40640178311.htm,10000人以上,2025-12-23 09:00:48
路桥设计主任/工程师（蒙古）,郑州,天津欧柏威股份有限公司,本科,5-10年,路桥工程,1.8-3万,岗位职责一、设计协调与技术对接：1、作为项目现场设计团队的核心成员，全程参与项目设计过程，协调设计单位与施工、采购、合约等现场部门的技术接口。2、负责收集、整理和反馈施工现场遇到的设计问题、技术疑问，推动设计单位及时澄清、修改或优化设计。二、图纸审核与深化设计：1、核心职责： 深入审核道路、桥梁的施工图纸、技术规范、计算书，重点检查：（1）设计方案的施工可行性（尤其针对复杂立交桥的匝道、异形结构、...,工程施工,http://jobs.zhaopin.com/CC411720430J40830639708.htm,500-999人,2025-12-22 10:12:00
