职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
无人机-Linux 内核/平台 软件工程专家,北京,北京三快在线科技有限公司,硕士,5-10年,,,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40731337109.htm,10000人以上,2026-01-11 08:41:20,,,
MEMS研发工程师,北京,开拓导航控制技术股份有限公司北京分公司,硕士,5-10年,"MEMS,IMU,惯性组件",60000-80000,岗位职责 1.协助主管领导制定技术开发战略规划以及年度研发计划； 2.负责公司重大预研项目研发，关键技术攻关等工作； 3.负责重大型号产品的研制工作； 4.负责公司新产品的方案设计工作； 5.解决产品研制生产以及使用过程中的重大技术问题，完成技术归零等工作； 6.编写发明专利，形成各类知识产权； 7.完成领导交办的其他工作任务。 任职要求 1.熟练使用C、MATLAB、C#或C++语言； 2.熟练...,仪器仪表制造,http://jobs.zhaopin.com/CCL1367357080J40759596913.htm,300-499人,2025-11-10 16:17:45,60000.0,80000.0,12.0
算法工程（java技术栈）,北京,京东集团,本科,3-5年,Java,40000-70000,1.负责负责京东健康算法部门的架构基建工作，包括搜推、大模型应用、CV多模态技术应用等，对算法部门多技术方向做综合的工程架构支持；2.不断优化平台性能和稳定性，快速支持大模型应用产品的迭代开发；3.能够自驱找到阻碍工程链路的卡点问题，不断迭代优化。职位要求：1、3年以上后端开发经验，至少精通一门后端开发语言；2、深入理解算法infra对算法效果的提升，理解在算法pipeline中，协同存储、计算、...,互联网,http://jobs.zhaopin.com/CC192921310J40813858609.htm,10000人以上,2026-01-11 00:07:40,40000.0,70000.0,18.0
机器学习系统研发工程师,北京,北京三快在线科技有限公司,本科,1-3年,,,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,互联网,http://jobs.zhaopin.com/CC383625320J40570822609.htm,10000人以上,2026-01-11 08:39:46,,,
箭上软件设计岗,北京,北京箭元科技有限责任公司,硕士,5-10年,"C++,飞控软件,C语言,运载火箭",40000-70000,岗位职责：1、负责运载火箭型号及单机软件研制工作；2、负责箭上飞控、地面、遥测软件需求分析、软件设计、编码实现及测试工作；3、负责箭上嵌入式应用软件技术、箭上操作系统研究工作。岗位要求：1、计算机、软件工程、自动化等相关专业硕士以上学历；2、熟悉vivado SDK编程的要求；了解现场总线技术者优先，有飞行器控制软件设计经验者优先，有Linux程序项目经验者优先。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40589809114.htm,100-299人,2025-06-05 10:48:00,40000.0,70000.0,12.0
agent前后端研发、leap研发,北京,深圳市汇泉信息技术有限公司,本科,1-3年,"Python,Golang,PROMPT,ENGINEERING,AI",35000-65000,工作职责:1、设计并实现 Agent 的工具使用接口，实现与各类外部系统和 API 的集成编排;2、利用大模型经验、PE（Prompt Engineering）提示词工程和上下文工程，对智能体效果进行全面评估和优化，定位效率瓶颈并提出优化方案3、熟悉生成式大模型指令意图理解、多问题分解、任务规划相关工作，整体提升大模型的多轮对话指令理解能力和性能;4、跟踪行业最新技术动态，引入先进的方法和工具，持...,IT服务,http://jobs.zhaopin.com/CC848993300J40813276001.htm,100-299人,2025-12-10 09:56:40,35000.0,65000.0,12.0
AI搜索架构师/工程师,北京,北京三快在线科技有限公司,本科,1-3年,,,基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。在这里，我们有超强的技术氛围，持续向社区贡献业...,互联网,http://jobs.zhaopin.com/CC383625320J40768752909.htm,10000人以上,2026-01-11 08:25:21,,,
高级后端JAVA开发工程师,北京,九江京聘人力资源服务有限公司,大专,5-10年,"JavaScript,后端,JAVA开发工程师",40000-60000,公司名称:HX科技职位标题： 高级后端JAVA开发工程师招聘人数：1学历要求：大专及以上工作年限：5每月薪资：30000-50000元 工作地址：远程、线上办公 岗位职责： 1.负责公司后端业务系统的开发与维护，保障系统稳定与高效运行； 2.根据业务需求，进行系统架构设计与优化，提供高质量的技术解决方案； 3.参与数据库设计与优化，确保数据安全与高并发下的性能表现； 4.编写高质量、可维护的代码，...,人力资源服务,http://jobs.zhaopin.com/CCL1413481730J40825293409.htm,20-99人,2026-01-08 15:27:42,40000.0,60000.0,12.0
资深java开发工程师,北京,北京沃东天骏信息技术有限公司,本科,5-10年,,30000-60000,任职资格 1.精通Java编程语言，熟悉其生态系统和相关技术栈。具备扎实的数据结构、算法和设计模式知识； 有丰富的分布式系统设计和开发经验，了解微服务架构、SOA、RESTfulAPI等； 2.熟悉Spring、SpringBoot、MyBatis等主流Java框架。掌握Redis缓存、MQ消息队列、ES搜索引擎等中间件的使用和优化； 3.了解数据库设计和性能优化，熟悉MySQL、Oracle等关...,电子商务,http://jobs.zhaopin.com/CC699180530J40762740712.htm,10000人以上,2025-04-14 22:11:54,30000.0,60000.0,20.0
外卖鸿蒙-资深前端开发工程师,北京,北京三快在线科技有限公司,本科,3-5年,,,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40755459009.htm,10000人以上,2026-01-11 08:48:53,,,
