职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
React前端开发工程师（AI产品）,北京,外企德科,大专,5-10年,"JavaScript,React,Vue,Node.js,WebGL",40000-80000,学历要求：大专及以上学历，计算机、软件工程相关专业优先；经验要求：5 年及以上前端开发经验，有完整的 0-1 项目经验；技术能力：精通 HTML5/CSS3，能够按照设计稿精确还原 UI，熟悉响应式布局（Flex、Grid 等）；精通 JavaScript（ES6+），具备扎实的原生 JS 基础；熟练掌握 React、Vue 框架及其周边生态，如 Redux、Vuex、Pinia、React Qu...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828033305.htm,1000-9999人,2026-01-11 00:16:21,40000.0,80000.0,12.0
研究院副院长,北京,中际联合,本科,经验不限,,50000-80000,岗位职责：1．战略规划与落地1)协助制定研究院的发展战略，负责具体实施计划的制定与推进2)协助风电领域新产品调研以及项目落地，保证公司产品竞争优势2．产品标准化1)建⽴前瞻性产品开发体系，规划核⼼产品⽅向，持续打造核⼼产品竞争力2)持续优化产品标准化建设3．技术创新1)关注行业技术动态，提出创新方向和思路2)推动新技术、新方法在研究院的应用与实践4．国际化视角1)关注海外市场对产品的技术与标准需求...,专用设备制造,http://jobs.zhaopin.com/CC141855450J40912420715.htm,500-999人,2025-12-24 18:13:47,50000.0,80000.0,12.0
前端高级开发工程师 --飞书人事(北京),北京,字节跳动,本科,3-5年,,40000-80000,岗位职责：1、对标全球顶级SaaS人力系统平台，打造基于SaaS平台的核心人力系统；2、负责高质量的设计和编码，不断优化用户体验；3、编写高性能，高质量，通用化前端组件；4、参与技术方案讨论，解决疑难；5、提出建设性意见，提升系统性能。任职要求：1、本科及以上学历，计算机相关专业优先；2、良好的设计和编码能力，热爱写代码，能产出高质量的设计和代码；3、掌握WEB前端开发技术：JavaScript（...,互联网,http://jobs.zhaopin.com/CC469217510J40520704901.htm,10000人以上,2025-12-11 15:29:28,40000.0,80000.0,12.0
资深技术专家（信创）,北京,中电信数智科技有限公司,本科,5-10年,"微服务架构,负载均衡技术,Java,C语言,C#,PHP,Python",,岗位职责： 1. 主导GHGY重大项目的技术交流，具有敏锐的行业信创应用洞察能力，精准识别党政、国央企、金融等客户在信创建设中的核心需求与业务痛点； 负责基于客户场景的信创改造集成架构设计，完成产品选型论证及全周期技术答疑和支持，并提供专业级解决方案演示； 2. 担任大型复杂信创项目（软硬件总包集成）技术负责人， 牵头制定项目总体实施方案、深化设计方案，组织解决集成过程中的关键技术难题； 3. 持...,IT服务,http://jobs.zhaopin.com/CC000520810J40898916808.htm,10000人以上,2025-11-14 13:55:25,,,
技术研发部经理,北京,北京金迈捷科技股份有限公司,硕士,5-10年,,50000-80000,岗位职责 1、构建研发体系、增强研发能力。根据市场调研情况，提出研发和技术创新方向。负责公司研发部部门管理、研发部团队建设，编制年度自研课题计划，并组织实施； 2、负责与客户技术对接，并对客户需求及时做出技术层面响应；负责外场保障工作； 3、负责现有产品的技术创新和改进，提高产品竞争能力；按照公司要求完成相关相关专利、软件著作权的文件编制及申请工作； 4、 负责产品设计开发及技术攻关，并对产品部、...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC541786120J40185622210.htm,20-99人,2025-08-21 09:17:43,50000.0,80000.0,14.0
前端开发专家,北京,京东集团,本科,3-5年,"CSS,JavaScript,HTML5",45000-75000,岗位职责及目标1. 负责与产品、设计、研发、测试沟通，解决项目各环节页面相关问题，使项目达到交付标准;2. 负责进行技术方案的设计以及落地执行，同时负责调研互联网前端技术，js、css框架选型和搭建;3. 负责进行工程化能力探索和建设，对业务组件、标准样式库进行拆解、建立、沉淀和维护;4. 参与把设计图转换成静态html5页面，并制作交互效果;5. 参与部门的创新工作，不断进行团队的工作流程优化提...,互联网,http://jobs.zhaopin.com/CC192921310J40814643809.htm,10000人以上,2026-01-11 00:10:22,45000.0,75000.0,18.0
北京PCS软件主管-K9412B,北京,广东美的制冷设备有限公司,本科,5-10年,"五险一金,管理规范,餐费贴补,岗位晋升",,岗位职责：1、负责统筹北京区域所有新产品的软件设计与开发、量产产品的软件的升级维护与质量问题跟进处理工作；2、负责软件平台化和模块化建设；3、负责北京软件团队管理，管理及培养软件团队人员，形成人才梯队。任职资格：1、学历：本科及以上，电力电子、自动化等相关专业；2、经验：8年以上光伏逆变器/储能变流器软件开发经验，至少主导2个量产项目；3、逻辑清晰，能独立分析解决复杂问题，有团队管理经验；4、英语...,电子设备制造,http://jobs.zhaopin.com/CC270219410J40753879811.htm,10000人以上,2025-07-04 08:42:48,,,
研发运营经理,北京,北京九州恒盛电力科技有限公司,硕士,5-10年,"技术栈,能源,研发管理,研发体系",40000-60000,主要工作内容：负责技术密集型业务的战略规划，制定产品 / 技术路线图，将技术目标拆解为可执行的落地方案；统筹研发体系建设，包括研发组织架构搭建、研发流程优化、研发工具选型与推广、研发规范制定与落地等；主导技术密集型产品 / 解决方案的统筹管理，协调跨技术团队的资源与协作；参与公司 / 事业部级技术战略规划，推动战略落地与目标达成。任职资格：学历专业：统招研究生及以上学历，能源、计算机科学、软件工程...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC321204030J40974438304.htm,500-999人,2025-12-17 13:53:36,40000.0,60000.0,12.0
前端开发工程师,北京,京东集团,本科,3-5年,不接受居家办公,45000-75000,岗位职责及目标1. 负责与产品、设计、研发、测试沟通，解决项目各环节页面相关问题，使项目达到交付标准;2. 负责进行技术方案的设计以及落地执行，同时负责调研互联网前端技术，js、css框架选型和搭建;3. 负责进行工程化能力探索和建设，对业务组件、标准样式库进行拆解、建立、沉淀和维护;4. 参与把设计图转换成静态html5页面，并制作交互效果;5. 参与部门的创新工作，不断进行团队的工作流程优化提...,互联网,http://jobs.zhaopin.com/CC192921310J40815311509.htm,10000人以上,2026-01-11 00:09:01,45000.0,75000.0,18.0
机械研发总监（半导体行业）,北京,中科艾尔(北京)科技有限公司,博士,10年以上,"半导体,FAB,晶圆,IPD,CVD,PVD,机加工,管阀件",30000-60000,岗位职责：1、以项目交付为导向，指导研发部有序开展工作2、带领研发团队解决重点产品、项目研发中等工作过程中出现的技术难题3、整合部门管理流程，对现有的项目卡点、制度漏洞进行整改4、负责整体把控项目进度、成本、质量等目标，提高团队交付效率5、负责公司研发项目的规划和执行，挖掘细分领域需求，带领团队提出产品的可行性技术方案任职要求：1、机械相关专业，博士学历，有半导体行业内的工作经验2、了解半导体FA...,仪器仪表制造,http://jobs.zhaopin.com/CC823490090J40637796802.htm,500-999人,2025-11-17 09:21:24,30000.0,60000.0,15.0
平台与技术开发经理(J14519),北京,北方华创,硕士,5-10年,,30000-60000,岗位职责: 1. 负责前沿技术研究与开发，根据公司战略和业务发展方向，收集、跟踪并探索市场/竞对/客户需求信息/行业技术情报，分析电气控制技术的发展趋势和产品技术发展需求，制订公司级电气技术技术路标规划，制定年度技术项目SP及BP计划，支撑技术研究院进行技术规划研讨，评估技术可行性、市场前景及风险，明确电气控制技术研发方向和策略； 2.负责深入梳理、整合现有电气控制技术，构建可复用的电气架构和模块...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40798232812.htm,1000-9999人,2025-07-24 10:54:01,30000.0,60000.0,14.0
软件经理（软件部门负责人）,北京,锐仕方达人才科技集团有限公司,本科,5-10年,"C语言,Java,CT,软件开发,医疗影像,SPECT,PET CT",40000-55000,职位介绍：1.主导 SPECT/CT 前台工作站软件的架构设计、开发与优化，涵盖图像采集、重建、分析及报告生成全流程，确保系统稳定性和实时处理性能4。2.制定产品路线图，结合行业趋势（如 AI 影像分析、多模态融合）规划技术升级，推动软件功能与临床需求深度结合。3.管理软件版本迭代，协调硬件集成、算法开发和临床测试，确保产品符合 DICOM 标准及中文环境下的合规性要求 岗位职责1.软件团队管理：...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40834582514.htm,1000-9999人,2026-01-04 18:28:29,40000.0,55000.0,13.0
研发总监,北京,中智职业发展有限公司,本科,5-10年,"新能源（光伏为主）,新材料",30000-50000,岗位职责：1.负责统筹全彩功能材料的国产化以及产品研发计划，完善研发流程体系；2.指导并管理研发团队，带头攻克解决技术难题，对研发项目成本、质量和风险进行有效控制。任职要求：1.中共党员；2.具备新能源（光伏为主）、新材料的行业背景，任研发总监、技术带头人、首席科学家等职务至少5年以上，拥有国内相关行业的院士师资力量和行业科研资源；,咨询服务,http://jobs.zhaopin.com/CC605664020J40786308816.htm,500-999人,2026-01-08 16:17:41,30000.0,50000.0,12.0
研发经理（半导体行业）,北京,中芯热成科技(北京)有限责任公司,本科,10年以上,"C语言,芯片开发",30000-50000,一、工作职责1、研发项目统筹与管理(1)全方位负责公司各类芯片研发项目的规划、组织及落地执行。依据公司战略目标，精心制定详尽的研发计划，全力确保项目严格按照既定时间节点、质量标准及数量要求圆满完成。(2)主导研发项目的资源调配，涵盖人力、物力及财力等各个方面。通过优化资源配置，大幅提升研发效率，有效控制项目成本。(3)密切跟踪项目进展动态，迅速解决项目推进过程中遭遇的技术难题与管理困境，保障项目顺...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1321749820J40756344805.htm,20-99人,2026-01-06 00:18:22,30000.0,50000.0,12.0
电池研发总监,北京,北京鑫华储科技有限公司,本科,10年以上,"电池研发,产品量产",25000-50000,岗位内容：1. 产品研发战略与技术研究。2. 产品研发管理。3.技术创新与专利管理。4. 与生产团队合作，确保生产过程满足产品规格和质量标准。5. 研究市场需求和技术趋势，为产品创新提供支持和建议。6.团队管理与建设。任职要求：1. 本科及以上学历，电子工程、化学或相关专业背景。2. 熟悉电池体系结构和原理，具备电池模块开发经验。3. 熟练掌握电池测试方法和相关数据分析工具。4.具有电池量产管理经...,电气机械/电力设备,http://jobs.zhaopin.com/CCL1482746380J40766465310.htm,100-299人,2026-01-06 00:02:01,25000.0,50000.0,12.0
