职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
React前端开发工程师（AI产品）,北京,外企德科,大专,5-10年,"JavaScript,React,Vue,Node.js,WebGL",40000-80000,学历要求：大专及以上学历，计算机、软件工程相关专业优先；经验要求：5 年及以上前端开发经验，有完整的 0-1 项目经验；技术能力：精通 HTML5/CSS3，能够按照设计稿精确还原 UI，熟悉响应式布局（Flex、Grid 等）；精通 JavaScript（ES6+），具备扎实的原生 JS 基础；熟练掌握 React、Vue 框架及其周边生态，如 Redux、Vuex、Pinia、React Qu...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828033305.htm,1000-9999人,2026-01-11 00:16:21,40000.0,80000.0,12.0
前端高级开发工程师 --飞书人事(北京),北京,字节跳动,本科,3-5年,,40000-80000,岗位职责：1、对标全球顶级SaaS人力系统平台，打造基于SaaS平台的核心人力系统；2、负责高质量的设计和编码，不断优化用户体验；3、编写高性能，高质量，通用化前端组件；4、参与技术方案讨论，解决疑难；5、提出建设性意见，提升系统性能。任职要求：1、本科及以上学历，计算机相关专业优先；2、良好的设计和编码能力，热爱写代码，能产出高质量的设计和代码；3、掌握WEB前端开发技术：JavaScript（...,互联网,http://jobs.zhaopin.com/CC469217510J40520704901.htm,10000人以上,2025-12-11 15:29:28,40000.0,80000.0,12.0
前端开发专家,北京,京东集团,本科,3-5年,"CSS,JavaScript,HTML5",45000-75000,岗位职责及目标1. 负责与产品、设计、研发、测试沟通，解决项目各环节页面相关问题，使项目达到交付标准;2. 负责进行技术方案的设计以及落地执行，同时负责调研互联网前端技术，js、css框架选型和搭建;3. 负责进行工程化能力探索和建设，对业务组件、标准样式库进行拆解、建立、沉淀和维护;4. 参与把设计图转换成静态html5页面，并制作交互效果;5. 参与部门的创新工作，不断进行团队的工作流程优化提...,互联网,http://jobs.zhaopin.com/CC192921310J40814643809.htm,10000人以上,2026-01-11 00:10:22,45000.0,75000.0,18.0
外卖鸿蒙-资深前端开发工程师,北京,北京三快在线科技有限公司,本科,3-5年,,,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40755459009.htm,10000人以上,2026-01-11 08:48:53,,,
芯片前端设计经理,北京,北京银河智汇科技发展有限公司,硕士,5-10年,,50000-60000,一、岗位职责：1.负责超大规模数字集成电路的RTL设计、验证及优化，确保设计符合性能、功耗及面积（PPA）要求2.主导处理器架构设计，优化SoC系统级方案，提升芯片能效比15%以上3.搭建FPGA验证环境，完成至少3个芯片项目的功能验证4.制定前端设计规范，管理5人以上设计团队，确保项目按时交付5.协调前后端设计流程，将RTL综合周期缩短20%二、任职要求：1.硕士及以上学历，微电子、电子工程相关...,电气机械/电力设备,http://jobs.zhaopin.com/CCL1328837120J40833362605.htm,1000-9999人,2025-12-17 10:19:22,50000.0,60000.0,12.0
前端开发工程师,北京,京东集团,本科,3-5年,不接受居家办公,45000-75000,岗位职责及目标1. 负责与产品、设计、研发、测试沟通，解决项目各环节页面相关问题，使项目达到交付标准;2. 负责进行技术方案的设计以及落地执行，同时负责调研互联网前端技术，js、css框架选型和搭建;3. 负责进行工程化能力探索和建设，对业务组件、标准样式库进行拆解、建立、沉淀和维护;4. 参与把设计图转换成静态html5页面，并制作交互效果;5. 参与部门的创新工作，不断进行团队的工作流程优化提...,互联网,http://jobs.zhaopin.com/CC192921310J40815311509.htm,10000人以上,2026-01-11 00:09:01,45000.0,75000.0,18.0
芯片前端设计工程师,北京,中国国际人才开发中心有限公司,本科,5-10年,"数字前端设计,RTL设计,EDA工具,有线通信",30000-60000,工作职责：1.参与系统级架构或微架构设计，负责模块的Function Spec和 architecture Spec编写。2.完成RTL代码开发及代码质量检查，协助验证问题定位，优化芯片时序、功耗与面积。3.编写SDC约束文件，完成预综合及报告检查，解决时间违例问题，确保芯片时序收敛。4.协同后端团队完成物理设计，提供时序约束与网表优化建议及STA报告检查。5.支持FPGA/palladium原型...,咨询服务,http://jobs.zhaopin.com/CC000036380J40965606904.htm,100-299人,2025-11-11 15:18:27,30000.0,60000.0,15.0
h5前端工程师,北京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,Vue,React,Node.js,HTML,ES",35000-50000,岗位描述1.负责信息业务-商家运营系统等，支持供给端的行业接入到用户端跟商家互动的业务闭坏；2.负责前端基础能力的建设，包括但不限于组件库、跨平台能力、AI工程等。岗位要求1.三年以上前端工作经验，至少参加过一个完整中型前端项目开发；2. 熟悉W3C规范，熟悉HTML4/HTML5、CSS2/CSS3、 ES5/ES6等前端开发技术；3. 能够独立进行前端页面代码开发及调试，能够充分理解设计需求并...,互联网,http://jobs.zhaopin.com/CC427775130J40886063415.htm,20-99人,2026-01-10 01:44:59,35000.0,50000.0,12.0
前端验证工程师,北京,北京银河智汇科技发展有限公司,硕士,3-5年,"数字前端设计,SoC设计,MCU芯片,DSP芯片,DC,VCS,TCL,Verilog HDL,AMBA",25000-50000,一、岗位职责：1.搭建验证环境，编写测试用例，完成芯片功能验证；2.使用UVM等方法学进行模块级及系统级验证；3.分析验证覆盖率，确保芯片功能完备性。二、岗位要求：1.硕士学历，计算机、电子工程等相关专业；2.熟悉SystemVerilog/UVM，具备数字芯片验证经验。,电气机械/电力设备,http://jobs.zhaopin.com/CCL1328837120J40813217005.htm,1000-9999人,2025-12-18 11:29:03,25000.0,50000.0,12.0
芯片前端验证工程师,北京,中国国际人才开发中心有限公司,本科,5-10年,芯片级验证,30000-60000,工作职责：1.根据以太网通信芯片规格需求，分解测试点，制定验证计划及验证方案，搭建基于UVM的验证平台。2.编写定向测试用例和随机约束测试，覆盖以太网通信芯片的典型功能、边界条件及异常场景（如错误注入、链路协商失败）。3.执行仿真验证，分析波形并定位RTL设计缺陷，协同设计团队完成问题修复。4.制定功能覆盖率模型，监控代码覆盖率、断言覆盖率及场景覆盖率，确保验证完备性。人员要求：1.本科及以上学历...,咨询服务,http://jobs.zhaopin.com/CC000036380J40962244304.htm,100-299人,2025-10-28 16:52:56,30000.0,60000.0,15.0
前端开发,北京,云梦泽(北京)电子商务有限公司,本科,5-10年,"互联网,电子商务,石油/石化",,岗位职责：1. 移动端核心开发攻坚：移动端（Android）与小程序（跨端）开发，独立负责用户端核心功能实现，包括但不限于首页、核心业务流程、用户交互模块等，保障功能稳定性、兼容性及极致用户体验，直接对用户留存与使用流畅度负责。2. 跨端技术落地与优化：基于 uniApp 或同类跨端框架，优化小程序技术体系，解决多端（微信小程序、支付宝小程序等）兼容性问题；针对 Android 端性能瓶颈（如启动...,电子商务,http://jobs.zhaopin.com/CCL1478504940J40871392708.htm,100-299人,2025-09-13 13:55:05,,,
APP技术-大前端（iOS/Android/FE）资深工程师,北京,北京三快在线科技有限公司,本科,3-5年,,,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819768609.htm,10000人以上,2026-01-11 19:02:14,,,
前端研发工程师（房产C端）-生活服务,北京,字节跳动,本科,经验不限,,26000-45000,岗位职责：1、支持生活服务房产业务平台C端方向的前端架构设计与开发工作，业务场景聚焦于抖音端内，覆盖搜索、Feed卡、Lynx/H5承接页等，帮助用户快速找到心仪房源并促成最终转化；2、负责产品前端技术架构设计及实现，对其中的技术难点进行调研并完成攻坚，与其他研发同学协同保障产品技术健壮性；3、对产品的用户体验以及迭代的研发效率、稳定性、性能负责，从前端技术角度给出相应的解决方案和实施落地。任职要...,互联网,http://jobs.zhaopin.com/CC469217510J40782368901.htm,10000人以上,2025-12-05 03:00:33,26000.0,45000.0,12.0
h5前端工程师,北京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,TypeScript",22000-40000,岗位职责：1. 负责移动端H5页面的设计和开发工作。2. 优化页面性能，确保良好的用户体验。3. 与设计师和产品经理紧密合作，实现界面和交互设计的前端开发。4. 对现有产品的持续优化和迭代。岗位要求：1. 熟悉HTML5、CSS3、JavaScript等前端开发技术。2. 熟悉Vue.js、React.js等主流前端框架。3. 了解移动端页面设计和开发流程，有成功案例者优先。4. 良好的团队协作精...,互联网,http://jobs.zhaopin.com/CC427775130J40841909715.htm,20-99人,2026-01-10 01:43:58,22000.0,40000.0,12.0
外卖终端-高级前端工程师-营销方向,北京,北京三快在线科技有限公司,本科,1-3年,,,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40738953009.htm,10000人以上,2026-01-11 08:29:05,,,
医疗-高级Web开发工程师,北京,科大讯飞股份有限公司,本科,3-5年,前端,20000-40000,工作职责负责智慧医疗行业的讯飞晓医App Web端（PC、移动端、小程序等）产品的前端页面构建，确保视觉设计的高标准还原。开发并维护高质量的业务逻辑代码，处理前端状态管理，实现流畅的用户交互体验。负责Web性能优化（如首屏加载、渲染效率），并解决主流浏览器及不同设备的兼容性问题。参与前端组件库和脚手架的维护，编写可复用的UI组件，提升团队开发效率和代码质量。任职要求计算机或相关专业本科及以上学历，...,计算机软件,http://jobs.zhaopin.com/CC205108410J40978408304.htm,10000人以上,2026-01-06 14:46:53,20000.0,40000.0,14.0
高级前端开发工程师,北京,上海微创软件股份有限公司,大专,经验不限,"大模型,React",20000-40000,工作职责1. 负责快速实现基于大模型的各种ToC产品，优化Web前端和手机端交互体验，包含APP、网站、浏览器插件等开发；2. 承担前端核心模块的设计和实现工作， 负责前端开发工作，页面及相关业务逻辑的实现等；3. 参与前端系统分析、技术选型与架构设计工作；4. 和产品经理沟通并确定产品开发需求；与后台开发工程师配合，完成开发任务和上线；5. 负责编写高性能、高可用和安全的前端业务，持续提升前端开...,IT服务,http://jobs.zhaopin.com/CC000638920J40810864514.htm,10000人以上,2026-01-04 13:17:09,20000.0,40000.0,12.0
基础技术部-Web架构-高级研发工程师/技术专家,北京,北京三快在线科技有限公司,本科,经验不限,,,基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。在这里，我们有超强的技术氛围，持续向社区贡献业...,互联网,http://jobs.zhaopin.com/CC383625320J40823449509.htm,10000人以上,2026-01-11 08:34:56,,,
前端设计工程师,北京,北京银河智汇科技发展有限公司,硕士,3-5年,"数字前端设计,IP设计,CPU芯片,DDR芯片,DC,PT,TCL,Perl,AMBA",22000-40000,一、岗位职责：1.参与数字芯片RTL设计，完成模块级及系统级开发；2. 配合验证团队完成功能仿真及试；3.优化设计PPA（性能、功耗、面积）。二、岗位要求：1.硕士学历，电子工程、微电子等相关专业；2.熟悉Verilog/VHDL，具备数字芯片设计经验。,电气机械/电力设备,http://jobs.zhaopin.com/CCL1328837120J40813149305.htm,1000-9999人,2025-12-18 11:28:32,22000.0,40000.0,12.0
