职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
热压键合工艺经理 （TCB）,北京,北京华封集芯电子有限公司,本科,10年以上,"键合,热压",30000-60000,工作职责1、对热压键合工艺日常维护及监控；2、根据公司工艺开发目标，负责热压键合工艺程序开发；3、协助进行键合设备、对准偏差检测设备的导入，主导进行键合工艺setup，确保设备符合研发、量产要求；4、优化现有产品键合工艺，以提高现有产品的性能及良率；5、针对芯片量产过程中异常原分析及解决，减少工艺本身缺陷。任职资格1、本科以上学历，半导体工艺、材料、封装和仿真相关专业；2、7年及以上封装焊接工艺开...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1328877660J40846056313.htm,100-299人,2025-12-05 00:18:02,30000.0,60000.0,12.0
薄膜工艺制程专家 | TF Process Expert J16522,北京,长鑫存储,本科,5-10年,薄膜工艺,,"岗位职责: 1. 制程配方管理与维护, 处理日常线上问题； 2. 负责产品生产线稳定与异常事件排除； 3. 执行上级交付之任务； 4. 可准确执行定义好的OCAP/SOP/OI。 任职要求: 1. 本科及以上学历 ，理工科背景优先； 2. 5年以上半导体薄膜工艺经验；",电子/半导体/集成电路,http://jobs.zhaopin.com/CC604839930J40762478307.htm,1000-9999人,2025-08-06 10:29:12,,,
原油处理工艺总监,北京,天津缘众达管道工程有限公司,学历不限,3-5年,"开采工艺,储运工艺,炼化工艺",45000-55000,要求：45岁以下，大专或以上学历，英语流利，10年以上油气处理相关行业经验。职责：1、负责审核试运阶段的工艺流程文件，根据装置特性调整工艺参数和操作规范，确保技术方案符合行业标准。2、分析潜在工艺风险，制定应急预案，监控试运过程中设备运行状态，及时解决技术异常问题。3、通过数据采集和流程分析，优化装置运行效率，提升试运阶段的工艺稳定性和经济性。4、编制试运阶段的工艺操作手册、维护规程等技术文档，建...,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40764350416.htm,20人以下,2025-12-16 16:47:01,45000.0,55000.0,12.0
冷库工艺规划岗,北京,京东集团,本科,5-10年,,30000-50000,岗位职责及目标1、负责输出冷库工艺方案及冷库设备、冷库技术规范：根据工艺方案规划设计标准、设备投入标准，结合场地操作流程，完成场地工艺布局设计、作业流程、系统需求配置、物流设备选型等，持续对场地效率进行优化和提升，助力整体运营效率达成，确保投入产出效益，及联动实施，按期保质落地；2、负责冷库工艺流程和作业模式持续创新：通过对标行业典型经验结合业务需求和变化，结合公司业务场景，进行工艺流程及作业模式...,互联网,http://jobs.zhaopin.com/CC192921310J40751209509.htm,10000人以上,2026-01-11 00:18:40,30000.0,50000.0,16.0
光刻工艺制程专家 | LITHO Process Expert J16532,北京,长鑫存储,本科,5-10年,光刻工艺,,岗位职责: 1. 负责光刻制程工艺相关问题的分析和处理； 2. 负责量产的产能提升与良率改善； 3. 负责光刻制程工艺的优化和改进； 4. 日常机台配方维护，配合部门需求进行值班与倒班工作。 任职要求: 1. 本科及以上学历、理工科背景优先； 2. 5年以上半导体光刻工艺经验。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC604839930J40762480107.htm,1000-9999人,2025-08-06 10:29:10,,,
（光通信、射频等）产线工艺负责人/主管,北京,华鸿锐光(北京)光电子器件制造有限公司,硕士,5-10年,工艺主管,30000-50000,岗位职责： 负责工艺整合、良率提升、工艺人员管理等工作。 任职要求： 1、硕士以上学历，硕士、博士优先考虑，电子类相关专业，年龄35岁左右； 2、光通信、射频等专业背景，8年以上工作经验； 3、具有丰富的工艺管理经验，过往担任过产线负责人、工艺段主管等，熟悉工艺管理、质量管理，能够提升产品良率； 4、具有较强团队合作精神和工作主动性。 其他说明：本岗位岗位层级及待遇根据候选人情况可面议。,电子设备制造,http://jobs.zhaopin.com/CCL1504971140J40793951111.htm,100-299人,2026-01-08 00:00:01,30000.0,50000.0,12.0
高级工艺工程师（油气田+英语+homebase）,北京,百川无忧信息科技(天津)有限公司,本科,10年以上,"油气田地面工程,英语",30000-50000,工作内容：1、在EPCC或其他承包商执行的特定项目中担任首席工艺工程师或工艺工程师，以支持公司新建和现有油气设施的开发2、为公司初级工程师进行筛选研究并制定工艺示意图，以支持潜在的工程项目。3、了解办公室质量体系的要求并确保满足这些要求。4、对选定的项目进行工艺模拟和优化研究，并根据质量平衡和设备尺寸准备工艺流程方案。5、为所有设计阶段的项目提供详细的工艺工程输入，包括标准的解释。6、审核任何由第...,人力资源服务,http://jobs.zhaopin.com/CCL1260024430J40907338108.htm,20-99人,2025-12-19 09:53:42,30000.0,50000.0,12.0
高炉工艺分析师,北京,新极技术(北京)有限公司,本科,5-10年,"高炉工艺,炼铁工艺,黑色金属",25000-50000,核心职责：运用数字孪生、生产健康诊断等智能系统，实时监控和深度分析高炉运行状态，对异常炉况进行早期预警和根因分析。与数据科学家合作，参与高炉炉热预报、硅含量预测等核心AI模型的训练、验证与迭代优化。基于多源数据与模型输出，为高炉操作提供精准、前瞻性的操作调剂建议。负责对高炉长寿、煤气流调节、有害元素控制等专项课题进行数据挖掘与研究。任职要求：本科及以上学历，冶金工程相关专业。8年以上高炉操作、技术...,人工智能,http://jobs.zhaopin.com/CCL1276348590J40852802212.htm,20-99人,2025-11-25 10:53:23,25000.0,50000.0,14.0
抗体上游工艺开发经理,北京,北京科兴中维生物技术有限公司,硕士,5-10年,"细胞培养技术,发酵工艺,生物反应器",30000-50000,岗位职责：1. 领导团队： 全面负责上游工艺开发团队的建设、管理和技术指导，激发团队潜能，确保项目高效推进。2. 工艺开发与优化： 主导基于哺乳动物细胞（如CHO、HEK293）的细胞培养工艺开发、优化和放大，包括摇瓶、生物反应器（从Ambr到台式、中试规模）等平台。3. 技术转移： 负责将上游工艺从研发部门向GMP生产部门进行技术转移，撰写相关技术文件，并提供现场支持。4. 实验设计与执行： 设...,医药制造,http://jobs.zhaopin.com/CC417700830J40965443904.htm,1000-9999人,2025-11-11 09:48:46,30000.0,50000.0,12.0
半导体工艺工程师,北京,哈尔滨科友半导体产业装备与技术研究院有限公司,博士,10年以上,,25000-50000,岗位内容：1. 半导体制程流程的设计、评估和优化。2. 制造工艺参数的研究和优化。3. 设计制程规范和标准操作程序（SOP）。4. 确保客户的产品要求得到满足。任职要求：1. 博士及以上学历，微电子、半导体物理、材料科学等相关专业。2. 精通半导体工艺和制程流程，具备较强的解决问题能力。3. 熟悉半导体工艺设备，熟练掌握相应软件和工具。4. 良好的团队合作精神、较强的沟通协调能力和创新意识。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC703390080J40817946414.htm,100-299人,2025-11-05 08:03:44,25000.0,50000.0,12.0
