职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
医学统计部总监/高级总监-可base分公司或homebase,北京,凯莱英医药集团(天津)股份有限公司,硕士,5-10年,"临床数据分析,临床试验",50000-80000,岗位职责:岗位职责概述/Job Responsibility Summary:负责完善及优化统计分析工作流程，负责统计分析等质量体系的完善及优化。研究临床试验中的各种统计分析问题并解决。作为部门负责人负责团队建设、团队管理。协助商务支持等工作。负责跨部门协调、制定部门发展规划、部门日常管理工作。协助制定公司发展计划、发展方向。Responsible for improving and optimi...,医药制造,http://jobs.zhaopin.com/CC475420110J40864756412.htm,1000-9999人,2025-12-30 13:15:19,50000.0,80000.0,12.0
销售数据分析负责人,北京,北京三快在线科技有限公司,本科,3-5年,,,美团酒店旅行业务涵盖酒店、民宿、机票、火车票、旅游度假、景点门票等各类住行游品类，通过与产业上下游的深度合作，为用户提供美好的旅游旅行体验。我们积极打造AI友好型组织，使用AI等新技术提升旅游服务的供需匹配效率，更好满足用户个性化、多样化的出游需求。我们持续深耕产业链，用数字化服务助力实体商家高质量经营，探索自有品牌等供给新模式，打造健康的商家生态，保障用户服务体验。为满足用户日益增长的跨境旅行需...,互联网,http://jobs.zhaopin.com/CC383625320J40820183409.htm,10000人以上,2026-01-11 08:45:30,,,
商业分析-京东大药房,北京,京东集团,本科,5-10年,,30000-60000,岗位职责1.经营分析：负责业务模块经营分析模型搭建，为业务管理者提供决策支持；包括目标测算、考核设计和追踪，搭建业务健康度的经营分析框架和数据体系，通过目标的拆解和过程指标体系设定，指引业务方向，保证目标达成同时基于该框架，追踪业绩进展，识别关键差距; 2.资源管理：以业务线经营视角全局看业务，产出业务预算规划和自标拆解。并设计对应的资源考核方案，驱动业务目标； 3.关键问题的识别与策略输出：通过...,互联网,http://jobs.zhaopin.com/CC192921310J40817422509.htm,10000人以上,2026-01-11 00:10:41,30000.0,60000.0,18.0
事件驱动型研究员,北京,岳鑫遥(北京)私募基金管理有限公司,本科,1-3年,"基本面研究,期货研究",30000-60000,职位信息 1. 通过业内沟通、传闻求证、数据统计、规则分析、数据挖掘、逻辑判断等一系列合理手段，提前分析出可能对股价产生影响的事件将要公布的内容和时间范围，并结合市场热点和大盘趋势给予基金经理投资建议； 2. 建立成熟的事件驱动策略模型，并负责维护和发展； 3. 部门领导安排的其他任务。 任职要求： 1. 经济金融数学物理计算机等相关专业，名牌大学本科及以上学历，工作年限三年以内； 2. 有成熟事...,基金,http://jobs.zhaopin.com/CCL1512511550J40906011215.htm,20人以下,2026-01-05 22:38:43,30000.0,60000.0,13.0
资深BI开发工程师,北京,中财信忠(临沂)人力资源服务有限责任公司,本科,经验不限,,30000-60000,工作职责1 负责BI团队建设与管理，完成全业务链路数据需求以及进行数据体系化建设，充分挖掘业务中的数据价值 2 借助阿里云DataWorks等数据工具，输出各类业务分析和数据看板，进行数仓建设，数据治理，用户画像开发等 3 与产品/运营团队协作，支持精细化运营与个性化分析需求，提供数据驱动的方案，助力业务增长 4 深入理解业务，在复杂数据中主动识别业务改进的机会，并形成可执行的洞察和建议，以解决关...,人力资源服务,http://jobs.zhaopin.com/CCL1500801770J40816632301.htm,20-99人,2025-12-25 07:47:10,30000.0,60000.0,12.0
研究院-宏观行业首席分析师,北京,太平洋证券股份有限公司,硕士,5-10年,宏观经济分析,50000-60000,一、岗位职责1、负责宏观经济的研究，调研上市公司，撰写研究报告2、负责针对公司战略和各项业务的研究支持，提升公司影响力及佣金规模和市场占比3、负责宏观研究团队的管理，带领团队为公司及内外部客户提供专题研究、路演、培训、咨询等研究服务二、任职要求1、国内外院校硕士研究生以上学历；2、5年及以上卖方研究工作经验；3、高度认同研究创造投资价值，对研究工作具备强烈的责任心；具备鲜明的投资理念，并根据自身能...,证券/期货,http://jobs.zhaopin.com/CC237215410J40827888915.htm,1000-9999人,2025-03-31 09:35:29,50000.0,60000.0,12.0
商业分析,北京,京东集团,本科,5-10年,,30000-50000,岗位职责1.经营分析：负责业务模块经营分析模型搭建，为业务管理者提供决策支持；包括目标测算、考核设计和追踪，搭建业务健康度的经营分析框架和数据体系，通过目标的拆解和过程指标体系设定，指引业务方向，保证目标达成同时基于该框架，追踪业绩进展，识别关键差距; 2.资源管理：以业务线经营视角全局看业务，产出业务预算规划和自标拆解。并设计对应的资源考核方案，驱动业务目标； 3.关键问题的识别与策略输出：通过...,互联网,http://jobs.zhaopin.com/CC192921310J40802740109.htm,10000人以上,2026-01-11 00:34:02,30000.0,50000.0,18.0
生物统计经理/高级经理,北京,神州细胞工程有限公司,硕士,5-10年,统计,30000-50000,岗位职责:1. 作为临床试验的统计师，负责临床试验方案的统计学设计和临床试验方案的统计学相关内容的撰写和审核，包括分析人群的定义，主要及次要终点选择、研究假设、所要分析的时间点、中期分析的规定、样本量的计算以及随机方法设置等；2. 负责撰写统计分析计划和统计分析报告；3. 根据统计分析计划，与统计程序员合作，制订TFL shell和ADaM说明书； 4. 负责临床总结报告、病例报告表、数据管理报告...,医药制造,http://jobs.zhaopin.com/CC134520540J40726581008.htm,1000-9999人,2026-01-09 08:54:01,30000.0,50000.0,12.0
资深BI开发工程师（某上市出行公司）,北京,菁沐人力资源服务(沧州)有限公司,本科,5-10年,"SQL,报表开发,数据治理,数据可视化,数据仓库,Tableau,Power BI,DATAWORKS",30000-50000,猎头for某上市出行公司工作职责1 负责BI团队建设与管理，完成全业务链路数据需求以及进行数据体系化建设，充分挖掘业务中的数据价值2 借助阿里云DataWorks等数据工具，输出各类业务分析和数据看板，进行数仓建设，数据治理，用户画像开发等3 与产品/运营团队协作，支持精细化运营与个性化分析需求，提供数据驱动的方案，助力业务增长4 深入理解业务，在复杂数据中主动识别业务改进的机会，并形成可执行的洞...,人力资源服务,http://jobs.zhaopin.com/CCL1483621100J40836199805.htm,300-499人,2025-12-31 11:22:47,30000.0,50000.0,14.0
商业分析岗,北京,云梦泽(北京)电子商务有限公司,本科,5-10年,,,岗位职责：1.管理云梦泽商业分析团队，建立平台数据指标体系与分析机制，收集处理多渠道数据，组织开展运营监控与统计分析2.编制定期监控分析和专题分析报告，为运营管理提供决策建议，持续推进运营服务精益化管理和业绩提升3.负责制定云梦泽投资研究策略与方向，开展项目筛选和尽职调查，为云梦泽投资提供决策建议4.持续迭代数据指标体系、经营分析体系，监测业务发展健康状况，能及时定位问题，并给出解决方案5.沉淀分...,电子商务,http://jobs.zhaopin.com/CCL1478504940J40908648408.htm,100-299人,2025-12-26 15:50:15,,,
