职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级技术专家（（同技术牵头人，侧重架构规划方向）,北京,卓望信息技术(北京)有限公司,本科,10年以上,"Java,Mybatis,SpringBoot,微服务架构,分布式高并发,ORACLE ERP",50000-90000,"职责范围1. 制定并优化公司的架构规划，确保技术体系与业务战略高度契合。2. 主导大型复杂项目的架构设计，包括但不限于系统架构、技术选型、技术路线规划等。3. 提供前瞻性技术指导，推动技术创新与项目高效迭代,确保技术体系的先进性与稳定性,技术团队能力提升。4. 协调跨部门技术团队，确保大型项目的技术攻关与架构搭建顺利推进。5. 深入研究行业技术趋势，为公司技术发展提供战略建议。6. 参与行业技术交...",互联网,http://jobs.zhaopin.com/CC120834160J40773476302.htm,1000-9999人,2025-10-14 17:46:57,50000.0,90000.0,12.0
研究院副院长,北京,中际联合,本科,经验不限,,50000-80000,岗位职责：1．战略规划与落地1)协助制定研究院的发展战略，负责具体实施计划的制定与推进2)协助风电领域新产品调研以及项目落地，保证公司产品竞争优势2．产品标准化1)建⽴前瞻性产品开发体系，规划核⼼产品⽅向，持续打造核⼼产品竞争力2)持续优化产品标准化建设3．技术创新1)关注行业技术动态，提出创新方向和思路2)推动新技术、新方法在研究院的应用与实践4．国际化视角1)关注海外市场对产品的技术与标准需求...,专用设备制造,http://jobs.zhaopin.com/CC141855450J40912420715.htm,500-999人,2025-12-24 18:13:47,50000.0,80000.0,12.0
架构师,北京,中电信数智科技有限公司,硕士,3-5年,,,岗位职责：1、负责大型项目（如智慧园区、智慧城市、低空经济）的总体技术方案设计与评审，确保技术先进性、可行性、扩展性和安全性。2、主导技术选型、参与商机评估，解决项目中的关键性技术难题和性能瓶颈，为项目提供最深层次的技术兜底。3、制定技术与集成规范、标准，并推动在全国交付体系内落地执行。4、前瞻性地研究并引入业界新兴技术，构建公司在特定领域的技术壁垒。5、领导一支规模化的研发/交付研发团队，负责公...,IT服务,http://jobs.zhaopin.com/CC000520810J40901692308.htm,10000人以上,2025-11-20 17:33:45,,,
IT应用架构师（供应链领域）(046536),北京,歌尔股份,本科,经验不限,,55000-80000,岗位职责:负责为个性化选配业务设计端到端业务及IT解决方案 任职要求:1. 10年以上工作经验，具备丰富的消费电子行业端到端的超级BOM选配业务项目实施经验；2. 掌握端到端业务及系统方案，业务模块包含研发、供应链、生产制造、仓储、关务物流、财务等；系统包含ERP，PLM，MES，WMS，TMS，关务系统等；3. 系统规划与架构能力，规划个性化定制业务IT系统架构及各系统协同关系；4. 项目管理经...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40734233706.htm,10000人以上,2025-11-17 18:27:47,55000.0,80000.0,12.0
平台总架构师,北京,北京韩美智恒科技有限公司,本科,10年以上,"平台架构,医疗健康,精通英语",50000-80000,1.核心职责：-负责从0到1设计并搭建平台的核心技术架构，确保其具备高可用、高并发、可扩展及安全性。-主导“远程诊疗”、“药品流通”、“食品订购”与“保险结算系统”四大模块的技术整合方案。-做出关键的技术选型决策，并把握长期技术方向。2.能力与经验要求：-必备经验： 拥有设计和领导复杂、高并发ToC或ToB平台系统的成功经验，有从0到1搭建平台者优先。-创新思维： 我们寻求的不是常规方案的执行者，...,IT服务,http://jobs.zhaopin.com/CC141846580J40733030106.htm,100-299人,2025-11-12 15:50:19,50000.0,80000.0,12.0
资深技术专家（信创）,北京,中电信数智科技有限公司,本科,5-10年,"微服务架构,负载均衡技术,Java,C语言,C#,PHP,Python",,岗位职责： 1. 主导GHGY重大项目的技术交流，具有敏锐的行业信创应用洞察能力，精准识别党政、国央企、金融等客户在信创建设中的核心需求与业务痛点； 负责基于客户场景的信创改造集成架构设计，完成产品选型论证及全周期技术答疑和支持，并提供专业级解决方案演示； 2. 担任大型复杂信创项目（软硬件总包集成）技术负责人， 牵头制定项目总体实施方案、深化设计方案，组织解决集成过程中的关键技术难题； 3. 持...,IT服务,http://jobs.zhaopin.com/CC000520810J40898916808.htm,10000人以上,2025-11-14 13:55:25,,,
技术研发部经理,北京,北京金迈捷科技股份有限公司,硕士,5-10年,,50000-80000,岗位职责 1、构建研发体系、增强研发能力。根据市场调研情况，提出研发和技术创新方向。负责公司研发部部门管理、研发部团队建设，编制年度自研课题计划，并组织实施； 2、负责与客户技术对接，并对客户需求及时做出技术层面响应；负责外场保障工作； 3、负责现有产品的技术创新和改进，提高产品竞争能力；按照公司要求完成相关相关专利、软件著作权的文件编制及申请工作； 4、 负责产品设计开发及技术攻关，并对产品部、...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC541786120J40185622210.htm,20-99人,2025-08-21 09:17:43,50000.0,80000.0,14.0
年薪100万，Whatsapp集成架构专家，3002,北京,西安睿凡绅人力资源管理有限公司,本科,经验不限,"WHATSAPP,Golang",65000-70000,岗位职责1.负责滴滴国际化餐饮SaaS系统商家WhatsApp生态能力研发，涵盖商家聚合、AI Waiter、在线点单、订单跟踪、营销等业务功能。2. 核心消息系统构建负责 WhatsApp 消息收发核心服务的架构设计与开发，支持高并发、海量消息的即时处理。主导 WhatsApp Official Business API (BSP) 的全流程接入，包括账号授权、模板消息管理、Webhook 回调...,人力资源服务,http://jobs.zhaopin.com/CCL1295664340J40786705916.htm,20-99人,2026-01-10 12:15:26,65000.0,70000.0,15.0
架构师,北京,中电信数智科技有限公司,硕士,10年以上,,,岗位职责： 1、负责大型项目（如智慧园区、智慧城市、低空经济）的总体技术方案设计与评审，确保技术先进性、可行性、扩展性和安全性。 2、主导技术选型、参与商机评估，解决项目中的关键性技术难题和性能瓶颈，为项目提供最深层次的技术兜底。 3、制定技术与集成规范、标准，并推动在全国交付体系内落地执行。 4、前瞻性地研究并引入业界新兴技术，构建公司在特定领域的技术壁垒。 5、领导一支规模化的研发/交付研发团...,IT服务,http://jobs.zhaopin.com/CC000520810J40897347508.htm,10000人以上,2025-11-12 18:33:28,,,
架构师,北京,航星永志,本科,5-10年,,35000-70000,岗位内容： 1. 负责公司系统架构设计规划、优化和应用场景落地。 2. 协同开发团队，在需求分析阶段提供技术支持和建议。 3. 负责技术方案的研究、方案评估和技术规范制定。 4. 负责开发中遇到的技术难点解决方案的提供和实施。 任职要求： 1. 掌握多种架构分布式技术、云计算技术和框架，并有丰富的实践经验。 2. 坚持代码质量，具有出色的编码习惯及良好的工作风格。 3. 具备较强的学习能力、自我驱...,计算机软件,http://jobs.zhaopin.com/CC142041700J40786681409.htm,500-999人,2025-11-19 11:28:23,35000.0,70000.0,12.0
