职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Keeta-体验设计Leader（D端）,北京,北京三快在线科技有限公司,本科,5-10年,,,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40820551209.htm,10000人以上,2026-01-11 08:46:18,,,
设计总监,北京,北京万润数字科技有限公司,本科,5-10年,"数据中心,IDC",40000-70000,岗位职责：1、全面负责管理数据中心的整体架构设计，包括电气系统（高压配电、UPS、柴发等）、暖通空调系统、弱电与智能化系统、网络与布线系统等；2、主导数据中心概念设计、初步设计和施工图设计阶段的评审与决策，确保设计方案在可靠性、能效、总拥有成本和可扩展性方面达到最优平衡；3、负责项目全生命周期的技术决策，包括设备选型、施工方案审核、验收标准制定等关键工作；4、全面负责协调跨部门团队及外部合作伙伴（...,云计算/大数据,http://jobs.zhaopin.com/CCL1269682410J40863293802.htm,100-299人,2026-01-10 00:40:01,40000.0,70000.0,12.0
设计负责人/总监 （餐饮及食品方向）（MJ002029）,北京,北京skp,本科,5-10年,室内设计,50000-70000,我们致力于打造颠覆传统、引领潮流的餐饮空间体验。我们不仅在经营餐厅，更是在创造令人难忘的“社交目的地”和“文化地标”。我们正在寻找一位不止是设计师的“空间造梦师”，用前瞻性的创意和卓越的工程落地能力，将天马行空的构想变为可盈利的商业现实。 岗位要求主导新品牌、新门店的餐饮空间概念创意发想，提供具有市场竞争力的差异化设计方案。深入研究餐饮趋势、消费者行为及文化艺术潮流，将新型材料、科技互动（如光影艺...,零售/批发,http://jobs.zhaopin.com/CC136644150J40951005704.htm,500-999人,2025-09-10 19:32:13,50000.0,70000.0,14.0
UE/UI设计师,北京,云梦泽(北京)电子商务有限公司,本科,3-5年,,,岗位职责：1、负责全平台全链路的体验设计、视觉提升、迭代优化等工作，交互设计和视觉设计能力需有突出项； 2、敏锐洞察用户需求和产品诉求，独立完成设计方案，并推动方案落地； 3、制定完整、合理、适配的设计规范，保证体验一致性； 任职要求：1、具有良好的政治素质和思想品德，拥护中国共产党的领导，拥护党的路线、方针、政策。遵纪守法，品行端正，热爱石油事业，认同中国石油企业文化; 2、符合电商行业需要及关...,电子商务,http://jobs.zhaopin.com/CCL1478504940J40825481008.htm,100-299人,2025-12-26 00:06:02,,,
产业园设计负责人,北京,华夏幸福基业股份有限公司,本科,10年以上,产业园改造,,1、全面负责产业园项目的方案设计、结构设计、机电设计、产业园区改造等专业统筹工作，确保设计质量、进度及成本控制符合要求；2、针对IDC、高标制造产业园、物流园等业态提供技术指导，解决设计难点；3、负责与主管部门、公司内其他职能、施工单位顺畅沟通，确保项目方案效果落地。任职要求：1、本科及以上学历，具备国家一级注册建筑师资格或国家一级注册结构工程师；2、10年以上产业园、工业厂房类项目设计、改造经验...,房地产开发,http://jobs.zhaopin.com/CC120177620J40756109501.htm,10000人以上,2025-12-21 10:49:42,,,
设计经理（数据中心架构设计）,北京,锐仕方达人才科技集团有限公司,本科,5-10年,"设计经理,设计主管,设计总监,暖通设计,弱电设计,全专业设计管理,向客户汇报工作,统筹设计团队,数据中心架构设计",30000-50000,主管设计/技术部门的管理工作，下属4人（电气、暖通、弱电、建筑），主管企业数据中心项目的设计统筹管理，以及项目技术指导工作。包括项目前期选址、签订入园协议、规划设计、能评获取、施工、运维、销售对接、融资全业务覆盖。,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40830582314.htm,100-299人,2025-12-15 15:26:26,30000.0,50000.0,12.0
设计经理（油气工程行业）(J12243),北京,杰瑞集团,本科,经验不限,"海外EPC,出国不出国均可,石化行业",25000-50000,岗位职责:1、负责项目设计管理工作。 2、负责组织项目设计的技术管理。 3、负责组织项目设计的基础工作(包括设计模板、设计规定的编制、标准化设计、软件开发和学习、标准宣贯与学习等）。 4、负责设计的团队管理和建设（人才引进、培训、绩效）。 5、识别本岗位的HSE危险源和环境因素，遵守法律法规和公司HSE管理要求；参加HSE培训教育活动，提高安全意识。任职要求:具备同岗位工作经验，具备海外工作经历，...,石油/石化,http://jobs.zhaopin.com/CC212499610J40856670703.htm,1000-9999人,2025-11-17 10:45:02,25000.0,50000.0,12.0
(驻张家口)规划设计总经理,北京,富龙控股集团有限公司,学历不限,5-10年,,40000-50000,"1、主持部门的日常工作； 2、负责公司项目的规划设计审核工作； 3、负责对集团各在建项目的相关节点组织概念方案、规划方案、单体方案、园林设计、施工图评审； 4、负责组织团队对各专业新规范、新政策、新理念、新技术、新工艺、新材料等信息的掌握、学习及应用,为项目建设提供优化建议； 5、负责组织技术标准的编制与修订； 6、负责组织标准图集的组织、设计与修订； 7、配合新项目的产品研发、成果优化及后续跟踪...",房地产开发,http://jobs.zhaopin.com/CC615843920J40207387403.htm,1000-9999人,2025-08-18 11:21:35,40000.0,50000.0,12.0
优秀空间设计总监,北京,北京三月雨文化传播有限责任公司,本科,5-10年,"主案设计,展览馆设计",30000-50000,一、岗位职责： 1.有成功落地经典项目，.成熟专业的设计团队或企业； 2.了解展览馆、博物馆行业； 3.管理设计团队，指导设计方向和质量; 4.协调制定项目进度和设计计划； 5. 参与重要的设计决策，为公司提供战略性建议。,会议/展览,http://jobs.zhaopin.com/CC161216229J00211580015.htm,100-299人,2025-04-11 00:01:01,30000.0,50000.0,12.0
机械总监,北京,北京戴纳实验科技股份有限公司,本科,5-10年,,30000-45000,岗位职责1. 带领和建设非标自动化项目执行团队，主导研发、设计机器人实验室。2. 与实验室用户交流，了解、收集用户需求，提出切实可行的机器人实验室方案；3. 针对用户需求，规划、设计非标自动化机器人实验室，带领项目执行团队快速完成机器人实验室的详细设计、加工制作、现场安装测试等工作。4. 指导项目执行团队，在项目执行过程中，按要求完成设计文档撰写、技术文件归集等；审核上述设计文件，确保设计方案符合...,工程技术与设计服务,http://jobs.zhaopin.com/CC398782320J40761567514.htm,300-499人,2025-12-17 17:08:55,30000.0,45000.0,12.0
IDC设计经理,北京,中联云港数据科技股份有限公司,本科,3-5年,IDC电气暖通设计,40000-45000,岗位职责：1. 负责项目各专业总体协调，各专业设计协调，并提供有效的设计建议，审核相关施工方案和施工图纸;2. 具备现场分析问题和解决问题能力; 3. 负责技术部、跨部门、相关供应商的沟通协调解决问题能力4. 对客户沟通及汇报能力5. 语言：中文、英文均可用于工作语言。任职资格：1. 需要海外项目经历不少于3年；能流利用英语进行技术交流沟通及工作；2. 本科及以上学历，5年以上工作经验，3. 电气...,IT服务,http://jobs.zhaopin.com/CC208499030J40861582503.htm,1000-9999人,2025-12-05 17:07:40,40000.0,45000.0,12.0
外卖用户端-UX设计师,北京,北京三快在线科技有限公司,本科,1-3年,,,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40739603809.htm,10000人以上,2026-01-11 08:23:39,,,
设计管理岗（静设备）,北京,中化学国际工程有限公司,本科,10年以上,"管道设计,油气管道,压力管道",28000-40000,岗位职责：（1）参与组织、指导和协调项目的设计管理工作。（2）监督推进设计工作按合同的要求（包括进度、费用和质量）完成。（3）参与配合采购与施工工作，满足项目建设的要求。（4）对接业主或PMC，汇总分析业主或PMC审查意见，及时解决专业问题。（5）做好项目设计变更管理，建立专业变更台账。 （6）参与设计交底，处理施工开车中的设计问题，做好设计总结。 岗位要求： （1） 10年以上炼油石化项目压力容...,石油/石化,http://jobs.zhaopin.com/CCL1456969080J40813443909.htm,100-299人,2026-01-07 09:56:30,28000.0,40000.0,12.0
房地产设计总监,北京,北京中阳盛锋投资管理公司,本科,5-10年,"写字楼,酒店",30000-40000,岗位职责： 1.负责房地产建筑项目的整体设计规划和方案制定2.监督设计团队的工作进度，确保设计质量符合项目要求3.协调与施工、采购等部门的沟通，保障设计方案的顺利实施4.参与项目评审，提出专业意见和改进建议任职要求： 1.具备丰富的房地产建筑设计经验2.拥有出色的团队管理和协调能力3.熟悉建筑设计相关法规和标准4.具备良好的沟通能力和解决问题的能力,房地产开发,http://jobs.zhaopin.com/CC252993410J40799546801.htm,1000-9999人,2025-12-26 09:39:50,30000.0,40000.0,12.0
AI体验设计师,北京,北京三快在线科技有限公司,本科,1-3年,,,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40751168209.htm,10000人以上,2026-01-11 08:22:32,,,
设计经理,北京,苏州稻香村食品集团股份有限公司北京分公司,本科,3-5年,,20000-40000,岗位职责：1.基于产品开发要求、产品定位要求、产品技术要求，产品成本要求，产品设计要求，合理选择和计划包材。2.基于产品开发进程，及时完成产品所需包材的策划、供应商沟通、样品制作与评估评价等工作。3.基于产品改进优化要求下的包装升级、外形改造等改进工作。4.基于产品精进要求下，从材质成本、尺寸最优化、生产便利性等方面不断优化包装，使损益最低，收益最大化。 5、筹建项目小组，制定产品外包装设计方案，...,快速消费品,http://jobs.zhaopin.com/CC846168170J40535539608.htm,1000-9999人,2025-12-18 13:27:44,20000.0,40000.0,12.0
