职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
北京销售专员/软件产品/销售,北京,鸣意信息科技(上海)有限公司,大专,1-3年,"KA大客户,企业客户,面销/陌拜,电话销售,会议/会展销售",150000-250000,岗位职责：1、负责公司的软件产品销售工作，完成既定的销售任务；2、负责通过各种方式进行新客户的开发，重点用户跟踪工作；3、向客户提供产品演示及匹配相关的解决方案；4、维护与客户的良好关系，开发新的客户需求；5、完成上级指派的与销售相关的工作任务。岗位要求：1.大专以上学历；2.善于团队合作，具有良好的组织能力，良好的沟通能力和分析解决问题的能力；3.有一定的市场营销经验，擅长to B销售形式，有软...,计算机软件,http://jobs.zhaopin.com/CCL1423009090J40688368101.htm,20-99人,2025-05-08 10:17:23,150000.0,250000.0,13.0
康养文旅海外地产营销总监销售经理销售专员,北京,太平人寿保险有限公司北京分公司海淀支公司(盛世团队),大专,经验不限,"文旅地产,康养地产,海外地产,面销/陌拜	,电话销售,网络销售,团建福利,周末双休,带薪培训,高提成,市场部支持 老客户资源",140000-240000,岗位职责:1.负责康养文旅海外地产项目的售卖，且只卖资格，公司提供优质客户资源；2.日常工作:经营客户关系，提升客户粘性。任职要求:1.优秀的沟通技巧和客户服务意识；2.有地产销售或销售管理经验，结合过往经验定级定薪；3.有文旅或康养或海外地产项目优先考虑。如果您有地产销售或销售管理经验又想拿到高回报，欢迎同我们交流，共谋新发展!,保险,http://jobs.zhaopin.com/CCL1501507870J40818410003.htm,10000人以上,2025-07-27 23:21:32,140000.0,240000.0,12.0
农业运营销售总监,北京,北京盈捷投资基金有限公司,大专,1-3年,"渠道销售,代理商销售,网络销售,KA大客户,企业客户,政府客户",100000-200000,岗位内容： 1. 开发和维护客户关系，与客户建立紧密合作关系，促进销售额的增长。2. 设计和执行销售策略，确保销售目标得到满足。3. 协调内部资源，包括支持部门和产品开发，确保满足客户需求。任职要求：1. 具有成功的销售经验，能够证明在类似环境下取得了显著的成就。2. 出色的人际交往和沟通技巧，能够与不同类型的人建立关系。3. 精通行业和市场趋势，对未来的市场变化有清晰的预测和计划。,投资/融资,http://jobs.zhaopin.com/CC668253020J40849202013.htm,300-499人,2025-12-12 14:12:22,100000.0,200000.0,12.0
休闲有机农场运营主管/经理（昌平南庄营农场）,北京,北京天安农业发展有限公司,大专,1-3年,"活动运营,社群运营,销售运营",80000-150000,岗位职责：1、主要负责休闲有机农场的整体规划与运营。2、负责农业体验项目的活动策划与组织。3、负责完成农场客户开发维护，销售任务分解及任务达成。4、公司宣传平台(微信等)创建与运营。5、与内外客户进行沟通、交流，全面了解客户的需求。6、参与市场调研及营销推广执行。7、负责维护公司品牌形象。8、完成上级领导交办的各项工作。要求：有休闲农场3年以上运营经验，有出色的运营成功案例。,快速消费品,http://jobs.zhaopin.com/CC152249620J40718051509.htm,300-499人,2026-01-08 09:00:00,80000.0,150000.0,12.0
运营管理岗,北京,中铁建发展集团有限公司北京水务分公司,本科,5-10年,"环境工程,污水运营",120000-150000,岗位职责：1、建立管理规范与标准，制定生产运营管理的标准以及相应工作流程；2、监督、指导和支持运营项目公司的生产运营管理工作，对接集团和水务分公司各部门，协调解决运营项目相关的问题，定期对运营项目进行分析评估和考核；3、前期支持在市场阶段现场运行调研、运营成本测算和编制投标文件中的运营方案，协助审核新建项目技术路线、工艺设备采购选型等；4、监督和审核水厂运营期间的生产成本、运行质量，并提出改进要求...,环保,http://jobs.zhaopin.com/CCL1375100470J40843722012.htm,100-299人,2025-10-28 16:04:35,120000.0,150000.0,12.0
内容策略运营Leader-Lemon8,北京,字节跳动,本科,3-5年,,86000-140000,岗位职责：1、搭建Lemon 8的推荐问题发现体系，基于监控数据与画风快速识别分发结构和内容质量问题（如画风异常、相似内容密集、流量分配不均等），并结合用户洞察和数据分析进行论证与量化；2、与推荐产品及算法团队协作，完成从问题发现、定义、策略制定到效果验证与迭代优化的全流程；3、制定方向与目标，规划并优先化项目，推动跨部门合作与资源获取，确保优化策略落地并兼顾用户体验、业务增长和平台生态；4、深入...,互联网,http://jobs.zhaopin.com/CC469217510J40808586001.htm,10000人以上,2025-11-21 13:31:24,86000.0,140000.0,12.0
千亿机遇消费电商COO运营总经理,北京,东方魂集团有限公司,本科,10年以上,"副总裁/副总经理/VP,合伙人,消费电商平台,产业电商平台,线下业务渠道运营,平台运营,TO C,产品运营",60000-120000,千亿机遇消费电商/产业电商COO、运营总经理启事 (优秀产品VP、产品总经理、产品总监也请投递简历)80-150K30-45岁 一、电商英雄何在？ 时势造英雄，英雄造时势！ 今天，当我们的社会发展到新时代，新机遇、新问题同时诞生，如何做一个百年企业、世界500强？如何更好创建新的商业模式、施行科学战略去建设全新的电商平台，更好利于社会消费、生产、就业？如何高瞻远瞩、匠心独运、矢志不渝去协同成就人生...,电子商务,http://jobs.zhaopin.com/CCL1447401100J40696091909.htm,100-299人,2025-10-10 09:39:40,60000.0,120000.0,12.0
服务风险运营负责人,北京,北京三快在线科技有限公司,本科,5-10年,用户运营,,岗位职责:1.基于业务策略及未来趋势预判，制定服务策略，提供服务建议，不断提升用户体验、控制服务风险。2.制定清晰的服务规划及目标，控制体验、效率、风险、成本各项指标之间的平衡，保证投入产出的合理性并达成整体业务目标。3.洞察客户需求、行业趋势，诊断核心问题诊断，通过产品、流程、机制等确定解决方案，提升问题处理效率及人效。4.优化迭代服务运营及交付团队管理体系，保障团队战斗力。5.协调内外部资源以...,互联网,http://jobs.zhaopin.com/CC383625320J40812980209.htm,10000人以上,2025-11-24 11:45:12,,,
直播策划运营,北京,北京叩之问诚品精购商贸有限公司,本科,5-10年,"抖音,视频号,快消品,玩具",50000-100000,研究目标客群需求，研究产品买点，策划营销活动，策划直播营销,电子商务,http://jobs.zhaopin.com/CCL1510210640J40857551702.htm,20人以下,2025-12-29 11:58:06,50000.0,100000.0,12.0
运营副总裁,北京,东旭集团,本科,5-10年,"运营管理,搭建集团业务及职能运营管理体系",50000-100000,职位介绍职责描述： 1、负责组织搭建集团业务及职能运营管理体系； 2、条线和板块经营计划制定及目标考核；3、组织制定各条线和各板块的年度、月度等周期性经营计划；备案、跟踪和评估各二级组织的周期性经营计划； 4、协调、评估和审核各条线和各板块的周期性经营计划5、集团战略落地及执行、调度、考核、分配等统筹；6、集团运营人力条线管理；任职要求：1、文化认同：认同东旭文化、忠于组织、忠于事业；2、高度意愿...,金属制品业,http://jobs.zhaopin.com/CC434922110J40818341510.htm,500-999人,2025-12-26 09:33:34,50000.0,100000.0,12.0
