职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
APP技术-大前端（iOS/Android/FE）资深工程师,成都,北京三快在线科技有限公司,本科,3-5年,,,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819768709.htm,10000人以上,2026-01-11 19:02:15,,,
高级android开发工程师,成都,北京天行探索科技有限公司,本科,5-10年,"GIS/地图项目,Android Studio,SDK,Kotlin,Java,Flutter",25000-40000,（一）岗位职责1. 负责公司Android手机APP软件需求分析及架构设计，成软件模块划分、技术选型和技术规范制定。2. 参与公司Android手机APP软件产品开发，负责软件核心模块代码编写及相关技术文档编写，按计划完成软件开发，软件功能实现符合设计预期，软件稳定、可靠运行；3. 关注安卓生态及技术的最新发展动态，研究新技术、新框架和新工具，推进软件产品技术创新，不断提升软件的性能和竞争力。（二...,通信/网络设备,http://jobs.zhaopin.com/CCL1501456170J40755650316.htm,20-99人,2026-01-10 14:17:40,25000.0,40000.0,15.0
Android/Linux驱动工程师,成都,深圳市普渡科技股份有限公司,本科,5-10年,"Android,Linux",20000-40000,工作职责1、负责Android/Linux系统硬件驱动的设计、开发，各种外设的调试、调优，包括但不限于LCM、TP、Camera、USB、以太网、WLAN、BT、CAN等；2、负责Android/Linux内核及系统裁剪与配置，各模块的优化，提升产品的性能和稳定性；3、与硬件工程师紧密合作，解决开发、产品生产和客户终端遇到的各种问题，包括但不限于各类crash、系统重启、死机、黑屏等；4、负责部分...,互联网,http://jobs.zhaopin.com/CCL1318355140J40819245303.htm,500-999人,2026-01-06 01:04:46,20000.0,40000.0,12.0
安卓开发工程师,成都,北京鼎腾科技有限公司,本科,1-3年,"多线程,Flutter,Framework,SDK,Android Studio,Java,Kotlin,C++",20000-40000,"岗位内容：1. 负责开发 Android 应用程序，并保证应用程序及时上线；2. 实现高质量、高可靠性的软件开发；3. 及时解决疑难杂症，在项目进展中保持高度的主动性。任职要求：1. 本科及以上学历，2年以上Android开发经验；2. 熟悉Java语言、掌握完整的Android开发流程、熟悉Gradle构建工具;3. 熟悉常用的第三方SDK和框架: Okhttp/Retrofit, EventB...",IT服务,http://jobs.zhaopin.com/CC821752090J40808147108.htm,500-999人,2025-06-16 16:42:29,20000.0,40000.0,14.0
AndroidFramework工程师(C8706),成都,中科创达软件股份有限公司,大专,经验不限,"Framework,Java,安卓系统,性能稳定性,SETTING",18000-35000,职位描述：负责Android系统模块的优化和系统稳定性的维护，Framework功能开发、需求分析、框架设计、调试等。职位要求：1、专科及以上学历，计算机或相关专业;2、良好编程习惯和文档编写习惯、具备良好的分析解决问题能力、有良好的沟通能力;3、能够独立解决疑难问题，具备技术前瞻性，精通Android运行机制，对团队技术产生影响力；4、具有Framework开发经验，安卓系统性能优化 稳定性也可...,计算机软件,http://jobs.zhaopin.com/CC285451210J40522427611.htm,1000-9999人,2026-01-10 01:31:48,18000.0,35000.0,12.0
对日软件开发工程师,成都,杭州优灿科技有限公司,学历不限,经验不限,"日语,Java,C#,嵌入式技术,软件工程师,C++,VB,SQL,.NET,Python,Android",18000-35000,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853543813.htm,500-999人,2026-01-05 14:12:00,18000.0,35000.0,12.0
android安卓开发工程师,成都,德科信息有限公司,本科,3-5年,"Android Studio,多线程,Java,Kotlin",25000-35000,【岗位要求】- 本科5年以上android实际开发经验（有andriod端和web前端开发经验的android开发经验可3年以上）- 精通Android开发平台及框架原理，精通Java/Kotlin语言其中一种，kotlin优先- 熟练掌握面向对象编程模式和面向对象思想，可以对业务逻辑进行很好的抽象- 了解各种软件设计模式，能够熟练地应用常见的模式到具体编码中- 具备较好的学习能力、问题分析能力，...,IT服务,http://jobs.zhaopin.com/CC589380620J40910704704.htm,1000-9999人,2025-12-18 01:07:56,25000.0,35000.0,12.0
高级Android工程师（海外金融方向）,成都,北京良沃资本管理有限公司,本科,3-5年,"现金贷项目,Java,Kotlin,JET PACK COMPOSE,开发过ANDROID代码检测工具",20000-35000,岗位职责：独立完成Android应用的设计、编码、跟进测试和打包发布；负责公司海外金融类Android应用的开发和维护；优化现有产品的性能和用户体验；跟踪最新技术动态，参与新技术的研究和应用；与团队成员紧密合作，确保项目按时高质量完成。任职要求：计算机相关专业本科及以上学历，3年以上Android开发经验；必须具备独立开发Android应用的能力，并且有应用上架Google Play的经验；有开发...,投资/融资,http://jobs.zhaopin.com/CCL1487893090J40828534805.htm,20-99人,2025-11-24 15:13:26,20000.0,35000.0,12.0
Java/python/web/c/c++/js/go/测试/安卓,成都,外企德科数字技术有限公司,本科,经验不限,,15000-30000,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837050105.htm,10000人以上,2026-01-11 00:27:04,15000.0,30000.0,14.0
camera驱动开发工程师,成都,成都鼎桥通信技术有限公司,本科,5-10年,"CAMERA,Android,鸿蒙",20000-30000,工作职责1、在鸿蒙/Android/Linux系统上，负责摄像头驱动的设计，调试和集成。2、与硬件团队紧密合作，完成摄像头模组相关器件调试。3、在鸿蒙/Android系统上，负责camera HAl的特性开发与调试。4、参与制定并维护 Camera 生产校准与测试流程，快速定位并解决工厂量产问题。任职资格1、熟悉 I²C、MIPI CSI-2、D-PHY/C-PHY 等接口协议，可熟练使用示波器、...,通信/网络设备,http://jobs.zhaopin.com/CC451015510J40821753307.htm,1000-9999人,2026-01-09 10:48:41,20000.0,30000.0,12.0
