职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
全栈工程师,成都,马鞍山隆西科技有限公司,本科,5-10年,"react,node.js,AI",20000-35000,工作职责1. 开发和维护基于生成式 AI 的在线自然语言文字处理平台。2. 整合生成式 AI 技术，以模块化的方式实现特定需求的文字生成功能。3. 设计并实现具有灵活性的 UI，使用户能够自由配置 AI 的 prompt 以及相应文字模板。4. 对产品和 UX 有独立的思考能力，并与团队合作进行产品迭代和改进。5. 编写高质量的、可扩展的和易于维护的代码，并进行必要的单元测试和集成测试。6. 能进...,计算机硬件,http://jobs.zhaopin.com/CCL1503675550J40786784611.htm,500-999人,2025-09-18 17:35:56,20000.0,35000.0,14.0
高级前端工程师,成都,爱齐(上海)商贸有限公司,本科,经验不限,"JavaScript,WebGL,Node.js",20000-28000,"Join a team that is changing millions of lives.Transforming smiles. Transforming lives. Transforming an industry. At Align Technology, we believe a great smile can transform a person’s life, so we cre...",医疗设备/器械,http://jobs.zhaopin.com/CC397586710J40877882702.htm,1000-9999人,2025-12-09 18:55:18,20000.0,28000.0,12.0
AI 前端开发工程师(NodeJS全栈),成都,安世亚太科技股份有限公司,硕士,5-10年,"LLM,智能体应用",15000-25000,——技术栈· React / Next.js / TypeScript；Node.js / Docker / CI/CD / 云部署——我们在做什么· 我们在构建企业级 AI 智能体应用平台，以“新型知识工程”为底座，将企业数据/知识/语料统一治理与服务化，支撑各类智能体在真实业务中稳定运行，做到 可控、可追溯、可评测、可规模化——你会负责什么· 设计并实现智能体平台核心能力· 负责智能体应用的端...,计算机软件,http://jobs.zhaopin.com/CC130022840J40742880606.htm,500-999人,2025-12-22 09:23:59,15000.0,25000.0,12.0
高级资深前端工程师,成都,四川幻立方科技有限责任公司,本科,5-10年,"SAAS,JavaScript,HTML5,TypeScript,Vue,React,uni-app,Node.js,Canvas",20000-25000,资深前端开发工程师/技术专家工作职责：1、负责智慧校园SaaS相关前端技术选型、架构搭建、核心代码开发及持续迭代；2、负责通用组件方案制定、性能优化相关工作；3、负责复杂业务研发，熟悉多端的适配工作；4、指导初中级工程师学习成长，沉淀系统实战经验，和团队共同成长进步；职位要求：1、计算机相关专业统招大学本科以上学历；2、至少5年以上前端开发经验；3、具有SaaS前端系统的架构、部署和实践经验；有良...,互联网,http://jobs.zhaopin.com/CC867442280J40852966702.htm,20-99人,2025-11-14 00:08:02,20000.0,25000.0,12.0
高级前端开发工程师,成都,四川沧笙踏歌科技有限公司,本科,3-5年,"电商项目,ERP项目,CSS,JavaScript,HTML5,Vue,ElementUI,uni-app,Node.js,Echarts,Three.js",12000-24000,投简历前必看（重点）： 1、我们是做AI项目，要有前端架构能力，同时前端会封装很多组件，不是简单的增删查改业务，页面会处理大量的JSON数据，要求程序有极高的性能，如果你不具备此能力，请勿投递 2、我们公司在新都大丰，对上班距离在意的，请勿投历 3、公司管理非常人性化，自研产品，老板非常好 岗位职责1、至少 3 年的 Vue 开发经验，能够熟练使用 TypeScript 开发，有使用 Nuxt的经...,互联网,http://jobs.zhaopin.com/CC646665230J40718609609.htm,100-299人,2025-08-11 00:12:42,12000.0,24000.0,12.0
python后端开发工程师,成都,科爱信(成都)教育咨询有限公司,大专,1-3年,"MySQL,JavaScript,Python,node.js",14000-22000,工作地点：成都 （全职坐班，非外包岗位）薪资范围：14-22K + 每年固定涨薪工作职责：1、负责api集成开发，SaaS服务集成和维护任务；2、保障系统稳定性（SLA≥99.9%）；3、与产品紧密合作，理解需求并转化为技术方案。任职要求：1、计算机相关专业大专及以上学历；2、两年及以上Java/Go/Python/C++后端开发经验，熟悉前端JS有过实际开发经验；3、熟悉常用技术栈，有完整参与大...,培训/辅导服务,http://jobs.zhaopin.com/CCL1491827510J40858978203.htm,20人以下,2025-11-26 10:36:59,14000.0,22000.0,12.0
后端开发工程师,成都,四川科瑞远航信息技术有限公司,本科,1-3年,Java,10000-20000,岗位职责：1、核心系统开发：参与公司智慧农业云平台、物联网数据中台、大数据分析系统等后端服务的架构设计、核心模块开发与持续优化。2、业务逻辑实现：深入理解智慧农业业务场景（如智能灌溉控制、环境监测预警、作物生长模型、设备管理等），设计并实现相应的后端业务逻辑与数据处理流程。3、API设计与开发：设计并开发可复用的接口，为Web前端、移动应用及第三方系统提供清晰、规范、安全的数据交互服务。4、数据存...,计算机软件,http://jobs.zhaopin.com/CCL1266438710J40743245906.htm,20-99人,2026-01-11 01:15:10,10000.0,20000.0,12.0
Web前端工程师,成都,中软国际,本科,1-3年,"Web前端,HTML5,Javascript,CSS3,Vue,Node.js,React,Angular",,岗位职责： 1、熟悉html5、javascript， CSS3，对ajax有一定使用经验。 2、有大型单页Web应用开发经验，掌握web界面交互技术，熟练应用JS/DOM、AngularJS、DW3等； 3、熟悉前后台交互技术（表单、Ajax、HTTP协议等），熟悉Linux常用命令及数据库 4、有团队合作精神，逻辑能力强，工作有耐心，良好的沟通交流能力。职位福利：五险一金、周末双休、绩效奖金、...,计算机软件,http://jobs.zhaopin.com/CC508620120J40249927112.htm,10000人以上,2025-12-11 09:48:29,,,
前端开发工程师,成都,成都友容分子科技有限公司,本科,3-5年,"电商项目,JavaScript,CSS,uni-app,Redux,Node.js,APP移动端,React Native",10000-20000,岗位职责：1、负责iOS/Android双端App的需求评审、技术方案设计与开发落地（TypeScript）；2、搭建与维护基础工程框架：状态管理（Redux/RTK 或 Zustand）、路由（React Navigation）、网络与错误上报、主题/多语言等；3、性能与稳定性优化：启动加速、首屏渲染、列表性能（FlashList/RecyclerListView）、内存与掉帧治理（Flippe...,医美/健康服务,http://jobs.zhaopin.com/CCL1485649290J40809915401.htm,20-99人,2025-12-02 15:13:32,10000.0,20000.0,12.0
高级前端开发工程师,成都,四川盈信数科科技有限公司,本科,3-5年,"大屏/可视化项目,WebGL,Node.js,Vue,ElementUI,有智慧城市项目经验",14000-18000,岗位职责：1. 参与Web前端开发规范的制定及开发流程的优化； 2. 与产品、UI设计及后端开发人员配合，高质量完成前端开发工作；3. 负责将UI界面的高保真设计稿转化成Web页面；4. 根据需求完成响应式PC端和移动端Web前端开发；5. 解决Web前端页面的性能问题以及浏览器兼容性等问题；6. 维护、优化现有的Web前端应用，改善用户体验；调试和bug修复；7.根据需求，可独立设计并完成相关模...,互联网,http://jobs.zhaopin.com/CCL1463131290J40769674411.htm,20-99人,2025-12-01 15:56:34,14000.0,18000.0,12.0
