职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
审计助理,成都,成都衡昇会计师事务所有限公司,本科,1-3年,"政府审计,专项审计,财务审计",60000-120000,岗位职责： 1、协助项目经理完成现场审计工作； 2、协助项目经理完成工作底稿的编制、整理、归档工作； 3、协助项目经理出具审计业务报告； 4、完成领导交办的其他工作。 任职要求： 1、财务相关专业； 2、熟练掌握计算机软件的应用，如 office ; 3、能适应出差; 4、有责任心、上进心、较强的团队意识。 薪资及福利：节日福利、周末双休 任职资格： 1、本科及以上学历，专业不限； 2、具有财会、...,财务/审计/税务,http://jobs.zhaopin.com/CCL1246388410J40348279304.htm,20-99人,2025-10-30 16:13:43,60000.0,120000.0,12.0
产品经理-半导体/物理科研方向(J10086),成都,鑫图光电,硕士,5-10年,"半导体检测设备,产品的市场调研,应用场景支持,产品定义",50000-80000,岗位职责: 1、 全链路产品支撑：作为产品战略落地的核心推动者，为产品定义、研发、销售、技术支持团队及客户提供专业且动态的应用场景支持，打通跨部门协作壁垒，确保产品从概念到市场全生命周期高效运转。 2、 需求转化与方案：主导产品的市场调研，深入用户实验室，精准洞察应用和成像需求，将用户痛点转化为产品功能，输出可落地的产品性能提升的优化方案。 3、 产品迭代与竞争：主导产品功能测试和迭代规划，制定优...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC499064120J40831968308.htm,100-299人,2025-12-18 15:28:38,50000.0,80000.0,14.0
大数据产品技术专家,成都,成都某信息通信科技公司（央企）,硕士,5-10年,,40000-80000,岗位要求：1.硕士研究生及以上学历，通信工程、计算机、电子信息工程等相关专业，全球及国内头部科技企业或科研院所工作三年以上；2.熟悉通信行业业务支撑系统架构；3.熟悉通信网络及业务相关运营技术和流程；4.熟悉商用软件的开发管理流程与主流编程语言；5.熟悉oracle、DB2等主流数据库及Clickhouse/Doris、MPP的使用和维护；6.熟悉大数据技术栈，如Spark/Flink/Hive等...,互联网,http://jobs.zhaopin.com/CCL1318355140J40787224003.htm,500-999人,2025-11-04 10:39:59,40000.0,80000.0,12.0
5G NTN产品经理（总监）,成都,马鞍山隆西科技有限公司,本科,5-10年,,40000-70000,工作职责1、产品/解决方案规划：负责5G/NTN产品的方案规划、立项，以及产品的投资组合管理；2、市场洞察：负责行业洞察，友商竞争分析，客户分析，应用场景分析；3、需求管理：负责网络产品需求分析，支撑销售市场拓展。任职资格1、工作经验要求：在通信行业，5G、NTN等相关工作岗位上不低于5年工作经验，从事过产品经理、战略规划岗位者优先；2、熟悉网络通信产品的行业需求，掌握业界友商的产品优劣势。,计算机硬件,http://jobs.zhaopin.com/CCL1503675550J40808413011.htm,500-999人,2025-12-30 01:33:08,40000.0,70000.0,15.0
总经理助理,成都,四川中正百年科技集团有限公司,本科,5-10年,"集团公司,美业",50000-60000,（可仔细阅读岗位详情，合适直接发简历约面试哦，老板直接面谈，年薪可给到50-60w，需要有美业经验）岗位职责：1、销售战略及规划支持（参谋长角色）；1）协助董事长进行市场分析，竞争对手研究，参与制定公司中长期销售战略、年度销售目标及渠道策略；2）针对特定战略项目（医美项目、开拓特通渠道、启动大型项目），进行可行性分析，并制定具体的攻坚方案；3）定期向董事长提供销售数据分析报告，从宏观视角洞察销售趋...,医美/健康服务,http://jobs.zhaopin.com/CCL1481248800J40786445416.htm,300-499人,2026-01-09 10:36:21,50000.0,60000.0,12.0
资深产品专家（公卫应急）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深产品专家（公卫应急）,40000-80000,岗位职责：1、牵头负责急救中心、医院、疾控等公卫应急行业政策分析研判，深入市场需求调研，形成产品行业洞察报告；2、负责公卫应急产品的平台和应用产品的定义、功能和架构设计，负责产品生命周期管理。推动研发团队开展自主产品研发；3、负责落实集团和公司产品总体发展战略，开展产品的中长期规划设计，开展竞品对标分析，形成分析报告，指导产品和解决方案打造；4、负责产品商业模式规划设计，市场推广策略的制定和执行，...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788798403.htm,500-999人,2025-11-04 09:46:12,40000.0,80000.0,12.0
科伦博泰-药效助理总监(J12970),成都,科伦药业,硕士,10年以上,"新药研发,药理毒理研究",,岗位职责:工作职责：1、药效分管小组的项目管理/推动1）负责相关项目药效研究方案的制定和评价方法的建立，确保以科学、可靠、合规的策略对项目的有效性进行准确评价；2）根据项目优先度，合理分配资源，确保项目推进过程中，速度与质量并行；3）时发现并解决项目推进中遇到的各种问题，保证项目进度；4）积极与药物研发的各部门进行沟通，确保项目各环节的顺利衔接，同时以项目的末端目标动为指导，动态挖掘项目的特点和优...,医药制造,http://jobs.zhaopin.com/CC183890920J40889796802.htm,10000人以上,2025-12-26 13:51:56,,,
终端产品专家,成都,成都鼎桥通信技术有限公司,本科,10年以上,"国内市场,中东区域",40000-55000,岗位职责: 1、负责行业终端产业和磐石平台市场洞察、市场规划、商业模式设计，对终端产品的市场成功负责； 2、牵头构建行业终端产品&磐石平台的竞争力，规划产业和平台需求，构筑行业重点产品控制点，打造业界领先的终端产品方案 3、承担行业终端产业的上市管理，市场拓展策略和产品营销策略制定，实现商业成功 任职要求: 1、负责行业终端产业市场洞察和规划，具备3年以上终端产品规划经验，具备成功终端产品商业模式...,通信/网络设备,http://jobs.zhaopin.com/CC451015510J40762885907.htm,1000-9999人,2025-06-18 00:21:23,40000.0,55000.0,12.0
审计监察部部长助理(J16900),成都,新希望集团,本科,10年以上,"内部审计,工程审计,专项审计,集团公司,CPA,ACCA",25000-50000,岗位职责: 岗位职责： 1、协助部门长制定集团年度审计监察工作计划，负责组织配置及管理，建立健全集团审计监察体系，运用前沿技术等手段提升审计监察及反舞弊的工作效能和综合评价。 2、协助部门长打造集团廉洁合规文化，制定廉洁教育培训方案并监督执行，宣导集团反舞弊管理要求，全面提升集团员工、客户、供应商等合作伙伴的反舞弊意识和能力。 3、协助部门长集团专项调查工作，主动排查和受理举报线索，组织案件的内部...,农/林/牧/渔,http://jobs.zhaopin.com/CC121082640J40768631610.htm,10000人以上,2026-01-08 10:11:59,25000.0,50000.0,12.0
2026-宽带卫星民商行业产品总监,成都,鼎桥技术有限公司,本科,10年以上,"网络产品,卫星通信",25000-50000,岗位职责:1、产业经营：E2E管理好宽带卫星民商行业从客户需求到客户闭环的各环节；牵头打造业界一流竞争力的产品/平台/解决方案，支撑产品/行业场景在单一细分市场竞争力领先和经营目标达成；2、参与产业/行业标准、生态建设（包括但不限于：政策/标准/联盟/渠道/生态等）运作，规划并推动产业目标达成；3、联合产业与行业生态伙伴设计商业控制点，打造可持续发展的产业链与产业环境；4、通过围绕商业成功的营销策...,通信/网络设备,http://jobs.zhaopin.com/CCL1511150630J40834627314.htm,1000-9999人,2026-01-08 01:38:54,25000.0,50000.0,16.0
产品总监（工业物联网/商城）,成都,四川中讯数智科技有限公司,本科,10年以上,"软件产品,MES系统,FMCS",35000-50000,岗位职责：1.结合公司整体战略目标，制定公司中长期产品战略规划和路线图，确定产品发展方向和优先级，为公司决策提供专业的产品建议，提高产品竞争优势、客户满意度、行业影响力，促进营收增长。2.定期组织召开产品研讨会，与公司领导及相关部门协同，根据公司发展需求、客户需求，及时调整产品战略、规划、设计，确保产品与客户要求或公司整体战略一致。3.统筹全部产品的全生命周期，跟进与推动产品开发进度，把控开发方向...,物联网,http://jobs.zhaopin.com/CCL1492503650J40792010907.htm,100-299人,2026-01-08 01:18:42,35000.0,50000.0,12.0
CAE产品总监（国企平台、业务好、福利待遇好）,成都,南方新华,硕士,5-10年,"CAE软件应用、CAE软件、仿真,航空、航天、航发、船舶、兵器,CAE工程应用、CAE、仿真应用",30000-50000,岗位职责：1.洞察行业痛点，规划产品发展路线，制定和落地产品差异化竞争策略；2.为客户提供专家级解决方案，赋能售前；3.结合产品优势和行业案例开展高层沟通，争取资源；4.持续培训和提升售前团队专业能力。任职资格：1.硕士及以上学历，7年以上CAE软件应用或开发经验，博士学历优先；2.深入了解至少一款主流结构CAE软件和一款主流流体CAE软件；3.在至少1-2个重点行业（如航空、航天、航发、船舶、兵...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40819158911.htm,100-299人,2026-01-06 13:57:05,30000.0,50000.0,12.0
硬件产品研发经理,成都,成都金诺信高科技有限公司,本科,5-10年,,30000-50000,(1)协助决策:：协助研发部总经理制定产品研发部长期发展规划和年度工作计划；(2)项目管理：负责或参与重要项目的规划、执行、监督和总结，确保项目按时按质完成；(3)技术指导：参与技术研讨，提供技术方案，指导工程师解决技术难题；(4)团队建设：负责团队建设，提升团队凝聚力和工作效率；(5)质量管理：确保研发过程和最终产品符合公司标准和客户要求；(6)预算管理：参与预算编制和控制，合理分配资源。(7)...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC336827380J40804406311.htm,20-99人,2025-12-30 14:18:35,30000.0,50000.0,14.0
董事长助理,成都,海天水务集团股份公司,本科,5-10年,"集团公司,上市公司,行政机构",35000-50000,岗位职责： 1、负责执行董事长交办的事项，传达上级领导命令，督促落实、跟踪反馈工作; 2、协助董事长维护对外关系，陪同董事长参加商务接待和商务洽谈工作； 3、协助执行董事长对公司运作与各职能部门进行管理，协助监督各项管理制度的制定及推行; 4、主导或参与公司重大业务的决策和谈判等，处理重大突发事件; 5、完成执行董事长交办的其他工作任务。 岗位要求： 1、C9院校统招本科及以上学历，擅长英语口语优...,环保,http://jobs.zhaopin.com/CC202056710J40902478208.htm,1000-9999人,2025-11-25 10:35:01,35000.0,50000.0,12.0
业务专家/助理董事VP,成都,重庆猎寻企业管理顾问有限公司,本科,10年以上,"债权投资,产业投资,企业投资,大客户链接,企业家",25000-50000,岗位职责： 1、根据公司战略发展规划，积极拓展企业家/企业客群资源 2、深度挖掘企业家（To C）资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求3、根据企业家及其下属企业的需求组织集团境内外各平台资源；为企业及企业家制定综合性解决方案，并推动方案的落地和执行岗位要求：1、本科及以上学历，金融、财务、经济等统招本科专业优先，至少10年以上大客户市场开发从业经验。2、...,人力资源服务,http://jobs.zhaopin.com/CC664497020J40801152001.htm,10000人以上,2025-10-28 13:51:09,25000.0,50000.0,24.0
终端市场专家,成都,成都鼎桥通信技术有限公司,本科,10年以上,"国内市场,国际市场",30000-50000,岗位职责:1、负责行业终端产业和磐石平台市场洞察、市场规划、商业模式设计，对终端产品的市场成功负责；2、牵头构建行业终端产品&磐石平台的竞争力，规划产业和平台需求，构筑行业重点产品控制点，打造业界领先的终端产品方案3、承担行业终端产业的上市管理，市场拓展策略和产品营销策略制定，实现商业成功任职要求:1、负责行业终端产业市场洞察和规划，具备3年以上终端产品规划经验，具备成功终端产品商业模式落地经验2...,通信/网络设备,http://jobs.zhaopin.com/CC451015510J40780336407.htm,1000-9999人,2025-08-05 16:01:04,30000.0,50000.0,12.0
总经理助理,成都,四川神琥科技有限公司,本科,经验不限,"商务管理,英语",25000-50000,岗位职责 1. 负责高层管理人员的日程安排、会议组织及差旅管理。2. 处理国内外客户的日常沟通、邮件往来及电话会议，提供专业支持。3. 参与市场推广活动的策划与执行，包括海外展会的支持工作。4. 准备和翻译中英文商务文件、报告、演示文稿等。5. 协助处理涉外商务接待及谈判事宜。6. 完成上级交办的其他相关工作。 任职要求1. 英语专业本科及以上学历，持有英语专业八级 (TEM-8) 或同等高水平证...,计算机软件,http://jobs.zhaopin.com/CC468385710J40743731101.htm,20-99人,2025-06-23 15:39:20,25000.0,50000.0,12.0
