职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
资深大数据架构师（遥感）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深大数据架构师（遥感）,40000-80000,岗位要求：1、硕士研究生及以上学历、计算机、软件信息、遥感等相关专业；2、5年以上地理空间分析和建模、遥感应用开发、数据平台与管理体系建设等相关工作经验；3、精通行业标准和开源地理空间软件、前端和后端框架及应用程序、地理空间服务器和数据库，如：Geo Server、Carto、ArcGIS、Goole Earth Engine等；4、了解传统遥感解译算法、深度学习算法且具有实际项目开发经验者优先；...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788795003.htm,500-999人,2026-01-07 01:05:14,40000.0,80000.0,12.0
[JAVA/ Python/C/C++/GO/数据开发]线上面试,成都,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",25000-45000,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832084605.htm,10000人以上,2026-01-11 00:26:43,25000.0,45000.0,16.0
数据库内核（C/C++）研发工程师-成都,成都,云和恩墨,本科,3-5年,"C语言,C++,PostgreSQL,MySQL,SQL引擎,存储引擎,优化器",25000-35000,岗位职责：1、负责公司企业级数据库产品研发，包含SQL引擎、事务引擎、存储引擎、集群管理、数据安全等模块的设计和开发工作；2、负责数据库系统内核的开发以及测试；3、负责数据库系统性能分析，设计开发提高数据库系统性能。任职要求：1、熟悉Linux下的C/C++开发，熟悉C/C++语言的工程化开发和单元测试，熟悉至少一种脚本语言；2、大学本科以上学历，计算机相关专业，能够熟练阅读计算机相关英文材料和论...,IT服务,http://jobs.zhaopin.com/CC401559420J40782316707.htm,300-499人,2026-01-08 01:18:21,25000.0,35000.0,12.0
资深数据应用专家,成都,成都某信息通信科技公司（央企）,硕士,5-10年,"数据架构,大数据开发",40000-80000,岗位要求：1.硕士研究生及以上学，计算机、通信、互联网、IT、数学相关专业；2.5年以上大数据和数据分析领域研发及交付经验；3.至少独立完成1个及以上大中型项目的大数据设计，有至少TB以上级大数据处理经验；4.熟悉主流大数据框架及核心组件，包括但不限于Hadoop、Spark、Flink等，熟悉大数据平台的常见问题和优化方法5.精通分布式计算、高可用性和容灾等相关技能；6.具备海量数据的建模、处理...,互联网,http://jobs.zhaopin.com/CCL1318355140J40787300403.htm,500-999人,2026-01-05 01:05:02,40000.0,80000.0,12.0
高级后端研发工程师（数据底座与低代码开发工具方向）,成都,山东恒远智能科技有限公司,本科,5-10年,"JavaScript,Python,MySQL,NoSQL,DOCKER/K8S,PostgreSQL",25000-35000,职位描述： 我们正在寻找一位具备从0到1完整产品构建经验的后端核心研发技术专家。您将是产品研发团队的中坚技术力量，深度协同研发负责人，负责高复杂度核心模块的技术攻关、架构落地与高质量交付。您不满足于完成常规功能开发，而是热衷于解决海量数据、高性能、复杂业务逻辑带来的技术挑战，致力于打造稳定、高效、可扩展的下一代工业软件平台核心。 如果您渴望在一个充满技术挑战的领域，用扎实的代码构建支撑实体经济数字...,IT服务,http://jobs.zhaopin.com/CC466107580J40819458911.htm,300-499人,2026-01-07 13:51:43,25000.0,35000.0,12.0
大模型应用开发工程师,成都,四川业亿辰科技有限公司,本科,3-5年,"Python,自然语言处理（NLP）,大模型（LLM）应用,LANGCHAIN,BERT/TRANSFORMER,RAG构建,模型微调,提示词工程",20000-35000,职位概要:深度参与垂类大模型全流程开发与应用落地，工作内容涵盖模型开发优化（含微调、评估、部署）、复杂业务场景落地（涉及 llm 应用助手、multi agent 编排、MCP应用）、企业级 RAG 系统构建、跨部门协作及数据处理分析、提示词工程等。 岗位职责: 1、深度参与垂类大模型开发全流程，从模型选型开始，精准实施模型微调工作，运用科学方法进行模型评估，确保模型性能卓越。同时，熟练运用常见的...,互联网,http://jobs.zhaopin.com/CC490489880J40766398609.htm,20-99人,2026-01-05 00:26:41,20000.0,35000.0,12.0
数据架构师（架构工程师）,成都,金航数码科技有限责任公司,本科,5-10年,"数据治理,数据库开发,数据建模",15000-30000,※岗位职责1.负责ToB客户数据治理（元数据、数据目录、数据标准、数据质量、数据安全等）功能的总体方案设计，确定数据治理流程与制度建设方案；2.依据业务场景和需求分析提供技术、业务解决方案并加以实现，包括：（1）平台数据治理（元数据、数据目录、数据政策、数据质量等）功能的技术方向评估；（2）开发实时计算（如Flink）与离线计算（如Hive）任务；3.提供咨询服务，指导梳理数据标准、构件数据安全和...,IT服务,http://jobs.zhaopin.com/CC000402820J40722651102.htm,500-999人,2026-01-11 01:02:23,15000.0,30000.0,14.0
JAVA/ Python/C/C++/GO/数据开发/测试,成都,外企德科数字技术有限公司,本科,无经验,"软件测试,功能测试,自动化测试,Javascript,Python,C,Postman,JIRA,禅道",15000-30000,岗位职责:1、负责研发领域IT产品的系统技术方案的设计、开发工作;2、参与产品开发过程中的技术攻关及解决运行中出现的技术问题;3、参与产品核心模块的代码编写;4、参与产品疑难问题的分析和定位。任职要求:1、本科及以上学历优先，计算机相关专业优先，具备双证;2、熟练掌握任意一门开发语言;3、理解能力强，有进取心，对技术感兴趣，有较强的学习能力，能够快速接受和掌握新技术。岗位特点:1.薪酬丰厚，15-...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40706068905.htm,10000人以上,2026-01-11 00:24:26,15000.0,30000.0,14.0
数据挖掘（互联网平台朝九晚六）,成都,成都图巧科技有限公司,本科,3-5年,"机器学习,决策树",15000-30000,岗位职责：1、使用数据挖掘技术，如分类、聚类、关联规则学习和异常检测等，从大量数据中提取有用的信息和知识，包括但不限于用户画像的挖掘；2、 与工程团队密切合作，将数据挖掘结果应用到业务中。任职要求：1、本科及以上学历，计算机、数学和统计等相关专业；2、 具有较强的业务模型抽象能力，能够将复杂的业务抽象为数学模型；3、 熟练使用至少一种编程语言，如Python、R或Java；4、 熟悉常用机器学习算...,互联网,http://jobs.zhaopin.com/CCL1430033070J40810691401.htm,500-999人,2025-12-17 13:32:25,15000.0,30000.0,13.0
大模型数据 开发工程师,成都,成都严川电器有限公司,硕士,3-5年,"数据架构,数据建模,数据库开发,Python",15000-30000,1. 大模型架构开发与优化a) 基于LLM（如GPT、LLaMA，DeepSeek等）构建垂类模型b) 实现模型压缩（量化/剪枝）、微调（LoRA/P-Tuning）及私有化部署2. 数据治理体系搭建a) 构建涵盖文本，图表，图片等结构，半结构，非结构化数据处理的Pipelineb) 设计数据标注规范c) 建立敏感数据脱敏机制与访问权限控制体系3. 私有化知识库开发a)搭建基于知识库，知识图谱的行...,仪器仪表制造,http://jobs.zhaopin.com/CC562537320J40786841209.htm,100-299人,2025-10-17 13:55:42,15000.0,30000.0,12.0
