职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
资深算法工程师,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深算法工程师,40000-80000,"岗位要求：1. 硕士研究生及以上学历，图像处理、自然语言处理、计算机视觉、机器学习相关专业，数学功底良好；2. 对以下几个领域中的一个或几个方向有深入理解：语言/视觉/多模态大模型、语言嵌入向量检索、图像增强与复原，图像特征提取，图像分割，目标识别，深度学习；3. 具有人工智能或工业智能领域从业5年以上技术或运营管理工作经验；4. 有大模型开发优化经验者有优先,熟悉LangChain、Prompt...",互联网,http://jobs.zhaopin.com/CCL1318355140J40788795403.htm,500-999人,2025-11-04 10:31:35,40000.0,80000.0,12.0
图像算法负责人,成都,成都主导科技有限责任公司,硕士,5-10年,"图像识别产品,Python,C++",50000-80000,岗位职责：1、负责轨道交通检测场景（如轨道缺陷识别、接触网状态分析、车辆部件损伤检测等）的计算机视觉算法设计与优化，包括目标检测、图像分割、三维重建、时序分析等方向；2、攻克复杂环境（低光照、高噪声、动态模糊等）下的图像处理难题，提升算法在真实场景中的鲁棒性与实时性；3、探索深度学习模型轻量化、多传感器融合、小样本学习等技术在工业检测中的落地应用；4、参与制定轨道交通检测行业标准，推动技术成果专利...,仪器仪表制造,http://jobs.zhaopin.com/CC130508850J40756523212.htm,500-999人,2025-03-31 15:03:49,50000.0,80000.0,14.0
AI算法专家,成都,成都瀚辰光翼生物工程有限公司,硕士,5-10年,图像识别产品,40000-70000,岗位职责：1、评估已实施视觉项目的方案稳定性、技术领先性，识别技术瓶颈点，优化模型算法、持续提升模型检测率；2、基于对AI技术发展趋势及业务需求，识别新场景，牵头确定需求方向和具体内容，确定模型算法选型及软件集成方案，满足各产品和业务需求；3、梳理搭建视觉模型训练平台架构、技术选型及算法构成，确定视觉模型、算法发展路线，引领相关底层基础技术的创新研发，培养视觉算法开发工程师；4、与其他团队合作，将...,医疗设备/器械,http://jobs.zhaopin.com/CC890127420J40754080515.htm,100-299人,2025-03-19 16:07:30,40000.0,70000.0,12.0
机器人研发工程师（控制方向）,成都,新绿色药业,博士,5-10年,"机器人算法,运动控制算法,医疗机器人",30000-60000,基本需求：（1）海内外知名大学，博士以上学历（2）机器人研究或研发经历（3）5年以上机器人相关研发经历，有0到1产品研发经验任职要求：（1）负责机器人控制系统研发（2）具备扎实的机器人理论基础，精通运动学（复杂运动模型建模、正逆解、误差校准及补偿）、动力学、运动控制、轨迹规划及力矩控制（3）具备机器人控制系统架构及开发能力，掌握机器人嵌入式实时控制系统及运动控制核心算法开发（如轨迹规划、力矩控制、...,医药制造,http://jobs.zhaopin.com/CC120933400J40829383105.htm,1000-9999人,2026-01-08 01:14:08,30000.0,60000.0,12.0
高级图像算法带头人,成都,成都主导科技有限责任公司,硕士,5-10年,"图像处理,模式识别,缺陷检测,OpenCV,C++,Python,Transformer,图像识别产品",40000-70000,岗位职责：1. 承担项目开发及技术管理工作，组建并带领团队推进项目进程，包括项目需求分析、可行性论证、系统方案、算法实施及部署；2. 负责2D测量及视觉系统开发，承担光学成像方案、图像处理、模式识别及缺陷检测等算法开发工作；3. 负责团队图像算法开发工作质量控制；4. 负责对既有产品的相关算法优化及难点攻关；5. 跟踪技术行业发展。任职条件：1.硕士及以上2.具备5 年以上类似项目独立开发经验，或...,仪器仪表制造,http://jobs.zhaopin.com/CC130508850J40733395212.htm,500-999人,2025-12-23 09:50:34,40000.0,70000.0,13.0
无人机制导控制算法工程师(A177987),成都,深圳市塞防科技有限公司,本科,1-3年,"飞控算法,制导控制算法",30000-60000,岗位职责：1.主导无人机制导算法开发，设计飞行控制策略（如姿态控制、轨迹跟踪）2.熟悉高机动目标的运动估计与预测算法；3.结合无人机动力学模型与场景需求，优化轨迹规划算法（如基于采样的运动规划、探索式规划），提升算法实时性与鲁棒性4.负责算法仿真与测试，优化飞控系统动态响应与稳定性5.参与飞控系统与硬件平台（瑞芯微3588、英伟达NX）的集成调试，解决复杂工况下的控制问题；6.制定飞控制导算法开发...,智能硬件,http://jobs.zhaopin.com/CCL1474860650J40865174512.htm,100-299人,2025-12-31 16:31:46,30000.0,60000.0,15.0
应届通信算法工程师,成都,成都涌智科技有限公司,博士,无经验,通信算法,30000-60000,岗位职责：1、 算法研发和优化2、 算法移植与调试3、 算法分析与支持任职要求：1、 计算机、电子工程、通信工程、数学等相关专业211/985硕士及以上学历，博士优先；2、 熟悉通信原理、数字信号处理及常用机器学习算法（如滤波、分类、回归）；3、 掌握C/C++、Python编程语言，具备Matlab/R等工具使用经验；4、 有数字前端设计前的算法工程化仿真经验，有支撑数字前端进行芯片开发和验证经...,人工智能,http://jobs.zhaopin.com/CCL1482835610J40855774503.htm,20-99人,2025-11-13 10:08:20,30000.0,60000.0,15.0
高级算法工程师,成都,四川国软科技集团有限公司,硕士,5-10年,"大模型算法,深度学习,Python,机器视觉,PyTorch,TensorFlow,图像算法,ViT,CV/NLP",40000-60000,岗位职责1.针对客户AI图像处理业务需求（不限于目标检测、目标跟踪、异物检测等），快速响应并设计高效的算法解决方案，完成相关技术的研发和应用落地；2.独立承担项目，从算法设计、模型训练到产品集成的全流程工作，确保项目按时按质完成。3.优化现有算法，提升算法性能，包括但不限于提高现有算法性能；4.参与过大模型应用架构设计，有利用大模型优化图像算法的经历；5.跟踪最新的 AI 技术动态，将前沿技术应用...,IT服务,http://jobs.zhaopin.com/CC219030910J40698466906.htm,100-299人,2025-10-30 18:27:37,40000.0,60000.0,12.0
AI应用技术经理,成都,成都三环科技有限公司,本科,3-5年,"深度学习,大模型算法,Python,C++,C#",35000-60000,岗位要求： 1、两年以上主导AI项目经验，拥有技术管理能力，组织带领过AI项目组。 2、熟练掌握Python、Java、SQL等常用开发语言。 3、熟悉使用学习框架，如TensorFlow、PyTorch等。 4、有AI相关工具使用、调试经验，如Dify、Ollama、Xinference等。 5、熟练使用RAG、微调、参数调优等AI技术。 6、掌握大模型性能评估方法。 7、熟悉制造业业务优先。 ...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1411331550J40764914403.htm,10000人以上,2025-06-23 16:11:26,35000.0,60000.0,13.0
具身智能高级研究员,成都,成都九洲电子信息系统股份有限公司,硕士,3-5年,"视觉图像算法,视频算法,机器人算法",30000-50000,岗位职责： 1、系统设计与开发：研发具身智能体（如机器人、虚拟智能体）的感知-决策-执行闭环系统，实现与物理环境的实时交互，包括不限于VLA等框架，构建多模态（视觉、语音、力控等）融合的感知模块，支持动态环境理解； 2、算法研发与优化：开发强化学习（RL）、模仿学习（IL）、多任务学习等算法，提升智能体在复杂场景中的自主决策能力，优化运动控制、路径规划、人机协作等核心模块的实时性与鲁棒性。 3、仿...,计算机软件,http://jobs.zhaopin.com/CC142850050J40796058302.htm,100-299人,2026-01-08 01:02:41,30000.0,50000.0,15.0
