职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级软件工程师,重庆,理工特智科技(重庆)有限公司,本科,5-10年,Spark,20000-40000,岗位职责：1、核心平台架构与开发：参与设计并实现制造业操作系统的核心后端架构。基于 GraphQL + PostgreSQL + MinIO 技术栈，构建高可用、可扩展的数据服务与API接口。集成 Casbin 与数据库行级安全（RLS），实现精细化的多租户权限管理体系。2、数据与业务流程引擎：使用 Airflow 构建数据ETL、指标计算与AI模型训练的任务调度平台。使用 Camunda 设计与...,工业自动化,http://jobs.zhaopin.com/CCL1459508070J40967240004.htm,20-99人,2025-11-17 18:01:48,20000.0,40000.0,12.0
机器人云数据分析研发经理,重庆,七腾机器人有限公司,本科,5-10年,"数据库开发,大数据开发,云端数据分析,拆解核心数据需求,分布式计算优化,高并发巡检数据处理",20000-35000,岗位职责：1.负责云端数据分析团队的人员招聘、能力梯队建设（如数据开发骨干、建模专项人才培养）及绩效激励，制定团队技术成长计划2.深度联动防爆巡检车和机器人业务端（研发、运维、产品），拆解核心数据需求：如 SLAM 导航精度优化、设备故障预测、防爆环境风险监控、巡检效率提升等；3.负责巡检车和机器人云端数据体系架构规划，主导技术选型与难点突破：如大数据框架（Hadoop/Spark/Flink）的...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40818268301.htm,500-999人,2026-01-08 01:02:19,20000.0,35000.0,12.0
大数据平台开发工程师,重庆,重庆软江图灵人工智能科技有限公司,本科,3-5年,"SPARK 源码,HADOOP 优化,平台开发",20000-35000,本职位专注于大数据底层平台与核心组件的研发和优化，与业务数据开发（ETL）和数据仓库建模岗位有明确区别岗位职责：1、配合团队进行自研数据库以及周边工具的的开发工作；2、对自研数据库架构和性能进行设计和优化；3、处理自研数据库部署实施后的运维工作；4、开展自研数据库场景的二次开发；任职要求：1、本科及以上学历，计算机相关专业背景2、深入理解分布式系统原理、有大数据组件（Hadoop/Spark/Fl...,人工智能,http://jobs.zhaopin.com/CCL1264708430J40975590804.htm,20-99人,2026-01-01 01:09:50,20000.0,35000.0,12.0
数据治理工程师,重庆,某企业,硕士,3-5年,"数据治理,大数据开发",16000-30000,1.定标准：负责参与全集团风光水火煤铝等产业数据、人财物等管理数据的标准制定和完善企业内部的数据标准规范，确保数据的一致性和准确性。2.建机制：参与建立全集团数据治理的组织、认责、制度、流程、考核机制。3.纳数据：负责协同各源系统开展数据入湖，形成全集团全域数据资源盘点，数据资产目录。4.提质量：建立全产业数据质量管理体系，定期监控数据质量指标，提出改进方案，确保数据可靠性。 5.建工具：协同研发...,互联网,http://jobs.zhaopin.com/CCL1318355140J40789314303.htm,500-999人,2026-01-11 01:04:33,16000.0,30000.0,12.0
数据库开发工程师,重庆,重庆通用人工智能研究院,硕士,3-5年,MySQL,15000-30000,"工作内容：1、负责打造数据库。完成不同类型与不同来源数据的整合。2、封装数据调用接口，供前端与后端直接读写数据。3、维护数据文档，记录数据资产情况与接口调用指南。要求：1、硕士学历及以上，5年以上工作经验。2、精通关系型数据库（如MySQL, PostgreSQL）和/或NoSQL数据库（如MongoDB, Elasticsearch）的设计、优化与运维。3、具备高超的SQL编写和优化能力。熟悉数...",学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908064308.htm,20-99人,2026-01-07 01:20:50,15000.0,30000.0,12.0
数据治理咨专家,重庆,中电金信软件有限公司,大专,10年以上,数据治理,18000-23000,工作职责:（1）负责对接产品部门，完成数据探查、清洗、开发及数据治理；（2）负责数据治理平台的建设及维护；（3）负责元数据及数据质量管理等；（4）负责数据治理规范执行落地及运维：（5）完成领导交办的其他任务。 岗位要求： 1.熟悉数据治理、IT规划或数字化转型的咨询方法论体系； 2.熟悉元数据管理、数据模型、数据标准理论及方法； 3. 5年以上数据治理咨询或实施项目经验； 4.较好的文字表达能力,计算机软件,http://jobs.zhaopin.com/CC443657520J40671763509.htm,10000人以上,2026-01-05 01:22:46,18000.0,23000.0,12.0
数据治理工程师,重庆,重庆中电自能科技有限公司,本科,3-5年,数据库开发,10000-20000,任职要求 1.大数据、计算机、统计学、管理科学或相关专业，第一学历为本科及以上学历，985高校、211高校本科及以上学历优先。 2.工作年限5年（含）以上，具备数字化企业、能源行业或国有企业等相关企业3年以上工作经历。具备3年以上数据治理相关工作经验。 对于特别优秀或公司紧缺的特殊人才，上述基本条件可适当放宽 3.专业技能： ①熟悉数据治理的核心概念和技术框架（如DCAM、DAMA-DMBOK等）...,IT服务,http://jobs.zhaopin.com/CC383364020J40978473604.htm,20-99人,2026-01-11 01:09:53,10000.0,20000.0,16.0
数字化工程师,重庆,重庆长安跨越车辆有限公司,本科,5-10年,"数据库开发,数据建模,数字化转型",15000-20000,岗位职责1、负责制定公司数字化转型规划、方法论；2、负责统筹公司数字化转型，对大数据平台、数据湖仓、数据挖掘等系统统筹评估、实施、运维等；3、负责数字化项目按时按质成功上线，保障已上线数字化项目稳定运行，为公司制造、研发、市场等各领域提升效率，降低成本，保障品质，提升公司决策；4、负责公司数字化转型解决方案，通过洞察主动发现新机会点，前瞻性地识别行业数字化转型机会点；5、负责公司数字化转型提供IA...,汽车研发/制造,http://jobs.zhaopin.com/CC354367310J40886419715.htm,1000-9999人,2026-01-10 01:45:00,15000.0,20000.0,12.0
流程数据管理经理,重庆,希尔安药业,本科,5-10年,"数据治理,端到端流程,业务流程体系建设,端到端业务流程优化",13000-20000,岗位职责：1.基于公司端到端核心业务流程，进行流程改善，对接信息化、数字化、自动化建设，不断提升流程效率及质量，控制成本；2.持续优化端到端流程体系建设，完成中长期流程建设规划，制定年度流程改善目标，推动流程改善落地运用、累积流程数据进行评估验证，组织开展流程管理赋能培训，负责公司流程文化建设；3.负责公司数据管理规划，牵头核心数据资产梳理，制定及落地数据分级分类标准、完成年度数据管理策略；4.监...,医药制造,http://jobs.zhaopin.com/CC120364230J40857161212.htm,1000-9999人,2026-01-08 01:32:54,13000.0,20000.0,12.0
AI数据集专家,重庆,重庆中电自能科技有限公司,硕士,5-10年,数据治理,10000-20000,"岗位职责1、硕士研究生及以上学历，计算机科学、人工智能、数据科学等相关专业。2、5年以上数据相关工作经验，至少3年专注于AI训练数据领域。3、扎实的机器学习与深度学习基础，熟悉常见模型架构及其对数据特性的要求。熟练使用Python及主流ML框架（如PyTorch, TensorFlow, Scikit-learn）。具备完整的模型训练、评估与调优实践经验。4、深刻理解AI（特别是大模型与深度学习）...",IT服务,http://jobs.zhaopin.com/CC383364020J40978458304.htm,20-99人,2026-01-09 17:19:30,10000.0,20000.0,16.0
