职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
后端开发工程师,重庆,重庆中电自能科技有限公司,本科,5-10年,"Java,SQL",10000-20000,任职要求 1.教育背景及工作经验：第一学历为本科及以上学历，985高校、211高校本科及以上学历优先，专业领域包括但不限于大数据、计算机、统计学、管理科学、电子信息工程或相关与数字化/算法类相关的专业。工作年限5年（含）以上，具备数字化企业、能源行业或国有企业等相关企业3年以上工作经历。对于特别优秀或公司紧缺的特殊人才，上述基本条件可适当放宽 2.技术能力 ①Java基础扎实，熟悉大数据平台数据仓...,IT服务,http://jobs.zhaopin.com/CC383364020J40978474004.htm,20-99人,2026-01-09 17:40:59,10000.0,20000.0,16.0
php开发工程师,重庆,爱奥尼科技,本科,3-5年,"Python,node.js,负载均衡技术,分布式技术,微服务架构,架构师,后端开发,APP后台开发,Linux",15000-20000,重庆爱奥尼科技有限公司（Ionitech）是一家专注于国际市场的移动应用开发企业，致力于为全球用户提供创新的数字化解决方案。我们的产品涵盖多媒体娱乐、效率工具、生产力提升等多个领域，凭借卓越的用户体验和技术优势，已在全球范围内赢得广泛认可与信赖。 我们以“成为国际市场用户信赖的移动应用创新企业”为愿景，始终关注用户需求与技术前沿，通过全球化的视野与专业的团队协作，打造能够真正影响世界的应用产品。加...,计算机软件,http://jobs.zhaopin.com/CC621153620J40709476801.htm,20人以下,2026-01-05 01:00:23,15000.0,20000.0,13.0
前端开发工程（重庆）,重庆,普联软件股份有限公司,本科,3-5年,"ERP项目,JavaScript,HTML5,TypeScript,Vue,Ant Design,Node.js",10000-15000,岗位职责: 1. 负责公司前端项目的开发和维护 2. 参与产品需求分析，制定技术实现方案 3. 编写高质量、可维护的前端代码 4. 与UI设计师、后端开发工程师协作完成项目开发 5. 参与代码审查，保证代码质量 6. 持续优化前端性能，提升用户体验 7. 参与技术选型和架构设计讨论 任职要求: 1、基本要求 - **工作经验**：3年以上前端开发经验 - **学历要求**：本科及以上学历，计算机相...,计算机软件,http://jobs.zhaopin.com/CC153424410J40769709616.htm,1000-9999人,2026-01-09 00:33:21,10000.0,15000.0,12.0
移动web前端开发工程师,重庆,软通动力信息技术(集团)股份有限公司,本科,3-5年,"TypeScript,Vue,Node.js,Echarts,WebGL",11000-14000,1.统招大专及以上学历，计算机相关专业；2.熟练掌握Vue3开发框架，并理解其核心原理；3.熟悉前端工程化工具，如Webpack、Babel、Npm等；4.熟练掌握HTML、CSS3和JavaScript（ES6+），熟悉W3C标准、浏览器渲染原理、兼容性及性能问题；5.有良好的代码规范和文档编写习惯，注重代码质量和可维护性；（加分项）6.有webRTC相关音视频开发经验者优先；（加分项）7.有跨...,互联网,http://jobs.zhaopin.com/CC000544460J40785755416.htm,10000人以上,2026-01-06 17:56:57,11000.0,14000.0,12.0
前端开发（驻点成都、可提供住宿）,重庆,安徽屹通信息科技发展有限公司,本科,1-3年,"金融项目,银行项目,证券项目,支付项目,CSS,HTML5,Vue,Node.js",,岗位内容：1. 设计和开发适用于不同设备的易于使用的网站2. 参与产品原型设计和产品需求分析3. 跟进技术趋势及前端开发最佳实践，不断提升团队的技术水平任职要求：1. 统招本科理工科专业，一年以上前端开发经验，有银行经验优先，掌握HTML5/CSS/JavaScript等前端技术和常用框架2. 具备良好的学习能力和解决问题的思维能力，能够配合其他团队成员完成项目工作3. 对新技术有好奇心，并愿意持...,IT服务,http://jobs.zhaopin.com/CC640126480J40835818814.htm,1000-9999人,2026-01-08 11:26:16,,,
前端开发-小程序和APP经验,重庆,深圳市法本信息技术股份有限公司,本科,5-10年,"ERP项目,大屏/可视化项目,GIS/地图项目,Vue,React,uni-app,Node.js,WebGL,HTML5,CSS,JavaScript",11000-13000,1、参与产品的前端架构设计、开发编码、单元测试等工作；2、参与产品改善、维护和优化相关产品的质量、性能，提升用户体验，确保Web用户界面在多浏览器环境中正常工作。 要求 1、有实际的软件前端开发经验；掌握W3C技术标准，精通HTML、Javascript、Ajax、DOM、HTML5、CSS3等前端开发技术； 2、熟练掌握Vue、jequry、webpack等前端框架和相关技术并了解其实现原理，熟...,计算机软件,http://jobs.zhaopin.com/CC385622410J40742426806.htm,1000-9999人,2025-12-19 10:22:48,11000.0,13000.0,12.0
前端开发（光电园）,重庆,软通动力信息技术(集团)股份有限公司,本科,5-10年,"CSS,大屏/可视化项目,GIS/地图项目,JavaScript,Vue,Node.js,Three.js,Cesium",11000-14000,岗位职责: 1. 负责前端页面的开发与优化，保障页面在不同设备和浏览器上的兼容性； 2. 根据产品需求与设计稿，完成高质量的前端编码与实现； 3. 参与前端技术的调研与选型，推动技术方案的落地与优化； 4. 配合后端开发人员完成系统联调，确保项目按时交付； 5. 持续改进前端性能，提升用户体验。 任职要求: 1. 熟悉HTML/CSS/JavaScript等前端核心技术，具备扎实的编程能力； 2....,互联网,http://jobs.zhaopin.com/CC000544460J40784558116.htm,10000人以上,2025-12-30 17:23:31,11000.0,14000.0,12.0
前端开发工程师,重庆,聚慧食品科技(重庆)有限公司,本科,3-5年,"CSS,JavaScript,HTML5,Vue,大屏/可视化项目,GIS/地图项目,ERP项目,uni-app,Node.js",,岗位职责：1.主导公司产品Web端、移动端（H5/App）及小程序的架构设计、开发与全生命周期维2.后端团队深度协作完成接口联调，解决前端性能优化、兼容性等复杂技术问题3.封装高复用性前端组件库与工具链，提升团队开发效率与代码质量4.制定并推动前端技术规范、代码审查流程，保障系统可维护性与扩展性5.主导项目迭代计划，高效完成版本发布与灰度管理，支撑业务快速演进技能要求：1.精通HTML5/CSS3...,快速消费品,http://jobs.zhaopin.com/CC843819990J40819875911.htm,1000-9999人,2026-01-09 09:24:58,,,
前端开发工程师,重庆,云测数联(重庆)科技有限公司,本科,3-5年,"JavaScript,React,Node.js,CSS,环保,Flutter",,岗位职责1、参与公司核心产品的自研，负责产品前端功能模块、软件交互、动效等前端开发工作。2、协助梳理业务需求，提供技术方案，根据方案驱动上下游团队执行落地。3、与团队协作攻克技术难题，提升用户体验。任职要求:1、统招本科及以上学历，计算机相关专业，3年及以上Web前端开发经验。2、前端基础扎实，熟悉HTML、JavaScript、CSS、TypeScript、ES6规范。3、熟悉React、Vue...,互联网,http://jobs.zhaopin.com/CCL1394599500J40783987107.htm,100-299人,2025-11-26 15:52:15,,,
前端开发（星网）,重庆,软通动力信息技术(集团)股份有限公司,本科,3-5年,"通信项目,JavaScript,HTML5,CSS,Vue,webpack,Node.js,NPM,WEBRTC音视频,跨平台开发,卫星,可视化大屏",,1.统招本科及以上学历，计算机相关专业；2.熟练掌握Vue开发框架，并理解其核心原理；3.熟悉前端工程化工具，如Webpack、Babel、Npm等；4.熟练掌握HTML、CSS3和JavaScript（ES6+），熟悉W3C标准、浏览器渲染原理、兼容性及性能问题；5.有良好的代码规范和文档编写习惯，注重代码质量和可维护性；6.有webRTC相关音视频开发经验者优先；7.有跨平台开发经验者优先、有...,互联网,http://jobs.zhaopin.com/CC000544460J40770822616.htm,10000人以上,2026-01-07 16:36:37,,,
