职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
流量增值业务总监,重庆,大龙网,本科,10年以上,"toB,toC,用户运营,产品运营",50000-70000,【工作职责】1、负责公司流量增值服务平台的运营及营销推广团队管理，KPI考核体系、激励体系的制定并监督执行，成功实现业务复制；2、负责公司增值服务平台的营销战略规划、流量运营规划、营销渠道公关及建设等工作，塑造公司平台在海外的品牌形象，提升平台品牌在用户中的认知度与美誉度，对流量、用户量及营销投入产出效果负责； 3、负责主流营销渠道的算法研究、规则研究和效果研究，总结并提升投资回报，建立科学的营销...,互联网,http://jobs.zhaopin.com/CC341272510J40805451608.htm,500-999人,2025-09-30 13:56:57,50000.0,70000.0,12.0
集团职能总部-流程管理专家（IPD）(J17276),重庆,赛力斯集团股份有限公司,本科,10年以上,IPD,30000-60000,岗位职责:1、主导IPD流程（涵盖产品规划、研发、市场、外包、操盘等）的规划、设计、建设、试点及持续优化；2、策划并主导IPD变革项目，制定实施方案，协调跨部门资源确保落地，设计流程监控机制（如绩效评估、数据分析），确保流程执行质量；3、拉通IPD与其他业务域（如LTC、供应链）的接口，确保端到端流程高效协同；4、开发IPD培训课程，对业务部门进行流程方法论、工具赋能，提升组织流程意识；制定变革宣...,汽车研发/制造,http://jobs.zhaopin.com/CC465219810J40865619203.htm,10000人以上,2025-12-23 16:59:25,30000.0,60000.0,16.0
经营管理部部长（整车行业）,重庆,重庆臻果优业商业管理有限公司,本科,5-10年,,30000-45000,运营部长岗位职责：1、协助制定公司的年度经营计划，并推动实施；2、负责组织和协调各部门进行月度经营分析，确保公司运营目标的达成；3、参与重要事项的决策，协助领导处理日常管理事务；4、负责跨部门项目的管理和协调，确保项目按时高质量完成；5、定期向总经理汇报工作进展，提出改进建议。岗位要求：1、本科及以上学历，管理类相关专业优先；2、具有5年以上汽车企业管理或相关工作经验；3、具备较强的组织协调能力和...,人力资源服务,http://jobs.zhaopin.com/CC839541400J40811773905.htm,20-99人,2025-09-11 16:06:23,30000.0,45000.0,12.0
商贸运营总监岗位,重庆,重庆万联易达供应链有限公司,本科,5-10年,,20000-40000,【岗位职责】1.统筹区域大宗商品 / 工业品商贸全流程运营，搭建标准化运营体系，保障交易合规与履约效率；2.管控商贸业务风险，优化合同、订单流程，推动物流、数金等跨部门协同；3.带领运营团队达成 GMV、合规率等核心 KPI，指导二级子公司商贸运营业务落地。【任职要求】1.本科及以上学历，市场营销、国际贸易、供应链管理等相关专业；2.至少5 年以上商贸运营领域经验，3 年 + 区域级商贸运营团队管...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1502834110J40884349102.htm,100-299人,2025-12-19 08:55:06,20000.0,40000.0,12.0
渠道运营高级经理/渠道运营经理,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"销售运营,汽车行业渠道运营管理",25000-40000,职位描述1、负责建立零标运营体系的搭建与管理。2、负责对门店的分层分级管理与运用，建立低效店、无效店预警运营机制。3、负责人员配置、车辆配置、店面硬件的运营管理，协同管理SOP流程4、网络汰换机制等渠道运营体系搭建5、负责商务政策的整体结算，门店0容忍管理、经销商满意度管理等职位要求本科及以上学历，市场营销、汽车工程、工商管理等相关专业优先；5年以上汽车行业渠道运营管理岗经验；有主机厂总部渠道运营...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40907527815.htm,1000-9999人,2025-12-02 14:17:11,25000.0,40000.0,12.0
算力运营副总,重庆,浙江中天数算科技有限公司,本科,5-10年,算力,20000-40000,岗位职责 1.行业精研与战略规划：深度分析AI算力市场需求和竞争格局，制定并执行公司的算力运营中长期发展战略与年度业务目标。 2.主导设计并优化算力服务的商业模式、解决方案体系及定价策略，提升市场竞争力与盈利能力。 3.算力消纳与资源调度：建立高效的算力资源预测、调度与消纳机制，确保算力资源的高利用率，有效平衡供需关系，降低空置成本。 4.开拓并维护关键客户及生态合作伙伴（如大型AI公司、科研机构...,云计算/大数据,http://jobs.zhaopin.com/CCL1500426490J40813308410.htm,20-99人,2025-11-27 00:00:05,20000.0,40000.0,12.0
烤肉/烤鱼品类运营总监,重庆,重庆尹真珠品牌管理有限公司,大专,5-10年,"门店运营,新店筹备,烤肉,烤鱼",30000-40000,岗位职责：1、筹备体系搭建：建立并持续优化从 “物资进场”到“开业后第七天” 的全周期新店筹备SOP，涵盖物资验收、人员组建与培训、开业营销落地等。2、开业项目管理：全面管理所有新店的开业筹备进度、质量与成本，确保新店按既定时间表和标准开业。3、跨部门协同落地：作为枢纽，主动协调供应链部（确保物资准时准确到店）、营销部（确保开业活动顺利执行）、人力资源部（确保人员及时到岗）、品牌部（确保形象标准）...,餐饮服务,http://jobs.zhaopin.com/CCL1508729080J40802109509.htm,1000-9999人,2025-10-25 12:01:24,30000.0,40000.0,12.0
运营总监,重庆,北京高孚动力科技有限公司,本科,5-10年,销售运营,20000-40000,一、岗位职责1.充分落实企业的相关管理决策，对决策进行布置，督促协调控制，确保进度与质量。2.分析公司的经营管理状态，提出完善计划，促进公司进度化、规范化的发展。3.跨部门协调与沟通，与其他部门保持紧密沟通与合作，确保运营活动与公司整体战略一致。协调解决跨部门之间的冲突和问题，促进协同工作。4.制定符合磁悬浮行业特性的3-5年中长期市场战略，统筹年度营销计划与预算分配，推动产品定位、渠道布局与销售...,新能源,http://jobs.zhaopin.com/CC859967690J40883854915.htm,20-99人,2025-08-31 10:33:53,20000.0,40000.0,13.0
电商运营总监,重庆,重庆齐岳十一文化用品有限公司,大专,10年以上,"电商运营,新媒体运营,toB,toC,运营管理,团队管理",20000-40000,"岗位职责：1、根据公司发展战略及行业特点,负责制定电子商务战略及电商平台的规划、搭建与运营；2、根据电商行业格局的演变,优化公司的电商平台组合及资源分配；3、制定公司电商业务推进路线图并有效达成电商运营目标的策略；4、负责对电商平台的运营、品牌营销等制定可行性策略与行动方案，制定部门运营指标、年度发展计划，推动并确保业绩指标的顺利完成；5、负责新媒体和传统电商的整体规划和运营。6、策划推进公司电商...",电子商务,http://jobs.zhaopin.com/CCL1440535050J40666360107.htm,20-99人,2025-08-15 17:12:23,20000.0,40000.0,12.0
闪购-超市便利KA-LKA商家运营（西区）,重庆,北京三快在线科技有限公司,本科,3-5年,,,"美团闪购是美团旗下的即时零售平台，依托即时配送能力，连接本地零售供给，满足消费者30分钟万物到家的即时需求。美团闪购涵盖超市便利、食材、水果、鲜花绿植、休闲零食、酒水饮料、数码家电、美妆个护、母婴玩具、日用百货、服饰鞋帽、宠物等诸多品类，业务覆盖全国近3,000个县市区旗，每日百万级在岗骑手，以高效的配送、丰富的品类和广泛的覆盖，为美团数亿用户带来便捷的生活体验，积极助力实体零售线上化转型，提升本...",互联网,http://jobs.zhaopin.com/CC383625320J40818886009.htm,10000人以上,2026-01-12 08:57:25,,,
