职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
原油处理工艺总监,重庆,天津缘众达管道工程有限公司,大专,10年以上,"炼化工艺,储运工艺",45000-55000,要求：45岁以下，大专或以上学历，英语流利，10年以上油气处理相关行业经验。职责：1、负责审核试运阶段的工艺流程文件，根据装置特性调整工艺参数和操作规范，确保技术方案符合行业标准。2、分析潜在工艺风险，制定应急预案，监控试运过程中设备运行状态，及时解决技术异常问题。3、通过数据采集和流程分析，优化装置运行效率，提升试运阶段的工艺稳定性和经济性。4、编制试运阶段的工艺操作手册、维护规程等技术文档，建...,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40699763216.htm,20人以下,2026-01-10 01:48:02,45000.0,55000.0,12.0
纯废水工艺设计,重庆,江苏中电创新环境科技有限公司,本科,5-10年,"废水,工艺设计",20000-40000,岗位职责：1、根据项目需求编制设计方案，协助营销部门进行技术沟通；2、出具项目设计方案、水量平衡图、P&ID、LAYOUT、设备清单、自控逻辑等；3、项目实施过程及调试过程中提供技术指导和支持；4、解决现场运行出现的技术问题。学历背景：本科及以上学历。工作经验：5年以上废水设计工作经验（具有电子行业废水设计经验者优先）能力要求：1）熟练使用OFFICE（Excel/PPT/Word)、CAD等工具...,环保,http://jobs.zhaopin.com/CC208236930J40799376312.htm,500-999人,2026-01-10 01:34:48,20000.0,40000.0,12.0
电芯-工艺总监/高级经理,重庆,重庆赣锋锂电科技有限公司,硕士,5-10年,工艺设计,20000-40000,岗位职责： 1.负责12GWh方形铝壳电芯新基地的工艺规划与实施 2.主导电芯生产工艺流程设计，优化良品率至98%以上 3.组建50人以上工艺团队，制定标准化作业流程 4.协调研发与生产部门，确保新产品导入量产周期≤3个月 任职要求： 1.硕士以上学历，材料/化学/机械相关专业，8年以上动力电池行业经验 2.精通方形铝壳电芯生产工艺，主导过≥5GWh产能项目 3.熟悉IATF16949体系，具备D...,新能源,http://jobs.zhaopin.com/CCL1407140800J40976860904.htm,100-299人,2025-12-29 09:53:00,20000.0,40000.0,13.0
机加工艺技术经理,重庆,宗申集团,本科,5-10年,,20000-40000,主要负责机加工艺管理。产品主要涉及摩托车、汽车等铝合零部件加工,汽车研发/制造,http://jobs.zhaopin.com/CC203112410J40905845708.htm,10000人以上,2025-12-13 01:23:04,20000.0,40000.0,12.0
工艺工程师、设备工程师,重庆,重庆博迈氯碱工程技术有限公司,大专,5-10年,"工艺设计,工艺改良",20000-40000,高薪集结！博迈氯碱全球创研中心重金打造乙烯法PVC专家团队博迈氯碱全球创研中心正持续深化其在乙烯法PVC专业领域的战略布局。现面向行业公开招募10～20名核心骨干，涵盖生产管理、工艺技术、设备与操作等关键岗位，诚邀您加入我们稳定而卓越的平台，共享发展成果，共铸事业高峰。一、 招聘岗位· 管理类：装置主任、生产主管· 技术类：工艺工程师、设备工程师· 操作类：主操、副操等现场操作人员二、 任职资格1...,化工,http://jobs.zhaopin.com/CCL1412143320J40894798315.htm,20人以下,2025-10-12 17:13:46,20000.0,40000.0,12.0
电芯-工艺总监/经理,重庆,重庆赣锋锂电科技有限公司,本科,10年以上,"研发,工艺开发,锂电池,0-1新建团队管理",20000-40000,岗位职责： 1.负责12GWh方形铝壳电芯新基地的工艺规划与实施 2.主导电芯生产工艺流程设计，优化良品率至98%以上 3.组建50人以上工艺团队，制定标准化作业流程 4.协调研发与生产部门，确保新产品导入量产周期≤3个月 任职要求： 1.硕士以上学历，材料/化学/机械相关专业，8年以上动力电池行业经验 2.精通方形铝壳电芯生产工艺，主导过≥5GWh产能项目 3.熟悉IATF16949体系，具备D...,新能源,http://jobs.zhaopin.com/CCL1407140800J40976844304.htm,100-299人,2025-12-29 09:25:42,20000.0,40000.0,13.0
机械/电气工艺工程师,重庆,甘肃盖恩商贸有限公司,本科,3-5年,"电气工艺方案设计,新产品电气工艺方案设计,使用过程电气技术支持",15000-30000,1、负责产品总体电气工艺技术方案设计；2、负责车间调试台工艺方案设计优化；3、负责产品电气安装接口的工艺性审查； 4、负责新产品电气工艺开发和设计评审，工艺装备的系统性设计、出图、安装、测试验证工作，工装、工具和吊具的升级改造工作，优化及安装手册编制，并参与产品的制造及安装过程；5、负责机组装配、运输、吊装及运维的工装设计和量产机组装配、运输、吊装及运维的工装的合理性优化以及工装制造过程、使用过程...,耐用消费品,http://jobs.zhaopin.com/CCL1464111130J40890752415.htm,20人以下,2025-12-22 01:41:59,15000.0,30000.0,12.0
化工工艺工程师,重庆,重庆博迈氯碱工程技术有限公司,大专,5-10年,"化工产品,精细化工产品,工程设计,工艺设计",20000-40000,高薪集结！博迈氯碱全球创研中心重金打造乙烯法PVC专家团队博迈氯碱全球创研中心正持续深化其在乙烯法PVC专业领域的战略布局。现面向行业公开招募10～20名核心骨干，涵盖生产管理、工艺技术、设备与操作等关键岗位，诚邀您加入我们稳定而卓越的平台，共享发展成果，共铸事业高峰。一、 招聘岗位· 管理类：装置主任、生产主管· 技术类：工艺工程师、设备工程师· 操作类：主操、副操等现场操作人员二、 任职资格1...,化工,http://jobs.zhaopin.com/CCL1412143320J40894780715.htm,20人以下,2025-10-12 15:13:16,20000.0,40000.0,13.0
电芯电极（搅拌工艺）,重庆,重庆市紫建电子股份有限公司,本科,5-10年,"电极工艺,搅拌工艺,工艺设计,工艺改良,新品导入（NPI）",15000-30000,岗位职责：1、负责电极工艺开发，搅拌经验优先；2、参与电极工段生产过程中的质量控制，确保产品符合标准；3、进行生产工艺流程的改进，提高生产效率和产品质量；4、负责处理生产过程中出现的技术问题，确保生产线正常运行；5、参与新产品的开发，进行工艺方案的设计与验证。岗位要求：1、本科及以上学历，材料科学、化学工程或相关专业背景；2、具备至少3年以上的电极段工艺开发经验；3、熟悉软包电芯生产工艺流程及质量...,电子设备制造,http://jobs.zhaopin.com/CCL1319432920J40822497608.htm,1000-9999人,2025-12-15 00:40:02,15000.0,30000.0,12.0
化工工艺设计工程师,重庆,重庆一可环保工程有限公司,大专,经验不限,"工艺设计,工程设计",15000-30000,职位描述：1、负责公司具体项目的工艺设计，工艺计算、具体完成PID物料衡算，能量衡算等；2、完成定型设备（主要包括机、泵类）选型，并在其他专业（电气、仪表）的配合下完成设备选型；3、完成非标设备（主要为常压容器）的设备条件图，并与机械专业联络完成设备加工图；4、完成仪表（主要包括温度、压力、流量、液压等）的仪表工艺参数表，并审核仪表专业完成的仪表选型数据表，并配合仪表专业完成仪表选型；5、为其他专...,环保,http://jobs.zhaopin.com/CC712121380J40677037109.htm,100-299人,2025-05-19 15:11:10,15000.0,30000.0,12.0
