职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
市场部副总监（k12私域新媒体）,重庆,某知名教育机构,本科,3-5年,"市场营销,私域,K12",23000-45000,核心岗位职责1. 新媒体战略与运营u 制定新媒体矩阵（微信、抖音、小红书、视频号等）的年度策略，统筹内容创作、IP打造及粉丝增长计划。u 主导爆款内容策划（图文、短视频、直播等），结合教育行业热点提升用户互动与传播声量。u 监控平台算法变化，优化运营手段，提升账号权重及流量分发效率。2. 私域流量体系搭建u 设计私域用户分层运营模型（社群、企微、小程序等），建立从引流、留存到转化的全链路闭环。u ...,互联网,http://jobs.zhaopin.com/CCL1318355140J40829292303.htm,500-999人,2026-01-09 01:05:20,23000.0,45000.0,12.0
直播运营负责人,重庆,重庆乐速文化传媒有限公司,大专,1-3年,"抖音,电商类,美妆类",20000-40000,1、直播间运营管理：负责现有抖音直播间的日常运营，制定直播排期、主题性直播活动方案，确保直播高效执行；监控直播数据（实时在线、停留时长、转化率、GMV等），针对性优化直播策略，提升直播间流量和销售额；协调团队资源（主播、场控、投流等），解决直播中的突发问题，保障直播效果稳定。2、主播培训与话术优化：设计标准化直播话术模板（开场、互动、逼单、转化话术等），定期迭代优化；对主播进行一对一培训，提升镜头...,新媒体,http://jobs.zhaopin.com/CCL1455287360J40811710407.htm,300-499人,2025-11-24 18:25:23,20000.0,40000.0,12.0
电商运营总监,重庆,重庆齐岳十一文化用品有限公司,大专,10年以上,"电商运营,新媒体运营,toB,toC,运营管理,团队管理",20000-40000,"岗位职责：1、根据公司发展战略及行业特点,负责制定电子商务战略及电商平台的规划、搭建与运营；2、根据电商行业格局的演变,优化公司的电商平台组合及资源分配；3、制定公司电商业务推进路线图并有效达成电商运营目标的策略；4、负责对电商平台的运营、品牌营销等制定可行性策略与行动方案，制定部门运营指标、年度发展计划，推动并确保业绩指标的顺利完成；5、负责新媒体和传统电商的整体规划和运营。6、策划推进公司电商...",电子商务,http://jobs.zhaopin.com/CCL1440535050J40666360107.htm,20-99人,2025-08-15 17:12:23,20000.0,40000.0,12.0
年薪30w起-直播运营-底薪1.5w+（五险一金）龙头企业,重庆,重庆大雁旅居营销策划(集团)有限公司,大专,3-5年,"获客,留资,引流",18000-35000,大雁旅居是抖音+视频号地产领域的NO.1；抖音12个账号矩阵，每个均达到1000+人在线，最高场观85W；视频号10个账号矩阵，最高场观84W，单场最高线索3000条，年直播获得线索10W+条，地产行业获客全国第一！你将担任抖音房产类直播运营，主要是“小风车”，不是小黄车；【岗位职责】1、负责搞定直播间的流量问题，让主播直播有流量2、负责培训主播，提升主播的互动，留人，留资能力3、有较强数据分析能...,房地产中介,http://jobs.zhaopin.com/CCL1478355670J40846912603.htm,100-299人,2025-11-27 09:01:53,18000.0,35000.0,12.0
短视频编剧,重庆,重庆前壹进会计师事务所(普通合伙),学历不限,经验不限,"短视频编剧,综艺编剧,网剧编剧,电视剧编剧,剧本编剧,节目编剧",17000-30000,岗位内容：1. 负责电影或电视剧的剧本构思、创作和修改；2. 根据导演的要求，进行角色设定、情节铺陈等工作；3. 需要深入研究各类人物、历史文化、社会现象等知识，具备一定的创意能力和文字表达能力。任职要求：1. 有多年编剧经验，熟悉行业规范和流程；2. 具备深厚的人文素养，拥有相关专业背景，如中文、戏剧影视等专业；3. 良好的团队协作精神和沟通能力，能够与导演、制片人等其他创作人员密切配合。,咨询服务,http://jobs.zhaopin.com/CCL1504034910J40895009202.htm,20-99人,2026-01-10 01:04:37,17000.0,30000.0,13.0
🚗央企新能源直营销售+20K-主播/新媒体/售后,重庆,四川怡卓人力资源管理有限公司,大专,1-3年,"新车,豪华品牌",15000-30000,优势：背靠央企，有平台和资源，直营门店价格透明 覆盖广泛【门店主播/新媒体，售后岗】均有招聘，可后台咨询哦~🎁薪资待遇：1.高出同业底薪+跳点提成，收入非常有保障和竞争力，努力均薪 1.5-3W+，销冠5-8W2.本月新车上市，产量销量跟得上，交车快（提成到账快）3.多门店扩招，机会多多，内部培养晋升通道透明，产品专家-主管-店长，晋升快🚗岗位职责：1. 客户接待；2. 车辆讲解；3. 试乘试...,人力资源服务,http://jobs.zhaopin.com/CC813357710J40850430913.htm,10000人以上,2026-01-06 18:44:05,15000.0,30000.0,12.0
抖音直播运营,重庆,重庆乐速文化传媒有限公司,学历不限,1-3年,"抖音,电商类",15000-30000,1、直播间运营管理：负责现有抖音直播间的日常运营，制定直播排期、主题性直播活动方案，确保直播高效执行；监控直播数据（实时在线、停留时长、转化率、GMV等），针对性优化直播策略，提升直播间流量和销售额；协调团队资源（主播、场控、投流等），解决直播中的突发问题，保障直播效果稳定。2、主播培训与话术优化：设计标准化直播话术模板（开场、互动、逼单、转化话术等），定期迭代优化；对主播进行一对一培训，提升镜头...,新媒体,http://jobs.zhaopin.com/CCL1455287360J40803037307.htm,300-499人,2025-10-23 12:27:49,15000.0,30000.0,12.0
直播运营总监,重庆,重庆新狮网络科技有限公司,学历不限,1-3年,抖音,15000-30000,综合薪资1.5-4w+提成，具体面谈需要有经验、需要有经验、需要有经验！！！1．负责直播内容的策划与运营，提升直播效果和观众互动2．管理和优化直播平台的推广引流策略，增加观众量和参与度3．监控直播数据，分析效果，不断调整直播策略以适应市场变化任职要求：1．熟悉娱乐、时尚及才艺直播领域，具备相关直播运营经验2．具备优秀的沟通能力和团队协作精神，能够与主播和团队有效合作3．具有较强的数据分析能力，能够...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1500457810J40743486209.htm,100-299人,2025-09-10 10:05:59,15000.0,30000.0,12.0
无责15K直播运营+五险一金月薪3w,重庆,重庆大雁旅居营销策划(集团)有限公司,大专,3-5年,"抖音,快手,电商类,教育类,财经类,留资,自然流",18000-28000,大雁旅居是抖音+视频号地产领域的NO.1；抖音12个账号矩阵，每个均达到1000+人在线，最高场观66W；视频号10个账号矩阵，最高场观84W，单场最高线索3000条，年直播获得线索10W+条，地产行业获客全国第一！你将担任抖音房产类直播运营，主要是“小风车”，不是小黄车；【岗位职责】1、负责搞定直播间的流量问题，让主播直播有流量2、负责培训主播，提升主播的互动，留人，留资能力3、有较强数据分析能...,房地产中介,http://jobs.zhaopin.com/CCL1478355670J40868477603.htm,100-299人,2026-01-08 09:56:32,18000.0,28000.0,12.0
千川编导,重庆,重庆乐速文化传媒有限公司,大专,1-3年,"短视频,电商视频,电商带货,快消品,直播带货",15000-30000,工作内容：为我们成熟的账号/直播间，创作高传播量高转化力的视频，内容形式不限；公司优势：头部白酒电商运营公司，各大内容/电商平台KA级客户，多次上榜；自有品牌，自有供应链，稳定项目，成熟账号；现因业务扩大，诚心招聘优秀的内容型人才！可以在主流平台提前搜“厚臣草台香”了解我们岗位优势：1，只要是好内容，无上限预算支持，长期能拿到提成；2、老板带头干，不限制内容形式，专业拍剪辑团队帮你落地创意；3、全...,新媒体,http://jobs.zhaopin.com/CCL1455287360J40778774507.htm,300-499人,2025-09-16 14:11:55,15000.0,30000.0,12.0
