职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
汽车电子测试经理,重庆,沈阳东信创智科技有限公司,本科,10年以上,"自动化测试,CAN/LIN,以太网,诊断刷写",25000-50000,岗位职责：1. 技术管理与体系建设：负责整车、台架及部件级网络诊断测试的技术规划、方案设计与落地实施，跟踪行业技术发展，构建并持续优化测试体系，确保技术领先性。2. 测试流程与效率提升：主导测试规范、用例及自动化脚本的开发和优化，基于客户需求与项目实践，推动测试流程改进与效率提升，保障测试质量。3. 技术攻坚与团队指导：解决网络及诊断测试中的复杂技术难题，为团队提供专业指导和技术支持，培养团队成员...,汽车研发/制造,http://jobs.zhaopin.com/CC705506820J40751860202.htm,100-299人,2026-01-08 01:02:39,25000.0,50000.0,12.0
质量副总裁（铸造行业或关键零部件制造业）,重庆,康硕(山西)智能制造有限公司,本科,10年以上,质量规划与管理，供应商质量管理,30000-50000,"主要工作职责：1. 制定并推动实施与公司业务战略相匹配的、前瞻性的质量战略与发展规划；2. 组织参与集团质量目标的制定和承接,制定质量管理制度和评价机制,分解质量目标和专项任务,推进质量任务闭环解决；3. 制定并落实质量中心、检验检测子公司年度、月度工作计划，执行并优化部门内各项日常管理工作，确保公司品质管理工作的有效运作；4. 根据公司战略规划，指导制定产品质量方针；并根据技术及工艺相关要求，制...",船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1379394770J40873879702.htm,500-999人,2025-12-15 00:21:01,30000.0,50000.0,12.0
品质总监,重庆,重庆宇隆光电科技股份有限公司,本科,10年以上,"全模块,QE,QA",30000-45000,岗位职责：1、负责公司SMT生产线的品质管理，确保产品的质量和生产效率；2、统筹管理多个生产工厂的品质问题，制定并优化品质管理流程；3、负责品质部门团队的培训与发展，提升团队的专业技能；4、监控产品质量，确保符合行业标准和客户要求；5、分析质量问题并提出改善方案，减少不良品率；6、与生产、供应链等相关部门密切合作，保障生产过程中的品质要求。岗位要求：1、本科及以上学历，电子相关专业背景；2、拥有1...,电子设备制造,http://jobs.zhaopin.com/CCL1348768470J40711970516.htm,1000-9999人,2025-05-13 13:51:59,30000.0,45000.0,12.0
高级工程师,重庆,重庆通用人工智能研究院,硕士,5-10年,,20000-40000,行业智能体中心岗位：1、主导智能体评测平台的架构设计与搭建，支持基础性能测试功能；2、设计智能体组件的评测体系与指标，构建“人机协同”评测框架；3、牵头测试数据集构建，提升数据覆盖度；4、负责评测算法研发，解决AI产品评测难题；5、指导团队完成评测流程优化与自动化工具开发。要求：1、硕士及以上学历，计算机相关专业；2、4年以上软件测试/AI评测经验，有智能体/AI产品评测平台搭建经验者优先；3、熟...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908924808.htm,20-99人,2025-12-29 10:55:09,20000.0,40000.0,12.0
电芯-质量总监/高级经理,重庆,重庆赣锋锂电科技有限公司,本科,5-10年,质量体系,20000-40000,全面负责电池生产线的质量管理工作，通过建立健全质量体系、严格质量控制、有效处理质量问题、持续推动质量改进，确保产品质量符合标准和客户要求，提升产品市场认可度和公司品牌声誉。工作职责： 1.质量体系管理：建立维护质量管理体系，组织体系认证与审核；制定修订质量制度、流程及标准并优化。 2.全流程质量控制：主导原材入厂检验、生产过程质量监督、成品出厂检验，把控各环节质量。 3.质量问题处理与改进：调查分...,新能源,http://jobs.zhaopin.com/CCL1407140800J40976865604.htm,100-299人,2025-12-29 09:59:07,20000.0,40000.0,13.0
全国有岗位（开发、测试、算法、数据分析等,重庆,外企德科数字技术有限公司,本科,经验不限,"C语言,Python,Java",19000-35000,"岗位： C/C++，java，JS，python、Go等通用软件开发工程师，软件测试工程师（ 社招模式），各产品线各类语言开发岗位开放，只要你懂一门语言，就有合适的岗位! 工作稳定，工作内容相同（pl无差异分配任务）（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟进可查, 一个部门不满意可转推不同部门）：工作：接触并开发核心业务代码，技术栈全面，技术牛人多...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40632910605.htm,100-299人,2026-01-12 00:24:20,19000.0,35000.0,16.0
品质部长（电子行业）,重庆,重庆力华科技有限责任公司,大专,5-10年,"全面质量管理体系,熟悉电子行业工艺流程",15000-30000,1、负责质量目标的拟订、执行、控制和质量改善；2、负责原材料、过程、产品品质控制和监督检查，对整改项目进行跟踪落实；3、负责供应商质量工作审查和辅导；4、负责质量事故的处理；5、实验室管理，测量设备的总体宏观管理；6、质量体系的建立、实施、运行控制管理和持续改善；7、领导交代的其它事项。1、大专以上学历，机电理工类相关专业；2、3年以上电子行业质量管理工经验。,电子商务,http://jobs.zhaopin.com/CC555545820J40802557209.htm,20-99人,2026-01-08 08:42:15,15000.0,30000.0,13.0
车载网络测试项目经理（重庆）,重庆,沈阳东信创智科技有限公司,本科,5-10年,"CAN/LIN/以太网测试,项目管理,网关路由",15000-30000,岗位职责：1.技术管理：负责整车、台架及部件级网络诊断测试的技术方案、测试方案制定与落地实施，主导组织项目成员进行测试规范、用例及自动化脚本的开发和优化，对提报测试问题进行审核把关，基于客户需求与项目实践，推动测试流程改进与效率提升，保障测试质量。2.项目管理：负责本地区各项目团队建设，人员协调、人员分工、制定项目计划、成本控制。对内协助各项目组组织或寻求资源解决网络及诊断测试中的复杂技术难题；对...,汽车研发/制造,http://jobs.zhaopin.com/CC705506820J40879825702.htm,100-299人,2025-12-20 01:04:20,15000.0,30000.0,12.0
质量经理,重庆,重庆辉生泰新材料科技有限公司,大专,5-10年,,15000-30000,岗位职责：1，负责工厂产品质量的全面管理，确保产品符合公司及客户标准；2，制定并执行质量控制流程，监督生产过程中的质量把控；3，协调与生产、采购、仓储等部门的合作，推动质量问题的及时解决；4，运用质量管理工具（如六西格玛、8D报告、PDCA循环、FMEA、MSA等）分析复杂质量问题，推动持续改进项目（如降低某工序不良率、缩短客诉处理周期）；5，定期向总部汇报质量状况，并提出改进建议以提升整体质量水...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1438141240J40820034513.htm,300-499人,2025-08-30 10:30:58,15000.0,30000.0,12.0
电气系统测试高级工程师,重庆,中国汽研,博士,经验不限,"测试,三电系统,电控系统",20000-30000,岗位职责:1、负责汽车高压电子电器类相关零部件的试验技术研究，特别是高压纹波对零部件、系统、整车的功能及可靠性的影响，试验检测手段的研究及实现；2、负责汽车高压电子电器类相关零部件的国际、国标、行标、企标等试验标准研究，通过项目积累逐步实现标准起草的牵头单位，并主动为企业制修订标准，以赋能客户的高质量发展；3、负责汽车高压电子电器类相关零部件的硬件测试能力科学构建，为专业化发展提供基本硬件保障；4...,汽车研发/制造,http://jobs.zhaopin.com/CC328789330J40804672605.htm,1000-9999人,2025-08-20 10:18:05,20000.0,30000.0,12.0
