职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
流量增值业务总监,重庆,大龙网,本科,10年以上,"toB,toC,用户运营,产品运营",50000-70000,【工作职责】1、负责公司流量增值服务平台的运营及营销推广团队管理，KPI考核体系、激励体系的制定并监督执行，成功实现业务复制；2、负责公司增值服务平台的营销战略规划、流量运营规划、营销渠道公关及建设等工作，塑造公司平台在海外的品牌形象，提升平台品牌在用户中的认知度与美誉度，对流量、用户量及营销投入产出效果负责； 3、负责主流营销渠道的算法研究、规则研究和效果研究，总结并提升投资回报，建立科学的营销...,互联网,http://jobs.zhaopin.com/CC341272510J40805451608.htm,500-999人,2025-09-30 13:56:57,50000.0,70000.0,12.0
商贸运营总监岗位,重庆,重庆万联易达供应链有限公司,本科,5-10年,,20000-40000,【岗位职责】1.统筹区域大宗商品 / 工业品商贸全流程运营，搭建标准化运营体系，保障交易合规与履约效率；2.管控商贸业务风险，优化合同、订单流程，推动物流、数金等跨部门协同；3.带领运营团队达成 GMV、合规率等核心 KPI，指导二级子公司商贸运营业务落地。【任职要求】1.本科及以上学历，市场营销、国际贸易、供应链管理等相关专业；2.至少5 年以上商贸运营领域经验，3 年 + 区域级商贸运营团队管...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1502834110J40884349102.htm,100-299人,2025-12-19 08:55:06,20000.0,40000.0,12.0
算力运营副总,重庆,浙江中天数算科技有限公司,本科,5-10年,算力,20000-40000,岗位职责 1.行业精研与战略规划：深度分析AI算力市场需求和竞争格局，制定并执行公司的算力运营中长期发展战略与年度业务目标。 2.主导设计并优化算力服务的商业模式、解决方案体系及定价策略，提升市场竞争力与盈利能力。 3.算力消纳与资源调度：建立高效的算力资源预测、调度与消纳机制，确保算力资源的高利用率，有效平衡供需关系，降低空置成本。 4.开拓并维护关键客户及生态合作伙伴（如大型AI公司、科研机构...,云计算/大数据,http://jobs.zhaopin.com/CCL1500426490J40813308410.htm,20-99人,2025-11-27 00:00:05,20000.0,40000.0,12.0
烤肉/烤鱼品类运营总监,重庆,重庆尹真珠品牌管理有限公司,大专,5-10年,"门店运营,新店筹备,烤肉,烤鱼",30000-40000,岗位职责：1、筹备体系搭建：建立并持续优化从 “物资进场”到“开业后第七天” 的全周期新店筹备SOP，涵盖物资验收、人员组建与培训、开业营销落地等。2、开业项目管理：全面管理所有新店的开业筹备进度、质量与成本，确保新店按既定时间表和标准开业。3、跨部门协同落地：作为枢纽，主动协调供应链部（确保物资准时准确到店）、营销部（确保开业活动顺利执行）、人力资源部（确保人员及时到岗）、品牌部（确保形象标准）...,餐饮服务,http://jobs.zhaopin.com/CCL1508729080J40802109509.htm,1000-9999人,2025-10-25 12:01:24,30000.0,40000.0,12.0
运营总监,重庆,北京高孚动力科技有限公司,本科,5-10年,销售运营,20000-40000,一、岗位职责1.充分落实企业的相关管理决策，对决策进行布置，督促协调控制，确保进度与质量。2.分析公司的经营管理状态，提出完善计划，促进公司进度化、规范化的发展。3.跨部门协调与沟通，与其他部门保持紧密沟通与合作，确保运营活动与公司整体战略一致。协调解决跨部门之间的冲突和问题，促进协同工作。4.制定符合磁悬浮行业特性的3-5年中长期市场战略，统筹年度营销计划与预算分配，推动产品定位、渠道布局与销售...,新能源,http://jobs.zhaopin.com/CC859967690J40883854915.htm,20-99人,2025-08-31 10:33:53,20000.0,40000.0,13.0
电商运营总监,重庆,重庆齐岳十一文化用品有限公司,大专,10年以上,"电商运营,新媒体运营,toB,toC,运营管理,团队管理",20000-40000,"岗位职责：1、根据公司发展战略及行业特点,负责制定电子商务战略及电商平台的规划、搭建与运营；2、根据电商行业格局的演变,优化公司的电商平台组合及资源分配；3、制定公司电商业务推进路线图并有效达成电商运营目标的策略；4、负责对电商平台的运营、品牌营销等制定可行性策略与行动方案，制定部门运营指标、年度发展计划，推动并确保业绩指标的顺利完成；5、负责新媒体和传统电商的整体规划和运营。6、策划推进公司电商...",电子商务,http://jobs.zhaopin.com/CCL1440535050J40666360107.htm,20-99人,2025-08-15 17:12:23,20000.0,40000.0,12.0
闪购-超市便利KA-LKA商家运营（西区）,重庆,北京三快在线科技有限公司,本科,3-5年,,,"美团闪购是美团旗下的即时零售平台，依托即时配送能力，连接本地零售供给，满足消费者30分钟万物到家的即时需求。美团闪购涵盖超市便利、食材、水果、鲜花绿植、休闲零食、酒水饮料、数码家电、美妆个护、母婴玩具、日用百货、服饰鞋帽、宠物等诸多品类，业务覆盖全国近3,000个县市区旗，每日百万级在岗骑手，以高效的配送、丰富的品类和广泛的覆盖，为美团数亿用户带来便捷的生活体验，积极助力实体零售线上化转型，提升本...",互联网,http://jobs.zhaopin.com/CC383625320J40818886009.htm,10000人以上,2026-01-12 08:57:25,,,
产业运营策划总监,重庆,某置业公司,本科,1-3年,"B端运营,C端运营,PC端运营",25000-30000,工作职责: 1、负责产业园区策划、开发、招商和运营2、时刻关注产业园行业动态，熟悉国内产业园运营的各种模式； 3、负责产业园项目前期对接相关政府、合作方，洽谈合作方案及相关事项； 4、负责把控项目产业策划的总体思路和方向； 5、负责完成项目市场调研、可行性研究、市场定位与物业发展的策划； 6、负责完成项目的汇报和沟通工作。 任职资格: 1、***本科及以上学历； 2、8年以上工作经验，其中5年以上...,互联网,http://jobs.zhaopin.com/CCL1318355140J40246456903.htm,500-999人,2026-01-05 01:04:29,25000.0,30000.0,12.0
门店运营总监,重庆,有友食品,大专,3-5年,门店运营,20000-30000,一、岗位职责： 1. 全链路运营管理：统筹门店运营全流程管控，涵盖运营渠道搭建与优化、供应链体系协同管理、门店日常运营效能提升，确保门店运营规范、高效运转。2. 新店拓展与筹建：牵头负责新店筹建全流程工作，包括选址评估、筹备规划、落地执行等；统筹门店拓展战略落地，推动门店网络布局优化与规模扩张。3. 客户体验与库存管控：建立并迭代客户服务标准，聚焦客户体验提效升级，妥善处理客户反馈，提升客户满意度...,快速消费品,http://jobs.zhaopin.com/CC193270420J40743583906.htm,1000-9999人,2025-12-24 18:26:20,20000.0,30000.0,12.0
电商运营经理(J10642),重庆,植恩生物技术股份有限公司,本科,5-10年,"淘宝/天猫,京东,拼多多,经理,负责人",15000-30000,岗位职责:薪资面议。1.战略规划的制定与实施1.1 根据公司战略目标，制定零售市场业务的整体规划和运营管理，包括电商平台、合作客户及线下门店的发展战略，并根据发展规划，制定零售场景下内外部销售年度目标、运营计划、各阶段推广计划、费用预算及具体实施，以确保公司战略目标的落地；1.2 根据公司年度目标及市场分析，审核并动态调整零售业务部各团队月度/季度/年度经营规划、目标及预算，以按计划达成年度业绩和...,医药制造,http://jobs.zhaopin.com/CC121009980J40805589501.htm,500-999人,2025-11-11 14:20:21,15000.0,30000.0,12.0
辐照加工运营总裁,重庆,中子科学(重庆)研究院有限公司,本科,5-10年,辐照,15000-30000,岗位职责：1.制定公司战略发展规划、经营方针与策略，报集团批准后组织实施2.制定产品市场研究及产品发展规划3.在集团整体战略规划下，组织制定公司年度任务计划及各阶段工作目标分解，报集团批准后，组织监督任务计划执行，负责日常运营；4.负责公司融资发展与市场营收，跟踪公司经营目标达成情况；5.完成领导交代的其他事宜岗位要求：1.学历要求：本科及以上学历2.专业要求：专业不限3.经验要求：5年以上科技型...,医疗设备/器械,http://jobs.zhaopin.com/CCL1483561300J40784782209.htm,500-999人,2025-10-27 19:04:48,15000.0,30000.0,14.0
外企-企业协助（955）,重庆,中美联泰大都会人寿保险有限公司宁波中心支公司,大专,1-3年,"新媒体运营,产品运营,活动运营",16000-27000,岗位职责:1. 支持企业日常运营管理，确保流程和系统运行高效。2. 参与跨部门团队合作，共同推进项目和业务目标。3. 组织和协调企业内部活动，包括会议、培训和团队建设。任职要求：1. 具备出色的沟通技巧和团队协作能力，能与不同背景的人士有效互动。2. 有能力在快节奏环境中保持积极主动的工作态度。3. 能够处理多任务并确保高质量完成工作。,保险,http://jobs.zhaopin.com/CC510061780J40838609413.htm,100-299人,2025-12-05 13:22:03,16000.0,27000.0,13.0
