职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
OBC-开关电源硬件工程师,重庆,重庆力华科技有限责任公司,本科,5-10年,"电源,研发,电源设计,逆变器,OBC,PFC",30000-60000,工作职责概述 ：1.需求分析与系统设计：参与产品需求评审，将系统需求转化为详细的硬件设计规格（如效率、功率因数、THD、纹波、EMC、安规等）。负责主功率拓扑的选型和设计（如三相PFC整流、LLC谐振变换器、DAB、CLLC等），并进行系统级架构设计和功率预算计算。2.详细电路设计与仿真：负责三相PFC、DC/DC等主功率电路、驱动电路、采样调理电路的设计与元器件选型（IGBT/SiC MOSFE...,电子商务,http://jobs.zhaopin.com/CC555545820J40815813509.htm,20-99人,2026-01-09 01:24:39,30000.0,60000.0,13.0
拔尖计划-生活物联网智能硬件开发技术专家,重庆,中移物联网,硕士,无经验,,30000-50000,工作职责1、负责洞察智能硬件行业趋势，协助揭榜团队制定 3-5 年硬件产品技术路线图与生活物联网硬件技术方向选型与架构标准化。2、 负责部门硬件产品核心架构设计与技术攻坚。主导复杂硬件系统的全流程架构设计，解决技术难点，推动硬件与算法协同优化。3、负责部门硬件产品全生命周期管理。从需求分析到量产交付全流程把控，主导原理图设计评审、PCB Layout 优化、EMC/EMI 测试，确保产品良率达到业...,物联网,http://jobs.zhaopin.com/CC545530120J40831928510.htm,1000-9999人,2026-01-06 14:57:16,30000.0,50000.0,16.0
控制系统硬件工程师,重庆,宗申集团,本科,3-5年,,20000-40000,岗位职责：1、根据控制系统需求，参与航空发动机 ECU 系统需求分析与硬件需求分解，同步完善硬件设计文档，确保文档的完整性与规范性。2、设计硬件架构，负责航空发动机 ECU硬件的方案设计与详细设计，包括元器件选型、原理图绘制、PCB 布局布线，确保硬件设计符合航空行业相关标准（及产品性能指标；3、绘制原理图，规划PCB板层、尺寸与布局，主导 ECU 硬件原型机的制作与调试工作，解决原型机研发过程中...,汽车研发/制造,http://jobs.zhaopin.com/CC203112410J40617625508.htm,10000人以上,2026-01-07 15:20:34,20000.0,40000.0,12.0
硬件工程师-逆变器,重庆,重庆力华自动化技术有限责任公司,本科,5-10年,"硬件开发,光伏逆变器",20000-40000,一、岗位职责1、硬件设计与开发负责单相/三相户储逆变器（1kW-15kW）的硬件开发，涵盖离网、并网及混合拓扑，主导功率变换单元设计（如双向DC/DC、DC/AC）、磁性器件选型、热设计及EMC优化。精通主流拓扑架构（如PSFB/DAB/Heric/H6/T-NPC），独立完成原理图设计、PCB布局指导、关键器件选型及损耗仿真。2、测试与问题解决主导样机调试与性能验证，使用示波器、功率分析仪等工具...,汽车零部件,http://jobs.zhaopin.com/CC270553110J40801488909.htm,1000-9999人,2025-11-27 16:59:51,20000.0,40000.0,12.0
硬件开发部经理,重庆,重庆天如生物科技有限公司,本科,5-10年,胃肠镜,20000-40000,岗位职责1. 负责团队完成公司硬件开发部项目的整体规划、管理与监督；设定团队目标和绩效标准，激励团队成员，提升团队士气和凝聚力；提供技术指导和支持，解决团队在开发过程中遇到的技术难题；2. 产品需求的收集，制定项目开发计划，牵头对产品的系统、架构进行设计；3. 负责系统方案、子系统详细设计的评审和把关； 4. 负责参与产品的功能、稳定性和可靠性测试、EMC测试、安规测试；5. 负责产品开发及过程文...,医疗设备/器械,http://jobs.zhaopin.com/CC501908020J40923770404.htm,20-99人,2025-06-19 11:38:11,20000.0,40000.0,12.0
高级硬件工程师,重庆,重庆赛特制冷设备有限公司,本科,3-5年,"设计,PCB设计,EMC设计,硬件测试",18000-35000,岗位内容：1. 独立设计和开发嵌入式系统的硬件电路和原理图；2. 独立进行器件选型和布局，设计PCB板并进行调试和验证；3. 独立责硬件功能测试、故障分析和解决方案的制定；4. 独立参与产品的设计评审和技术讨论，提出优化方案； 5.能管理团队，做好项目开发。 任职要求： 1. 本科及以上学历，电子工程等相关专业，3年及以上硬件开发经验； 2. 熟悉嵌入式系统、模拟电路、数字电路的设计方法和器件选型...,电气机械/电力设备,http://jobs.zhaopin.com/CC332669610J40804826313.htm,500-999人,2025-12-31 08:58:55,18000.0,35000.0,12.0
硬件产品规划专员,重庆,天津尘时科技有限责任公司,本科,5-10年,,24000-30000,1.负麦底盘、平台及座椅等产品及技术趋势洞察、竞争及行业趋势分析，为公司新技术产品发展提供战略性建议。2.负麦结合用户需求、市场发展趋势、产品策略等维度，制定新技术和硬件产品的应用搭载规划。3.负麦底盘及平台产品的定义(品类/品种、产品路标、功能配置带宽等)、产品组合策略制走及功能/技术领先性挖掘。4.定期跟踪市场趋势和行业动态，负表平台产品的全生命周期产品跟踪，及时调整需求路标和产品的搭载策略。...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40854068013.htm,500-999人,2026-01-07 13:19:57,24000.0,30000.0,12.0
硬件工程师（重庆）,重庆,深圳芯珑电子技术有限公司,本科,3-5年,,15000-30000,一、产品开发:1.设计开发:根据研发计划，完成产品硬件的需求分解、硬件平台搭建、原理图设计、物料选型、样机性能自测、产品BOM制作等硬件开发工作;2.技术评审:参与产品研发各阶段的技术评审，包括方案评审、原理及PCB评审、产品用料及BOM评审:生产工艺评审等事项3.资料归档:按计划输出各阶段硬件相关技术文档并提交审核归档;二、产品维护1.招投标:根据招投标技术要求，输出详细技术类资料，配合完成招投...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC405654510J40743836106.htm,20-99人,2025-12-26 09:59:20,15000.0,30000.0,12.0
开关电源OBC硬件工程师,重庆,重庆力华自动化技术有限责任公司,大专,3-5年,,15000-30000,工作职责概述 ：1.需求分析与系统设计：参与产品需求评审，将系统需求转化为详细的硬件设计规格（如效率、功率因数、THD、纹波、EMC、安规等）。负责主功率拓扑的选型和设计（如三相PFC整流、LLC谐振变换器、DAB、CLLC等），并进行系统级架构设计和功率预算计算。2.详细电路设计与仿真：负责三相PFC、DC/DC等主功率电路、驱动电路、采样调理电路的设计与元器件选型（IGBT/SiC MOSFE...,汽车零部件,http://jobs.zhaopin.com/CC270553110J40815856109.htm,1000-9999人,2025-12-03 09:31:18,15000.0,30000.0,12.0
硬件工程师,重庆,重庆美顺电子科技有限公司,本科,3-5年,,20000-30000,1、电子产品硬件设计，包括：控制电路设计、组件选用、布局分析；2、编写详尽的设计方案、计划及产品测试；3、设备的电气调试及现场技术处理；4、设计技术文件资料的编写和测试数据记录。5、对产品提供技术支持；岗位要求：1、三年以上硬件开发工作经验；2、熟练使用PCB开发工具；3、具有较强的模拟/数字电路分析能力；4、具有较强的电路设计和PCB布板能力；5、有功率器件开发经验者优先。乘车线路：轻轨6号线至...,电子设备制造,http://jobs.zhaopin.com/CC583052920J40749666212.htm,100-299人,2025-11-28 09:27:55,20000.0,30000.0,12.0
