职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
永磁电机控制专家,杭州,川能电气(台州)股份有限公司,硕士,5-10年,"研发,机器人,控制策略设计",35000-60000,岗位职责：可主导伺服驱动系统（中压、低压）、或关机模组产品的永磁电机控制算法研发，包括FOC、无感控制、振动抑制等关键技术。负责从方案设计、仿真验证到代码实现、测试标定的全流程开发，推动产品迭代与技术突破。带领技术团队完成产品样机开发与量产转化，解决试产及量产过程中的控制相关问题，确保性能、成本与可靠性目标达成。分析行业技术趋势，制定电机控制相关技术路线图，沉淀核心技术专利与文档。任职要求：硕士及...,工业自动化,http://jobs.zhaopin.com/CCL1449760580J40782798716.htm,20人以下,2026-01-09 00:00:01,35000.0,60000.0,12.0
光储冲一体电子电气工程师,杭州,智联猎头,本科,5-10年,,35000-55000,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将参与设计并实现一款前沿的储能充电机器人的电子电气架构。机器人能够自主移动、精准操作，完成高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦储能充电模块的EE架构设计。核心职责 全局架构设计： 负责储能充电模块的电子电气系统顶层设计，定义能源分配、网...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114703.htm,10000人以上,2025-12-30 16:04:59,35000.0,55000.0,14.0
电机控制软件工程师,杭州,浙江科力车辆控制系统有限公司,本科,5-10年,"研发,算法",25000-50000,1、负责一种系统级产品的软件开发，并能量产；2、熟悉产品的控制逻辑、算法，能够分析潜在优缺点，并进行优化；3、能够跟客户技术对接，解决客户难点问题；4、能够合理架构软件各层级关系，并能进行优化；5、指导初级工程师完成程序开发；,汽车零部件,http://jobs.zhaopin.com/CC661677020J40741088913.htm,1000-9999人,2025-02-20 08:22:30,25000.0,50000.0,12.0
高级电气研发工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"储能箱,汇流柜",30000-45000,岗位职责：1. 负责根据国内海外规范进行储能箱内电气设计，包括储能系统电气架构、配电柜、汇流柜、集装箱等设备电气设计选型，完成与供应商技术对接，并输出电气原理图、接线图、器件清单、技术协议等技术文件;2. 负责储能电站部分一次、二次电缆，监控等设备选型设计，并输出电缆清册等技术文件；3. 负责BMS、PCS升压一体舱等部件选型，完成与供应商技术对接，并根据项目要求输出相应技术协议；4. 负责IEC...,新能源,http://jobs.zhaopin.com/CC653408580J40715552416.htm,500-999人,2025-05-22 16:50:51,30000.0,45000.0,12.0
PCS电气工程师（电控研究院）,杭州,浙江南都电源动力股份有限公司,本科,5-10年,"设计,配电柜,开关柜,PCS,逆变器,变流器",20000-40000,职位职责：1、负责完成储能系统的电气设计，输出电气一次/二次图纸及BOM清单，线束图纸。2、负责储能系统相关电气设备选型及验证、器件平台标准化，如IGBT、断路器、电源、防雷器件、变压器等。3、负责系统的电气安规设计及相关认证，负责直流/交流滤波器EMI设计及参数确定。4、负责项目电气相关输出资料的编制整理及归档，并协助相关部门完成各类认证/验收工作。5、负责研发过程中的储能系统测试平台搭建，协同...,互联网,http://jobs.zhaopin.com/CCL1318355140J40766301403.htm,500-999人,2026-01-06 01:04:36,20000.0,40000.0,12.0
电控研发工程师,杭州,杭叉集团,本科,3-5年,"设计,研发",20000-40000,岗位职责： 1. 工程机械电控系统设计，元件选型、原理图和线束图设计； 2. 编写整车控制软件及调试； 3. 客户现场技术支持； 4. 持续产品设计改进； 5. 整理技术文献、编写技术文档。 任职要求： 1. 本科及以上； 2. 机械电子、自动化、电气工程等相关专业； 3. 熟悉Codesys语言或者三菱、西门子、倍福等常见品牌PLC； 4. 三年及以上工程机械电控系统或者PLC自动化项目开发经历...,客运服务,http://jobs.zhaopin.com/CC573184420J40750937416.htm,1000-9999人,2025-12-23 00:30:41,20000.0,40000.0,12.0
杭州晟芯迪电子科技有限公司,杭州,杭州晟芯迪电子科技有限公司,硕士,5-10年,"传感器,机器人,电力电子产品,设计,研发,测试,嵌入式硬件研发,嵌入式软件研发,工艺设计,消费电子产品,医疗电子产品",20000-40000,岗位内容：1. 开发、实现和测试高性能的电子产品；2. 监督和管理全面的产品生命周期，包括研发、测试、制造和售后支持；3. 评估和解决产品的技术问题；4. 提供可靠的技术支持给客户，以确保其满意度；5. 推动不断改进流程，以提高产品质量和工作效率。任职要求：1. 研究生以上学历，微电子，新材料，新能源，高端装备工程或相关领域；2. 至少5年电子产品研发经验；3. 熟练掌握常见的电路板设计软件和仿真...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1514363520J40816327811.htm,20-99人,2025-12-23 00:00:01,20000.0,40000.0,12.0
高级电子工程师,杭州,杭州西湖电子研究所,本科,1-3年,硬件工程师,20000-40000,岗位描述：1、高速数字处理系统硬件研发设计；2、硬件方案规划与芯片选型；3、设计制作PCB版；4、指导生产。 岗位要求：1、电学类硕士及以上学历或本科但专业水平突出者；2、具有制作高速数字PCB板实际经验； 3、能熟练阅读理解相关英文文档； 4、具有以下经历优先；4.1熟悉常见的高速A/D芯片，如LVDS、SPI等；4.2具有FPGA电路设计经验，特别是熟悉Xilinx公司ARTIX、KINTEX...,仪器仪表制造,http://jobs.zhaopin.com/CC224542719J00213517308.htm,100-299人,2025-11-21 00:10:21,20000.0,40000.0,12.0
电气设计师（110KV—330kV变电站电气一次、二次系统设计工程师）,杭州,浙江友华工程咨询有限公司,大专,3-5年,设计,30000-40000,高薪招聘:110KV—330kV变电站电气一次、二次系统设计工程师。1. 设计工作：负责110KV—330kV变电站电气一次、二次系统的全过程设计，包括但不限于继电保护、自动化监控、通信系统、直流系统等。2. 技术支持：参与项目的前期技术咨询、现场勘查、方案设计及技术评审，为项目提供技术支持。3. 协调与沟通：牵头跨专业接口协调，审核电缆清册、屏柜布置图等交叉文件。4. 现场支持：在施工阶段提供技...,通信/网络设备,http://jobs.zhaopin.com/CC284529010J40711106001.htm,1000-9999人,2025-07-25 00:00:02,30000.0,40000.0,12.0
电机控制硬件工程师,杭州,浙江科力车辆控制系统有限公司,本科,5-10年,"研发,设计,硬件研发",20000-40000,1.设计高效的电机驱动电路及控制板。2.开发并测试原型机，包括原理图设计、PCB布局审查以及样机制作。3.对现有产品进行分析，提出改进方案，并实施硬件升级。4.协同软件工程师完成软硬件联合调试与验证。5.参与新产品从概念阶段到批量生产的整个过程。6.编制详细的技术文档，如设计规范、测试报告等。7.跟踪最新的行业动态和技术发展，保持技术优势。8.指导初级工程师，促进团队成员间的知识共享。资格要求:1...,汽车零部件,http://jobs.zhaopin.com/CC661677020J40695850513.htm,1000-9999人,2025-06-17 00:31:24,20000.0,40000.0,12.0
