职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Mac前端工程师,杭州,桑万(上海)人工智能科技有限公司,本科,3-5年,"JavaScript,CSS,Mac OS,OBJECTIVEC",30000-50000,统招本科，学信网可查岗位职责1. 核心应用开发：作为核心成员，负责Mac桌面端应用的设计、开发与迭代，将产品愿景转化为高质量、高性能的本地应用。2. 复杂界面实现：与产品、设计团队紧密协作，实现高品质的界面布局，确保用户体验的流畅性与美学质感，对标业界顶尖产品。3. 优先架构：主导或参与构建以“隐私保护”为核心的本地数据处理架构，包括本地文件智能索引、多渠道信息源（录音、文档、网页剪藏等）的采集与...,计算机软件,http://jobs.zhaopin.com/CC538835130J40844329903.htm,100-299人,2025-10-07 22:01:51,30000.0,50000.0,12.0
海外前端技术支持工程师,杭州,苏州科达,本科,经验不限,"网络通信设备,软件产品,安防系统,英语流利",30000-45000,测试、实施工作，成长后担任测试或者实施项目经理岗位岗位职责： 1、能独立或者在指导下完成前端系统包括视频捕获设备、前端管理设备、拼接屏等的安装调试和效果演示工作；独立或者在指导下完成系统问题、功能需求的处理； 2、协助项目经理编写工程项目文档，包括工程实施方案、项目进度计划、项目成本估算、项目变更文件、到货清单、验收报告等； 3、协助项目经理协调工程项目实施业主、监理等各方关系，保证工程项目的顺利...,运营商/增值服务,http://jobs.zhaopin.com/CC133299610J40778366503.htm,1000-9999人,2025-04-15 16:30:12,30000.0,45000.0,12.0
芯片前端工程师,杭州,深圳市新凯来技术有限公司,本科,3-5年,"数字前端设计,数字前端验证,IP设计,SoC设计,VCS,Synopsys,DC,Verdi,ModelSim",20000-40000,1、完成前端设计工作，包括RTL编写、综合（Synthesis）、时序约束（SDC）与时序检查（STA）以及形式验证（Formal Verification）；2、进行功耗分析、性能评估并输出设计文档、技术报告；3、使用Verilog/Chisel等语言进行功能仿真，配合验证工程师完成模块级/系统级仿真、覆盖率分析、FPGA原型验证以及芯片调试；4、负责制定验证计划、搭建验证平台、编写UVM/Te...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40902368815.htm,1000-9999人,2025-11-11 14:50:03,20000.0,40000.0,12.0
Java/C/C++/Python/js前端,杭州,外企德科数字技术有限公司,学历不限,经验不限,"JavaScript,Python,C++",18000-35000,岗位名称:多岗位根据自己简历情况选择面试岗位包括;Java/C/C++/Python/js前端等地点:全国都有，西安，杭州、上海，南京，武汉，北京，苏州，东莞，深圳，成都岗位要求：1. 本科及以上学历；2. 有一定算法和代码基础；具体面试要求依自己对口职位为准,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831604205.htm,10000人以上,2026-01-12 00:26:41,18000.0,35000.0,14.0
web前端开发工程师,杭州,外企德科,本科,3-5年,"电商项目,React",20000-30000,1. 负责B类电⼦商务⽹站前端开发⼯作，与PD、UED、Java ⼯程师协作，完成设计交互实现、数据交互、动态信息展现；2. 关注⽤户体验，与合作⽅⼀起不断改进产品的易⽤性；3. 结合业务特点创新应⽤前端技术解决前端团队开发过程中⾯临的各类问题，提升整个前端团队开发效能；4. 研究和探索创新的开发思路和新的前端技术。1. 本科以上计算机相关专业，3年以上前端开发经验；2. 熟悉 Web 前端技术，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828813305.htm,10000人以上,2026-01-12 00:26:40,20000.0,30000.0,15.0
web3d资深开发工程师—光合泰智（杭州）科技有限公司,杭州,杭州市人才市场开发有限公司,本科,3-5年,"WebGL,Three.js",15000-30000,光合智能成立于2025年2月，是一家致力于用人工智能技术解决人工智能基础设施的可持续发展问题的高科技公司，我们的愿景是让每一瓦特能源值得每一比特数据。 光合智能拥有多项全球顶尖的Physical AI技术， 如全球第一个面向物理学驱动的算力中心数字模型、全球第一个面向算力中心的多模态大模型、全球第一个算力中心专用分钟级高效CFD计算流体力学系统、全球第一个整合能源“源网荷储”管理能力的算力中心动态...,互联网,http://jobs.zhaopin.com/CCL1318355140J40868959403.htm,500-999人,2026-01-09 16:58:25,15000.0,30000.0,12.0
Java/python/web/c/c++/js/go/测试/安卓,杭州,外企德科数字技术有限公司,本科,经验不限,,15000-30000,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837305105.htm,10000人以上,2026-01-12 00:27:05,15000.0,30000.0,14.0
前端-大厂od(双休餐补年终）,杭州,外企德科,本科,3-5年,React,20000-30000,1. 负责B类电⼦商务⽹站前端开发⼯作，与PD、UED、Java ⼯程师协作，完成设计交互实现、数据交互、动态信息展现；2. 关注⽤户体验，与合作⽅⼀起不断改进产品的易⽤性；3. 结合业务特点创新应⽤前端技术解决前端团队开发过程中⾯临的各类问题，提升整个前端团队开发效能；4. 研究和探索创新的开发思路和新的前端技术。1. 本科以上计算机相关专业，3年以上前端开发经验；2. 熟悉 Web 前端技术，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40829388905.htm,10000人以上,2026-01-12 00:13:02,20000.0,30000.0,12.0
高级安全研究员（web漏洞挖掘方向）(J13569),杭州,安恒信息,本科,经验不限,"信息安全,网络安全",15000-30000,"岗位职责: 1. 对主流web应用软件、中间件、网络设备进行漏洞分析挖掘； 2. 针对国内外最新的漏洞披露信息进行安全技术研究； 任职要求: 1. 本科及以上学历，网络安全或计算机科学与技术相关专业； 2. 熟练掌握各种常见漏洞环境的搭建 3. 深入分析至少一种大型应用系统或中间件的内核设计及特性、缺陷,具备同等规模的应用程序的独立漏洞挖掘能力； 4. 对漏洞挖掘与利用感兴趣，有热情和自我驱动力，...",计算机软件,http://jobs.zhaopin.com/CC209879310J40821446007.htm,1000-9999人,2026-01-09 01:19:29,15000.0,30000.0,12.0
Java/ Web/ C开发/ 测试/算法/数据开发,杭州,外企德科数字技术有限公司,本科,经验不限,"Python,JavaScript,C,Spring,Hibernate,MySQL,PostgreSQL",16000-30000,Java开发工程师岗位职责：1、基于云系统，采用微服务架构，负责aPaaS平台子系统（模块）方案设计，核心代码开发，DT测试设计和用例开发，保证版本高质量交付和运行2、持续看护所负责子系统（模块）代码，不断开展重构优化，确保代码质量满足可用，可靠，安全等可信要求；3、负责子系统（模块）的DevOps能力提升，持续提升运维能力.C++开发工程师岗位职责：1、 负责自动驾驶网络 C/C++后端云服务业...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836785205.htm,10000人以上,2026-01-12 00:27:03,16000.0,30000.0,16.0
