职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
产品培训专家 / 产品实训导师,杭州,黑龙江海康软件工程有限公司,本科,5-10年,软件产品,150000-200000,核心职责：1、设计并交付产品实训课程：围绕B端客户业务场景（能源行业），开发涵盖需求洞察、产品规划、PRD撰写、原型设计、MVP验证等环节的实训项目。2、主导端到端实训带教：在培训项目中担任实训师兄，带领学员小组完成B端产品模块从概念到原型/方案的全过程，提供实时反馈与指导。3、构建可复用的方法论体系：沉淀适用于能源行业的B端产品设计框架、模板工具与评估标准，形成标准化培训资产。4、赋能客户与内部...,计算机软件,http://jobs.zhaopin.com/CC139612110J40850600012.htm,500-999人,2025-11-18 15:39:58,150000.0,200000.0,12.0
产品总监,杭州,千年舟新材科技集团股份有限公司,本科,5-10年,,50000-70000,职位介绍1、负责公司板材产品的整体战略规划，制定中长期产品发展路线，匹配市场需求及公司业务目标。2、研究行业趋势（家居、建材、工装等领域），分析竞品动态，挖掘差异化创新点。3、主导新产品开发全流程（需求调研→立项→研发→上市→迭代），协调研发、生产、营销等部门落地执行。4、优化现有产品线结构，制定SKU 优化策略，提升产品竞争力和毛利率。5、深度对接经销商及终端客户（家具厂、家装/工装公司），提炼...,家具制造,http://jobs.zhaopin.com/CC145246520J40836158314.htm,1000-9999人,2026-01-09 15:11:17,50000.0,70000.0,12.0
研发技术总监,杭州,浙江普光窗饰有限公司,本科,10年以上,"硬件产品,数据产品",30000-60000,岗位职责：1.负责产品全生命周期管理，制定产品战略与 roadmap2.收集并分析用户需求、市场趋势及竞品信息，输出需求文档3.负责公司产品的研发工作，包括设计、优化和改进现有产品；4、带领研发团队完成新产品开发任务，确保项目按时高质量交付；5、协调跨部门合作，推动产品从概念到市场的整个流程；6、持续关注行业动态和技术趋势，引入新技术以提升产品竞争力；7、组织团队内部的技术交流和培训，提高整体技术...,电子设备制造,http://jobs.zhaopin.com/CC174588310J40866456812.htm,300-499人,2026-01-12 08:49:48,30000.0,60000.0,13.0
产品线负责人,杭州,江苏源弘膜材料研究院有限公司,本科,5-10年,产品线负责人,55000-60000,产品线负责人岗位职责：1、制定并执行业务线的长期产品战略和年度产品路线图，确保与公司整体战略对齐；持续分析全球市场动态、竞争格局和技术趋势，发现新的增长机会；2、主导从市场洞察、用户研究、产品概念、需求定义、开发实施到上市发布、迭代优化及退市的完整流程。确保产品成功交付并达成既定业务目标；3、领导产品和开发团队，建立完善的用户洞察体系，深入理解海外不同区域（北美、欧洲等）用户的痛点、使用场景和文化...,新能源,http://jobs.zhaopin.com/CCL1408069660J40834663305.htm,20-99人,2025-12-23 14:26:59,55000.0,60000.0,12.0
海外新能源产品经理,杭州,浙江亿邦通信科技股份有限公司,本科,5-10年,,30000-60000,岗位职责：1.调研海外市场的产品需求，以客户需求为主线，及时反馈产品研发团队，确保产品符合市场需求。2.参与公司光伏、储能产品的开发过程，了解产品参数及其意义，能精准定义满足市场需求的产品规格。3.配合公司销售团队，做好部分售前工作，能与渠道商及最终客户进行产品解说及施工方案制定。4.熟悉美国市场的法律法规及人文习惯，制定合适的营销计划，价格策略，与客户保持健康的合作关系。5.收集竞品资料信息，挖...,运营商/增值服务,http://jobs.zhaopin.com/CC352905910J40812908109.htm,300-499人,2025-11-27 08:59:18,30000.0,60000.0,12.0
跨境电商产品总监,杭州,福建省紫缘天下科技发展有限公司,本科,1-3年,"市场调研,产品规划,需求分析,TO C,亚马逊",30000-60000,1、根据公司战略规划和用户定位，制定具有前瞻性的跨境电商产品规划和产品矩阵，并推动落地；2、统筹并主导产品开发全流程管理，保证产品开发如期推进；3、洞悉用户需求，分析市场、关注行业发展现状及友商最新动向，制定相应的产品方案和策略；4、管理并激励团队，制定高效的产品开发流程和SOP，确保团队目标与公司战略一致；任职资格1. 教育背景本科及以上学历2. 工作经验5年以上产品管理经验，其中 1-3年以上...,互联网,http://jobs.zhaopin.com/CCL1233475460J40855211403.htm,100-299人,2025-11-12 00:00:02,30000.0,60000.0,12.0
PDT经理,杭州,山东金晔农法食品有限公司,本科,5-10年,"项目管理,新品上市,产品全生命周期管理,跨职能团队领导,P&L管理（利润与损失管理）",35000-60000,岗位职责1.﻿﻿﻿组织团队撰写产品任务书（Charter）2.领导跨职能团队，管理产品从概念、开发、验证到上市的全生命周期。3.制定并执行产品业务计划，对产品的收入、利润及投资回报率（ROI）目标负责。4.﻿﻿﻿协调研发、供应链、市场、销售等资源，解决项目冲突，确保项目顺利推进。5.作为团队对外的唯一接口，向IPMT汇报项目进展，并获取关键决策与资源。任职资格1.必须拥有5年以上产品全生命周期管理...,快速消费品,http://jobs.zhaopin.com/CC403511780J40799836007.htm,500-999人,2025-10-13 09:31:24,35000.0,60000.0,12.0
具身智能产品经理(J10476),杭州,烟台睿创微纳技术股份有限公司,硕士,5-10年,"产品经理,具身",40000-60000,岗位职责:1、制定公司智能机器人产品的整体规划，定义核心价值、发展方向和竞争策略。2、深入理解市场需求和用户痛点，结合公司技术优势，形成产品路线图。3、与研发、AI工程、机械设计、供应链和市场团队紧密合作，推动产品从概念到量产的全流程落地。4、基于数据分析和用户反馈，不断优化产品性能、交互体验和商业化路径。5、跟踪机器人、人工智能和自动化行业的发展趋势，确保产品始终处于技术和市场的前沿。6、协助硬...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC200206520J40791782114.htm,1000-9999人,2025-08-15 15:26:29,40000.0,60000.0,14.0
产品经理,杭州,浙江亿邦通信科技股份有限公司,本科,3-5年,储能,30000-60000,"岗位职责：1、负责工商储产品线的产品规划和管理工作，进行产品策略制定和组织实施，规划产品发展计划；2、负责对用户需求、市场需求和业务需求进行调研分析，设计和优化产品，提升产品体验，提高用户满意度,3、协同团队完成产品的功能、流程、界面设计，协调资源落实产品交互、原型设计: 4、组织设计评审、交付研发团队产品设计方案，协助开发、测试团队理解和掌握需求;5、关注竞争对手和用户的产品反馈,分析并提供应对...",运营商/增值服务,http://jobs.zhaopin.com/CC352905910J40719753309.htm,300-499人,2025-06-09 10:39:33,30000.0,60000.0,12.0
产品总监（全屋定制）,杭州,千年舟新材科技集团股份有限公司,大专,5-10年,"产品总监,产品研发,市场调研,定价分析,全屋定制",45000-55000,岗位职责1、根据公司和品牌的整体发展战略，负责定制类等产品的企划，制订月度，季度、年度产品发展目标及策略；2、负责产品的设计管理与组织开发工作，制定工作计划及预算，并监督其执行情况；3、负责研发、工艺、设计等管理标准化体系建设优化与监督执行；4、负责定制市场研究、用户研究、竞争对手研究、产品定价分析等，为商品策略选择、产品策划、业务开展决策提供有效信息；5、本部门的流程、制度、规范、办法的制定和发...,家具制造,http://jobs.zhaopin.com/CC145246520J40328148114.htm,1000-9999人,2025-12-26 16:20:21,45000.0,55000.0,12.0
