职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
机器学习工程师,杭州,广东君润人力资源服务有限公司,本科,1-3年,"图像算法,机器视觉,决策树,PyTorch,Python",70000-100000,岗位职责：1.负责大数据分析和挖掘工作，包括数据清洗、数据挖掘与特征构建等内容。2.负责公司内部关系网络构建、分析与挖掘工作，应用社区发现（Community Detection）、图神经网络（GNN）等图算法解决业务问题。3.跟踪图算法与机器学习领域前沿技术，结合业务需求进行创新性实验与落地。岗位要求：1.计算机、数学、统计学等相关专业背景，本科以上学历。2.3年以上机器学习/算法相关工作经验，...,人力资源服务,http://jobs.zhaopin.com/CCL1255416450J40908497908.htm,10000人以上,2025-12-25 17:36:23,70000.0,100000.0,12.0
算法/光学/数学工程师,杭州,杭州必尚网络科技有限公司,博士,1-3年,"图像算法,机器学习,大模型算法,逻辑回归,K-means算法,XGBoost,ViT,CLIP,VGGNet,机器视觉,知识图谱,通信算法",50000-80000,岗位内容： 算法方向 1，图像算法开发工作，包括但不限于图像预处理、特征增强、三维重建、计算机辅助诊断等； 2，AI算法开发，基于机器学习、深度学习等方法解决具体业务场景痛点问题。 博士研究生学历（国内985/QS前200），计算机、自动化、光学工程等专业；扎实的数学（数值优化，线性代数，信号处理）和编程基础，具有大数据分析及AI背景 数学方向 主要负责数学优化算法开发，优化求解器开发及系统优化等...,人力资源服务,http://jobs.zhaopin.com/CC376862780J40822519514.htm,20-99人,2025-11-19 15:38:32,50000.0,80000.0,12.0
高级人力资源总监,杭州,哈尔滨锐仕方达企业管理咨询有限公司,本科,经验不限,"人力资源规划,人工智能,人力资源管理员,AI",50000-80000,1. 战略人力资源规划：深度解读公司战略拆解形成人力资源战略规划，制定人才盘点、梯队建设、组织优化等落地行动计划，确保人力配置与业务目标同频。 2. 组织发展与变革管理：主导组织架构优化与职级体系设计，识别组织能力短板，通过人才地图绘制、关键岗位继任计划等手段提升组织效能。 3. 人才获取体系搭建：搭建高效的核心人才招聘体系，负责各分子公司招聘团队的管理与赋能，同时负责集团高端、关键岗位的人才搜寻...,咨询服务,http://jobs.zhaopin.com/CCL1509256440J40898261008.htm,20人以下,2025-11-05 15:54:53,50000.0,80000.0,12.0
人工智能专家,杭州,盾安环境,博士,3-5年,"深度学习,机器学习",40000-80000,薪酬面议！！职位描述：1、深入分析传统制造业务场景（生产/质检/物流/设备等），建立AI技术应用需求图谱2、主导AI技术可行性研究，制定制造场景智能化升级技术路线图3、跟踪全球AI前沿技术，评估工业领域适用性并提出引进建议4、构建面向制造场景的AI算法模型（预测性维护/视觉检测/工艺优化等）5、开发工业数据治理方案，建立跨系统数据融合体系6、设计工业AI解决方案技术架构（边缘计算+云平台协同方案）...,电气机械/电力设备,http://jobs.zhaopin.com/CC463774920J40813080114.htm,10000人以上,2025-10-21 09:12:05,40000.0,80000.0,12.0
图形算法工程师,杭州,杭州寰马智能科技有限公司,本科,3-5年,,40000-70000,岗位职责1. 负责数字⼈3D重建（照⽚建模/3D扫描）、⽹格优化、⻣骼绑定核⼼算法研发，提升模型精度与适配性；2. 研发动捕数据运动学解算、实时重定向算法，保障动捕数据与数字⼈⻣架的精准匹配；任职要求1. 学历背景：计算机科学与技术、图形学、数学相关专业，硕⼠及以上学历优先；2. 技术能⼒：◦ 扎实的计算机图形学基础，深⼊理解光照模型、纹理映射、⼏何处理、运动学等核⼼知识；◦ 熟悉3D重建算法（如...,人工智能,http://jobs.zhaopin.com/CCL1516501740J40837462505.htm,20人以下,2026-01-09 16:53:06,40000.0,70000.0,12.0
AI推理引擎开发工程师,杭州,进迭时空(杭州)科技有限公司,本科,3-5年,,30000-60000,职位描述：1. 研发方向：参与公司AI CPU（同构融合计算）芯片在计算领域的前沿研发，涵盖算子、框架的设计和开发2. 技术支持：为公司个业务场景提供技术支持，推动同构融合计算技术在实际产品中的应用和落地3. 团队协作：与硬件、算法、方案团队紧密合作，共同解决技术难题，持续优化产品性能和效率 岗位职责：1. 推理引擎开发：包含基础CNN卷积及大模型推理引擎2. 后端调度优化：基于对硬件后端的理解，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1378359190J40787706907.htm,100-299人,2025-12-26 11:41:02,30000.0,60000.0,12.0
大模型算法工程师,杭州,上海青凤信息科技有限公司,本科,5-10年,"深度学习,机器学习,强化学习",40000-60000,岗位描述：1、利用曹操出行平台海量的出行数据，对路线达到时间估计，路线规划等问题进行建模，使用数据挖掘和机器学习，提升用户的出行体验和平台效率；2、通过线下仿真和预估等技术手段，完成智能拼单、车辆调度、订单分配等智能规划工作，推动策略上线。任职要求：1. 计算机／控制／EE／数学等相关专业本科及以上学历； 3年以上相关工作经验；2、具有优秀的算法／模型基础、扎实的数学基础，包括概率／统计／代数/优...,通信/网络设备,http://jobs.zhaopin.com/CC836014720J40823997814.htm,20-99人,2025-11-22 15:26:09,40000.0,60000.0,16.0
算法工程师,杭州,山西科达自控股份有限公司,博士,1-3年,"多模态算法,大模型算法",30000-60000,岗位职责：1.负责开发矿山机器人基于多模态传感器（如视觉、雷达、 惯导等） 的感知、定位与识别算法。2.负责或参与六轴机械臂的运动学/动力学建模、轨迹规划、力控算法开发，完成特定作业任务。3.开发与优化适用于矿井昏暗、粉尘、无GPS环境的激光/视觉SLAM及导航算法。4.负责将算法模型部署至机器人嵌入式平台，并进行性能优化与加速。5.参与现场测试，采集数据，分析算法问题，并持续完成算法的迭代与优化...,电子设备制造,http://jobs.zhaopin.com/CC172695320J40791690807.htm,500-999人,2025-09-16 17:30:48,30000.0,60000.0,12.0
嵌入式电机算法软件工程师,杭州,浙江精通自动控制技术有限公司,本科,1-3年,"运动控制算法,C语言,电机算法,电机控制,防夹算法",30000-60000,软件算法工程师岗位职责：1.根据车窗系统需求制定算法设计需求，并设计算法架构文档、算法初步设计文档、算法详细设计文档；充分遵循V型流程。 2.实现模块编码和设计，根据以上算法设计文档，设计基于车窗系统的防夹算法，并将算法模块转换为C语言编码； 3.进行算法模型测试和C编码质量检查，包括集成到整个软件系统和天窗电机总成系统中。 4.设计算法测试用例，与软件工程师、电子项目工程师协调完成算法模块测试报...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC343948910J40403655012.htm,100-299人,2025-03-10 09:53:03,30000.0,60000.0,15.0
雷达算法工程师（湖州）,杭州,浙江兆弟控股有限公司,硕士,5-10年,"Python,C++,探地雷达,雷达算法,雷达检测",50000-55000,1、核心算法开发与优化：负责雷达系统的信号处理与成像算法研发、仿真与实现，包括但不限于信号去噪、杂波抑制、时频分析、目标特征提取与识别、三维点云重建等；2、将雷达算法应用于生产过程中的异物检测自动识别、混凝土高度、平整度、厚度检测等具体质量检测场景；3、数据处理与系统集成：处理雷达回波数据，设计并优化数据处理流程，与软硬件团队协作，推动算法在嵌入式平台或工控机上的部署与集成。4、制定检测标准与验证...,房地产开发,http://jobs.zhaopin.com/CC310471330J40796120307.htm,1000-9999人,2025-10-15 11:02:37,50000.0,55000.0,12.0
