职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
战略商业分析专家,杭州,北京嘀嘀无限科技发展有限公司,本科,5-10年,"数学/统计学专业,平台类产品,电商类产品,工具类产品,社交类产品",30000-60000,工作职责:1、建立事业部视角的经营分析框架，输出经营管理建议，协助达成业务目标并提升效率2、负责事业部核心重点项目的商业分析专题研究、收益测算、落地推动、复盘考核等。挖掘业务发展中的问题和潜在的机会点，为业务发展提供前瞻性的外部视角和落地方案。3、针对管理层及业务实际需求，开展针对性研究，通过市场、产品、用户、竞争、财务等多维度分析，提供专项分析及决策支持任职资格:1、拥有优秀的学术教育背景。统计...,互联网,http://jobs.zhaopin.com/CCL1318355140J40857369603.htm,500-999人,2025-12-16 01:06:16,30000.0,60000.0,15.0
SFE经理,杭州,京新药业,本科,5-10年,Python,20000-40000,岗位职责:1、策略解码与资源规划：将公司业务目标科学转化为可执行的销售指标与辖区规划，并基于市场潜力分析，为人力、费用等核心资源分配提供最优方案。2、绩效体系设计与过程优化：建立驱动业务结果的KPI与激励体系，并标准化销售流程与行为，通过过程管理提升团队整体生产力与拜访质量。3、数据洞察与决策支持：整合多源数据，通过分析与建模，诊断业务问题、揭示增长机会，并将洞察转化为可视化报告，为各级管理者提供...,医药制造,http://jobs.zhaopin.com/CC120018550J40895737002.htm,1000-9999人,2026-01-06 09:33:55,20000.0,40000.0,12.0
财经直播讲师,杭州,杭州顶点财经网络传媒有限公司,本科,3-5年,"股票市场,证券投资咨询资格证,证券从业资格证",20000-40000,岗位职责：1、通过视频号、抖音等平台的证券类投资理财财经事件直播，完成公司矩阵号的用户增长及效果转化；2、能积极关注主流平台相关垂类发展变化，根据需求，不断提高自身垂类知识水平和内容营销能力；3、针对外财经事件进行专业化解读，以宏观角度去看待事情，以微观的视角解读与普通人的关系。岗位要求：1、具有金融财经等方向的高度认知，直播形式为真人出镜；2、是自媒体达人、逻辑高手、数据帝等，有加分项；3、有充...,证券/期货,http://jobs.zhaopin.com/CC150019310J40867290503.htm,1000-9999人,2026-01-04 13:04:33,20000.0,40000.0,12.0
高级商业分析师（经营分析）,杭州,浙江快誉科技有限公司,本科,3-5年,,20000-40000,1. 运营优化与分析：深入分析用户购买行为，构建用户画像，监控用户拉新、转化、留存、复购与流失情况。评估营销活动（如满减、折扣、优惠券）的ROI，定位活动效果的关键驱动因素与短板。监控平台核心运营指标（如GMV、日活/月活、转化率、客单价、履约成本等），并建立日常数据监控预警机制。2. 商品与供应链分析（核心需求）：商品选品：分析销售趋势，识别潜在爆款、衰退品和滞销品，为新品引进和旧品淘汰提供数据...,电子商务,http://jobs.zhaopin.com/CCL1478004510J40961907704.htm,100-299人,2025-10-27 15:55:50,20000.0,40000.0,12.0
私募基金经理,杭州,深圳市国升投资有限公司,本科,3-5年,"基金从业资格证,金融业,证券私募,股票,股票市场,期货市场,基金市场",20000-40000,必须：有在基金业协会备案过，名下有基金产品、规模1000万左右，业绩为正。或者基金业协会备案过 合规风控负责人 亦可！ 1.经济、金融类等相关专业； 2.具有在证券公司、银行、保险等金融行业工作经验优先； 3.具有丰富的证券、股票和基金相关的金融基础知识，基本面研究工夫扎实； 4.具有丰富的股票操盘经验，很强的分析能力； 5.具有很强的工作责任心和市场研究能力； 6.具有很强的沟通和协调能力，善于...,基金,http://jobs.zhaopin.com/CCL1344119780J40164565707.htm,20-99人,2025-07-17 11:53:43,20000.0,40000.0,12.0
全国有岗位（开发、测试、算法、数据分析等,杭州,外企德科数字技术有限公司,本科,经验不限,"C语言,Java,Python",19000-35000,岗位： C/C++，java，JS，python、Go等通用软件开发工程师，软件测试工程师（ 社招模式），各产品线各类语言开发岗位开放，只要你懂一门语言，就有合适的岗位! 工作稳定，工作内容相同（pl无差异分配任务）管理:面试、绩效评定、均由 管理层进行，满一年即有名额转正，转 的要求透明，量化，达到要求即可（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40632910805.htm,10000人以上,2026-01-12 00:24:20,19000.0,35000.0,16.0
工业 AI 数据分析师,杭州,中控技术股份有限公司,博士,无经验,,25000-35000,一、岗位职责1. 负责流程工业（如化工、石油石化、能源等）相关数据的采集、清洗、整合与管理，构建高质量工业数据资产库，保障数据的准确性、完整性与时效性。2. 运用机器学习、数据挖掘算法，对海量流程工业数据进行深度分析与挖掘，挖掘数据背后的生产规律、潜在问题及优化空间。3. 搭建并迭代工业AI分析模型，结合流程工业工艺特点与控制系统（如DCS、SCADA等）数据，优化模型性能，推动模型在实际生产场景...,工业自动化,http://jobs.zhaopin.com/CC191024010J40782835216.htm,1000-9999人,2025-12-23 10:48:41,25000.0,35000.0,12.0
产品运营及分析（行业数据分析方向）,杭州,中国移动通信有限公司在线营销服务中心,本科,3-5年,"用户增长,活动策划,产品迭代",30000-35000,岗位职责:1.市场与行业分析：收集监控行业主流数据信息，分析品类结构、价格带分布、新品趋势，为类目发展策略和招商方向提供数据建议。2.业务专题分析：定期输出经营分析报告，针对核心业务场景进行深度归因分析，定位关键问题，并提出可落地的优化方案。3.数据体系与监控：参与构建和优化业务数据监控体系，定义关键指标，并建立日常数据看板。及时发现数据异常波动，深入分析原因，预警业务风险。4.数据驱动决策：与运...,运营商/增值服务,http://jobs.zhaopin.com/CCL1317363300J40855734403.htm,10000人以上,2025-11-13 09:15:28,30000.0,35000.0,12.0
全国均有岗位（开发、测试、算法、数据分析等）接受应届毕业生,杭州,外企德科数字技术有限公司,本科,经验不限,"Python,C/C++,Java",15000-30000,公司福利： 1. 底薪+绩效+项目奖金+年终奖； 2. 全额缴纳五险一金； 3.一年数次考评，薪资可上浮~ 4.带薪年假5-15天，双休； 5.享有健身房、班车、加班打车报销等软性福利。岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40794369405.htm,10000人以上,2026-01-12 00:24:42,15000.0,30000.0,14.0
临床统计经理 (MJ000403),杭州,杭州百诚医药科技股份有限公司,本科,5-10年,"临床数据分析,大临床项目经验",15000-30000,岗位职责1、临床试验设计与统计策略落地完成样本量计算（基于统计检验假设、效应值和脱落率等参数），撰写方案中的统计部分（包括设计类型、随机化方法、主要/次要终点定义等）。主导随机化方案的具体实现（如区组随机、分层随机），并生成随机编码表。针对复杂临床试验设计（如适应性设计、篮式设计），提供可执行的统计建模方案。2、统计分析计划与程序开发撰写详细可操作的统计分析计划，明确定义分析数据集、缺失数据处理规...,医药制造,http://jobs.zhaopin.com/CC458900520J40970877604.htm,500-999人,2025-12-02 16:23:41,15000.0,30000.0,12.0
