职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
机器学习工程师,杭州,广东君润人力资源服务有限公司,本科,1-3年,"图像算法,机器视觉,决策树,PyTorch,Python",70000-100000,岗位职责：1.负责大数据分析和挖掘工作，包括数据清洗、数据挖掘与特征构建等内容。2.负责公司内部关系网络构建、分析与挖掘工作，应用社区发现（Community Detection）、图神经网络（GNN）等图算法解决业务问题。3.跟踪图算法与机器学习领域前沿技术，结合业务需求进行创新性实验与落地。岗位要求：1.计算机、数学、统计学等相关专业背景，本科以上学历。2.3年以上机器学习/算法相关工作经验，...,人力资源服务,http://jobs.zhaopin.com/CCL1255416450J40908497908.htm,10000人以上,2025-12-25 17:36:23,70000.0,100000.0,12.0
AI+创新中心主任,杭州,东方通信,博士,5-10年,,50000-80000,岗位职责：1、围绕国家“人工智能+”行动的战略部署，把握端侧AI与行业智能化融合的重大历史机遇，依托公司在公安、运营商、金融电子等领域的深厚产业基础， 深入研究“端侧AI硬件”作为下一代人机交互入口的战略价值。持续跟踪AI、终端硬件、行业应用（公安、通信、金融）的融合趋势，识别机会窗口，制定产品规划；2、负责创新团队的组建和管理工作，招聘、选拔和培养优秀的专业人才；3、组织并领导跨部门团队开展新产...,运营商/增值服务,http://jobs.zhaopin.com/CC000537240J40821472509.htm,1000-9999人,2025-12-22 14:12:06,50000.0,80000.0,12.0
算法/光学/数学工程师,杭州,杭州必尚网络科技有限公司,博士,1-3年,"图像算法,机器学习,大模型算法,逻辑回归,K-means算法,XGBoost,ViT,CLIP,VGGNet,机器视觉,知识图谱,通信算法",50000-80000,岗位内容： 算法方向 1，图像算法开发工作，包括但不限于图像预处理、特征增强、三维重建、计算机辅助诊断等； 2，AI算法开发，基于机器学习、深度学习等方法解决具体业务场景痛点问题。 博士研究生学历（国内985/QS前200），计算机、自动化、光学工程等专业；扎实的数学（数值优化，线性代数，信号处理）和编程基础，具有大数据分析及AI背景 数学方向 主要负责数学优化算法开发，优化求解器开发及系统优化等...,人力资源服务,http://jobs.zhaopin.com/CC376862780J40822519514.htm,20-99人,2025-11-19 15:38:32,50000.0,80000.0,12.0
人工智能专家,杭州,盾安环境,博士,3-5年,"深度学习,机器学习",40000-80000,薪酬面议！！职位描述：1、深入分析传统制造业务场景（生产/质检/物流/设备等），建立AI技术应用需求图谱2、主导AI技术可行性研究，制定制造场景智能化升级技术路线图3、跟踪全球AI前沿技术，评估工业领域适用性并提出引进建议4、构建面向制造场景的AI算法模型（预测性维护/视觉检测/工艺优化等）5、开发工业数据治理方案，建立跨系统数据融合体系6、设计工业AI解决方案技术架构（边缘计算+云平台协同方案）...,电气机械/电力设备,http://jobs.zhaopin.com/CC463774920J40813080114.htm,10000人以上,2025-10-21 09:12:05,40000.0,80000.0,12.0
卫星互联网终端创新中心主任,杭州,东方通信,硕士,10年以上,,50000-80000,岗位职责：1、深入研究国内外卫星互联网星座、技术体系、市场动态和发展趋势，结合公安、应急、国防等特定行业需求，制定与公司整体战略相契合的产品创新规划。确定产品的发展方向、技术路线和创新目标，为团队提供清晰的指引；2、负责创新团队的组建和管理工作，招聘、选拔和培养优秀的专业人才；3、组织并领导跨部门团队开展新产品的研发工作。从概念提出、方案设计到产品落地的全过程进行严格把控，确保项目按时、高质量完成...,运营商/增值服务,http://jobs.zhaopin.com/CC000537240J40821470709.htm,1000-9999人,2025-12-22 14:08:18,50000.0,80000.0,12.0
图形算法工程师,杭州,杭州寰马智能科技有限公司,本科,3-5年,,40000-70000,岗位职责1. 负责数字⼈3D重建（照⽚建模/3D扫描）、⽹格优化、⻣骼绑定核⼼算法研发，提升模型精度与适配性；2. 研发动捕数据运动学解算、实时重定向算法，保障动捕数据与数字⼈⻣架的精准匹配；任职要求1. 学历背景：计算机科学与技术、图形学、数学相关专业，硕⼠及以上学历优先；2. 技术能⼒：◦ 扎实的计算机图形学基础，深⼊理解光照模型、纹理映射、⼏何处理、运动学等核⼼知识；◦ 熟悉3D重建算法（如...,人工智能,http://jobs.zhaopin.com/CCL1516501740J40837462505.htm,20人以下,2026-01-09 16:53:06,40000.0,70000.0,12.0
研发总监,杭州,长沙顶域人力资源有限公司,本科,10年以上,,50000-70000,岗位职责:1、技术战略规划>制定储能系统(电化学/机械/混合储能/长时储能/智能微电网)的中长期技术路线图，主导技术预研与前沿方向布局，>结合市场需求(电网侧、工商业、户用储能)定义产品技术竞争力指标(循环寿命、效率、成本、玄全)。2、研发体系管理>统筹电芯、BMS、PCS、EMS、热管理、系统集成等全链条技术开发，推动跨部门(硬件软件、测试、工艺)协同。上建立标准化研发流程(如IPD)，主导技术...,人力资源服务,http://jobs.zhaopin.com/CC283809030J40817294701.htm,20-99人,2025-12-29 09:18:36,50000.0,70000.0,14.0
技术总监,杭州,杭州奥雅电子有限公司,本科,5-10年,,35000-70000,"1.自动化行业相关,负责搭建机械设计、电气设计、软件设计团队，持续提升工作绩效；2.负责制定公司技术研发规划，组织重要项目技术难点攻关，指导并组织建立技术开发工作流程；3.管理公司自动化设备技术开发，评审技术方案，对各项目进行最终的技术和质量评估；4.负责指导、处理、协调并解决公司项目中出现的技术问题，保证项目的顺利进行，确保公司项目计划的按时完成；5.制定部门人员能力的矩阵评估，培训计划，制定短...",仪器仪表制造,http://jobs.zhaopin.com/CC163437010J40497020513.htm,20人以下,2025-08-04 20:16:51,35000.0,70000.0,14.0
技术总监,杭州,浙江华良数字科技有限公司,本科,10年以上,"Java,C语言,Python,微服务架构,服务器配置,全栈开发,小程序开发",40000-60000,岗位职责：1. 制定公司长期技术发展战略，确保技术路线与业务战略对齐；2. 根据战略，管理并主导技术团队完成产品的设计、开发和迭代，保障技术落地效果；3. 主导技术选型与架构设计（如云原生、微服务、AI架构等），平衡创新与技术债务。4. 制定和维护公司的技术标准和规范，确保技术工作的标准化和一致性；5. 负责组织技术文档的编写、整理和归档工作，确保技术文档的完整性和准确性；6. 推动研发流程的优化...,企业服务,http://jobs.zhaopin.com/CCL1508909860J40846176313.htm,20-99人,2026-01-06 01:36:41,40000.0,60000.0,12.0
水表研发副总,杭州,浙江正泰物联技术有限公司,本科,5-10年,,30000-60000,岗位概述作为公司智能水表业务的核心技术家，您将全面负责超声波水表及相关前沿产品的技术规划、研发体系构建与团队管理。您需要以较高的技术视野，领导团队攻克超声计量、信号处理、低功耗与物联网融合等关键技术，确保我们的产品在精度、可靠性及智能化方面行业标准，并成功实现技术向商业价值的转化。核心职责技术战略与规划：制定公司超声波水表的中长期技术路线图与产品规划，确保技术方向的先进性与商业可行性。深入洞察行业...,仪器仪表制造,http://jobs.zhaopin.com/CCL1278088610J40909223008.htm,500-999人,2026-01-05 01:20:50,30000.0,60000.0,12.0
AI推理引擎开发工程师,杭州,进迭时空(杭州)科技有限公司,本科,3-5年,,30000-60000,职位描述：1. 研发方向：参与公司AI CPU（同构融合计算）芯片在计算领域的前沿研发，涵盖算子、框架的设计和开发2. 技术支持：为公司个业务场景提供技术支持，推动同构融合计算技术在实际产品中的应用和落地3. 团队协作：与硬件、算法、方案团队紧密合作，共同解决技术难题，持续优化产品性能和效率 岗位职责：1. 推理引擎开发：包含基础CNN卷积及大模型推理引擎2. 后端调度优化：基于对硬件后端的理解，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1378359190J40787706907.htm,100-299人,2025-12-26 11:41:02,30000.0,60000.0,12.0
