职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
永磁电机控制专家,杭州,川能电气(台州)股份有限公司,硕士,5-10年,"研发,机器人,控制策略设计",35000-60000,岗位职责：可主导伺服驱动系统（中压、低压）、或关机模组产品的永磁电机控制算法研发，包括FOC、无感控制、振动抑制等关键技术。负责从方案设计、仿真验证到代码实现、测试标定的全流程开发，推动产品迭代与技术突破。带领技术团队完成产品样机开发与量产转化，解决试产及量产过程中的控制相关问题，确保性能、成本与可靠性目标达成。分析行业技术趋势，制定电机控制相关技术路线图，沉淀核心技术专利与文档。任职要求：硕士及...,工业自动化,http://jobs.zhaopin.com/CCL1449760580J40782798716.htm,20人以下,2026-01-09 00:00:01,35000.0,60000.0,12.0
电力设计院院长,杭州,浙江友华工程咨询有限公司,本科,10年以上,电力设计,30000-60000,岗位职责：1. 制定设计院3-5年发展规划，分解年度经营指标，组织企业预算编制，进行预算控制和成本核算。2. 对行业政策有敏锐洞察力，能预判市场方向并调整业务布局。3. 遵循电力设计规范，审核重大技术方案，解决复杂问题。4. 带领团队完成运营指标，制定团队成员绩效考核关键指标并进行过程性考核，组织人才梯队建设及进行跨部门协作。岗位要求：1. 大学本科及以上学历，电气工程及其自动化、电力系统、能源工...,通信/网络设备,http://jobs.zhaopin.com/CC284529010J40759259501.htm,1000-9999人,2025-12-28 00:16:01,30000.0,60000.0,12.0
光储冲一体电子电气工程师,杭州,智联猎头,本科,5-10年,,35000-55000,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将参与设计并实现一款前沿的储能充电机器人的电子电气架构。机器人能够自主移动、精准操作，完成高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦储能充电模块的EE架构设计。核心职责 全局架构设计： 负责储能充电模块的电子电气系统顶层设计，定义能源分配、网...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114703.htm,10000人以上,2025-12-30 16:04:59,35000.0,55000.0,14.0
海外新能源电力设计总工,杭州,河南琅恒企业管理咨询有限公司,本科,5-10年,"输变电工程,发电工程,电力设计,注册电气工程师",40000-50000,杭州西湖区5-10年本科全职职位描述设计管理英语海外新能源1.直接负责公司海外业务的技术管理与团队能力建设，职位价值凸显。2.在公司战略转型期加入，机遇与挑战并存，拥有极大的职业发展空间和影响力。3. 我们提供有竞争力的固定薪酬，并结合绩效和项目奖金，让您的贡献获得丰厚回报。主要职责：1. 负责国际电力工程项目的技术审核、方案制定与全过程技术支持，主导解决项目执行中的复杂技术问题。2. 负责海外项...,人力资源服务,http://jobs.zhaopin.com/CCL1411184110J40783304016.htm,20人以下,2025-12-24 16:41:45,40000.0,50000.0,12.0
虚拟电厂工程师,杭州,中国水利水电第十二工程局有限公司,本科,3-5年,,25000-50000,（一）岗位要求1.40周岁及以下；2.本科及以上学历，电气自动化、电力系统、计算机等相关专业优先考虑；3.具有3年及以上电力行业、光伏、储能、微电网、虚拟电厂等相关领域工作经验；4.熟悉电力系统运行，熟悉电力交易规则和电力系统调度规则，有电力行业工作经历、电力交易或虚拟电厂开发、建设、运营经验优先；5.具有良好的方案编写及研讨能力，具有优秀的分析问题和解决问题的能力；6.逻辑清晰，具备跨部门协作能...,工程施工,http://jobs.zhaopin.com/CC413642430J40766454510.htm,1000-9999人,2025-08-28 15:55:06,25000.0,50000.0,12.0
光伏电站电气设计工程师,杭州,浙江建安检测研究院有限公司,本科,3-5年,"电气设计,电路设计,电气自动化设计,电力电气,电气技术支持,配电系统,电气安装调试,PLC系统",25000-50000,主要职责： 1、负责光伏电站电气设计（一次和二次）、送电线路设计； 2、负责光伏电站电气设备（一次和二次）选型和工程量清单； 3、解决工程项目实施过程中电气专业设计问题； 4、编写可行性分析报告、项目建议书、投标技术方案等； 5、光伏电站项目现场勘查，可行性分析，参与客户洽谈及项目开发技术支持工作； 任职条件： 1、电力系统、电力工程、输配电、光伏发电技术等相关专业大专及以上学历； 2、有5年以上...,检测/认证,http://jobs.zhaopin.com/CC191805110J40293328413.htm,500-999人,2025-07-25 10:19:44,25000.0,50000.0,14.0
建筑电气设计经理,杭州,杭州明捷普机电设计事务所有限公司,本科,5-10年,"建筑机电设计师,住宅地产,商业地产,综合体,注册电气工程师（供配电）,中级机电工程师证",25000-50000,工作性质：全职学历要求：本科及以上工作经验：8—12年专业要求：建筑电气及相关专业外语要求：不限工资待遇：2.5万-5.0万职称要求：工程师及以上任职资格：1、具有国家双一流大学本科及以上学历，国家注册电气工程师资格，建筑电气或其它相关专业；2、具有8-15年大型甲级设计院工作经验，有大型复杂公共建筑专业负责人或主要设计人业绩；3、具备较强的协调能力和处理问题能力，善于交流，能独立解决较复杂的技术...,房地产开发,http://jobs.zhaopin.com/CC314291210J40804849403.htm,20-99人,2025-06-26 14:04:40,25000.0,50000.0,12.0
电机控制软件工程师,杭州,浙江科力车辆控制系统有限公司,本科,5-10年,"研发,算法",25000-50000,1、负责一种系统级产品的软件开发，并能量产；2、熟悉产品的控制逻辑、算法，能够分析潜在优缺点，并进行优化；3、能够跟客户技术对接，解决客户难点问题；4、能够合理架构软件各层级关系，并能进行优化；5、指导初级工程师完成程序开发；,汽车零部件,http://jobs.zhaopin.com/CC661677020J40741088913.htm,1000-9999人,2025-02-20 08:22:30,25000.0,50000.0,12.0
高级电气研发工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"储能箱,汇流柜",30000-45000,岗位职责：1. 负责根据国内海外规范进行储能箱内电气设计，包括储能系统电气架构、配电柜、汇流柜、集装箱等设备电气设计选型，完成与供应商技术对接，并输出电气原理图、接线图、器件清单、技术协议等技术文件;2. 负责储能电站部分一次、二次电缆，监控等设备选型设计，并输出电缆清册等技术文件；3. 负责BMS、PCS升压一体舱等部件选型，完成与供应商技术对接，并根据项目要求输出相应技术协议；4. 负责IEC...,新能源,http://jobs.zhaopin.com/CC653408580J40715552416.htm,500-999人,2025-05-22 16:50:51,30000.0,45000.0,12.0
电力交易员,杭州,中国水利水电第十二工程局有限公司,本科,3-5年,"储能工程师,电力交易员证书",20000-40000,1.45周岁及以下；本科及以上学历，电气工程、新能源、储能科学与工程、自动化、热能与动力工程、电化学等相关专业。2.具有3年以上电力交易工作经验，具备较强的学习能力，能快速掌握基本电力交易规则、法律法规、电力营销各类业务相关知识。3.具有良好的语言表达能力、沟通能力和人际交往能力，责任心强，具有敏锐的市场洞察力，对数据敏感；有市场开拓能力，能适应短期出差和现场支持。4. 具有一定承压能力，能够在较...,工程施工,http://jobs.zhaopin.com/CC413642430J40829860410.htm,1000-9999人,2026-01-09 01:28:20,20000.0,40000.0,12.0
