职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
熔盐储能技术研发负责人,南京,江苏君汇新能源集团有限公司,本科,5-10年,熔盐储能技术,40000-80000,岗位职责：1、技术发展战略规划：承接公司熔盐储能业务技术发展战略规划，通过熔盐领域专业性推动公司本领域业务具备前沿性，建立核心自有知识产权体系，促进成果转化。2、研发体系建设：制定、优化研发体系、研发管理机制及研发项目管理流程，实现对研发工作标准的统一管理；3、对外技术合作：充分发挥研发负责人作用，协调与外部科研机构的技术交流、合作以及成果转化，与高校合作，完成公司熔盐储能关键技术攻关，提高公司自...,新能源,http://jobs.zhaopin.com/CCL1308494410J40719812114.htm,100-299人,2025-02-22 00:00:02,40000.0,80000.0,12.0
igbt研发经理,南京,南京宁远人力资源有限公司,硕士,10年以上,IGBT,30000-50000,硕士，十年以上工作经验，其中三年以上带团队经验：1.负责制定与公司产品战略相匹配的中低压IGBT（及模块）技术路线图与发展规划；2.负责主导从概念、设计、流片、封测到量产的全流程研发项目，确保项目按时、按质、按预算完成；主导解决研发过程中的重大技术难题和失效分析；3.负责领导团队进行中低压IGBT芯片设计、工艺仿真，主导模块设计与集成，制定并完善产品设计规范、测试规范和质量标准；4.负责与上下游产...,互联网,http://jobs.zhaopin.com/CC268631010J40817608407.htm,20-99人,2025-12-17 13:53:49,30000.0,50000.0,14.0
子公司技术负责人(J10564),南京,康尼公司,本科,5-10年,机械设计,25000-50000,岗位职责:1.全面负责公司智能健康产品的技术研发与工程落地，主导以电动轮椅为核心的第一代产品的持续优化与迭代升级。2.牵头规划和推动后续智能健康产品线的技术预研与新产品开发。3.聚焦机电一体化设计、人机交互体验，打造安全、可靠、易用且具有市场竞争力的产品系列。4.带领技术团队建立规范的研发体系，支撑公司从单品突破向产品生态发展的战略演进。任职要求:1.基本要求：本科及以上学历，机械工程、机电一体化...,电气机械/电力设备,http://jobs.zhaopin.com/CC120914190J40845404802.htm,1000-9999人,2025-12-14 00:11:40,25000.0,50000.0,16.0
研发主管,南京,南京协澳智能控制系统有限公司,本科,5-10年,"嵌入式硬件开发,单片机开发",30000-50000,一、岗位职责1、组织软/硬件团队基于CMMI流程完成从需求到量产导入的全链路研发；2、将客户技术条件转为需求矩阵并基线冻结，3日内推动数字样机评审；3、 规划统一硬件平台与软件架构，提升模块复用率（目标≥70%）；4、主持FMEA/DFX、型式与EMC试验策划，保障一次通过率；5、 协同制造与供应链，前置治具、自动化测试与版本追溯；6、建立看板，管理里程碑、缺陷、变更与风险。二、任职要求1、本科及...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC476899020J40845044703.htm,100-299人,2025-11-12 11:05:23,30000.0,50000.0,12.0
研发经理,南京,江阴市强力化纤有限公司,博士,3-5年,,30000-50000,岗位职责：1、负责锦纶切片、丝的研发工作，包括新产品的开发和现有产品的质量改进；2、负责研发项目的计划制定和实施，包括研发资源的合理安排和管理；3、收集和整理锦纶行业的产品和技术信息，为研发工作提供信息支持；4、与销售部门和客户紧密合作，了解市场的需求和客户的反馈，为研发工作提供市场导向；5、与质量部门和生产部门密切合作，保证研发项目的顺利实施和产品的质量控制。任职条件：1、博士学历，5-10年以...,纺织业/服饰产品加工制造,http://jobs.zhaopin.com/CC154869310J40772930205.htm,1000-9999人,2025-08-25 11:11:40,30000.0,50000.0,12.0
暖通技术经理,南京,南京恒标斯瑞冷冻机械制造有限公司,本科,5-10年,"制冷,暖通,管理,研发",28000-40000,岗位职责： 1、根据公司产品市场订单，组织所属产品设计工作；2、组织技术分析和质量分析工作，做好新产品可行性评审；3、组织部门系列产品标准化文件的制作及各类产品资质认证；4、组织重大技术、工艺改进的相关工作；5、负责技术部标准的制订，技术信息、法律法规的收集、更新和整理，产品图纸、技术图书资料的管理；6、监督、检查、考核部门员工的工作绩效，完善内部分配，激发员工的工作积极性；7、完成领导安排的其他...,电气机械/电力设备,http://jobs.zhaopin.com/CC361294410J40701261614.htm,100-299人,2026-01-09 11:37:39,28000.0,40000.0,12.0
研发负责人,南京,见鲸科技(南京)有限公司,本科,5-10年,"全栈开发,Vue,React,Java",28000-40000,一、岗位资格1)本科及以上学历，计算机相关专业，重点院校优先。2)8 年以上互联网研发经验，3 年 C 端产品研发管理经验，主导过百万级用户产品从 0 到 1 及迭代。3)精通主流开发语言与框架，熟前沿技术应用，擅数据库设计优化。4)具敏锐用户洞察、产品规划攻坚能力，能以数据驱动决策，有成功案例。5)优秀团队管理与沟通协作能力，可打造高效团队，推动跨部门合作。6)风险管控与应变能力强，能提前应对各...,互联网,http://jobs.zhaopin.com/CCL1481498300J40813610510.htm,100-299人,2026-01-08 00:00:02,28000.0,40000.0,13.0
研发经理（电能表方向）,南京,科大智能电气技术有限公司,本科,经验不限,,20000-40000,岗位职责:1. 深入研究智能计量市场发展趋势、政策法规及技术标准（如国网/南网标准）。通过市场调研、竞品分析和客户访谈，深度挖掘用户的潜在需求与痛点2. 制定产品线的短、中、长期发展战略及路线图，撰写详细的产品需求文档，明确产品功能、性能、技术规格及用户体验要求，确保产品定位清晰、竞争力强3. 主导产品从设计、研发、测试到量产的整个流程。带领研发团队与其它部门紧密合作，确保产品按计划、高质量地推向...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC688735720J40900526815.htm,500-999人,2025-12-30 16:03:06,20000.0,40000.0,12.0
研发经理,南京,北京阿丘机器人科技有限公司,本科,5-10年,"C#,C语言,嵌入式技术,嵌入式硬件开发",25000-40000,岗位职责：1、技术战略与方案统筹：作为智能相机产品的技术核心，主导制定产品整体技术路线，包括嵌入式硬件架构适配、软件系统设计及AI算法应用落地方案，确保技术方案的可行性、先进性及成本可控性，对标基恩士IV4等行业顶尖产品的性能指标；2、跨团队技术对接与协同：精准对接硬件团队，基于智能相机的功能需求（如图像采集、数据传输、稳定性保障等），明确硬件选型标准、接口规范及性能参数，解决跨团队协作中的技术分...,人工智能,http://jobs.zhaopin.com/CC695630480J40833105114.htm,300-499人,2025-12-25 18:50:00,25000.0,40000.0,14.0
前端开发负责人（须有C端项目经验）,南京,见鲸科技(南京)有限公司,本科,5-10年,"JavaScript,React Native,Electron",28000-40000,一、岗位资格1)本科及以上学历，计算机相关专业，重点院校优先。2)8 年以上互联网研发经验，3 年 C 端产品研发管理经验，主导过百万级用户产品从 0 到 1 及迭代。3)精通主流开发语言与框架，熟前沿技术应用，擅数据库设计优化。4)具敏锐用户洞察、产品规划攻坚能力，能以数据驱动决策，有成功案例。5)优秀团队管理与沟通协作能力，可打造高效团队，推动跨部门合作。6)风险管控与应变能力强，能提前应对各...,互联网,http://jobs.zhaopin.com/CCL1481498300J40832288510.htm,100-299人,2026-01-07 19:23:08,28000.0,40000.0,13.0
