职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
UI设计师,南京,北京金禾天成科技有限公司,本科,5-10年,"界面设计,移动端,网页端,客户端,Axure,PS,墨刀",18000-25000,一、岗位职责1、全流程设计主导：负责公司核心产品（Web 端 / 移动端 / 数据驾驶舱等）的 UI/UX 全流程设计，从需求解读、用户研究到高保真原型输出、设计落地验收，独立承接复杂农业场景的设计任务，如数据可视化系统等。2、设计系统构建与维护：主导搭建并持续优化智慧农业行业特色设计系统，制定组件库、视觉规范及交互标准，确保多产品线视觉一致性与体验连贯性。3、用户体验优化：深入洞察用户的使用习惯...,农/林/牧/渔,http://jobs.zhaopin.com/CC454984010J40905333308.htm,20-99人,2025-12-09 13:38:08,18000.0,25000.0,12.0
ui/ue用户体验设计师,南京,深圳市法本信息技术股份有限公司,本科,3-5年,交互设计,15000-23000,【工作内容】1.参与C端数字产品用户体验设计2.根据需求背景和业务目标，提供优秀的设计方案3.关注用户体验，输出设计规范，持续迭代产品【工作要求】1.本科以上学历，3年以上移动互联网设计经验2.具有良好的输出方案能力，视觉表现力强，能够独立完成大型项目的方案输出及研发落地3.注重设计细节，熟悉Web、iOS、Android等平台的设计理念和规范4.关注设计趋势，有强烈的探索欲和创新力，为团队提供源...,计算机软件,http://jobs.zhaopin.com/CC385622410J40667311006.htm,1000-9999人,2025-12-30 15:24:03,15000.0,23000.0,12.0
资深平面设计师,南京,孩子王儿童用品股份有限公司,本科,3-5年,,11000-20000,职责描述：1、负责孩子王服装事业部整体视觉设计把控，包括线上场景（宝贝详情页主图SKU图整体设计把握）及线下物料；2、通过对于品牌风格的理解，准确理解展示需求，把握整体设计风格，负责线上品牌店铺的视觉形象和调性的提升。3、根据目标消费群体的喜好和产品卖点做出精准视觉表现，提高运营转化效率。任职要求：1、 广告/美术设计类等相关专业本科；2、具备5年以上平面设计、视觉设计经验；有母婴类、服装类视觉设...,互联网,http://jobs.zhaopin.com/CC265894110J40746437106.htm,10000人以上,2026-01-09 09:18:40,11000.0,20000.0,12.0
UI/UX,南京,诚迈科技股份有限公司,本科,3-5年,"动画动效设计,交互设计,界面设计,PS,Figma,AE,用户体验,音乐电子产品,华为/荣耀/VIVO/OPPO",10000-20000,职位描述1.负责音箱App的核心体验工作，承担团队重点项目的攻坚，小型活动视觉。建立有效的设计流程和方法，贯彻输出详细的设计方案，打造行业领先的小米音箱App体验2.分析&洞察业务创新点，基于软硬融合、探索定义视觉体验新方向，与业务方达成共识形成明确的体验设计目标3.建立和完善音箱产品的设计规范和组件库，确保产品在多人协作中的视觉一致性和交互连贯性，提高团队协作效率4.协同产品、开发团队落地设计，...,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40915205715.htm,1000-9999人,2026-01-08 15:36:57,10000.0,20000.0,12.0
设计工程师,南京,南京高泰科技有限公司,本科,5-10年,"交互设计,AI,PS,XD",10000-20000,岗位职责： 负责产品界面的设计、3D效果、交互、动效等工作，提高用户体验，制定专业的设计流程和设计规范从而提高公司产品的竞争力。 1、UI/UE设计：负责产品用户界面和用户体验设计，根据项目需求，设计符合客户需要的高保真页面、交互，完成需求对接、视觉输出、视觉规范、还原度跟踪等工作;参与项目设计评审并提出有效的修改方案。 2、产品设计的迭代优化:关注用户需求，保持与用户的反馈与沟通，根据分析结果持...,计算机软件,http://jobs.zhaopin.com/CC157555820J40835568403.htm,300-499人,2025-09-18 15:57:32,10000.0,20000.0,13.0
平面设计师,南京,南京蔚蓝智能科技有限公司,本科,经验不限,,10000-20000,"As a Graphic Designer on our team, you will shape the visual voice of a groundbreaking consumer robotics brand and translate complex innovation into warm, intuitive, and inspiring visual stories that ...",人工智能,http://jobs.zhaopin.com/CCL1271172070J40945636104.htm,100-299人,2025-08-25 18:12:42,10000.0,20000.0,12.0
UE 设计师,南京,南京云高融智科技有限公司,本科,1-3年,"界面设计,交互设计,移动端,网页端,客户端,3DS MAX,SUBSTANCEPAINTER,BLENDER",10000-20000,岗位职责负责产品的 UE 界面设计与交互设计，根据产品需求和用户体验原则，打造直观、易用的操作界面；进行场景设计、角色与物体建模、材质与纹理制作等工作，提升产品的视觉表现力和沉浸感；能够独立完成 UI/UX 设计职责，负责产品的用户界面（UI）设计；开展用户体验（UX）研究，优化产品的交互流程和使用体验；与 UE 开发工程师、Web 前端开发工程师协作，确保设计方案的技术可行性，跟进开发过程中的效...,计算机软件,http://jobs.zhaopin.com/CCL1505274920J40779353510.htm,20人以下,2025-08-25 10:36:30,10000.0,20000.0,12.0
UE设计师,南京,掌控网络,本科,3-5年,交互设计,15000-20000,岗位职责：1、参与公司软件产品的用户体验设计工作，需要深入了解业务流程，和产品经理一起构思与创意，从体验视角出发给出产品交互建议，产出交互方案并推动落地，提高产品的易用性。2、参与制订交互设计规范，并推动在整个团队中的实施。3、发起和参与用户研究，根据用研结果对设计方案进行优化。4、负责产品的可用性测试和评估，归纳总结产品问题点，提出改进方案并推动实施。5、用心体会客户反馈的交互问题，以客户为中心...,互联网,http://jobs.zhaopin.com/CC553148620J40748481212.htm,100-299人,2025-08-13 10:58:49,15000.0,20000.0,12.0
平面设计总监,南京,南京铭富传媒科技有限公司,本科,3-5年,"广告设计,方案设计",10000-20000,岗位职责“：1、根据客户提供要求，设计整个广告的核心理念和广告整体框架；2、全程负责广告策划、文案表达、推广执行等工作，能独立撰写或设计广告推广样稿；3、为公司客户提供全方位的创意、策划及文案支持；为公司团队提供全方位的管理、技术支持；4、对设计人员的工作进度与质量进行全面控制与管理；5、制订整体设计团队的技能培训与考核要求；6、及时关注行业发展潮流，根据公司具体情况进行不断吸收与优化。任职资格：...,文化艺术/娱乐,http://jobs.zhaopin.com/CC539751880J40550730407.htm,20-99人,2025-02-18 00:04:21,10000.0,20000.0,12.0
UI设计师,南京,恒宝股份,本科,5-10年,"网页端,移动端,Sketch,AI,XD,界面设计,交互设计",12000-18000,岗位职责1、设计独特且具有吸引力的UI界面，通过极简和直观的风格捕获用户注意力，提供沉浸式的交互体验；2、对移动端和Web端的设计规范有深入了解，用户能享受到流畅而富有乐趣的操作体验；3、与产品团队紧密合作，对用户研究、信息架构、用户流程设计、线框图/原型设计、视觉设计和交互规范有系统掌握，确保设计方案既创新又实用；4、不断探索和实践最新的设计趋势和工具，勇于实验，敢于突破传统界限；5、收集并分析...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120810350J40772527510.htm,1000-9999人,2025-12-24 17:50:03,12000.0,18000.0,12.0
