职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
前端开发负责人（须有C端项目经验）,南京,见鲸科技(南京)有限公司,本科,5-10年,"JavaScript,React Native,Electron",28000-40000,一、岗位资格1)本科及以上学历，计算机相关专业，重点院校优先。2)8 年以上互联网研发经验，3 年 C 端产品研发管理经验，主导过百万级用户产品从 0 到 1 及迭代。3)精通主流开发语言与框架，熟前沿技术应用，擅数据库设计优化。4)具敏锐用户洞察、产品规划攻坚能力，能以数据驱动决策，有成功案例。5)优秀团队管理与沟通协作能力，可打造高效团队，推动跨部门合作。6)风险管控与应变能力强，能提前应对各...,互联网,http://jobs.zhaopin.com/CCL1481498300J40832288510.htm,100-299人,2026-01-07 19:23:08,28000.0,40000.0,13.0
AI前端开发工程师,南京,四川华鲲振宇智能科技有限责任公司,本科,1-3年,"CSS,TypeScript,React",20000-35000,一、岗位职责：1.、负责智能体相关产品的前端架构设计与开发，提升用户体验并驱动业务发展；2、与后端相关团队紧密协作，确保有效对接，提升前端性能的转化与优化；3、了解响应式设计，熟悉 Tailwind CSS，能精准实现复杂 UI 动效与布局；4.、了解 AI workflow（如 Dify、Coze 等），熟悉并理解其核心功能与应用场景；5、 严格遵循 Web 标准与编码规范，注重代码可读性、可维...,计算机硬件,http://jobs.zhaopin.com/CCL1268925460J40848725713.htm,1000-9999人,2025-12-11 10:51:31,20000.0,35000.0,15.0
前端开发工程师,南京,北京鼎腾科技有限公司,本科,3-5年,"HTML5,TypeScript,Vue,React,Three.js",18000-35000,岗位职责：1、准确理解产品需求、交互文档或原型，进行前端开发。2、与产品团队充分沟通，快速理解、消化各方需求，并落实为具体的开发工作。3、负责/协助制定 开发规范，开发风格一致的模板和组件。4、技术视野广阔，有前端技术方案设计的能力和经验，能够独立完成大型项目模块的研发；5、编写前端开发技术文档、周期性沉淀技术输出文档，主动分享、组织前端技术不断创新和提升；6、关注业界前端技术，对用户体验、交互操...,IT服务,http://jobs.zhaopin.com/CC821752090J40797141408.htm,500-999人,2025-09-04 00:25:21,18000.0,35000.0,12.0
前端开发组长,南京,见鲸科技(南京)有限公司,本科,5-10年,"Electron,uni-app,React,React Native",20000-40000,一、岗位资格1)本科及以上学历，计算机相关专业，重点院校优先。2)8 年以上互联网研发经验，3 年 C 端产品研发管理经验，主导过百万级用户产品从 0 到 1 及迭代。3)精通主流开发语言与框架，熟前沿技术应用，擅数据库设计优化。4)具敏锐用户洞察、产品规划攻坚能力，能以数据驱动决策，有成功案例。5)优秀团队管理与沟通协作能力，可打造高效团队，推动跨部门合作。6)风险管控与应变能力强，能提前应对各...,互联网,http://jobs.zhaopin.com/CCL1481498300J40831858010.htm,100-299人,2026-01-06 11:41:07,20000.0,40000.0,14.0
Java/python/web/c/c++/js/go/测试/安卓,南京,外企德科数字技术有限公司,本科,经验不限,,15000-30000,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837051105.htm,10000人以上,2026-01-11 00:27:04,15000.0,30000.0,14.0
资深前端工程师,南京,天逸财金科技服务(武汉)有限公司,本科,5-10年,"HTML5,JavaScript,TypeScript,React,uni-app,React Native",20000-30000,职位介绍1. 负责公司全球资金收付款、跨境支付等相关产品的前端架构设计与核心功能开发（Web + 移动端），包括业务中台、运营后台、商户端/用户端等多个前台系统的搭建与持续优化。2. 负责前端工程化与基础设施建设，包括组件库、脚手架、前端构建与发布流程、监控与日志埋点等，持续提升研发效率与交付质量。3. 负责国际化产品前端建设，支持多语言、多时区等国际化场景，设计与落地国际化方案，保障不同区域用户...,计算机软件,http://jobs.zhaopin.com/CC120586610J40824133210.htm,500-999人,2025-12-12 00:26:41,20000.0,30000.0,14.0
前端工程师,南京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",17000-30000,岗位职责：1. 负责移动端H5页面的设计和开发工作。2. 优化页面性能，确保良好的用户体验。3. 与设计师和产品经理紧密合作，实现界面和交互设计的前端开发。4. 对现有产品的持续优化和迭代。岗位要求：1. 熟悉HTML5、CSS3、JavaScript等前端开发技术。2. 熟悉Vue.js、React.js等主流前端框架。3. 了解移动端页面设计和开发流程，有成功案例者优先。4. 良好的团队协作精...,互联网,http://jobs.zhaopin.com/CC427775130J40908727915.htm,20-99人,2025-12-08 09:21:51,17000.0,30000.0,12.0
前端开发/后端开发/全栈工程师,南京,外企德科数字技术有限公司,本科,经验不限,"C语言,Python",15000-30000,"1.负责公司产品线及开发部的前端，后端，算法，大数据，硬件，软件等开发维护工作。 2.产品线涉及通信，终端产品，汽车，技术预研，云计算等。 3.后端要求掌握如下1种或多种开发语言： c/c++/python/java/golang/ 前端要求掌握： vue,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求： 1.统招本科毕业，年龄不限、 2.可接受工作地上海，武汉，西安，南京，东莞...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40822061205.htm,10000人以上,2026-01-11 00:26:04,15000.0,30000.0,15.0
初级前端开发工程师,南京,陕西慧云联达企业管理咨询有限公司,本科,经验不限,JavaScript,15000-30000,岗位内容：1. 负责开发和维护前端系统和模块，确保其运行稳定可靠2. 编写高效、清晰、易于维护的代码3. 协调需求，与其他团队成员进行有效沟通和协作任职要求：1. 熟练掌握HTML、CSS和JavaScript，熟悉主流前端框架2. 具备扎实的编程基础，良好的代码风格，注重代码品质3. 擅长和团队合作，具备很好的沟通和协调能力 4.统招本科及以上学历,人力资源服务,http://jobs.zhaopin.com/CCL1445845820J40803288105.htm,10000人以上,2025-11-26 09:33:24,15000.0,30000.0,14.0
Web 前端开发工程师(WebRTC方向),南京,某国企互联网公司,硕士,5-10年,直播视频项目,20000-30000,岗位职责1.主导会议、直播等复杂场景下的实时音视频平台架构设计与核心模块开发，打造高可用、低延迟高并发的音视频解决方案，保障千万级用户流畅体验2.建立并完善实时音视频平台的现网监控、预警与应急响应体系，快速定位、解决疑难问题，确保平台稳定运行，故障恢复时间控制在分钟级。3.深度调研业内前沿音视频技术趋势，结合业务需求引入新技术，推动平台架构升级，保持技术先进性，每年至少完成2项关键技术落地。4.作...,互联网,http://jobs.zhaopin.com/CCL1318355140J40761634503.htm,500-999人,2025-11-04 09:56:41,20000.0,30000.0,12.0
