职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
CPO,南京,江苏零浩网络科技有限公司,本科,5-10年,"软件产品,硬件产品",60000-90000,1、产品战略规划：结合行业政策、客户需求（政府 / 企业）与公司战略，制定中长期产品路线图，明确产品定位与差异化优势。2、跨部门协同与资源统筹：联动销售、研发、运营、合规等团队，协调资源推进产品落地，解决跨部门协作瓶颈。3、产品全生命周期管理：从需求调研、产品设计、研发推进到上线迭代、退市管理，全程把控产品质量与市场适配性。4、客户价值与业务增长：深入理解 B 端 / G 端客户核心诉求（如效率提...,互联网,http://jobs.zhaopin.com/CC293273230J40821678309.htm,500-999人,2025-12-23 09:49:04,60000.0,90000.0,12.0
芯片产品经理,南京,某央企,硕士,经验不限,,35000-70000,岗位职责：1、负责面向工业、消费电子、汽车电子等场景的芯片及相关解决方案（如处理器、传感器、功率芯片、AI芯片等）的产品定义、市场开发、客户沟通及商业化落地工作；2、调研分析芯片市场动态、技术趋势及容量规模，判断目标应用场景及客户群体，输出市场分析报告及产品策略；3、开发芯片领域潜在客户（如设备厂商、方案商、终端制造商等），维护核心客户关系，深度挖掘客户技术需求与商业痛点，定期向公司反馈需求优先级...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866290903.htm,500-999人,2026-01-09 01:07:10,35000.0,70000.0,12.0
技术总监（冶金产销质财）,南京,江苏金恒信息科技股份有限公司,本科,10年以上,"软件产品,MES系统,财务系统",40000-60000,岗位职责：1、负责公司MES/MOM/WMS/SRM等核心软件产品的战略规划与顶层设计，确保产品方向与公司长期发展目标及行业趋势紧密契合。通过深入分析市场动态、技术演进及客户需求变化，制定前瞻性的产品路线图和创新策略。2、主导并执行复杂项目的用户需求调研，运用先进的需求管理方法论，组织跨部门团队进行深入的需求讨论、梳理与分析。3、基于深入的市场需求理解，领导设计团队完成软件需求的原型图、功能架构及...,IT服务,http://jobs.zhaopin.com/CC201489330J40708936401.htm,500-999人,2025-12-04 09:47:28,40000.0,60000.0,13.0
产品vp,南京,江苏零浩网络科技有限公司,本科,经验不限,软件产品,70000-90000,1、产研一体出身的开发经验，具备高度的客户思维2、确保项目按计划进行，监控项目的风险状况，及时调整项目计划和策略。3、协调技术部门与其他部门的协作，推动技术成果商业化，确保产品及易用性对项目的影响。4、具备后台高并发经验，有上千万用户处理经验，有相关大型互联网项目服务端整体架构和开发经验。5、过往做过市场反馈良好的成熟的产品，TOB和TOG端有同质化产品SAAS优先；6、50人以上的团队管理规模，...,互联网,http://jobs.zhaopin.com/CC293273230J40805869209.htm,500-999人,2025-11-25 17:46:10,70000.0,90000.0,15.0
医药产品经理,南京,先声药业,本科,经验不限,"神经科,新药,化学药",35000-55000,1.以客户为中心，定义产品细分领域目标市场与客户，发现增长机会点；2.搭建产品领域专业营销活动平台，提升品牌价值；3.围绕产品战略，制定产品领域营销策略、计划、预算并组织实施；4.应用PDCA工具复盘会议活动等有效性，持续纠偏，聚焦投入类指标改进；5.开展产品设计与生命周期管理；6.建立产品品牌，提供匹配客户需求的品牌提示物、互动资料等学术资源，以及提供高质量赋能内容，赋能一线。,医药制造,http://jobs.zhaopin.com/CC133958490J40729067606.htm,1000-9999人,2025-10-28 09:59:39,35000.0,55000.0,12.0
产品研发总监（高压盒方向）,南京,江苏由甲申田新能源科技有限公司,本科,10年以上,"BDU,PDU",30000-50000,岗位职责：1、负责BDU产品的调研、分析、客户技术要求的识别与拆解；2、跟踪产品的开发过程，结合客户要求作阶段性管控；3、集成产品对外进行技术支持、引导客户。同时对前瞻技术信息的收集、分解、储备；4、深入客户项目的组织管理与过程；5、建立集成产品标准化开发流程、重要开发文件的收集 、审核、确认并建立数据库；6、与研发、市场及销售团队紧密协作，推动产品开发与迭代；7、协调资源，确保产品按时高质量交付...,汽车研发/制造,http://jobs.zhaopin.com/CC486172820J40866618712.htm,500-999人,2026-01-06 17:16:47,30000.0,50000.0,13.0
磁悬浮风冷冷水机产品总监,南京,南京磁谷科技股份有限公司,硕士,5-10年,"商业化产品,产品经理",30000-50000,岗位职责1、主导磁悬浮风冷机组整机系统架构设计，进行精确的热力循环计算和系统工况仿真。2、建立并优化系统数学模型，用于性能预测、部件匹配和全年能效分析。3、主导磁悬浮压缩机的技术选型与性能匹配，深刻理解其喘振边界、部分负荷特性及与变频驱动（VFD）的协同工作机理。4、风侧系统设计：主导风机与风冷冷凝器的协同设计与选型，优化在不同环境温度下的风量、风压与噪音平衡。5、制冷侧与控制系统集成：负责电子膨...,仪器仪表制造,http://jobs.zhaopin.com/CC233837210J40842643913.htm,300-499人,2025-11-17 14:27:26,30000.0,50000.0,15.0
软件产品开发经理,南京,江苏陌阡度数字科技有限公司,本科,3-5年,"B端产品,物联网,区块链,服务器/存储",25000-50000,岗位职责：负责公司产品/项目的全栈开发，包括前端、后端及系统架构设计；参与微服务架构的设计、拆分与优化，保障系统高可用性和可扩展性；独立完成功能模块开发，包括需求分析、技术方案设计、编码实现及单元测试；优化系统性能，解决分布式环境下的技术难点（如高并发、数据一致性等）；参与技术文档编写、代码审查及团队技术分享；跟踪前沿技术，推动技术方案落地。任职要求：计算机相关专业本科及以上学历，3年以上Java...,互联网,http://jobs.zhaopin.com/CCL1460347250J40525395311.htm,20人以下,2025-08-21 21:37:21,25000.0,50000.0,12.0
医疗器械产品总监（冠脉、外周、神经介入方向）,南京,北京迪玛克医药科技有限公司,本科,5-10年,"心血管科,介入科,心内科,外周血管",25000-45000,工作地点： 北京大兴亦庄亦城国际中心B座汇报对象： 公司副总下属团队： 产品管理部、市场策略团队（视组织架构而定）职位概述：我们正在寻找一位具有深厚介入治疗领域背景和卓越产品战略思维的医疗器械产品总监，全面负责公司在冠脉介入、外周血管介入及神经介入三大核心治疗领域的整体产品组合管理与市场策略制定。该岗位将主导从产品规划、上市策略、生命周期管理到商业化落地的全链条工作，推动公司在高值耗材赛道的持续增...,医疗设备/器械,http://jobs.zhaopin.com/CC120969680J40825154509.htm,500-999人,2026-01-06 10:38:12,25000.0,45000.0,13.0
金融产品经理,南京,南京灵祝融顶科技有限公司,大专,经验不限,,20000-40000,欢迎各位精英加入我们，不压提成，奖金提前发放！！月度、季度、年度抽奖，苹果大奖拿到你手软！一、【薪资待遇】1.底薪7000+提成+奖金，人均1.5万且包括新人，上不封顶；试用期新人2000奖励，转正人均薪资2-3万及以上。2.提成10%-40%，年终奖全年业绩10%。3.工龄工资：满半年+5004.奖金补贴：话补+工龄奖+月度奖金+季度奖金+年终奖5.新员工可享受入职培训、专业培训、营销技能培训，...,投资/融资,http://jobs.zhaopin.com/CCL1497694870J40746372214.htm,20-99人,2026-01-10 01:41:19,20000.0,40000.0,15.0
