职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Ai开发专家(J12209),南京,江苏鱼跃医疗设备股份有限公司,硕士,10年以上,"Python,大模型应用",50000-70000,岗位职责1. 负责公司大模型应用方向的技术路线与架构设计：模型选型、能力规划、迭代节奏、成本与质量目标。2. 搭建可复用的 LLM 应用平台能力： - Agent/工作流编排、工具调用网关、权限与审计 - Prompt/模板与版本管理、配置化发布、灰度与回滚 - 统一会话/记忆管理、上下文压缩、长期记忆策略3. 负责 RAG 全链路工程化与治理：数据接入标准、索引策略、召回/重排优化、证据引用、知...,医疗设备/器械,http://jobs.zhaopin.com/CC199971310J40867912703.htm,10000人以上,2026-01-06 11:30:47,50000.0,70000.0,14.0
人工智能总监,南京,药石科技,本科,10年以上,"Java,C语言,Python",35000-70000,"负责公司人工智能技术的战略规划、团队建设与技术落地。领导团队在机器学习、大语言模型、生成式AI及智能体等前沿领域进行研发与创新应用。岗位描述1.制定并执行公司的人工智能技术发展路线图，确保技术方向与业务目标高度一致。跟踪AI领域前沿技术（如LLM, Generative AI, AI Agent等），评估并引入适合公司的先进技术与架构；2.组建、培养和管理高水平的人工智能技术团队（包括研究员、算法...",化学原料/化学制品,http://jobs.zhaopin.com/CC218331910J40797677111.htm,1000-9999人,2025-10-23 15:20:29,35000.0,70000.0,12.0
人工智能专家（博士 福建福州办公）,南京,福建新大陆时代科技有限公司,博士,经验不限,"深度学习,机器学习,图像算法",40000-70000,1、主导人工智能教学产品的整体开发工作，结合职业教育业务形态和教学目标，设计涵盖人工智能所有技术模块的教学产品架构。2、深入研究职业教育学生的特点和学习需求，开发出具有针对性、实用性和创新性的教学内容，包括但不限于课程体系、教学案例、实践项目等，确保学生能够有效掌握人工智能知识和技能。3、运用深厚的人工智能专业知识，为研发团队提供技术指导，解决产品开发过程中涉及到的复杂技术问题，如机器学习算法优化...,计算机软件,http://jobs.zhaopin.com/CC847122470J40830672602.htm,500-999人,2025-09-29 09:45:18,40000.0,70000.0,14.0
高级基带算法工程师,南京,南京沁恒微电子股份有限公司,博士,经验不限,,45000-60000,岗位职责： 1、从事无线通信和数字基带信号处理等领域算法的研究和开发，并利用DSP，数字IC等硬件模块进行算法加速； 2、负责无线通信系统的需求分析、算法方案设计、算法选型、算法性能分析与优化、算法交付实现； 3、搭建链路级算法仿真平台，使用仿真工具进行关键算法仿真与验证； 4、编写、调试和维护算法代码(C/C++)，与软硬件团队紧密合作在实际项目中实现、集成和验证算法； 5、针对不同处理器架构(...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1215465070J40819581009.htm,100-299人,2026-01-06 14:56:45,45000.0,60000.0,12.0
AI应用工程师（CV方向）,南京,某央企,硕士,3-5年,,30000-60000,岗位职责：1、快速开发AI软件产品原型；2、对问题进行需求分析，选择合适的计算机视觉相关的智能模型。3、对模型进行训练和调优，以满足任务目标。 4、具备国产化硬件平台（华为、算能、寒武纪等）适配部署能力。5、收集运行数据，持续更新模型。6、配合项目相关的算法开发工作，研发演示系统，并支撑指标测试等工作。7、结合客户需求，为客户提供深度学习解决方案，并负责方案的落地；8、了解行业发展趋势，挖掘客户需...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866293603.htm,500-999人,2026-01-05 01:07:23,30000.0,60000.0,13.0
AI算法博士（应届/社招）,南京,江苏金恒信息科技股份有限公司,博士,经验不限,"机器人,OpenCV,Python",30000-60000,AI方向：视觉、具身智能、大模型一、工业视觉：岗位职责：1.视觉算法研发，包括但不限于：晶粒度检测、夹杂检测、脱碳检测、带状组织检测等；2.智能制造领域核心视觉算法研发，包括但不限于：目标检测、目标分割，目标识别、定位、测量等；3.可独立完成视觉算法的开发和部署工作，包括但不限于：算法研发、网络结构设计、模型训练、部署量化等；4.与其他团队密切合作，支持项目中工业视觉需求的整体研发并解决相关问题。...,IT服务,http://jobs.zhaopin.com/CC201489330J40702570101.htm,500-999人,2025-12-24 01:00:33,30000.0,60000.0,13.0
模型部署优化工程师,南京,深圳市中兴微电子技术有限公司,本科,5-10年,"智能驾驶,算法部署,AI编译器",30000-60000,工作职责：1. 基于异构计算平台，优化和部署自动驾驶领域相关的神经网络模型，特定芯片上的AI工具链开发；2. 常见神经网络模型量化算法精度评估与实践，包括并不限于QAT、PTQ等； 3. 常见神经网络模型压缩算法评估与实践，包括并不限于剪枝、蒸馏等；任职要求：1. 计算机，自动化，电子信息等相关专业，本科及以上学历；2. 3年以上相关工作经验，精通C/C++/Python等编程语言，熟悉Linux...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC332136610J40805594008.htm,1000-9999人,2025-07-17 17:19:08,30000.0,60000.0,12.0
雷达信号处理算法工程师,南京,安徽荣徽科技有限公司,硕士,10年以上,"C++,信号处理,算法工程化经验,MATLAB,雷达算法",40000-55000,工作内容：1. 在MATLAB中完善MIMO信号处理流程，并完整相应的仿真：2. 用嵌入式C类语言实现MATLAB信号处理的模型，搭建SIL系统；3. 负责MIMO雷达方位估计优化，目标检测优化，目标特征提取算法的C代码；4. 能够根据不同的场景对信号处理算法进行针对性调整，测试，优化；5. 辅助完成遮挡检测与动态标定。 任职资格： 1.雷达、信号处理专业研究生以上学历，三年以上工作经验，熟悉雷达...,汽车零部件,http://jobs.zhaopin.com/CCL1436864680J40786644816.htm,20-99人,2026-01-09 21:53:46,40000.0,55000.0,12.0
总体设计师,南京,道一(天津)企业管理咨询有限公司,博士,经验不限,,30000-50000,工作职责﻿1、博士学历，信息与通信工程、电子科学与技术、电磁场与微波技术等电子类相关专业； ﻿2、熟悉电子对抗原理，对通信/雷达接收机、干扰机等电子设备具有深入了解； 3、具有通信/雷达对抗及电子战系统的总体方案论证设计及系统集成能力；4、具有一定的数学抽象能力，能够较快掌握相关领域业务知识； 5、具有较好的沟通能力及团队协调能力。,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40866703212.htm,300-499人,2026-01-06 21:10:21,30000.0,50000.0,12.0
人工智能算法工程师,南京,北京龙双利达知识产权代理有限公司,硕士,经验不限,,25000-50000,职业发展这里没有代码和实验室，也不存在森严的等级，不以年龄论资排辈，仅凭专业能力便可傲视群雄，不需要职场的勾心斗角，35岁是正当年绝不存在被“毕业”。“人生就像滚雪球，最重要之事是发现湿雪和长长的坡。”技术会迭代，技术积累不会清零，法律会更新，法律理解不会失去意义。在龙双，你将永远处在科技浪潮的前沿，始终快人一步一睹未来风采，你将有更多机会与各行各业的技术大咖碰撞出智慧的火花，你可以尽享谈笑有鸿儒...,专利/商标/知识产权,http://jobs.zhaopin.com/CC184213220J40734565505.htm,100-299人,2025-12-29 00:40:20,25000.0,50000.0,12.0
