职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
工艺总监/经理/主管/专员（正极材料）,南京,南京锂源纳米科技有限公司,本科,经验不限,"磷酸铁锂,磷酸铁,工艺",30000-60000,"岗位职责：""1、负责集团工艺技术管理、变更管理、团队管理2、新工艺技术调研、工艺设计开发、工装夹具开发、NPI导入、量产工艺优化改善维护3、产线筹建、设备选型、安装调试、设备改造等4、工艺标准化、精益推行、三化一稳定推行、产品品质提升5、多元化材料试制开发及导入、供应商质量改善6、过程良率及产能提升、物耗能耗降低、成本技术分析7、过程质量监控点升级、MES功能完善8、产品失效、过程失效、售后问题分...",新能源,http://jobs.zhaopin.com/CCL1443841910J40730475901.htm,1000-9999人,2026-01-10 01:00:19,30000.0,60000.0,12.0
光学镀膜工程师,南京,中国电子科技集团公司第五十五研究所,硕士,5-10年,镀膜工艺,30000-60000,岗位职责：1、负责光学镀膜设备的调研、改造以及调试；2、新产品的膜系设计、工艺设计开发和实施；3、及时协调处理生产过程中的各类生产、设计、品质和工艺问题。 任职资格：1、硕士及以上学历。光学镀膜(介质膜)相关专业领域，具备5年以上光学镀膜行业研发及生产经验，熟悉光学薄膜产品的各种测试方法；2、具备光学薄膜理论知识和产品开发经验，熟悉光驰、莱宝及国产镀膜设备；3、能完成新设备的立项、调研以及镀膜工艺...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC142837930J40756523905.htm,1000-9999人,2025-11-26 16:29:47,30000.0,60000.0,12.0
总装工艺工程师,南京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,,26000-50000,岗位职责：1. 负责汽车总装工艺的设计、优化和现场技术支持2. 制定并实施工艺改进计划，提高生产效率和质量3. 对生产过程中的工艺问题进行及时分析与解决4. 编制和维护工艺文件，确保生产过程的标准化岗位要求：1. 本科及以上学历，机械工程或汽车相关专业2. 3年以上汽车总装工艺相关工作经验3. 熟悉汽车总装工艺流程和设备4. 具备良好的问题分析和解决能力5. 良好的团队协作精神和沟通能力,互联网,http://jobs.zhaopin.com/CC427775130J40861875415.htm,20-99人,2026-01-07 01:40:56,26000.0,50000.0,12.0
工艺负责人,南京,南京锂源纳米科技有限公司,硕士,5-10年,"工艺设计,新品导入（NPI）",30000-50000,岗位职责：1、工艺放大与工程化：①主导磷酸铁锂新工艺、新材料从 “实验室样品” 到 “商业化产品” 的全流程工艺放大设计。②建立严格的工艺放大数学模型与实验方法，系统性解决量产过程中的收率、一致性、能耗与成本问题。③输出权威的、数据驱动的 《工艺放大可行性报告》 和 《工艺优化方案》。2、产线设计与技术标准化（核心交付）：①基于现有的工艺包，主导设计 成熟，可快速复制、模块化 的下一代磷酸铁锂标准...,新能源,http://jobs.zhaopin.com/CCL1443841910J40813788601.htm,1000-9999人,2026-01-05 01:02:01,30000.0,50000.0,12.0
光学工艺检测资深专家,南京,南京英田光学工程股份有限公司,硕士,5-10年,"工艺设计,非球面",30000-50000,岗位职责：1、主导非球面光学元件的加工工艺开发与优化，包括超精密加工（小磨头、离子束、快速抛光、磁流变等）、检测与面形修正技术。2、解决生产中的技术难题（如面形精度、表面粗糙度、亚表面损伤控制等），推动良率提升和成本降低。3、牵头新技术、新材料（如碳化硅等）的研发与应用，保持行业技术领先性。4、制定年度生产计划，监督生产流程（从原材料到成品检测），确保交付周期与客户指标符合要求。5、建立标准化作业...,仪器仪表制造,http://jobs.zhaopin.com/CC180868110J40901413804.htm,100-299人,2025-04-17 13:49:23,30000.0,50000.0,14.0
湿法冶金工艺专家,南京,江苏龙蟠科技集团股份有限公司,本科,3-5年,冶金工艺设计,20000-40000,1、负责执行以镍铁合金为原料的“一步法”湿法冶金工艺，参与规模化生产磷酸铁与硫酸镍的项目建设与日常运营。2、参与国内中试及量产线的工艺落实、设备调试与产线优化，协助解决从原料浸出、溶液净化到元素分离与产品制备全流程中的技术问题。3、负责产线数据记录与工艺跟踪，协助提升产品指标、良率并控制生产成本，固定并优化工艺路线。4、后期支持印尼项目的技术复制与本地化落地，参与海外产线的工艺调试、生产管理与人员...,石油/石化,http://jobs.zhaopin.com/CC629477420J40828819505.htm,1000-9999人,2026-01-08 01:14:06,20000.0,40000.0,12.0
总工艺师,南京,南京华聚微波技术有限公司,本科,5-10年,"工艺设计,微组装,总装工艺",25000-40000,岗位要求: 1、负麦微组装、电钳装批量生产线的日常管理、升级改造与能力建设 2、产品工艺总方案的定制与编写、工艺文件的审核 3、工艺体系文件、规范的编写与制定4、新工艺的开发、试验与研究5、领导要求的其他工作内容 6、同行业科研院所或公司5年以上工作经验，资深工艺师及工艺管理负责人的薪资待遇面议,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1476263060J40820956807.htm,20-99人,2026-01-07 01:18:54,25000.0,40000.0,12.0
化工工程设计师 / 化工工艺设计工程师,南京,南京玉道建筑工程咨询有限公司,本科,5-10年,"化工产品,精细化工产品,工艺设计,工程设计",20000-40000,工艺方案设计：负责化工装置的工艺包设计及基础工程设计，包括确定工艺流程、物料衡算、热量衡算。编制工艺设计说明书、物料平衡表、热量平衡表等技术文件。P&ID图纸绘制：负责管道仪表流程图（P&ID）的设计与绘制，确保图纸符合工艺要求及行业标准。确定主要设备的工艺参数，编制设备数据表和设备请购单。设备选型与计算：负责反应器、塔器、换热器、储罐等核心化工设备的选型计算与校核。参与供应商的技术交流，评估设备...,建筑设计,http://jobs.zhaopin.com/CCL1323035040J40818304611.htm,20人以下,2025-12-31 16:13:06,20000.0,40000.0,12.0
碳化硅工艺工程师,南京,南京晶升装备股份有限公司,硕士,3-5年,"SIC单晶工艺研发,PVT法,晶体生长,工艺优化",30000-40000,岗位职责1、负责 PVT 法生长导电型、半绝缘型 SiC 单晶的工艺配方设计、开发及实验验证，持续优化晶体生长工艺参数；2、制定、修订晶体生长全流程（装料、升温、生长、冷却）的标准化作业程序（SOP），保障工艺执行的规范性与稳定性；3、针对晶体质量不合格等重大生产异常，开展根本原因分析，制定并落地整改方案；4、结合工艺需求提出设备改进建议，推动设备迭代升级，提升晶体生长效率与质量；5、组织内部技术...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC461185820J40813406201.htm,100-299人,2025-12-22 09:46:25,30000.0,40000.0,13.0
电气工艺高级工程师,南京,德力股份,大专,10年以上,"设计,测试,安装/调试,自动化设计,PLC设计,电路设计",20000-40000,岗位职责：1、负责集团及各子公司设备资产全面管理，包括设备选型、采购、安装、维护、调拨、报废等全流程管理；2、制定设备检修、更新改造计划，编制技术规程及管理制度，合理控制维修成本，确保设备运行可靠性。3、负责机械技术领域人员的培训；推进技术攻关，自主研发或引入新技术提升效率。4、操作文件、制度及培训文件的编制，建立技术档案，包括图纸、操作规程、检修记录等，确保数据完整可追溯，同时推进电子化档案系统...,金属制品业,http://jobs.zhaopin.com/CC398866820J40855632002.htm,1000-9999人,2025-11-10 16:10:36,20000.0,40000.0,12.0
