职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
财经主播（可兼职）,南京,武汉为为一笑文化传媒有限公司,大专,1-3年,"股票市场,板块 战法分析,证券从业资格证,投资顾问资格证",30000-60000,1.每日线上直播股票财经类知识，负责专业解盘:2.剖析市场热点，为投资者提供指导与帮助3.围绕投资市场进行深入研究;4.对股票类投资领域有一定的简介，能分析研究，给出行情走势分析和判断任职要求:1.因甲方需求量暴增，现需要大量招聘直播老师，有经验优先:2.有券商或股票类金融机构相关工作经验优先3.有股票类相关基础知识的优先，有证券从业资格或投顾资质的优先:4.具有一定的应变能力和主观能动性，有强烈...,新媒体,http://jobs.zhaopin.com/CCL1493413590J40750382405.htm,20-99人,2025-04-11 00:18:44,30000.0,60000.0,12.0
市场部-顾客数据管理负责人（Customer Data Management Director）,南京,金斯瑞生物科技,学历不限,5-10年,"Power BI,Tableau,CDP系统,SITECORE,ADOBE",,"This role represents a step-change in how GenScript leverages customer data - from reporting and governance to activation, growth, and customer impact. The leader will play a pivotal role in shaping o...",医药制造,http://jobs.zhaopin.com/CC143982550J40836072714.htm,1000-9999人,2026-01-09 10:42:16,,,
生物统计师(J15784),南京,正大天晴药业集团股份有限公司,硕士,3-5年,"临床数据分析,SAS",25000-35000,岗位职责: 1.临床试验方案 参与试验方案撰写，包括试验设计、估计目标框架构建、假设检验、样本量估算、随机化方法、统计分析方法及分析集人群定义； 2.临床项目实施 2.1.负责随机化方案的制定、实施与盲法设置； 2.2.参与试验方案调整或修订、样本量再估计； 2.3.参与数据审核会议，确定分析集人群划分； 3.统计分析计划\统计分析报告 3.1.审核统计分析计划，确保统计分析理论方法正确，衍生数据...,医药制造,http://jobs.zhaopin.com/CC191237210J40795733905.htm,10000人以上,2026-01-09 01:11:25,25000.0,35000.0,12.0
助理生物统计经理/资深生物统计师,南京,斯丹姆,硕士,3-5年,临床试验,23000-35000,"岗位职责：临床试验方案设计样本量计算随机化管理统计分析计划撰写制作统计相关图标统计分析报告撰写参与数据审核会议统计分析人群划分任职要求：3年以上生物统计师相关工作经验，硕士以上学历，生物统计，流行病学，公共卫生，数理统计等相关专业。熟悉临床试验全部流程，熟悉临床试验设计及统计分析流程，能够独立进行统计相关工作。能熟练使用SAS, R等统计分析工具。独立撰写统计分析计划及统计分析报告，对法规相关要求...",医药制造,http://jobs.zhaopin.com/CC137953310J40631989401.htm,1000-9999人,2025-03-07 15:35:31,23000.0,35000.0,12.0
全国均有岗位（开发、测试、算法、数据分析等）,南京,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++",15000-30000,岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；2.有web开发或测试经验、自动化开发或测试经验...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40806134705.htm,10000人以上,2026-01-11 00:25:08,15000.0,30000.0,14.0
电芯体系大数据分析(J10262),南京,爱尔集新能源(中国)有限公司,硕士,1-3年,"数据建模,电芯体系,Python,JMP",15000-30000,职责描述：1.独立搭建算法模型，评估材料，体系的迁移对电池寿命，以及快充性能影响 2.搭建电芯设计-制程-前端应用展示的全链路大数据分析平台 3.对接产品开发，工艺制程，测试，以及仿真板块数据提取，存储，清洗，计算分析脚本，制作前端界面。 4.对电芯在系统/整车级别，数据提取，分析。电池SOC，健康状态，热失控预警，建立特征工程规范，搭建基于时序法预测模型。5.对接仿真端接口输入，离散偏微分方程节...,新能源,http://jobs.zhaopin.com/CCL1495416760J40860740108.htm,1000-9999人,2025-11-18 14:42:58,15000.0,30000.0,14.0
证券投资顾问,南京,中国平安人寿保险股份有限公司江苏分公司秦淮五老村营销服务部,大专,经验不限,,17000-30000,岗位职责：1、对证券投资市场各类信息全面了解，并对行情能做出较为精准的分析和判断；2、负责对客户投资类型、风险偏好、损益状况等进行分析研究，为客户提供投资咨询服务，推介公司证券投资顾问服务产品，定期对客户开展投资咨询活动；3、按照要求为公司客户提供以资产配置为核心的全面理财服务。任职资格：1、具备扎实的经济、金融、投资等领域的相关理论知识；2、具有严密的逻辑思维和分析判断能力；3、有较强的沟通能力...,保险,http://jobs.zhaopin.com/CCL1479754500J40816750810.htm,300-499人,2025-10-30 21:01:19,17000.0,30000.0,12.0
全国均有岗位（开发、测试、算法、数据分析等）可接受应届生、断档,南京,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++",15000-30000,公司福利： 1. 底薪+绩效+项目奖金+年终奖； 2. 全额缴纳五险一金； 3.一年数次考评，薪资可上浮~ 4.带薪年假5-15天，双休； 5.享有健身房、班车、加班打车报销等软性福利。各岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40794373505.htm,10000人以上,2026-01-11 00:24:41,15000.0,30000.0,14.0
证券数字化运营岗（需通过证券从业和基金考试）,南京,广发证券股份有限公司南京泰山路证券营业部,硕士,1-3年,"策略运营,增长运营,经营数据分析,市场数据分析",20000-30000,一、职位详情1、运用公司智能运营平台进行数字化运营，负责数字化运营工作的需求规划、业务策划与运营管理、数据跟踪分析与用户增长等服务运营工作2、协助团队进行日常事务处理，完成营业部交办的其他工作等。二、岗位要求1、硕士及以上学历，通过证券从业和基金考试;2、熟悉券商行业，具备履行职责所必需的服务能力和合规风险意识;3、有较强的学习意识及沟通能力、良好的服务意识，良好的职业素养和敬业精神，团队精神;4...,证券/期货,http://jobs.zhaopin.com/CCL1487963640J40682395011.htm,10000人以上,2024-12-26 10:38:45,20000.0,30000.0,12.0
SFE-BP(J16082),南京,正大天晴药业集团股份有限公司,本科,1-3年,"营销数据,数据分析,奖金,医药行业",16000-25000,岗位职责:1. 销售业务管理制定业务规划：1.1. 参与公司营销中长期预算制定及年度滚动预测，搭建预算模型，根据内外部数据进行业务预测；1.2. 结合市场策略，确定目标医院、目标医生并进行医院和医生分级，建立事业部的主数据；1.3. 根据市场调研及内外部的销售数据，协助事业部负责人确定销售指标并通过模型分配到终端。追踪业务计划：1.4. 根据SFE的流向数据管理平台，考核销售的执行结果，找到差距及...,医药制造,http://jobs.zhaopin.com/CC191237210J40833127805.htm,10000人以上,2026-01-10 01:14:53,16000.0,25000.0,12.0
