职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
软件架构师（免示教系统）,南京,南京垠坤,本科,5-10年,免示教,60000-85000,职责描述：1、负责平台级技术架构设计与规划：基于 QT 框架，主导免示教相关软件平台的整体技术架构设计，包括系统架构、模块划分、接口设计等，确保架构具备高可用性、可扩展性和稳定性，能够支撑免示多场景下的复杂业务需求；2、技术难点攻克与方案优化：深入研究免示教领域的核心技术，如路径规划算法、视觉识别与定位、机器人控制逻辑等，针对技术难点进行攻关，提出创新性的解决方案，并持续优化现有技术方案，提升平台...,房地产开发,http://jobs.zhaopin.com/CC313519910J40911025115.htm,1000-9999人,2025-12-18 15:13:11,60000.0,85000.0,12.0
总架构师,南京,福州盘桓轩信息科技有限公司,本科,10年以上,"带团队经验,Java",70000-80000,职位描述：1.技术架构设计：结合公司战略和部门业务方向，规划与之匹配的系统架构方案，系统架构具备良好的性能、高可靠性和高可用性，能够支撑未来业务持续演进情况下的海量新能源设备接入，支持大量新能源站点的管理，支持上层业务的平滑演进，伴随业务量的增加，系统架构支持平滑扩展，避免出现系统架构的大规模重构。2.架构落地跟踪：制定研发关键技术规范和关键质量要求，跟踪关键架构设计方案在研发团队的落地情况，确保...,互联网,http://jobs.zhaopin.com/CCL1371080860J40907529908.htm,20-99人,2025-12-27 01:21:04,70000.0,80000.0,12.0
熔盐储能技术研发负责人,南京,江苏君汇新能源集团有限公司,本科,5-10年,熔盐储能技术,40000-80000,岗位职责：1、技术发展战略规划：承接公司熔盐储能业务技术发展战略规划，通过熔盐领域专业性推动公司本领域业务具备前沿性，建立核心自有知识产权体系，促进成果转化。2、研发体系建设：制定、优化研发体系、研发管理机制及研发项目管理流程，实现对研发工作标准的统一管理；3、对外技术合作：充分发挥研发负责人作用，协调与外部科研机构的技术交流、合作以及成果转化，与高校合作，完成公司熔盐储能关键技术攻关，提高公司自...,新能源,http://jobs.zhaopin.com/CCL1308494410J40719812114.htm,100-299人,2025-02-22 00:00:02,40000.0,80000.0,12.0
EI大数据（modelarts方向）,南京,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据中台开发,Java,Python,Shell,MaxCompute,MODELARTS,英语,数据运维",40000-65000,岗位关键点：modelarts方向的 【工作职责】1、负责华为云大数据和AI相关云服务现网运维体系建设，进行高可用性架构设计，容灾演练及自动化恢复能力建设，看护服务SLA。2、负责华为云大数据和AI相关云服务现网运维指标体系建设，完善云服务监控能力，持续提升问题发现和定界能力。3、负责华为云大数据和AI相关云服务现网变更实施，日常运维巡检，监控，告警处理等。【任职要求】学历要求：本科及以上学历，计...,互联网,http://jobs.zhaopin.com/CC000544460J40779198916.htm,10000人以上,2025-12-06 16:49:06,40000.0,65000.0,12.0
系统架构师,南京,南京晶捷生物科技有限公司,本科,10年以上,"Java,Python,Spring,Memcached,TCP,MySQL,RPC,JVM",40000-65000,核心职责：1. 技术战略与平台架构设计(1) 主导制定面向全球（特别是中国与海外市场）的软件技术架构路线图。设计覆盖 App（iOS/Android）、小程序、web管理系统的统一、可扩展、安全合规的平台架构。(2) 设计并实现支持多云部署（海外AWS，中国腾讯云/阿里云）的统一、安全、可扩展的平台架构，确保架构级别的数据本地化与合规性.(3) 对核心技术选型、架构模式（如微服务、云原生）做出最终...,医疗设备/器械,http://jobs.zhaopin.com/CC659275730J40176417711.htm,100-299人,2025-11-12 14:40:26,40000.0,65000.0,13.0
智能座舱软件系统研发工程师,南京,锐仕方达人才科技集团有限公司,硕士,10年以上,"软件系统,智能座舱系统架构",40000-60000,1、技术战略与架构设计：制定智能座舱软件系统的中长期技术路线图，主导核心架构（软硬分离等）设计与技术选型，把控系统扩展性、安全性及跨域融合能力。2、复杂问题攻坚与技术决策：攻克系统级技术难题，在关键技术方向平衡技术实现与产品落地效率。专业跟踪包括系统启动速度、应用响应时延、资源占用率等关键指标的优化，解决系统卡顿、死机等问题，。3、团队管理与能力建设：制定编码规范与研发流程，培养核心技术人才，提升...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40829424814.htm,1000-9999人,2025-12-16 16:58:58,40000.0,60000.0,12.0
系统架构师,南京,扬州晶明科技有限公司,本科,10年以上,"Java,C语言,C#,嵌入式技术,平台架构,大数据架构",30000-50000,【工作内容】- 负责公司整体系统架构设计与优化，提升系统稳定性与可扩展性；- 参与需求分析与技术方案制定，推动项目高效落地；- 与开发团队紧密协作，指导技术实现，确保系统高质量交付；- 持续关注行业技术动态，推动技术创新与应用。【任职要求】- 熟悉主流系统架构设计方法，具备良好的逻辑思维与问题解决能力；- 熟练掌握至少一种编程语言（如C#、C++等）和Web开发框架，有丰富的后端开发经验；- 具备...,仪器仪表制造,http://jobs.zhaopin.com/CC635872520J40762005716.htm,20-99人,2026-01-07 15:48:53,30000.0,50000.0,13.0
大模型平台专家/智能体专家,南京,亚信科技(中国)有限公司,硕士,5-10年,"NLP,大模型,AIGC",30000-50000,岗位职责：1、技术前瞻与引入： 主导大模型与智能体领域前沿技术的调研、评估与引入，持续驱动系统架构演进与核心技术指标的优化。2、系统架构设计： 负责基于大语言模型和智能体的下一代平台、工具及核心应用的架构设计与技术选型，主导模块级与系统级的蓝图规划。3、模型优化与调优： 负责大模型与智能体产品在具体业务场景中的微调与性能优化，通过指令微调、提示工程、RAG等技术，显著提升模型在垂直领域的任务表现。...,通信/网络设备,http://jobs.zhaopin.com/CC139131340J40813833911.htm,10000人以上,2026-01-07 01:31:12,30000.0,50000.0,13.0
首席架构师,南京,江苏金恒信息科技股份有限公司,硕士,5-10年,大模型,30000-50000,岗位职责：1、战略与规划：①结合钢铁行业特性及公司业务发展，制定并主导公司工业互联网平台和AI平台的长期技术战略、架构蓝图和实施路线图。②深入理解“平台+产品”战略，设计兼具高度灵活性、可扩展性和开放性的平台架构，以快速支撑钢铁等制造业软件产品的开发与迭代。2、平台架构设计：①主导“平台+AI平台”的融合架构设计，将人工智能、机器学习能力作为核心服务（如预测、视觉、决策、大模型、智能体、算力调度等...,IT服务,http://jobs.zhaopin.com/CC201489330J40786114501.htm,500-999人,2026-01-07 01:00:50,30000.0,50000.0,12.0
大数据平台架构师,南京,中储智运,本科,5-10年,,30000-50000,工作职责1、负责参与公司数据中台的统一调度平台、实时数仓平台、离线数仓平台、资产管理平台、OLAP、数据湖等平台建设，为海量数据和业务系统提供可靠的业务能力支撑。2、负责大数据平台的基础工具和平台的研发和维护;3、大数据前沿开发技术的研究和推广。任职资格1、工科、计算机、统计或其它相关专业本科及以上学历，5年以上开发经验，2年以上大数据相关研发和运维经验;2、理解Java运行时工作原理，熟悉jvm...,货运/物流/仓储,http://jobs.zhaopin.com/CC673786820J40817421710.htm,1000-9999人,2026-01-05 15:42:30,30000.0,50000.0,12.0
