职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
硬件专家-驭新智能底盘（南京）,南京,东风汽车,本科,5-10年,"硬件测试,设计",30000-60000,岗位职责:*本岗位招聘单位为驭新智能底盘系统有限公司。1、负责智能底盘电控系统（制动、转向、域控等）的电子硬件架构、电路设计与全流程开发，主导功能安全导向的硬件方案设计，确保硬件架构符合ASIL D等级要求。2、进行高可靠性、高安全性的电路设计与仿真，将功能安全需求及高等级EMC/EMI要求融入设计。3、主导硬件功能安全分析和EMC风险评估，制定并执行设计规范与测试计划，保证产品通过功能安全认证与...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40836979705.htm,10000人以上,2026-01-06 11:05:40,30000.0,60000.0,12.0
硬件产品GTM总监(J10013),南京,东集技术股份有限公司,本科,10年以上,"售前产品,物联网产品,产品/版本迭代,销售策略,市场推广",25000-50000,岗位职责:1、产品规划和市场策略制定：负责产品的规划、设计、开发与优化工作，根据公司的发展规划和市场策略，制定市场拓展规划，确保产品在目标市场和行业中的持续增长。2、市场需求分析和用户反馈：深入了解市场需求和用户反馈，收集用户反馈，推动产品的持续优化和增长。3、产品生命周期管理：负责产品的全生命周期管理，包括销量预测、产能调控、库存监控等。4、市场推广和销售策略：制定并执行市场推广策略，确保产品在...,物联网,http://jobs.zhaopin.com/CC120918330J40741946606.htm,500-999人,2026-01-09 01:16:17,25000.0,50000.0,12.0
（半导体设备）硬件总监,南京,南京埃米仪器科技有限公司,本科,10年以上,"半导体量测设备,机械、电气、硬件",30000-50000,岗位职责：1. 带领硬件研发技术团队，包括电气、硬件、机械等职能，负责半导体量测设备技术路线规划，领导硬件部件关键技术开发，开展先进技术研究和开发，引导产品持续发展。2、完成新产品的构思、设计、实物生产、测试验证、过程问题整改等；3、完成订单需求评审，对订单设计资料进行审核把关；4、负责标准制定及维护，建立并改善研发流程；5、上级部门领导安排的其他工作事项任职资格：1、统招硕士及以上学历，5年以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1461138680J40744409902.htm,20-99人,2025-05-27 10:36:38,30000.0,50000.0,14.0
测试与安全工程师,南京,江苏零浩网络科技有限公司,本科,经验不限,"自动化测试,安全测试",30000-45000,（1）工作职责根据无人驾驶系统的功能、逻辑和安全需求，编写测试案例；按照测试方案与测试案例执行实车或仿真测试并推动问题闭环；严格遵循无人驾驶系统的安全SOP确保测试及运营过程的安全合规；对测试过程与执行结果进行归档；与研发、产品、安全运营团队紧密合作，支持测试需求澄清、问题定位验证、策略评审等工作。（2）任职要求本科及以上学历，车辆工程、机械工程、自动化、计算机、交通工程等相关专业优先...,互联网,http://jobs.zhaopin.com/CC293273230J40824540609.htm,500-999人,2026-01-04 14:36:09,30000.0,45000.0,12.0
硬件研发总监,南京,上海音特电子有限公司,本科,5-10年,技术支持,25000-45000,岗位职责：1. 根据公司产品规划路线，统筹公司新产品、新技术开发、成果转化工作；2. 对硬件的技术路线（方案）有自己思路见解，并结合市场规划产品发展方向，能够带领初创团队完成从0到1的产业化拓展工作，对拓展结果负责；3. 主导立项产品的项目开发，管理研发团队，推动关键技术攻关，确保研发成果的高质量交付，对研发结果负责；4.收集国内外相关领域政策、行业发展信息，根据公司发展战略制定部门短期、中期技术...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC239732510J40526071004.htm,20-99人,2025-12-17 15:09:43,25000.0,45000.0,12.0
高级硬件工程师,南京,南京英田光学工程股份有限公司,本科,无经验,"高速电路,信号完整性,Candence",40000-45000,岗位职责：1.负责激光通信终端高速硬件原理图与PCB板设计的相关工作；2.终端常用的主芯片主要包括DSP.FPGA.ARM等，以及激光通信环境下的高速器件；3.对目前常用的高速接口器件.高速A/D.高速D/A器件的选型清楚，并完成相应电路设计与制作；4.掌握Xilinx FPGA器件高速接口电路如LVDS.GTY等的使用方法及连接方式，完成与外部接口器件信号完整性的设计；5.对激光通信前端宽带模拟...,仪器仪表制造,http://jobs.zhaopin.com/CC180868110J40030461904.htm,100-299人,2025-11-13 08:48:16,40000.0,45000.0,12.0
高级硬件工程师-汽车行业,南京,苏州莱尔顿企业管理咨询有限公司宿迁分公司,本科,5-10年,"设计,EMC设计,ARM研发,PCB设计",30000-45000,岗位职责：- 与团队密切合作实现控制单元硬件开发。- 主导电机控制器和功率 变换器控制器的模 拟电路应用，特别是高精度、高电压、大电流的测量。- 功率级/功率板设计，电力电子子系统开发，专注于开关电源设计、IGBT 应用和栅极驱动器设计- 全面负责从系统级到硬件实现的模拟电路设计。- 根据功能安全 （ISO26262） 要求设计硬件电路。- 电路仿真、WCA 和功能分析， 热设计、可靠性设计和静态...,人力资源服务,http://jobs.zhaopin.com/CCL1467273690J40806984309.htm,20-99人,2025-11-08 10:13:59,30000.0,45000.0,15.0
高级电力电子/逆变器硬件研发工程师,南京,思源电气,本科,5-10年,"硬件开发,PCB设计,电源系统开发,功率组件开发,逆变器,继电器,变流器,电磁阀",20000-40000,职责描述：1、储能、变流器等产品技术预研、产品开发过程中电力电子拓扑及功率电子需求分析、方案设计及验证，特别是主功率器件选型计算，驱动及电源设计，电和热应力及可靠性设计分析验证等；2、主导单板级方案设计、技术规格分解，原理图和PCB的技术评审工作。指导和帮助工程师解决在项目开发过程中遇到的技术问题。3、协助热仿真工程师完成热仿真；指导结构工程师完成主功率拓扑的结构设计；4、负责主功率器件选型计算技...,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40811330711.htm,1000-9999人,2026-01-11 01:28:06,20000.0,40000.0,16.0
硬件工程师（工作地点北京）,南京,京清数电(北京)技术有限公司,本科,5-10年,"变流器,电力电子",23000-40000,岗位职责：1、负责级联式高压大功率电力电子硬件开发工作；2、功率模块等硬件开发及测试，配合结构、电气工程师，对级联式高压整机的硬件进行开发及测试；3、解决产品开发过程中遇到的技术问题；4、负责技术开发过程中的文档编写及汇总。任职要求：1、电力电子，电气工程，自动控制等相关专业本科及以上学历；2、高压变频器/高压SVG/光伏/储能等相关行业5-10年以上工作经验；3、有高压电力电子变压器、中压SVG...,新能源,http://jobs.zhaopin.com/CCL1379379080J40867811703.htm,100-299人,2026-01-05 18:34:04,23000.0,40000.0,14.0
资深硬件工程师,南京,连云港杰瑞电子有限公司,硕士,5-10年,,20000-40000,岗位职责：1、负责硬件电路设计与开发，包括信号采集、处理和输出模块；2、能够独立完成元器件选型、原理图设计、PCB布局及调试工作；3、进行硬件电路的性能优化，确保产品的精度、稳定性和可靠性；4、编写技术文档，包括设计说明、测试报告及相关规范；5、与软件团队协作，实现硬件与嵌入式系统的集成；6、参与产品测试、验证及生产支持，解决现场问题。任职要求：1、电子信息、电力电子、自动化等相关专业，硕士及以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC272132510J40883118204.htm,500-999人,2026-01-04 14:40:24,20000.0,40000.0,14.0
