职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
中高级后端开发工程师,深圳,外企德科数字技术有限公司,本科,经验不限,,20000-40000,【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/您好，现在是在看Java开发的岗位嘛/GO等其中一种编程语言，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；【岗位职责】在这里，你将从事IT应用层软件、分布...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40733237105.htm,10000人以上,2025-12-18 15:28:27,20000.0,40000.0,16.0
前端-大厂-五险一金全额缴纳,深圳,外企德科,本科,3-5年,"React,Node.js",15000-30000,1、负责国际站Web前端开发工作，参与关键模块的设计与实现，提升用户体验和交互效果。2、主导技术难题的解决，进行性能优化，确保页面加载速度。3、与产品、设计和后端团队紧密协作，推动项目进度，保证产品质量。4、参与技术架构和组件库的优化，提升开发效率和代码复用性。5、保持技术匠心，推动前端技术栈的持续升级。6、关注前端技术发展，引入并实践新技术。 岗位要求： 1、计算机科学或相关专业本科及以上学历，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40826607905.htm,1000-9999人,2026-01-11 00:22:41,15000.0,30000.0,13.0
全英后端开发,深圳,博彦科技,本科,3-5年,"后端开发,中级软件工程师,JS,英文,CET6",16000-30000,1、带领团队使用 Node.js 和 Java 进行服务器端应用程序的开发与维护。 2、设计并实现强大的 RESTful API，以支持前端功能。 3、与前端开发人员协作，将面向用户的元素与服务器端逻辑进行集成。 4、对应用程序进行优化，以实现最高的运行速度和可扩展性。 5、确保应用程序的安全性和数据保护。 6、对应用程序中出现的复杂问题进行故障排查和调试。 7、参与架构决策和技术战略规划。 8、...,IT服务,http://jobs.zhaopin.com/CC000163970J40862854303.htm,10000人以上,2025-12-13 01:07:44,16000.0,30000.0,12.0
js前端开发工程师,深圳,外企德科数字技术有限公司,本科,经验不限,"CSS,Vue,React,Node.js,Echarts,WebGL",18000-35000,核心项目开发Java/python/JS/C++/测试，均有岗位在招聘【福利待遇】1、薪资open+14-16薪2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销3、上下班有班车，园区有饭堂、免费健身房4、资深导师一对一带教【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历，专业优秀者可放宽；2、热爱编程，基础扎实，熟悉掌握 测试/Java/python/JS/C++编程语言...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40833133405.htm,10000人以上,2025-12-27 01:13:56,18000.0,35000.0,16.0
前端开发工程师,深圳,安徽星丛云创科技有限公司,本科,5-10年,"CSS,JavaScript,HTML5,Vue,React,Angular,Node.js,ERP项目,AI AGENT,SAAS,TO B",15000-30000,岗位职责1.负责企业级ToB业务平台的前端架构设计与核心功能开发，构建高可用、高性能的前端应用，支撑复杂业务场景的高效运转；2.参与产品需求分析与技术方案设计，结合ToB用户使用习惯，优化前端交互体验，提升平台操作效率与易用性；3.主导前端技术栈选型与工程化体系建设，制定前端开发规范与最佳实践，提升团队协作效率与代码质量；4.负责前端性能优化与兼容性处理，解决复杂业务场景下的前端技术难题，保障大规...,学术/科研,http://jobs.zhaopin.com/CCL1471597740J40828106813.htm,20-99人,2025-09-23 16:44:07,15000.0,30000.0,12.0
程序分析员,深圳,深圳瑞柏科技有限公司,本科,3-5年,"架构师,无服务器及容器化架构实战经验,系统设计与开发,SPRING BOOT,前端框架技术,AWS",15000-25000,职位描述：• 协同开发团队进行支付网关及终端管理系统的设计与研发• 承担技术驱动角色，推进系统架构优化与技术创新• 参与系统功能增强、新模块开发及性能调优，支持业务新需求落地任职要求：• 计算机科学或相关信息技术专业本科及以上学历• 3年以上基于AWS或云环境的系统设计与开发经验• 具备无服务器及容器化架构实战经验（如Lambda、API Gateway、ECS、ECR）• 熟练掌握Spring、...,互联网,http://jobs.zhaopin.com/CC138224810J40785812416.htm,100-299人,2026-01-11 01:42:51,15000.0,25000.0,12.0
web前端开发工程师,深圳,外企德科数字技术有限公司,本科,经验不限,"五险一金,Vue,jQuery,React Native,鸿蒙项目,Node.js,Echarts,WebGL,CSS,JavaScript,TypeScript",15000-30000,只要会写代码都可以，不限制代码语言，但是要求是25年本科或之前已经毕业，不限经验。 岗位内容：1. 负责开发和维护前端系统和模块，确保其运行稳定可靠 2. 编写高效、清晰、易于维护的代码 3. 协调需求，与其他团队成员进行有效沟通和协作 任职要求： 1. 熟练掌握HTML、CSS和JavaScript，熟悉主流前端框架 2. 具备扎实的编程基础，良好的代码风格，注重代码品质 3. 擅长和团队合作，...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40816082005.htm,10000人以上,2026-01-11 00:25:41,15000.0,30000.0,12.0
高级后端开发工程师,深圳,广州野马科技有限公司,本科,5-10年,"ＪＡＶＡ,ＭＹＳＱＬ,Redis,MongoDB,微服务架构,Java,SQL",15000-25000,【职责描述】1、主导低空物流调度中台的高并发、高可用、高性能架构设计与核心开发，支撑“美团/饿了么订单 → 无人机 → 智能货柜”全链路；2、深度对接无人机中控系统，实现：①任务下发（起飞指令、目标货柜）②实时状态同步（起飞、飞行中、投递成功/失败）③异常告警回传（如无人机返航、电量不足）3、对接美团、饿了么等第三方平台 API，实现订单智能分流与异常兜底机制；4、通过 HTTP/Webhook/...,搬家/生活配送,http://jobs.zhaopin.com/CC567850630J40826952510.htm,1000-9999人,2026-01-11 01:25:51,15000.0,25000.0,12.0
程序研究员,深圳,深圳瑞柏科技有限公司,本科,3-5年,"架构师,系统设计与开发,无服务器及容器化架构,SPRING BOOT,前端框架技术,CI/CD流程,软件工程师",15000-25000,职位描述：• 协同开发团队进行支付网关及终端管理系统的设计与研发• 承担技术驱动角色，推进系统架构优化与技术创新• 参与系统功能增强、新模块开发及性能调优，支持业务新需求落地任职要求：• 计算机科学或相关信息技术专业本科及以上学历• 3年以上基于AWS或云环境的系统设计与开发经验• 具备无服务器及容器化架构实战经验（如Lambda、API Gateway、ECS、ECR）• 熟练掌握Spring、...,互联网,http://jobs.zhaopin.com/CC138224810J40785815916.htm,100-299人,2026-01-09 01:46:33,15000.0,25000.0,12.0
后端工程师,深圳,深圳市曦嘉医疗科技有限责任公司,本科,3-5年,"MongoDB,GITHUB/GITLAB,RESTFUL API",15000-25000,特别提示：1、具体专精语言要求不高，JAVA一般不考虑；2. Github/gitlab必须，MongoDB必须，API（REST）必须；岗位职责（Key Responsibilities）1、设计、开发和维护高可用、高性能的 REST API 后端服务。2、使用 Node.js（TypeScript）+ Express（tsoa） 实现 API 服务与业务逻辑。3、与前端、数据处理 Pipeli...,医疗设备/器械,http://jobs.zhaopin.com/CCL1281153370J40811091601.htm,20-99人,2026-01-05 01:01:51,15000.0,25000.0,12.0
