职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级算法专家,深圳,牧原股份,硕士,5-10年,"机器学习,深度学习,大模型算法,Python,C++",80000-120000,岗位职责：1、核心算法研发【1】主导机器学习/深度学习算法在业务场景的端到端落地（如推荐系统、CV/NLP、时序预测、运筹优化等）。【2】设计高鲁棒性算法，解决数据稀疏（如冷启动）、噪声（如工业传感器数据）等实际问题。【3】探索前沿技术（如大模型蒸馏、多模态融合）并推动业务适配，平衡创新性与工程成本。2、系统工程化【1】构建高性能推理框架，优化算法在高并发/低延迟场景的表现（如实时风控、自动驾驶决...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40773283711.htm,10000人以上,2025-08-20 11:38:01,80000.0,120000.0,12.0
全栈工程师【福利优秀、行业top、深圳、厦门】,深圳,南方新华,硕士,1-3年,"后端开发,Python,GoLang,MySQL,VIBE CODING,代码智能体",50000-100000,职位描述我们正在招募全栈开发工程师，你将成为全栈技术的开拓者——不仅能体验top的 AI Agent 的研发实践，还能和算法、产品团队一起，创造下一代智能应用生态。1. 参与核心 vibe coding 产品的全栈研发，从需求分析、架构设计到前后端实现与上线全流程；2. 负责 Web 应用的前端开发与优化，提升用户体验与性能表现；3. 参与后端架构设计与实现，确保系统的高性能、可扩展与安全性；4....,人力资源服务,http://jobs.zhaopin.com/CC346219280J40807153011.htm,100-299人,2025-11-20 10:53:58,50000.0,100000.0,12.0
软件架构师,深圳,中广核智能科技(深圳)有限责任公司,本科,10年以上,"Java,Python,Go,微服务架构,Spring,Django,云计算架构,React",60000-90000,岗位职责：架构规划与设计：负责公司软件系统的整体架构规划和设计，包括系统模块划分、技术选型、接口设计、数据流设计等；负责制定符合公司业务战略和技术发展趋势的软件系统架构方案，确保系统高效、稳定、安全运行；根据业务需求，从技术角度提出可行性建议，规划软件技术架构的演进路线，引领团队实现技术创新与能力提升。技术标准与规范：负责制定软件开发过程中的技术规范、设计原则和编码标准；负责建立架构相关的文档体系...,互联网,http://jobs.zhaopin.com/CCL1318355140J40819498703.htm,500-999人,2026-01-11 01:04:41,60000.0,90000.0,12.0
图像算法工程师--深圳 (MJ015096),深圳,牧原股份,本科,1-3年,"TensorFlow,PyTorch,Python,C++,Caffe",40000-80000,岗位职责：1、负责基于深度学习的计算机视觉算法开发和优化，涉及到的领域包括但不限于：目标检测、目标跟踪、行为识别、图像分类、关键点检测等；2、优化模型和算法在数据集上的表现，持续提升产品的算法落地效果；3、负责常用工具库的封装，训练集、测试集的持续维护等；4、负责算法开发质量保障，提升团队的算法研发质量和效率。任职要求：1、本科及以上学历，计算机科学、应用数学、模式识别等相关专业，2年以上算法工作...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40677562611.htm,10000人以上,2026-01-10 09:59:01,40000.0,80000.0,12.0
高级广告算法工程师（广告推荐算法）,深圳,道一(天津)企业管理咨询有限公司,本科,5-10年,"Java,广告算法,推荐算法,TensorFlow,PyTorch,Hadoop,Python,C++",40000-80000,工作职责1. 负责广告排序算法、oCPX 产品能力建设及流量效率挖掘与提升；2. 参与广告投放核心算法的研发与优化，包括 CTR/CVR 预估、RTA、流量预估等；3. 跟踪计算广告领域前沿技术，结合多模态学习（文本、图像、音视频等）优化广告推荐机制，挖掘用户兴趣与意图，提升广告推荐精准度；4. 通过数据驱动的方式持续迭代模型和策略，提升广告系统整体变现效率和用户体验。任职要求﻿1. 学历背景：计...,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40866794512.htm,100-299人,2026-01-09 01:34:31,40000.0,80000.0,13.0
Agent 算法工程师（通用）,深圳,南方新华,本科,1-3年,"强化学习 ,大模型算法,GPT,自然语言处理,PyTorch,TensorFlow,Python,AGENT,多智能体",40000-80000,职位描述1. 负责多智能体 vibe coding 产品 https://mgx.dev的效果优化工作，聚焦编程场景，全面提升 Agent 的网页开发能力，使 Agent 能根据用户一句话，产出生产级应用2. 通过多智能体架构的设计、开发、优化，提升 Agent 在规划、工具使用、指令遵循、需求理解、多 Agent 协同方面的能力；构建相关 benchmark 科学评估各方面性能3. 落地前沿技术...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40815434011.htm,100-299人,2025-12-18 14:37:11,40000.0,80000.0,12.0
大模型算法工程师（研发总监）,深圳,深圳市先创数字技术有限公司,硕士,5-10年,"大模型算法,深度学习,GPT,Transformer,导航算法,搜索/推荐算法,PyTorch,TensorFlow,Python,云原生云架构,大模型",40000-80000,学历要求：计算机科学、人工智能或相关领域的硕士及以上学历，博士学历优先。工作经验：需要具备5年及以上的大模型研发或人工智能相关领域的工作经验，在大规模分布式训练、深度学习、NLP/NLU领域算法有丰富的经验和架构能力。专业技能：掌握业界领先大模型的基本原理和训练以及微调方法，如GPT系列、LLaMA、ChatGLM等的RLHF三阶段训练及LoRA微调等。熟练掌握TensorFlow、PyTorch...,计算机软件,http://jobs.zhaopin.com/CC130455220J40615624007.htm,100-299人,2025-06-27 13:55:24,40000.0,80000.0,12.0
"云计算工程师 高薪5~7w,base阿布扎比",深圳,软通动力信息技术(集团)股份有限公司,本科,3-5年,"OPEN STACK,云计算运维,云计算开发,云计算架构,MySQL,Java,Python,Shell",50000-75000,岗位职责：1、 负责华为云现网运维体系建设，进行高可用性架构设计，构建自动化恢复能力建设，看护服务SLA2、 负责华为云运维指标体系建设，完善客户业务视角的监控能力，持续提升问题发现和定界能力业务技能要求：1、 具有云服务设计、开发、运维经验2、 沟通能力强，逻辑思维能力强3、 具备运维能力设计和看护的优秀经验4、 具有大客户保障优秀经验5、 本科及以上学历，有3年以上运维经验，良好的英文水平，可...,互联网,http://jobs.zhaopin.com/CC000544460J40779170016.htm,10000人以上,2025-12-06 13:35:46,50000.0,75000.0,12.0
嵌入式软件工程师,深圳,华为技术有限公司,本科,5-10年,"DSP,C语言,C++,Python",,负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）与系统解决方案的功率控制软件和监控控制软件的开发交付工作：1、负责或参与光伏功率控制/监控软件等的开发交付工作，含功率拓扑控制、并网技术、通信交互等；2、负责或参与光伏领域算法与AI特性的研发、优化及工程落地，包括运筹优化、时序预测、光伏功率器件故障诊断等。3、负责或参与关键控制技术及应用的技术突破，通过系统设计、控制算法、仿真等创新技术点构建...,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40833758614.htm,10000人以上,2026-01-05 01:38:43,,,
ASIC设计工程师,深圳,深圳中安辰鸿技术有限公司,本科,5-10年,"ASIC,电路设计,数字电路设计,Perl,Python",35000-70000,岗位职责： 1、按流程、规范完成模块的分析、设计、实现等工作 2、按文档质量要求完成模块的文档编写和维护，包括逻辑设计说明书、详细设计说明书、代码检查报告、用户使用手册等 3、能够与验证人员沟通协调解决模块设计中遇到的问题，同时，能对模块进行简单验证 4、完成子系统项目计划的制订 任职要求： 1、具有扎实的数字电路设计、低功耗设计、性能优化等基础知识 2、精通verilog等数字电路硬件描述设计语...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1391680960J40261796916.htm,20-99人,2024-05-30 00:54:55,35000.0,70000.0,16.0
软件和算法应用工程师（SLAM方向）,深圳,伟视登企业管理咨询(上海)有限公司,本科,3-5年,"机器人算法,导航算法,定位算法,导航定位,传感器融合,C#,C/C++,Python,智能机器人",40000-65000,学历：本科及以上 年纪35岁以下base 地南京/深圳/北京工作职责1、负责基于双目相机、轮速计/编码器、IMU等多传感器融合的视觉SLAM算法的开发和优化；2、基于开源SLAM框架，在嵌入式平台上优化算法在室内不同场景下（例如若纹理、光照变化、暗光）的定位精度和效率。任职要求1、计算机视觉、自动化、数学等相关领域专业，本科及以上学历；2、具备良好的工程能力，熟练使用C++开发嵌入式Linux应用...,培训/辅导服务,http://jobs.zhaopin.com/CC598580720J40976338104.htm,20人以下,2025-12-25 13:58:48,40000.0,65000.0,12.0
