职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
音箱类产品研发主管,深圳,美律电子(深圳)有限公司,本科,10年以上,,240000-250000,汇报对象：研发总监 / 技术负责人下属团队：结构工程师、声学工程师、硬件工程师、软件工程师、测试工程师等工作地点：深圳核心目标：聚焦国际主流音箱品牌客户 ODM 合作需求，主导音箱产品全生命周期研发，搭建高效研发体系与客户对接机制，交付符合客户标准、市场需求的高竞争力音频 ODM 产品，保障客户合作满意度与长期合作粘性。二、岗位职责（一）技术研发与创新管理主导音箱产品技术规划与路线图制定，结合 O...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC149453810J40839960913.htm,1000-9999人,2025-11-07 14:31:44,240000.0,250000.0,25.0
supercell产品《皇室战争》-资深特效设计师,深圳,腾讯瑞德铭(重庆)科技发展有限公司深圳分公司,本科,3-5年,2D特效,80000-120000,岗位职责：1.负责皇室战争（Clash Royale）游戏中各类特效的设计与制作，包括但不限于角色技能特效、场景特效、UI特效等； 2.根据商业化需求，独立完成特效从概念设计到最终落地的全流程工作； 3.与美术团队以及游戏策划、运营、程序紧密协作，确保特效风格与游戏整体视觉风格高度统一，平衡在移动设备上的视觉效果和性能表现； 4.有全流程落地经验，跟进供应商进度并指导和审核供应商工作及供应商搭建；...,互联网,http://jobs.zhaopin.com/CCL1318355140J40857321903.htm,500-999人,2026-01-05 01:06:50,80000.0,120000.0,12.0
无人机-高级软件产品经理,深圳,北京三快在线科技有限公司,本科,5-10年,,,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068309.htm,10000人以上,2026-01-11 08:30:13,,,
金融贷款产品经理,深圳,深圳市金裕瑞辰信息咨询有限公司,大专,经验不限,金融投资组合,50000-100000,咱们公司正在招销售经理20名。咱们是深圳最大的金融居间服务公司，主要是帮企业或个人解决融资难、融资贵的问题。工作时间：周一至周五，双休，正常国家节假日。经理:无责任底薪，社保，分红，提成最高个人拿72%，公司拿28%。公司注重能力，注重学习力，无经验者有导师培训，团队经理带，教你如何拓客赚更多的钱。我们是集团2021、2022年，2023年，2024年，2025年至今销冠团队，地址:福田区下沙滨河...,投资/融资,http://jobs.zhaopin.com/CCL1493928200J40825759608.htm,100-299人,2025-07-23 14:30:50,50000.0,100000.0,12.0
信创产品规划设计岗,深圳,信创产品规划设计岗,硕士,5-10年,信创产品,60000-90000,1、根据市场需求和信创技术发展趋势、行业竞争分析情况开展信创服务能力规划和产品设计等工作，负责产品相关文档的输出；2、负责跟踪并参与信创领域相关规范标准的制定、并根据客户需求主导地方/企业信创规范标准制定；3、负责信创关键技术研究以及相关专利/论文的编写和发表，并负责关键技术的产品转化工作；4、负责IT新技术跟踪以及信创产业市场研究等工作，定期输出相关研究报告；5、负责行业信创技术解决方案设计工作...,互联网,http://jobs.zhaopin.com/CCL1318355140J40776067803.htm,500-999人,2026-01-06 01:04:37,60000.0,90000.0,12.0
网络产品（算力中心 Remote）,深圳,四川达麦企业管理有限公司,本科,5-10年,"算力集装箱内部服务器的网络配置,服务器集群网络配置",50000-80000,岗位职责1、负责算力产品局域网硬件设计，搭建分布式部署局域网架构，保障多节点网络稳定。2、主导分布式网络组网落地，重点推进 VPN、SD-WAN 等技术应用，解决跨区域 / 广域网算力节点联通问题。3、设计 5G+Starlink 备份网络方案，覆盖偏远区域算力节点，确保全球部署的网络连通性与高可用。4、主导网络设备选型、采购与测试，建立独立网络供应链体系，保障硬件适配算力产品需求。5、协同 网络...,企业服务,http://jobs.zhaopin.com/CCL1239944790J40909244108.htm,500-999人,2026-01-08 09:40:48,50000.0,80000.0,12.0
物流消费者体验运营-TikTok Shop,深圳,字节跳动,本科,5-10年,,40000-80000,岗位职责：1、对接美国区域国际电商物流业务，深入了解消费者的物流体验痛点，建立以优化物流体验为核心的解决方案，协同运营、产品和相关治理团队，推动方案的落地，并持续推动相关业务目标的达成；2、深入了解海外市场和业务阶段，协同业务和合作伙伴，不断创新业务模式和产品方案，通过提升物流能力，提升用户转化、以及提升消费者的物流体验；3、深入分析相关数据，持续挖掘消费者体验痛点和机会，通过数据拆解、指标提升，...,互联网,http://jobs.zhaopin.com/CC469217510J40785857501.htm,10000人以上,2025-12-29 14:45:48,40000.0,80000.0,12.0
产品专家（家庭业务/电视端）,深圳,某大厂旗下控股子公司,本科,10年以上,"软件产品,智慧服务,智慧家庭,家庭电视产品,TV端,用户体验,产品专家",55000-90000,工作职责：1、负责互联网电视业务的产品规划、设计、实施及运营优化工作，确保产品满足市场需求和业务发展目标，同时结合运营服务，对现有产品模式进行拓展和突破。2、深入挖掘用户需求，结合互联网电视运营特点，持续优化产品设计，提升用户体验，推动产品和业务的共同成长。3、独立完成市场调研、竞品分析、用户需求分析等工作，制定产品策略，并输出详细的产品规划和原型设计，以实现产品模式的创新和突破。4、负责制定产品...,互联网,http://jobs.zhaopin.com/CCL1318355140J40670685603.htm,500-999人,2026-01-04 01:04:34,55000.0,90000.0,15.0
产品总监,深圳,深圳市二一教育科技有限责任公司,本科,3-5年,"商业产品,在线教育产品,策略产品,用户研究",50000-80000,★ 二一教育——03年建立网站，06年公司成立，我们享有20年的运营成果！★ 二一官网：http://www.21cnjy.com/★ 二一教育继续秉承“教育为本、创新为优，让简单成为一种创新”的企业经营理念，以“专心、专业、专注”的服务精神，利用现代信息技术和丰富的数字资源，打造成为中小学教育信息化解决方案卓越服务商!★期待您的加入，这将是一段精彩的人生！ 【岗位职责】 1、制定产品线战略规划，...,互联网,http://jobs.zhaopin.com/CC257529910J40418913009.htm,100-299人,2025-12-18 08:41:34,50000.0,80000.0,12.0
产品总监,深圳,陕西凯华房地产开发有限公司,本科,5-10年,"无人机,高功率电源,工业机器人",50000-80000,岗位职责：负责连续/脉冲/切割头/手持激光焊接机等等任一产品系列的规划、设计、开发及上市，对产品开发的最终结果负责。任职条件：1、有工业或消费类产品开发成功经验(从产品规划到上市的全过程，并在市场上取得成功)2、组织协调、推动及问题解决能力强3、有较强的成就动机，热衷于产品开发、设计及迭代工作4、对市场需求的洞察和判断能力5、本科及以上学历，本科及以上学历。6、负责系列产品的规划、设计、开发及上市...,房地产开发,http://jobs.zhaopin.com/CC393126610J40741557306.htm,20-99人,2025-12-16 00:00:02,50000.0,80000.0,12.0
