职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
无人机-高级软件产品经理,深圳,北京三快在线科技有限公司,本科,5-10年,,,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068309.htm,10000人以上,2026-01-11 08:30:13,,,
金融贷款产品经理,深圳,深圳市金裕瑞辰信息咨询有限公司,大专,经验不限,金融投资组合,50000-100000,咱们公司正在招销售经理20名。咱们是深圳最大的金融居间服务公司，主要是帮企业或个人解决融资难、融资贵的问题。工作时间：周一至周五，双休，正常国家节假日。经理:无责任底薪，社保，分红，提成最高个人拿72%，公司拿28%。公司注重能力，注重学习力，无经验者有导师培训，团队经理带，教你如何拓客赚更多的钱。我们是集团2021、2022年，2023年，2024年，2025年至今销冠团队，地址:福田区下沙滨河...,投资/融资,http://jobs.zhaopin.com/CCL1493928200J40825759608.htm,100-299人,2025-07-23 14:30:50,50000.0,100000.0,12.0
通用产品线负责人（上市公司机床行业）,深圳,深圳市创世纪机械有限公司,本科,5-10年,,50000-100000,任职要求：1、本科及以上学历；2、15年以上机床行业、工程机械等行业工作经验，具有国内外机床行业管理经验，熟悉通用行业机床应用，对该领域的上下游有深刻的认识和理解；3、需要能力与人品俱佳，工作富有激情；有成熟的管理思维，具备经营管理能力；工作严谨、肯钻研、爱思考、有创新意识；具备商业嗅觉及推理能力。岗位职责：1、统筹通用产品线短、中、长期战略规划，制定有效的营销及产品策略，确保营销年度销售任务的完...,通用设备制造,http://jobs.zhaopin.com/CC231175610J40764245507.htm,1000-9999人,2025-06-17 11:05:57,50000.0,100000.0,13.0
信创产品规划设计岗,深圳,信创产品规划设计岗,硕士,5-10年,信创产品,60000-90000,1、根据市场需求和信创技术发展趋势、行业竞争分析情况开展信创服务能力规划和产品设计等工作，负责产品相关文档的输出；2、负责跟踪并参与信创领域相关规范标准的制定、并根据客户需求主导地方/企业信创规范标准制定；3、负责信创关键技术研究以及相关专利/论文的编写和发表，并负责关键技术的产品转化工作；4、负责IT新技术跟踪以及信创产业市场研究等工作，定期输出相关研究报告；5、负责行业信创技术解决方案设计工作...,互联网,http://jobs.zhaopin.com/CCL1318355140J40776067803.htm,500-999人,2026-01-06 01:04:37,60000.0,90000.0,12.0
产品总监,深圳,深圳市二一教育科技有限责任公司,本科,3-5年,"商业产品,在线教育产品,策略产品,用户研究",50000-80000,★ 二一教育——03年建立网站，06年公司成立，我们享有20年的运营成果！★ 二一官网：http://www.21cnjy.com/★ 二一教育继续秉承“教育为本、创新为优，让简单成为一种创新”的企业经营理念，以“专心、专业、专注”的服务精神，利用现代信息技术和丰富的数字资源，打造成为中小学教育信息化解决方案卓越服务商!★期待您的加入，这将是一段精彩的人生！ 【岗位职责】 1、制定产品线战略规划，...,互联网,http://jobs.zhaopin.com/CC257529910J40418913009.htm,100-299人,2025-12-18 08:41:34,50000.0,80000.0,12.0
产品总监,深圳,陕西凯华房地产开发有限公司,本科,5-10年,"无人机,高功率电源,工业机器人",50000-80000,岗位职责：负责连续/脉冲/切割头/手持激光焊接机等等任一产品系列的规划、设计、开发及上市，对产品开发的最终结果负责。任职条件：1、有工业或消费类产品开发成功经验(从产品规划到上市的全过程，并在市场上取得成功)2、组织协调、推动及问题解决能力强3、有较强的成就动机，热衷于产品开发、设计及迭代工作4、对市场需求的洞察和判断能力5、本科及以上学历，本科及以上学历。6、负责系列产品的规划、设计、开发及上市...,房地产开发,http://jobs.zhaopin.com/CC393126610J40741557306.htm,20-99人,2025-12-16 00:00:02,50000.0,80000.0,12.0
产品专家（家庭业务/电视端）,深圳,某大厂旗下控股子公司,本科,10年以上,"软件产品,智慧服务,智慧家庭,家庭电视产品,TV端,用户体验,产品专家",55000-90000,工作职责：1、负责互联网电视业务的产品规划、设计、实施及运营优化工作，确保产品满足市场需求和业务发展目标，同时结合运营服务，对现有产品模式进行拓展和突破。2、深入挖掘用户需求，结合互联网电视运营特点，持续优化产品设计，提升用户体验，推动产品和业务的共同成长。3、独立完成市场调研、竞品分析、用户需求分析等工作，制定产品策略，并输出详细的产品规划和原型设计，以实现产品模式的创新和突破。4、负责制定产品...,互联网,http://jobs.zhaopin.com/CCL1318355140J40670685603.htm,500-999人,2026-01-04 01:04:34,55000.0,90000.0,15.0
产品研发总监,深圳,深圳市华诚达精密工业有限公司,本科,10年以上,"结构件,硬件产品",60000-80000,岗位职责：（零部件产品开发）1、制定和执行研发战略，确保研发团队与公司整体战略目标一致。2、负责研发团队的招聘、培训和管理，建立高效、协作的团队文化。3、负责新产品的研发、技术预研和专利申请工作，确保产品具有竞争优势。4、监控研发项目的进度和质量，确保项目按时交付并满足客户需求。5、负责与内外部合作伙伴的技术交流与合作，拓展公司的技术生态圈。6、领导跨部门协作，确保研发团队与其他部门（如市场营销、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC396412810J40732424412.htm,1000-9999人,2025-11-10 11:53:09,60000.0,80000.0,12.0
跨境产品总监,深圳,深圳市务完物供应链有限公司,本科,10年以上,,50000-80000,一、岗位职责：核心一：擅长家具类目的市场洞察和分析，有深度洞察的逻辑和经验；核心二：擅长大件家具类目用户分析、用户画像，消费者深度消费需求挖掘；核心三：擅长年度产品规划，产品线规划；有自己一套详细的规划逻辑；核心四：擅长团队管理，能在目标管理、绩效管理、带培训管理有自己方法；1、负责统筹公司跨境平台选品，扩充公司产品线规划，熟悉大件家居家具，擅长做产品规划/产品体系搭建；2、熟悉不同产品在美国的知...,电子商务,http://jobs.zhaopin.com/CCL1486478610J40780175114.htm,100-299人,2025-07-18 18:44:02,50000.0,80000.0,16.0
产品总监,深圳,深圳市共济科技股份有限公司,本科,经验不限,B端,45000-75000,岗位职责1、 为产品竞争力负责，为产品的商业成功负责；2、 按照需求管理、产品规划、产品立项流程，协调公司前后端合作，完成高质量、有竞争力的产品规划和产品立项；3、 支撑一线销售与售前组织，做好解决方案和技术澄清的工作；4、 负责产品经理的能力建设，通过选拔培养专业产品经理；5、 执行并持续优化相关组织运作涉及的流程。任职要求：1、 具有三年以上，10人以上产品团队的管理经验；2、 有成功的从0到...,计算机软件,http://jobs.zhaopin.com/CC145235980J40835508503.htm,500-999人,2025-09-08 16:42:37,45000.0,75000.0,12.0
