职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
工艺专家（非同行勿扰）,深圳,深圳市新旗滨科技有限公司,本科,10年以上,"玻璃浮法工艺,显示玻璃工艺（融化、成型、退火）",50000-80000,一、岗位主要职责: 1.负责电子玻璃工艺运行管理制度的编制与修订；2.参与电子玻璃产品质量标准的编制及修订，辅助完善客诉市场走访需求；3.督查电子玻璃公司质量管理体系的建立、健全和标准化管理；4.组织电子玻璃工艺操作标准化相关工作的实施、检查、评估与推广；5.负责电子玻璃生产工艺运行质量的跟踪、检查与评估；6.统筹电子玻璃生产工艺技术难题和产品质量弱项的攻关、优化、固化及推广；7.负责电子玻璃工艺...,非金属矿物制品业,http://jobs.zhaopin.com/CC454284030J40864872812.htm,10000人以上,2025-12-30 17:50:13,50000.0,80000.0,12.0
半导体制造业工艺设备工程部负责人,深圳,软通动力信息技术(集团)股份有限公司,本科,10年以上,"电子陶瓷,工艺,设备管理",45000-80000,工程部负责人工艺管理，设备管理，工程管理。芯片散热解决方案行业。1. 本科及以上学历，机械、自动化、工业工程、材料等工科相关专业。2. 7年以上制造业工程管理经验，有同时管理工艺和设备团队的经验者优先。3. 精通生产工艺与流程，熟悉生产设备原理与维护管理，了解精益生产理念。4. 具备出色的团队领导力、沟通协调能力和复杂问题解决能力。5. 拥有良好的项目管理技能，能有效控制预算、进度和质量。岗位职责...,互联网,http://jobs.zhaopin.com/CC000544460J40775732516.htm,10000人以上,2025-11-23 19:08:23,45000.0,80000.0,12.0
YE科专家,深圳,深圳市鹏芯微集成电路制造有限公司,本科,10年以上,"半导体,芯片,YE",50000-70000,【岗位职责】1、 建立和优化缺陷检测程式和抽样检测率，诊治疑难问题，提高检测率;2、 建立工艺缺陷表征技术和数据库，以及缺陷数据管理和分析能力， 及时发现产品异常，避免重大产品影响;3、 设计降低缺陷的工程实验，配合技术研发解决系统性缺陷;4、 追踪并监控工艺部门对缺陷事件的解决过程以及结果;5、 分析重要工序缺陷种类， 针对不同缺陷制定不同的标准，确保工艺异常能被迅速发现;6、 与工艺整合和制程...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1349129290J40818718109.htm,1000-9999人,2025-12-11 18:13:34,50000.0,70000.0,15.0
光刻部经理,深圳,华润微电子有限公司,本科,10年以上,"光刻工艺,光刻设备,12吋量产经验,部门管理经验",,岗位职责:1、根据公司目标，制定光刻工艺管理目标和计划，并跟踪完成情况；2、充分掌握产线工艺，解决产线问题，维护产线稳定，降低产品报废率；3、提高设备生产效率，编写及完善工艺标准操作流程，降低defect，改善工艺CP/CPK，提高工程质量；4、合理安排资源，推进并完成新工艺的导入和刻蚀工艺研发工作；5、配合新工艺需求进行新设备的评估及导入验证，并制定新设备的操作流程及工艺相关标准；6、推进成本改...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC433725510J40851728213.htm,10000人以上,2025-12-24 16:41:49,,,
工艺设备工程管理,深圳,软通动力信息技术(集团)股份有限公司,本科,5-10年,"工艺设计,封装工艺,刻蚀工艺,电镀工艺",40000-80000,工程部负责人1. 本科及以上学历，机械、自动化、工业工程、材料等工科相关专业。2. 7年以上制造业工程管理经验，有同时管理工艺和设备团队的经验者优先。3. 精通生产工艺与流程，熟悉生产设备原理与维护管理，了解精益生产理念。4. 具备出色的团队领导力、沟通协调能力和复杂问题解决能力。5. 拥有良好的项目管理技能，能有效控制预算、进度和质量。岗位职责1. 负责工程部（工艺与设备团队）的日常管理、预算控...,互联网,http://jobs.zhaopin.com/CC000544460J40771059816.htm,10000人以上,2025-11-04 11:11:53,40000.0,80000.0,12.0
软件与工艺设计组负责人,深圳,深圳先进光源研究院,硕士,5-10年,,45000-60000,岗位职责:1. 负责软件与工艺设计组的技术研发、团队管理和日常运营；2. 主导科学仪器软件系统的架构设计、开发实施和持续优化；3. 组织开展工艺设计与优化工作，推动研发成果高效产业化；4. 制定和落实软件开发及工艺设计规范，确保项目按期高质量交付；5. 与其他技术组协同，保障软硬件协同开发的有效实施；6. 推动团队技术创新，跟踪前沿技术趋势，提升中心整体技术竞争力。 任职要求:1. 计算机科学、机...,学术/科研,http://jobs.zhaopin.com/CCL1257318640J40656825106.htm,300-499人,2025-12-01 10:17:54,45000.0,60000.0,12.0
招聘电镀工,深圳,深圳清力技术有限公司,硕士,10年以上,"镍金,晶圆电镀,药水开发",30000-60000,岗位职责1.电镀工艺开发与优化“ 负责 MEMS 悬臂梁的电镀工艺开发，包括镍、金、镍钨合金等材料的沉积，精准调控镀层厚度、内应力及微观结构(如晶粒尺寸、致密性)。 设计电镀液配方，优化电流密度、温度、pH 值、添加剂等参数，解决镀层结合差、厚度不均、烧焦、孔内无镀等缺陷。“ 提升悬臂梁电镀的良率与可靠性(如耐腐蚀性、疲劳强主导 DOE 实验设计，疲劳强度)。 协同改进镀后去应力退火工艺，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1218594760J40867029402.htm,100-299人,2025-11-25 14:08:53,30000.0,60000.0,13.0
工程工艺机械经理,深圳,软通动力信息技术(集团)股份有限公司,本科,5-10年,"工艺管理,机械设备管理,电镀,芯片封装",40000-80000,工程部负责人1. 本科及以上学历，机械、自动化、工业工程、材料等工科相关专业。2. 7年以上制造业工程管理经验，有同时管理工艺和设备团队的经验者优先。3. 精通生产工艺与流程，熟悉生产设备原理与维护管理，了解精益生产理念。4. 具备出色的团队领导力、沟通协调能力和复杂问题解决能力。5. 拥有良好的项目管理技能，能有效控制预算、进度和质量。岗位职责1. 负责工程部（工艺与设备团队）的日常管理、预算控...,互联网,http://jobs.zhaopin.com/CC000544460J40771063116.htm,10000人以上,2025-11-04 09:55:10,40000.0,80000.0,12.0
电装工艺组负责人,深圳,深圳先进光源研究院,硕士,5-10年,"电装,工艺",45000-60000,岗位职责:1. 全面负责电装工艺组的技术管理、工艺开发和团队建设；2. 制定并持续优化电气装配工艺流程和标准，确保装配质量与生产效率；3. 组织开发电气系统的设计方案，解决电装过程中出现的技术问题；4. 负责科学仪器电气装配质量控制与技术标准的制定及实施；5. 协调电气设计、研发及其他生产部门，确保技术方案顺利落地和产品稳定运行；6. 负责电气元器件的选型、采购及供应链质量管理。 任职要求:1. ...,学术/科研,http://jobs.zhaopin.com/CCL1257318640J40656834206.htm,300-499人,2025-12-01 10:17:51,45000.0,60000.0,12.0
TD PIE技术专家(J10084),深圳,深圳市鹏新旭技术有限公司,本科,10年以上,"半导体,芯片",30000-60000,岗位职责:1.新产品转移，技术转移管理制度，工艺流程，技术标准，技术规范组织制定；2.建立并监控新产品流片成功，确保适于量产，采用统计制程管理日常监管Key SPC chart，提高电学参数及在线监控参数的综合制程能力；3.发现制造工艺过程的问题，协调各工程部门提出解决方案以确保在线产品的进程；4.创建工艺流程，通过不良解析、工艺优化，对策立项和改善措施实施，提高良品率并及时将验证过的优化工艺及时...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1406263350J40755182407.htm,10000人以上,2025-11-05 09:33:34,30000.0,60000.0,15.0
