职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
客服总监,深圳,深圳市红色健康集团有限公司,本科,5-10年,"投诉客服,网络客服,VIP客服,英语",35000-60000,【基础信息】 职位名称：客服总监岗位名称：客服总监岗位编码：KFZJ001#所属部门：客服中心（或直接隶属于公司高管层）直接上级：客服副总裁（或公司COO/CEO）直接下级：客服经理、客服体系专员（如质量管控、培训、数据）固定工资：根据任职要求条件达标确定19档-24档绩效工资：年度客服中心绩效考核评分制，根据合同约定100%绩效工资/日起-72档福利待遇：五险一金、合同满1年（包含试用期）有资格...,医疗设备/器械,http://jobs.zhaopin.com/CCL1436058140J40778522110.htm,20-99人,2025-12-28 01:28:37,35000.0,60000.0,12.0
电话客服,深圳,深圳深蓝保信息技术有限公司,本科,3-5年,,30000-60000,【岗位亮点】1、公司资源+丰厚待遇，综合待遇30-70K2、公司免费提供大量客户资源3、提供高才优才咨询4、互联网精准获取的优质客户，成交率高；5、公司提供专业培训，线上线下多渠道培训资源；6、产品种类基本覆盖全行业产品，具有市场优势；7、业内top级佣金，丰厚的激励奖金；【岗位职责】1、为客户提供一对一财富规划服务，对客户的需求做出详细分析，为客户提供咨询；2、有较强的目标意识和销售能力，积极完...,新媒体,http://jobs.zhaopin.com/CCL1231938630J40887901102.htm,500-999人,2025-12-24 09:52:32,30000.0,60000.0,12.0
客户服务部经理(深圳)(A220904),深圳,啄木鸟医疗,本科,5-10年,,20000-40000,职位描述：1. 全球售后合规与客户体验管理：制定符合 FDA/CE/MDR 等国际法规的售后流程及多语言文档，进行售后数据分析，推动产品迭代与质量改进，提升客户 NPS；2. 海外服务网络建设与渠道赋能：搭建海外服务体系，进行渠道服务团队培训与认证，完善备件库存管理，推动本地化；3. 售后团队管理与能力：管理售后团队，优化服务流程与响应效率，提升团队专业水平。职位要求：1. 本科以上学历，英语可作...,医疗设备/器械,http://jobs.zhaopin.com/CC141184140J40771301616.htm,500-999人,2025-11-04 16:59:43,20000.0,40000.0,12.0
高端养老项目VIP经理,深圳,泰康人寿保险有限责任公司深圳分公司,大专,经验不限,销售客服,16000-30000,[高端养老社区VIP经理)依托公司在养老大健康产业深耕多年的成果，以高端养老社区实体服务和线下超体活动为基础，面向中高净值客户，为客户进行养老资金规划和养老社区权益对接。根据国家统计局数据，中国已经进入深度老龄化，60以上老年人口占比15%，预计2040年左右达到30%重度老龄化。在长寿时代背景下、在老龄人口数量持续增长和国家战略的推动下，养老行业已然成为朝阳行业，发展潜力巨大。[工作内容:] 1...,证券/期货,http://jobs.zhaopin.com/CC132614450J40532730706.htm,1000-9999人,2026-01-10 01:15:21,16000.0,30000.0,14.0
客服部 数据策略专家,深圳,深圳乐信软件技术有限公司,本科,5-10年,"风控策略,客服策略分析,客服运营",20000-30000,岗位职责1、负责客服部门服务策略的制定与数据分析工作，涵盖业务运营及内部管理方向，建立策略评估与迭代机制，推动服务效能持续提升；2、基于用户服务全链路研究，构建合理的数据指标体系，跟踪核心指标表现，评估服务策略效果，实现数据驱动的服务品质优化与用户体验提升；3、深入理解业务模式及客户诉求，运用多种分析方法（如对比分析、指标分析、漏斗分析等）定位服务短板与客诉根因，结合客户分层制定差异化服务策略与解...,互联网,http://jobs.zhaopin.com/CC542186980J40828553310.htm,1000-9999人,2026-01-05 10:41:44,20000.0,30000.0,15.0
客户服务部经理(A216622),深圳,啄木鸟医疗,本科,5-10年,售后客服,20000-40000,职位描述：1. 全球售后合规与客户体验管理：制定符合 FDA/CE/MDR 等国际法规的售后流程及多语言文档，进行售后数据分析，推动产品迭代与质量改进，提升客户 NPS；2. 海外服务网络建设与渠道赋能：搭建海外服务体系，进行渠道服务团队培训与认证，完善备件库存管理，推动本地化；3. 售后团队管理与能力：管理售后团队，优化服务流程与响应效率，提升团队专业水平。职位要求：1. 本科以上学历，英语可作...,医疗设备/器械,http://jobs.zhaopin.com/CC141184140J40771260616.htm,500-999人,2025-11-04 15:59:27,20000.0,40000.0,12.0
无责6500招续费客服/双休,深圳,深圳市招联人力资源服务有限公司,大专,1-3年,"企业客户,KA大客户,电话销售,理财险/雇主险/团体险,对公客户经理",15000-30000,互联网银行招对公财富规划师 岗位职责:日常负责公司提供一线数据名单电话外呼对有意向的销售行里的保险产品(主营业务:雇责险，消防险，企财险，理财投资规划险等)岗位要求:1.39 岁以下，男女不限，大专及以上学历.2.保险产品 1 年以上销售工作经验，口齿伶俐，普通话标准;3.对电话销售工作有较高的热情，有积极健康和强势的销售心态，具备开拓精神，讲诚信，能抗压;4.熟练使用 office 办公软件。福...,人力资源服务,http://jobs.zhaopin.com/CC536133930J40668343205.htm,500-999人,2025-12-31 09:25:54,15000.0,30000.0,12.0
12378客诉经理/主管,深圳,深圳乐信软件技术有限公司,本科,5-10年,"客服经理,客服主管",25000-30000,岗位职责：1、负责统筹客诉处理团队日常管理工作，确保团队高效高质运作。2、负责投诉处理各项指标达成，完成各项KPI绩效达标;3、日常维护与资方关系，确保资方要求能合理落地执行；4、负责疑难投诉处理工作，包括但不限协助制定解决方案，帮助员工协调各方有效解决客户问题。5、定期进行客诉问题及数据分析，从业务、系统、策略流程等方面洞察问题提出改进建议和措施，挖掘现有标准、系统、流程中可优化的问题，制定改善...,互联网,http://jobs.zhaopin.com/CC542186980J40828439210.htm,1000-9999人,2025-12-30 01:30:44,25000.0,30000.0,15.0
鹅厂内催客服/一档社保/双休,深圳,银雁科技服务集团,大专,1-3年,"电话催收,网络催收,司法催收,M2催收,M3催收,M4催收,内催客服,催收客服,调解客服",15000-30000,岗位职责:1.负责针对行内企业贷逾期用户进行电话外呼回访提醒还款工作，维护好个人良好征信问题工作.2.小微企业客户贷后风险管理，包括:及时了解客户偿还能力，提醒客户按时还款，评估客户风险等级并及时化解。3.对客户开展风险调查，收集客户及企业相关信息等。岗位要求:35 岁以下，男女不限，大专及以上学历，需有相关信贷催收工作经验.福利待遇:无责底薪 +提成+奖金，综合月薪15-20K/月上不封底，过节...,计算机软件,http://jobs.zhaopin.com/CC853113380J40820972509.htm,10000人以上,2025-12-19 16:39:13,15000.0,30000.0,12.0
双休-电商智能AI客服-销售专员,深圳,探迹科技,大专,1-3年,"企业客户,电话销售,客服机器人,SAAS",15000-30000,职位详情电商AI客服新赛道，升职加薪快，阿里、红杉资本投资当月工资当月发，入职即购买五险一金，寻求志同道合的你！【你需要做的是】：1、通过公司拓客系统查找本地电商客户群体，面向淘宝、天猫、拼多多、京东等电商商家和抖音、快手直播商家，通过精准电面结合的方式销售公司SaaS智能客服软件；2、深入理解每个行业客户的需求，针对性向客户推荐公司产品，促进成交。3、运用多种销售技能和销售话术，进行客户开发，不...,互联网,http://jobs.zhaopin.com/CC406882580J40851563202.htm,1000-9999人,2025-12-18 10:25:15,15000.0,30000.0,12.0
客诉经理/双休/25K-30K,深圳,深圳乐信软件技术有限公司,大专,1-3年,投诉客服,25000-30000,岗位职责：1、负责统筹客诉处理团队日常管理工作，确保团队高效高质运作。2、负责投诉处理各项指标达成，完成各项KPI绩效达标;3、日常维护与资方关系，确保资方要求能合理落地执行；4、负责疑难投诉处理工作，包括但不限协助制定解决方案，帮助员工协调各方有效解决客户问题。5、定期进行客诉问题及数据分析，从业务、系统、策略流程等方面洞察问题提出改进建议和措施，挖掘现有标准、系统、流程中可优化的问题，制定改善...,互联网,http://jobs.zhaopin.com/CC542186980J40828440710.htm,1000-9999人,2025-12-22 01:27:44,25000.0,30000.0,12.0
物业客服经理（高端住宅）,深圳,中化金茂物业管理(北京)有限公司,本科,3-5年,,20000-30000,该岗位定位为高端住宅客服负责人，硬性要求有高端住宅经验（物业费单价不低于6元，或高于周边项目物业费单价平均值20%以上；项目年饱和收入千万以上）一、岗位职责1、对接高端业主日常咨询、需求与投诉，建立专属服务档案，提供一对一精准服务；2、根据高端客服服务标准，监督服务执行过程，收集业主反馈并推动服务流程迭代；3、快速响应业主投诉，协调工程、安保等部门闭环解决问题，降低业主不满率；4、策划并落地高端业...,物业管理,http://jobs.zhaopin.com/CC403243010J40806734811.htm,1000-9999人,2025-11-19 10:06:38,20000.0,30000.0,14.0
国际服务经理(深圳)(A220904),深圳,啄木鸟医疗,本科,3-5年,,20000-30000,职位描述：1. 全球售后合规与客户体验管理：制定符合 FDA/CE/MDR 等国际法规的售后流程及多语言文档，进行国际售后数据分析，推动产品迭代与质量改进，提升客户 NPS；2. 海外服务网络建设与渠道赋能：搭建海外服务体系，进行渠道服务团队培训与认证，完善备件库存管理，推动本地化；3. 国际售后团队管理与能力：管理国际售后团队，优化服务流程与响应效率，提升国际销售团队专业水平。职位要求：1. 本...,医疗设备/器械,http://jobs.zhaopin.com/CC141184140J40766414616.htm,500-999人,2025-10-18 11:36:20,20000.0,30000.0,12.0
底薪5000+双休 金融客服专员,深圳,深圳市顺利诚贸易有限公司,大专,经验不限,电话客服,15000-30000,岗位职责：1、电话回访客户，了解客户使用情况，解决客户相关问题，提高客户满意度2、根据公司提供名单，协助与问题用户进行核实，查询及反馈，引导用户进行相关操作处理等任职要求：1、大专以上学历优先考虑，具备基本的电脑操作2、普通话流利，有客服经验或者外呼客服经验者优先，没有销售性质3、性格坚韧，思维敏捷，具备良好的应变能力和承压能力,投资/融资,http://jobs.zhaopin.com/CCL1510671980J40888712415.htm,100-299人,2025-09-17 00:00:03,15000.0,30000.0,12.0
银行电话客服,深圳,上海志行合力网络技术有限公司,学历不限,经验不限,"电话销售,银行客服,电话客服,五险一金,早九晚六,带薪培训,月入过万,不用外出",15000-30000,职位详情：电话客服 客服专员 朝九晚六 提供住宿 电话销售 五险一金 无经验 售前客服公司很人性，每一步成长都有人陪伴公司能给员工的承诺:你的努力和工资绝对成正比！！！岗位职责：在线帮客户办理一笔备用金（提额），升级白金卡。岗位要求：1、年龄18-35周岁；2、目前学历不限，但需努力上进；3、有无工作经验均可，招收应届毕业生（有带薪岗前培训，简单易学习）工作时间：早九晚六，会有加班，加班7:30左...,互联网,http://jobs.zhaopin.com/CC371594710J40334698710.htm,1000-9999人,2025-08-15 14:55:33,15000.0,30000.0,12.0
双休不加班信贷客服（有自有资金）,深圳,深圳市旺通企业管理有限公司,学历不限,经验不限,"贷后管理,贷款审核,销售,电话销售",17000-28000,#有无金融经验都可，带薪培训，每周两次下午茶，每月团建，入职即购买社保，提成高达30～50%工作内容：通过电话微信等方式挖掘客户的融资意向。公司提供客户，无需陌拜工作时间早9晚6每月15号发薪日有赚钱野心的同磁场伙伴加入永久无责底薪+全勤奖500+年终奖 提成点高 欢迎有做过销售 得过销冠优先 有赚钱欲望志同道合的小伙伴来～[加油],银行,http://jobs.zhaopin.com/CCL1418312700J40902733408.htm,20-99人,2025-12-09 00:15:40,17000.0,28000.0,12.0
需求分析（客服中心运营）,深圳,北京华胜天成软件技术有限公司,本科,5-10年,"金融项目,呼叫中心项目,英语听说读写良好,可适应出差,客服中心",15000-28000,岗位职责：1、负责客户的整体解决方案私有化及云端部署实施、项目需求调研；2、根据客户业务部门要求整理需求文档，对项目范围、项目需求等文档输出负责。岗位要求：1、英语6级及以上证书，具备优秀的英语沟通能力和文档书写能力；2、5年以上外企客服中心运营管理岗位，有超过200座席客服中心的运营管理岗位经验；3、在客服中心运营管理工作中经历过客服中心系统建设、系统功能升级等业务需求分析经验最佳；4、工作地点...,IT服务,http://jobs.zhaopin.com/CC133311680J40832332215.htm,1000-9999人,2025-04-21 16:45:52,15000.0,28000.0,12.0
体系品质客服条线负责人,深圳,海纳万商物业管理有限公司,本科,5-10年,,13000-26000,负责公司标准化体系文件的建立、维护及运行，统筹公司满意度管理工作以及质量监督检查的实施。 1、负责公司体系文件的建立、运行、认证、优化和维护，尤其是项目运营管理体系的建立、新项目导入、检查等; 2、负责公司品质管控架构搭建、建立适配商写业态的质量控制标准，开展监视测量工作开展及持续改进； 3、负责客服运营体系建设、客服团队管理(含礼宾)以及客户满意度管理工作，组织开展满意度测评，结果分析/提升; ...,物业管理,http://jobs.zhaopin.com/CC885813970J40804872605.htm,10000人以上,2026-01-06 01:11:49,13000.0,26000.0,15.0
4s店续保专员,深圳,深圳中升星宏汽车销售服务有限公司,学历不限,1-3年,电话客服,13000-26000,职位描述1、给客户积极讲解和推荐保险产品以实现销售指标；2、向顾客提供专业的保险业务咨询，根据客户的个性需求提供恰当的信息和报价；3、定期分析客户数据库并确定潜在的续保客户，积极寻找和联系潜在续保客户；4、定期更新并掌握保险公司提供的索赔流程和手续文件；在索赔流程中给客户提供咨询和支持；5、准备详细的客户资料并即时输入到客户数据库系统中；6、处理好日常的保险客户投诉；稳步提高保险客户数量；任职要求...,汽车4S店/经销商,http://jobs.zhaopin.com/CCL1494193850J40695986001.htm,20-99人,2025-08-14 16:31:26,13000.0,26000.0,12.0
高级客户关系经理,深圳,信城不动产集团有限公司,本科,5-10年,地产客关,15000-25000,【岗位职责】1、搭建、管理客户关系沟通平台，促进公司与客户交流，提升客户满意度；2、负责各项目开盘前、交付前等阶段风险检查，梳理风险隐患并制定预案，跟进整改进展3、协助制定投诉处理、分级和回访的操作指引，处理重大投诉。4、跟进、督促项目客户投诉的处理、跟踪和反馈工作【任职要求】1、28-35周岁，本科，公共关系、工程等相关专业优先；2、具备3年以上地产开发客户关系管理工作，完整的项目交付组织经历；...,房地产开发,http://jobs.zhaopin.com/CC547235330J40862004103.htm,20-99人,2026-01-11 01:06:29,15000.0,25000.0,12.0
高级客服经理（园区+周末双休）,深圳,深圳万物商企物业服务有限公司,大专,5-10年,"VIP客服,投诉客服",20000-25000,岗位职责：1、组织并监督本项目客服各项业务服务工作，制定工作目标和计划，确保完成项目年度质量目标计划；2、负责客服品质业务督导、现场业务落实、品质评估及基础业务提升工作，确保各项客户服务工作达到标准化、规范化、程序化和专业化的要求；3、负责接待处理顾客投诉或建议，并做好质量记录及回应、反馈、回访，跟进处理结果及监督实施改善措施，并进行相应的统计分析；4、按照年度客户访谈计划和满意度调查情况，主动上...,物业管理,http://jobs.zhaopin.com/CC859231840J40914347515.htm,10000人以上,2026-01-10 01:46:30,20000.0,25000.0,14.0
