职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级算法专家（大模型方向）,深圳,牧原股份,硕士,5-10年,大模型算法,80000-160000,岗位职责：负责集团行业大模型的建设与落地：1、主导业务需求分析与技术方案设计，规划行业大模型的整体技术架构与发展路线。2、负责构建行业大模型所需的数据体系，包括制定数据采集、清洗、标注规范，构建行业知识库（如文档库、向量库）。3、主导大模型的训练、微调（如SFT）、对齐优化（如RLHF/DPO）及性能评估全流程。4、推动大模型能力在具体业务场景（如智能问答、分析决策、内容生成）的应用集成与方案落地...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820141311.htm,10000人以上,2026-01-10 10:16:03,80000.0,160000.0,12.0
研发VP,深圳,深圳市爱德泰科技股份有限公司,本科,10年以上,"光通信,无源器件",80000-100000,1． 技术规划：制定并持续优化公司光通信产品的长期技术发展战略和路线图，追踪行业前沿技术，组织技术预研和可行性评估，确保公司技术的前瞻性。2． 团队管理：统筹管理技术团队日常工作，负责团队建设和人才梯队搭建，包括成员招聘培养、绩效管理、职业发展规划和团队文化建设。3． 项目管理：负责核心项目的技术方案评审，把控研发质量与进度，解决项目中的关键技术难题，降低技术风险。4． 体系建设：建立并持续优化高...,互联网,http://jobs.zhaopin.com/CCL1318355140J40856935103.htm,500-999人,2026-01-09 01:06:34,80000.0,100000.0,14.0
移动应用部总监,深圳,四川达麦企业管理有限公司,本科,10年以上,"团队管理,全栈研发,无人机行业",70000-100000,我们正在寻找一位具备全栈研发和团队管理能力的负责人，领导团队打造无人机行业的软件生态体系，包括：自研无人机控制与任务管理 APP；无人机上云 API（远程调度、实时视频、数据管理）；移动 SDK（MSDK，面向行业 APP 开发者）；载荷 SDK（PSDK，面向硬件厂商与第三方设备）。该岗位是公司战略级核心角色，需要整合云端、端侧、移动端、硬件接口，支撑公司无人机平台在行业内的长期竞争力。主要职责...,企业服务,http://jobs.zhaopin.com/CCL1239944790J40909418208.htm,500-999人,2026-01-08 09:40:50,70000.0,100000.0,15.0
高级算法专家,深圳,牧原股份,硕士,5-10年,"深度学习,Caffe,TensorFlow,PyTorch,图像算法,机器视觉",60000-120000,一、岗位职责1、核心算法研发 【1】主导机器学习/深度学习算法在业务场景的端到端落地（如边缘端视觉检测系统落地、集团大模型应用等）。 【2】设计高鲁棒性算法，解决数据稀疏、噪声等实际问题。【3】探索前沿技术（如大模型、多模态融合等）并推动业务适配，平衡创新性与工程成本。2、业务落地 【1】基于集团业务流程，梳理AI重点工作及对应实施落地方案 【2】构建通用算法部署落地方案，包括但不限于算力方案、数...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40815351811.htm,10000人以上,2025-12-18 10:35:30,60000.0,120000.0,12.0
网络大模 型研发专 家,深圳,某大型央企,博士,5-10年,大模型算法,60000-100000,1.牵头跟踪和评估网络大模型及网络人工智能相关领域的最新进展与技术趋势，制定和实施网络大模型的战略规划。2.带领团队开展网络大模型及网络人工智能相关领域的技术研究与产品创新，包括不限于大模型的架构、训练推理、工程化落地等方向。3.带领团队推进大模型技术（语言大模型、时序大模型、多模态大模型等）在信息通信相关领域的落地应用，并解决落地过程中的技术难题。4.组建具有前瞻性思维和创新能力的团队，明确团队...,互联网,http://jobs.zhaopin.com/CCL1318355140J40756817303.htm,500-999人,2025-12-24 01:05:14,60000.0,100000.0,12.0
大疆--中/高级SLAM算法工程师（深圳）,深圳,天津尘时科技有限责任公司,硕士,5-10年,"机器视觉,智能驾驶,导航算法",50000-100000,工作职责1. 研发基于视觉、LiDAR、GNSS等多传感器的GVIO、LGVIO等紧组合算法，并落地产品；2. 研发基于视觉、LiDAR等多传感器的SLAM建图与重定位算法，并落地产品；3. 研发基于视觉、LiDAR等多传感器的语义SLAM，并落地产品；4. 推进机器学习技术在无人机建图定位功能中的应用，比3DGS、MASt3R等。任职要求1. SLAM相关方向硕士或以上学历，在相关行业有4年以上...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40842914713.htm,500-999人,2025-11-18 11:07:29,50000.0,100000.0,15.0
高级算法专家,深圳,牧原股份,硕士,5-10年,"机器学习,深度学习,大模型算法,Python,C++",80000-120000,岗位职责：1、核心算法研发【1】主导机器学习/深度学习算法在业务场景的端到端落地（如推荐系统、CV/NLP、时序预测、运筹优化等）。【2】设计高鲁棒性算法，解决数据稀疏（如冷启动）、噪声（如工业传感器数据）等实际问题。【3】探索前沿技术（如大模型蒸馏、多模态融合）并推动业务适配，平衡创新性与工程成本。2、系统工程化【1】构建高性能推理框架，优化算法在高并发/低延迟场景的表现（如实时风控、自动驾驶决...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40773283711.htm,10000人以上,2025-08-20 11:38:01,80000.0,120000.0,12.0
日语AI培训讲师,深圳,深圳市璟润科技有限公司,大专,3-5年,"课程策划,项目实训,深度学习,搜索算法,推荐算法,语音算法,导航算法,日语N1,AI培训,课程教授,模式识别",,岗位内容：1. 负责人工智能课程的开发和讲授，帮助学员全面掌握人工智能领域的相关知识和技能。2. 定期更新和完善课程内容，提高课程实用性和针对性。3. 参与教材编写和课程改革等工作，提升教学质量。任职要求：1. 熟悉人工智能领域各类技术和算法，具备扎实的理论功底和实践能力。2. 具备较强的演讲和表达能力，能够将复杂的技术概念转化为易于理解的语言。3. 具备良好的团队合作和管理能力，能够有效组织和协...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1488054090J40733674606.htm,20人以下,2025-12-30 01:17:02,,,
大模型应用开发专家-飞书文档,深圳,字节跳动,硕士,经验不限,,40000-80000,岗位职责：1、基于大语言模型（LLM）设计智能助手，聚焦创作内容生产&消费场景，提升内容产出&消费的效率与质量；2、优化Prompt工程，针对不同的产品需求调优指令模板，保障模型回答的准确性与业务适配性；3、探索React Agent、Multi Agent在复杂创作/运营场景中的协作机制，实现智能决策支持；4、监控智能体长期性能，通过实验评估持续优化系统稳定性与业务效果；5、结合文档业务需求，运...,互联网,http://jobs.zhaopin.com/CC469217510J40819496601.htm,10000人以上,2026-01-08 16:04:42,40000.0,80000.0,12.0
大模型算法工程师,深圳,牧原股份,硕士,3-5年,"深度学习,大模型算法,强化学习",40000-80000,岗位职责：1、负责大模型（预训练、微调、对齐等）关键技术的研发、实现与调优，主导解决模型训练与推理中的性能瓶颈问题。2、参与或主导面向垂直领域的行业大模型从0到1的构建，包括技术方案设计、领域数据处理、模型训练及业务场景的集成落地。3、参与大模型技术栈与工具链的选型、搭建及优化，确保模型的高效、稳定部署，并支持相关产品的工程化实现。4、跟踪前沿技术动态，进行技术验证与储备；协助指导初级工程师，推动...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820140911.htm,10000人以上,2026-01-10 10:11:13,40000.0,80000.0,12.0
