职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
研发专家（电子玻璃的料方）,深圳,深圳市新旗滨科技有限公司,硕士,经验不限,材料研发,50000-100000,【工作内容】- 负责电子玻璃材料的研发（料方研发）与性能优化，推动新产品开发与技术升级；- 参与电子玻璃在显示、传感等领域的应用研究，提供技术支持与解决方案；- 协同团队进行实验设计、数据分析及成果总结，提升研发效率与质量；- 跟踪行业技术动态，保持公司在电子玻璃领域的技术领先优势。【任职要求】- 硕士及以上学历，材料科学、电子工程、化学等相关专业背景；- 具备电子玻璃相关研发经验者优先，无经验者...,非金属矿物制品业,http://jobs.zhaopin.com/CC454284030J40863795812.htm,10000人以上,2025-12-26 16:18:58,50000.0,100000.0,12.0
技术专家（摄像头/屏幕）,深圳,歌尔股份,硕士,10年以上,"摄像头,OLED",60000-100000,岗位职责1、主责物料技术创新活动，提出技术创新方案，联通供应商进行技术实施，实现新技术在产品端应用。2、负责与合作伙伴联合技术创新，引入供应商端创新技术。3、负责构建客户-GTK-合作伙伴的技术交流和创新平台，推动技术交流与合作。4、负责收集和研究市场前沿新材料/器件/技术资料，建立技术路标和布局规划。5、负责公司内部供应链维度技术创新评审，以及战略投资推荐与评审。6、负责供应链技术创新咨询、行业...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40719448206.htm,10000人以上,2025-09-23 13:52:59,60000.0,100000.0,12.0
仓储物流专员电子仓储6500-8500元 深圳 福永 大专,深圳,深圳市新瑞科技有限公司,大专,1-3年,"ERP,制造业,仓库管理,电商仓",65000-85000,仓储物流专员电子仓储6500-8000元深圳 福永 大专 1-3年 职位详情：.物流承运商管理 物流异常处理 安全管理 熟练使用ERP系统 库存控制/盘点 高位货架仓库工作经验 工厂连接器线束岗位职责：物料管理:负责电子物料(如电阻、电容、二极管等)的验收、入库、出库及库存管理，确保账、物、卡一致;系统操作:熟练使用ERP系统进行数据录入、库存查询及日常报表整理;仓储规范:执行5S管理，优化物料摆...,电子设备制造,http://jobs.zhaopin.com/CC239899110J40816553511.htm,100-299人,2026-01-11 00:04:41,65000.0,85000.0,12.0
资深硬件工程师（GPU水冷服务器整机）,深圳,四川达麦企业管理有限公司,本科,5-10年,"GPU服务器,液冷系统",50000-80000,岗位概述负责公司⾃研 8 卡 NVIDIA 5090 GPU ⽔冷服务器 的整机⽅案设计、验证及持续迭代，⾯ 向 PCIe 5.0 架构的多 GPU 系统形态，解决整机结构、散热、⽔冷可靠性、功耗与系统稳定 性等关键⼯程问题，并⽀撑多卡 NCCL 推理场景 的稳定运⾏。⼯作内容• 主导 8 卡 5090 GPU ⽔冷服务器 整机⽅案设计与系统架构规划，覆盖结构布局、散热 ⽅案、功耗与可靠性设计。•...,企业服务,http://jobs.zhaopin.com/CCL1239944790J40909242008.htm,500-999人,2026-01-08 09:40:47,50000.0,80000.0,12.0
域控硬件专家/总监（车身域+年薪90w）,深圳,成都佳伊聘科技有限公司,本科,10年以上,"BCM,车身域,座舱域",45000-75000,职位描述：1、能够根据顾客要求完成产品硬件架构设计；并根据测试结果进行设计优化直至设计冻结；2、负责硬件元器件选型、考虑cost saving，并辅助采购进行VAVE；3、负责EMC设计，在原理和PCB设计中予以考虑；4、负责硬件系统或单元的调试，撰写测试报告，并参与完成系统测试；5、负责产品技术培训和支持；6，负责根据TS16949与德系美系OEM的要求进行相关文件的管理撰写产品技术文档（DFM...,人力资源服务,http://jobs.zhaopin.com/CCL1323094150J40736244306.htm,100-299人,2025-11-26 16:27:16,45000.0,75000.0,12.0
高级功率硬件工程师,深圳,华为技术有限公司,本科,10年以上,"设计,PCB设计,EMC设计,ARM研发,逆变器,UPS,变频器",,1、负责光伏三相备电产品的设计，质量控制，成本优化，确保三相备电按需求与逆变器适配，提升解决方案竞争力；2、管理开发过程，确保产品质量，保障产品在网稳定运行。3、收集、识别系统失效案例，分析系统失效等效测试环境，协助验证工程师构建系统等效测试拦截能力；,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40616324114.htm,10000人以上,2026-01-10 01:41:13,,,
硬件专家/资深工程师,深圳,淮安市纳杰云服技术服务有限责任公司,本科,5-10年,,50000-70000,岗位职责：1、 主导关节电机（伺服电驱）/无人机电机（低压电调）的电路硬件方案设计，完成参数计算与优化、完成器件选型及PCB布局审核工作；2、 负责关节电机/无人机电机的硬件产品测试验证标准制定，进行技术路线规划和资源规划，以及技术决策和方案评审；3、 负责指导产品测试及整改，解决技术疑难问题；4、 负责核心技术和重点预研项目的开发，主导关节电机（伺服电驱）/无人机电机（低压电调）硬件电路仿真设计...,互联网,http://jobs.zhaopin.com/CCL1479851850J40820051211.htm,100-299人,2026-01-09 17:11:13,50000.0,70000.0,12.0
硬件专家/资深硬件工程师,深圳,深圳市盛弘电气股份有限公司,本科,5-10年,,35000-70000,职位描述1、根据产品规格书设计总体技术方案，完成功率、控制暇的原理图设计，计算书编写，协助PCB工程师完成制成板设计；2、负责开发阶段产品的硬件设计，自测，解决测试问题；3、负责小批量试产阶段的验证问题解决；4、研发文档编写，BOM，技术资料归档；5、量产产品维护升级；6、非标产品设计。任职要求：1、统招本科及以上学历，电力电子、自动控制、自动化、电气工程相关专业；2、5年以上硬件开发经验，精通模...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC235345010J40532230001.htm,1000-9999人,2025-05-13 22:06:06,35000.0,70000.0,12.0
硬件部经理,深圳,科列技术,本科,10年以上,"硬件设计,硬件方案设计,原理图,BMS,汽车ECU,器件选型",55000-65000,岗位职责：1、负责BMS硬件总体方案设计与技术路线规划，包括主控板/采样板/功率板/MCU/电源架构/AFE/通信接口等；2、负责BMS硬件开发计划制定、资源分配、里程碑达成（EVT / DVT / PVT / SOP）；3、组织并主持硬件设计评审、失效分析；确保硬件设计满足ISO26262 、EMC / ESD /电气安全技术规范；4、推动DFM/DFA /DFT，定义并审核ICT/ FCT测试...,新能源,http://jobs.zhaopin.com/CC336668610J40868005912.htm,300-499人,2026-01-09 10:07:19,55000.0,65000.0,15.0
嵌入式系统开发工程师,深圳,广州市必用企业管理咨询有限公司,本科,1-3年,年终奖：12-18薪不等,35000-65000,岗位职责：1. 负责Linux内核及bootloader机制的开发和移植工作；2. 独立完成系统架构设计及接口定义，指导开发团队完成软件开发目标；3. 进行多媒体处理，包括音视频算法的集成开发及优化；4. 熟悉文件系统、网络系统、内存管理、进程管理等；5. 具有项目管理经验，能够有效地进行项目文档开发；6. 能够使用Arm处理器系统，并进行相关开发。任职要求：1. 一本本科及以上学历，211、98...,人力资源服务,http://jobs.zhaopin.com/CCL1442236220J40857676712.htm,500-999人,2025-12-17 15:20:27,35000.0,65000.0,12.0
