职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
HarmonyOS智能座舱高级工程师,武汉,湖北电行科技有限公司,本科,5-10年,"HARMONYOS NEXT,ArkTS,ARKUI",30000-50000,工作职责1、鸿蒙座舱应用架构与开发：负责基于 HarmonyOS NEXT（纯血鸿蒙） 的智能座舱核心应用（如桌面、空调、多媒体、设置、智能场景服务等）的架构设计、开发与性能调优。2、ArkTS/ArkUI深度实践：主导使用ArkTS语言与ArkUI声明式开发范式，构建高性能、高流畅度的原生鸿蒙座舱交互界面与动效，打造极致座舱用户体验。3、原子化服务与跨端协同开发：设计和实现基于鸿蒙分布式能力的原...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40785289416.htm,20-99人,2026-01-05 11:47:45,30000.0,50000.0,12.0
开发岗/不限语言,武汉,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++,Golang,Windows,Linux,MacOS,Android,Oracle,MySQL,SQL Server",18000-35000,核心项目开发Java/python/JS/C++/测试，均有岗位在招聘【福利待遇】1、薪资open+14-16薪2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销3、上下班有班车，园区有饭堂、免费健身房4、资深导师一对一带教【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历，专业优秀者可放宽；2、热爱编程，基础扎实，熟悉掌握 测试/Java/python/JS/C++编程语言...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40833283605.htm,10000人以上,2026-01-11 00:26:49,18000.0,35000.0,16.0
对日软件开发工程师,武汉,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",18000-35000,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853033413.htm,500-999人,2026-01-08 01:36:23,18000.0,35000.0,12.0
App开发,武汉,东风汽车,本科,1-3年,应用开发,15000-30000,"岗位职责:""1、负责手机APP远控功能产品定义及功能规范作成；2、负责APP产品整个开发周期工作推进，顺利交付产品功能；3、负责车载app的软件开发工作；4、优先有主导过1-2款手机APP车控功能项目开发经验者"" 任职要求:""1、本科及以上学历；2、专业：计算机类，软件开发类，电子信息类，电气及自动化类，通信，车辆工程类等相关专业 ；3、英语四级以上（校招6级）；4、熟练操作office/WPS等...",汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40826016905.htm,10000人以上,2026-01-08 15:45:14,15000.0,30000.0,12.0
Java/python/web/c/c++/js/go/测试/安卓,武汉,外企德科数字技术有限公司,本科,经验不限,,15000-30000,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837307605.htm,10000人以上,2026-01-11 00:27:05,15000.0,30000.0,14.0
高级framework开发工程师,武汉,软通动力信息技术(集团)股份有限公司,大专,3-5年,"车载项目,Flutter,Framework,Android Studio,SDK,Java,Kotlin",25000-30000,1、3年以上的车载软件开发经验，有以下模块一项或者多项的开发经验。2、有Android系统OTA功能、Android系统性能和优化、Android A/B双系统相关、系统bringup、系统分区、快速启动等开发经验优先。对系统黑屏、重启、卡顿、ANR等相关问题有分析和开发经验优先。3、有Audio系统开发经验、对系统音量设定、音效设定、DSP 控制有开发经验优先。对radiomanager、bro...,互联网,http://jobs.zhaopin.com/CC000544460J40785944716.htm,10000人以上,2026-01-07 14:17:28,25000.0,30000.0,12.0
Android framework工程师,武汉,东软集团,本科,3-5年,"车载项目,Framework,Android Studio,Java",18000-30000,岗位职责：1、负责座舱安卓平台 Framework 开发和维护工作； 2、负责安卓 HAL 模块开发和维护（如 Camera 、 Audio ); 3、负责系统性能整体优化方案和系统疑难问题攻克； 4、负责车载安卓方向新技术预研。 任职要求： 1、熟悉 Android framework 系统架构，掌握 AMS 、 WMS 等核心服务； 2、掌握 HAL 及 JNI 开发，熟悉 Camera 、 ...,计算机软件,http://jobs.zhaopin.com/CC120399300J40912558015.htm,500-999人,2025-12-25 10:54:04,18000.0,30000.0,12.0
安卓开发工程师,武汉,中电金信软件有限公司,学历不限,经验不限,"Java,Kotlin",15000-30000,工作内容：1.负责Android车机端应用软件的产品需求评审、开发与维护；2.负责Android车机端应用软件的性能优化与整车系统适配；3.负责模块研发过程文档的编写、维护和评审，以及其他与项目相关工作；4.岗位方向：地图导航及LBS场景类程序开发；车机（车控/空调/灯光/门窗/多媒体/鉴权认证等）应用程序开发；任职资格：1.精通Java 和 kotlin，熟悉gradle、git、Gerrit；...,计算机软件,http://jobs.zhaopin.com/CC443657520J40810915609.htm,10000人以上,2025-11-18 09:25:22,15000.0,30000.0,12.0
Android Framework开发工程师,武汉,润和软件,大专,5-10年,"Framework,Android Studio",15000-30000,系统稳定性：熟悉系统稳定性Watchdog、ANR、Crash\Native Crash等各种问题原理及分析，疑难问题处理；WMS：熟悉解决黑白闪屏，显示异常等问题，对窗口显示，动画比较熟悉，能分析各类ams，wms相关的问题；系统服务：熟悉Android系统运行原理，至少精通其中两种系统服务流程，能够解决原生系统及定制系统服务问题；XTS：熟悉XTS认证相关问题分析及处理，熟悉Android系统...,计算机软件,http://jobs.zhaopin.com/CC171774410J40793126914.htm,1000-9999人,2025-11-11 17:00:48,15000.0,30000.0,12.0
高级Android研发工程师,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Android Studio,性能调优,稳定性",20000-30000,工作内容1.负责澎湃OS系统的应用开发与迭代工作，追求卓越的用户体验2.负责客户端软件的性能/稳定性/内存等技术优化工作3.参与技术规划，为产品演进和竞争力提供技术支持4.负责重难点技术攻坚及新技术预研任职要求1. 计算机相关专业本科及以上学历，6年以上工作经验，具备扎实的计算机理论基础2. 对于Android应用开发有系统化的技术积累，熟练使用Android SDK及相关开发工具3. 有优秀的调...,互联网,http://jobs.zhaopin.com/CC000544460J40772196216.htm,10000人以上,2025-11-07 15:35:26,20000.0,30000.0,12.0
Android（武汉）,武汉,光庭信息,大专,3-5年,"车载项目,Framework",15000-30000,工作内容：座舱领域车载模块开发任职要求：专科以上学历，3年以上Android开发经验，有车载经验优先 应用app和framework都招,计算机软件,http://jobs.zhaopin.com/CC534400620J40728388316.htm,1000-9999人,2025-07-03 17:28:18,15000.0,30000.0,13.0
移动端Android工程师-猛士科技,武汉,东风汽车,本科,5-10年,"车载项目,多线程,Flutter,Framework",18000-30000,岗位职责:1、负责公司APP（安卓）应用研发。2、根据业务需求文档完成前端研发工作；与后端研发人员配合，讨论交互方式，页面集成工作；完成现有系统的 维护工作，完成相关的迭代优化工作。3、移动平台的架构分析、设计及核心功能研发，攻克技术难点。4、负责公司前端的测试计划和优化，编写设计文档和测试分析报告等文档，沉淀和积累前端的测试框架和发布规范及机制。5、负责前端Android移动端项目性能以及体验优...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40725955705.htm,10000人以上,2025-03-30 00:11:38,18000.0,30000.0,12.0
