职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
C++/python/Java/C/C# （24/25届无经验可投、考研失利）线上面试,武汉,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",26000-45000,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832088705.htm,10000人以上,2026-01-11 00:26:43,26000.0,45000.0,16.0
卫星嵌入式软件工程师,武汉,武汉云成卫星科技有限公司,硕士,3-5年,"嵌入式,VxWorks",20000-40000,学历及专业背景要求：研究生及以上学历，具有卫星工程研制或大型嵌入式系统软件开发经历优先。技能要求：1.熟悉C语言及其他编程语言，能够独立完成软件模块设计；2.熟悉通用存储器（SRAM、SDRAM、FLASH等）接口及时序设计；3.了解Flash等底层设备；4.熟悉多任务多进程的程序设计；5.具备基于VxWorks操作系统应用软件开发经验。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1241218670J40876579602.htm,20-99人,2025-12-10 10:29:50,20000.0,40000.0,12.0
赴日高级软件工程师,武汉,株式会社嘉成善,本科,5-10年,"全栈开发,Java,Python,Oracle,MySQL,DB2,WEB开发",20000-40000,"赴日高级软件工程师 录用方式： 公司给办理正式工作（技术）签证，不收取任何中介费和劳务费。 作为日本总公司固定期限正社员/无固定期限正社员工直接录用，非外包公司。 任职要求： 1.工作地点：日本（爱知县） 2.1年以上软件开发经验,有对日软件开发经验者优先，有日本工作经验者优先; 3.计算机或相关专业大本以上学历，或10年IT从业经验以上者; 4.有较好的日语水平，日语2级以上或相当水平，能够与日...",IT服务,http://jobs.zhaopin.com/CCL1445372650J40429037312.htm,20-99人,2025-11-14 15:38:20,20000.0,40000.0,14.0
java/Python/C/C++/JS/AI算法/软件测试,武汉,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",20000-40000,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837669805.htm,10000人以上,2026-01-11 00:27:06,20000.0,40000.0,14.0
autosar软件工程师-可线上面试-薪资可谈,武汉,四川蓉城蕾茗科技有限公司,本科,1-3年,"C语言,C#,DCDC变换机,Autosar,DSP,ARM处理器,OBC,BCM,应用层开发",20000-40000,综合薪资：20-40k*13薪 五险一金 岗位职责:1、参与车厂差异化通信矩阵、网络管理、诊断、加载等协议功能开发，完成相应需求开发，并在原有工具基础上进行迭代优化;2、参与产品开发、调测全流程配套工具链开发，熟悉AUTOSAR相关协议栈，能熟练掌握相关功能的参数配置;3、保证开发质量，完成基本接口的相关测试，提升工具软件质量、使用效率;4、熟悉车载行业OBC、MCU部件的相关功能，具备 OBC功...,互联网,http://jobs.zhaopin.com/CCL1244220070J40833540612.htm,1000-9999人,2025-09-24 19:02:24,20000.0,40000.0,13.0
应用与内容开发工程师,武汉,盛视科技,本科,3-5年,"C++,Python,机器人",20000-40000,此岗位根据业务需求，不定期出差法国，不能接受勿扰！！！工作任务：1.设计和开发可在机器人（嵌入式系统）和云端运行的应用程序及交互式内容，确保无缝的用户体验。2.连接机器人软件栈与云服务，以提供创新功能、交互式场景和智能行为。3.与人工智能、视觉、音频、运动和用户体验团队合作，将语音、视觉和运动整合到协调一致的机器人应用中。4.优化嵌入式系统和云托管服务的性能及响应速度。主要职责：1.开发和维护与感...,人工智能,http://jobs.zhaopin.com/CC152838410J40709774506.htm,500-999人,2025-09-03 11:05:09,20000.0,40000.0,12.0
java/Python/C/C++/JS/AI算法/软件测试,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C语言,Java,五险一金,全程线上面试,算法编程基础",18000-35000,1、本科及以上学历毕业生（25届毕业生），学信网可查，毕业证与学位证齐全。；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，五险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求1、计算机、软件、通信等相关专业，统招本科及以上学历；2、基础扎实，熟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836804705.htm,10000人以上,2026-01-11 00:27:03,18000.0,35000.0,14.0
嵌入式软件开发工程师,武汉,广州视源电子科技股份有限公司,本科,5-10年,"KERNEL,linux",25000-35000,"岗位职责：1、负责kernel 系统稳定性。2、负责调查和解决kernel 出现的内核错误（KE, Kernel Error），如内核恐慌（Kernel Panic）、oops、死锁（Deadlock））等。3、负责因调度、中断、内存回收或I/O阻塞引起的系统卡顿和响应延迟问题。岗位要求：1、计算机科学、电子工程等相关专业。2、5年以上Android/Linux内核开发或深度调试经验3、精通C语言...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC143929460J40821768509.htm,1000-9999人,2025-12-23 11:39:02,25000.0,35000.0,12.0
固件开发工程师,武汉,北京泽石科技有限公司,本科,1-3年,"嵌入式Linux,ARM",25000-35000,岗位职责：1、负责公司固态硬盘固件开发；2、配合软硬件设计人员进行系统集成与功能调试；3、配合产品质量工程师和固件测试工程师进行联合调试和产品验证。 任职要求： 1、计算机或相关专业本科以上学历； 2、3年以上C语言使用经验，1年以上ARM系统嵌入式软件/固件开发经验； 3、具有良好的团队合作和协调能力，与团队一同奋斗共同成长的精神； 4、具有存储系统相关设计开发工作经验的优先，包括并不限于： a...,计算机软件,http://jobs.zhaopin.com/CC614276380J40143469204.htm,20-99人,2025-12-23 10:58:53,25000.0,35000.0,14.0
软件开发、测试、算法、前端、大数据,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C++,JavaScript",18000-35000,岗位名称:多岗位根据自己简历情况选择面试岗位包括;Java/C/C++/Python/js前端等地点:全国都有，西安，杭州、上海，南京，武汉，北京，苏州，东莞，深圳，成都岗位要求：1. 本科及以上学历；2. 有一定算法和代码基础；具体面试要求依自己对口职位为准,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831601005.htm,10000人以上,2026-01-11 00:26:41,18000.0,35000.0,14.0
UWB/雷达软件工程师,武汉,铁将军汽车电子股份有限公司,本科,3-5年,"C语言,CAN,LIN,FBL",20000-35000,1、负责软件前期评估、需求分解、开发调试、问题定位、升级维护；2、负责软件关键技术问题攻关；3、负责软件文档拟制；4、参与软件评审活动；5、完成上级交办的其他临时性工作； 任职要求：1、本科及以上学历，三年以上汽车行业工作经验优选；2、精通C语言编程，具备良好的编码风格；3、熟悉CAN/LIN/FBL/RF/LF软件开发调试；4、有BCM、PEPS、域控制器、射频模块、NFC、UWB、蓝牙、雷达等...,汽车零部件,http://jobs.zhaopin.com/CC314041980J40717635309.htm,1000-9999人,2025-12-23 10:24:35,20000.0,35000.0,12.0
平台架构师-武汉,武汉,科大讯飞股份有限公司,本科,5-10年,,20000-35000,岗位职责1.主导重大项目的架构设计和核心模块设计，确保系统的高性能、高可用性和可扩展性2.主导项目技术难题攻关，保证项目按期高质量交付3.负责核心功能的架构与代码模板编写，开发与维护系统公用核心模块4.负责参与评估并掌握新的技术方案，引进基础设施，为业务发展、技术运营提供支持5.负责指导团队技术，制定开发规范，参与制定技术标准，编写相应的技术文档，并对通用技术进行整理，提高技术复用任职要求1.5年...,计算机软件,http://jobs.zhaopin.com/CC205108410J40971158004.htm,10000人以上,2025-12-03 14:54:23,20000.0,35000.0,14.0
