职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
端侧算法专家(J40850),武汉,海信集团,本科,经验不限,"深度学习,端侧算法,PyTorch,TensorFlow,Python,C++,端侧推理框架",,岗位职责:1.负责海外智能电视平台的端侧AI能力建设与算法落地，从零到一搭建核心技术栈，并主导技术路线图的规划与演进。2.设计并实现高性能、可扩展的端侧统一推理框架，支持CPU/GPU/NPU等多后端异构计算，建立设备能力评估与性能自动优选机制。3.主导端侧模型轻量化全流程，包括但不限于量化、剪枝、蒸馏、算子融合等，建立并持续优化性能基准（延迟、内存、功耗）。4.负责核心视觉与自然语言处理算法在资...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40856231003.htm,10000人以上,2025-11-14 14:21:43,,,
智能驾驶实车测试（行车、大里程泛化、主动安全）,武汉,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"功能测试,自动化测试,车载测试,Python,C++,JIRA,CANoe",30000-60000,"实车测试工程师-行车""工作职责1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写；2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等；3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计；4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告；5.负责定期...",咨询服务,http://jobs.zhaopin.com/CC453635220J40858586603.htm,1000-9999人,2025-11-24 17:52:14,30000.0,60000.0,15.0
高级AI算法工程师,武汉,湖北万维科技发展有限责任公司,硕士,5-10年,"机器学习,深度学习,多模态算法,Python,C++,GNN,TensorFlow,PyTorch",40000-60000,岗位职责1、负责复杂AI项目的架构设计和核心算法开发。2、指导团队进行模型训练、优化和部署，提升算法性能和效率。3、探索前沿技术，结合业务需求进行创新性算法研究和应用。4、与跨部门团队合作，推动AI技术在实际业务中的落地。任职要求1、学历要求：硕士及以上学历，计算机科学、人工智能、机器学习、自动化、数学或相关专业，985/211高校毕业优先。2、工作经验：8年以上相关工作经验，具备工业级AI项目开...,计算机软件,http://jobs.zhaopin.com/CC214063610J40829457915.htm,100-299人,2025-04-10 15:25:51,40000.0,60000.0,12.0
数据产品经理,武汉,九艺云科技(湖北)有限公司,本科,3-5年,"Python,Hadoop,Spark,大数据产品,智慧城市产品,平台产品",26000-50000,岗位内容：1. 负责收集和分析公司数据资源，构建数据产品体系，提高业务决策效率；2. 与核心业务团队紧密合作，了解业务需求，提出相应的数据产品解决方案；3. 将数据结果转换为对业务的实际支持，提供数据驱动的业务建议；4. 参与数据产品整个生命周期的管理，监控产品运营情况，不断迭代和优化。任职要求：数据核心：数据通用型人才数据接入：MQTT/API数据分析：Python（Pandas）简单建模：规划...,计算机软件,http://jobs.zhaopin.com/CCL1500978180J40791510202.htm,20-99人,2026-01-07 01:02:50,26000.0,50000.0,12.0
人工智能技术总监及解决方案总监,武汉,北京全品文教科技有限公司,本科,3-5年,"RAG,AGENT,Java,C语言,Python,算法基础,后端开发",30000-50000,岗位职责：1. 深入研究智慧教辅、题库、智能体等在线教育场景需求，制定 AI 技术战略规划与年度技术路线图，主导 AI 技术架构设计与优化，确保技术方案的前瞻性与可扩展性。2. 统筹人员完成在线教育领域AI 核心算法研发，攻克教育场景下的个性化学习推荐、智能批改、学情分析等技术难题及智能体项目；跟进项目全生命周期，协调资源保障研发进度，推动 AI 技术在产品中的高效落地。3. 统筹 AI 研发团队...,在线教育,http://jobs.zhaopin.com/CC293110030J40704629506.htm,500-999人,2025-08-13 13:35:54,30000.0,50000.0,12.0
C++/python/Java/C/C# （24/25届无经验可投、考研失利）线上面试,武汉,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",26000-45000,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832088705.htm,10000人以上,2026-01-11 00:26:43,26000.0,45000.0,16.0
机器人人工智能工程师,武汉,盛视科技,硕士,3-5年,"机器人算法,运动规划,机器避障,TensorFlow,OpenCV,C/C++,Python,人形机器人",24000-45000,此岗位根据业务需求，不定期出差法国，不能接受勿扰！！！工作任务：1、开发并优化用于机器人系统中感知、决策和交互的人工智能模型2、实施为嵌入式环境量身定制的计算机视觉、传感器融合和机器学习管道3、与跨职能团队协作，将人工智能功能集成到机器人软件栈中4、在实际环境中评估并调整人工智能模型，以提升其性能、准确性和稳健性主要职责：1、实施并训练用于语音或传感器数据的深度学习模型2、针对嵌入式平台（图形处理...,人工智能,http://jobs.zhaopin.com/CC152838410J40709769906.htm,500-999人,2026-01-06 01:14:32,24000.0,45000.0,12.0
深度学习算法工程师,武汉,博联众科(武汉)科技有限公司,硕士,3-5年,"Transformer,人工神经网络,PyTorch,TensorFlow,C++,Python",25000-45000,【工作职责】1、负责参与产品应用端图像、信号类深度学习算法研发，包括但不限于识别、分割、重建等方向研究；2、采用GPU加速等方法，提升算法的效率并降低资源消耗，并进行算法部署；3、输出相关项目文档。【任职要求】1、硕士及以上学历；2、较好的C++编程基础，熟悉Point CNN ，GNN，GAN算法者优先；3、具备一定的二维、三维图形处理的算法基础；4、通过CET-4，逻辑思维和学习能力强，有较强...,医疗设备/器械,http://jobs.zhaopin.com/CC343830680J40741096706.htm,100-299人,2025-12-12 11:18:05,25000.0,45000.0,14.0
AI算法工程师,武汉,武汉所为科技有限公司,本科,3-5年,"算法研究,Keras,TensorFlow,PyTorch,Q-learning,Python,智慧城市",25000-45000,岗位职责1.开发基于机器学习的暖通系统（HVAC）能耗预测、故障诊断及优化控制算法；2.构建建筑能源系统的数字孪生模型，实现动态能耗仿真与策略优化；3.探索强化学习在中央空调群控、区域供冷（DHC）智能调度中的应用。4.处理暖通设备传感器数据（温度、流量、压力等），设计特征工程方案；5.开发时序数据分析模型（如LSTM、Transformer）预测设备退化趋势；6.结合气象、建筑 occupanc...,物联网,http://jobs.zhaopin.com/CC817288680J40482870208.htm,20-99人,2025-09-01 11:46:50,25000.0,45000.0,12.0
知识图谱算法工程师（含数据库）,武汉,中交第二公路勘察设计研究院有限公司,硕士,3-5年,"Python,Java",25000-45000,岗位职责:1. 负责知识图谱的构建、维护和优化，包括实体识别、关系抽取、知识融合等核心算法研发；2. 设计并实现高效的知识表示与推理算法，提升知识图谱的质量和应用效果；3. 支持开发基于知识图谱的智能应用，如智能问答决策支持等；4. 持续跟踪知识图谱领域的前沿技术，推动技术创新和落地。技术要求:1. 知识图谱技术- 熟悉知识图谱全链路技术，包括信息抽取、知识表示、知识推理等- 了解本体建模和OWL...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737258009.htm,1000-9999人,2025-05-22 15:36:02,25000.0,45000.0,12.0
java/Python/C/C++/JS/AI算法/软件测试,武汉,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",20000-40000,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837669805.htm,10000人以上,2026-01-11 00:27:06,20000.0,40000.0,14.0
大数据开发工程师-补贴2w-海外出差-短期,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",20000-40000,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765716.htm,10000人以上,2026-01-10 21:23:45,20000.0,40000.0,12.0
机器学习工程师（模型训练与测试方向）,武汉,中交第二公路勘察设计研究院有限公司,硕士,1-3年,"Python,PyTorch,TensorFlow,linux,Sklearn",25000-45000,岗位职责：1. 负责机器学习模型的训练、调优和评估工作，确保模型性能和效果达到业务需求2. 设计并实现高效的模型训练流程，优化训练效率和资源利用率3. 开发完善的模型测试框架，包括单元测试、集成测试和性能测试4. 续优化模型训练和测试的工程化流程技术要求：1. 编程基础- 精通Python，熟悉Linux开发环境- 掌握常用数据结构与算法2. 机器学习框架- 熟练使用PyTorch/TensorF...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737250509.htm,1000-9999人,2025-05-22 15:35:38,25000.0,45000.0,12.0
大模型算法工程师/专家（agent&知识图谱）,武汉,光庭信息,硕士,1-3年,"大模型算法,自然语言处理,知识图谱,Python",20000-40000,"1. AI及大模型算法课题研究- 大模型在软件工程中应用课题研究- 算法如何提升包括需求分析，辅助编码和测试等效果的课题研究2. RAG和LLM优化- 对知识库进行RAG（Retrieval-Augmented Generation）和LLM（Large Language Model）的优化，提升问答系统的准确性和智能性。- 进行提示词工程，优化提示词以提高模型的响应质量。3. 针对应用场景,设计...",计算机软件,http://jobs.zhaopin.com/CC534400620J40786037116.htm,1000-9999人,2026-01-09 01:46:33,20000.0,40000.0,13.0
大数据开发 印尼/新加坡 短期项目（有出差补贴）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"大数据迁移,Hadoop,Flink,Spark,Sql",20000-40000,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786308116.htm,10000人以上,2026-01-10 01:49:13,20000.0,40000.0,12.0
计算机视觉 (Computer Vision) 算法工程师,武汉,中交第二公路勘察设计研究院有限公司,硕士,3-5年,"图像识别产品,C++,C#,Python",25000-45000,工作职责：1. 负责计算机视觉相关算法的研发、优化及落地，包括但不限于：目标检测、图像分割、OCR、图像生成与增强等；2. 针对业务需求，设计高效的深度学习模型，并进行训练、调优及部署；3. 跟踪前沿技术（如Transformer、Diffusion Model、图文多模态学习等），推动算法在业务场景中的应用；4. 与工程团队协作，优化算法性能，提升计算效率，确保模型在真实场景中的稳定性和可靠性。...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737214209.htm,1000-9999人,2025-05-22 14:33:12,25000.0,45000.0,12.0
摄影测量高级算法工程师,武汉,北京数字绿土科技股份有限公司,本科,3-5年,"图像算法,深度学习,Transformer,PyTorch,TensorFlow,机器视觉,C++,Python",20000-40000,岗位职责：1、设计并实现多视几何、摄影测量及机器视觉相关算法，包括特征提取与匹配（如 SIFT、SURF、ORB）、光束平差法（BA）、三维重建、云光云色、畸变校准等。2、研究多传感器融合技术（如相机与 LiDAR 联合标定、多模态数据配准）。3、结合 AI 与传统摄影测量方法，优化数据处理流程（如基于 CNN 的影像解译），提升自动化与智能化水平。4、撰写算法设计文档、测试报告及用户手册，确保技...,计算机软件,http://jobs.zhaopin.com/CC540407920J40808289307.htm,300-499人,2025-12-30 00:15:21,20000.0,40000.0,12.0
